# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 1105001
# NOM_USUEL= CIVRIEUX
# LATITUDE (°) = 45.912
# LONGITUDE(°)= 4.891
# ALTITUDE (m) = 291
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR001105001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195001 202012
# Date(s) de rupture(s) d'homogénéité : 195812 196212 200010
#     Periode homogénéisée  195001 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;50.8;1
195002;59.6;1
195003;25.1;1
195004;77.8;1
195005;116.8;1
195006;64.9;1
195007;58.4;1
195008;137.3;1
195009;66.4;1
195010;29.7;1
195011;185.1;1
195012;50.3;1
195101;32;1
195102;59.8;1
195103;76.9;1
195104;50.4;1
195105;131.3;1
195106;193.8;1
195107;114.6;1
195108;145.1;1
195109;65.8;1
195110;47;1
195111;202.4;1
195112;11.3;1
195201;49.7;1
195202;28.8;1
195203;110;1
195204;77;1
195205;58.9;1
195206;86.2;1
195207;12.7;1
195208;85.2;1
195209;50.7;1
195210;128.7;1
195211;107.9;1
195212;61;1
195301;8;1
195302;6.6;1
195303;0.7;1
195304;53.3;1
195305;23.3;1
195306;100;1
195307;50.4;1
195308;47.3;1
195309;91.5;1
195310;110.3;1
195311;15.9;1
195312;39.1;1
195401;28.6;1
195402;31.9;1
195403;34;1
195404;25.6;1
195405;67.2;1
195406;68.2;1
195407;46.6;1
195408;196.9;1
195409;70.9;1
195410;56.5;1
195411;72.7;1
195412;110.2;1
195501;117.2;1
195502;67.3;1
195503;24.6;1
195504;5.4;1
195505;69.5;1
195506;197.6;1
195507;76.4;1
195508;10.6;1
195509;23.4;1
195510;40.9;1
195511;74.8;1
195512;72.4;1
195601;77.3;1
195602;11.5;1
195603;40.9;1
195604;108.7;1
195605;139.1;1
195606;66.4;1
195607;267.6;1
195608;145.5;1
195609;163.7;1
195610;74.1;1
195611;14.1;1
195612;74.3;1
195701;22.4;1
195702;113;1
195703;16.6;1
195704;43.9;1
195705;50.8;1
195706;157.4;1
195707;69.7;1
195708;36.7;1
195709;36.9;1
195710;20.6;1
195711;24;1
195712;65.5;1
195801;33;1
195802;23.3;1
195803;73.4;1
195804;31.1;1
195805;74.3;1
195806;150.6;1
195807;90.2;1
195808;191.7;1
195809;168.3;1
195810;98.1;1
195811;48.6;1
195812;92.1;1
195901;53;1
195902;0;1
195903;129.9;1
195904;110.3;1
195905;6.8;1
195906;46.9;1
195907;7.8;1
195908;73.8;1
195909;29.5;1
195910;60;1
195911;94.4;1
195912;52.6;1
196001;47.7;1
196002;90.8;1
196003;88.7;1
196004;13.2;1
196005;35.8;1
196006;54.4;1
196007;148.6;1
196008;130.6;1
196009;173.2;1
196010;172.7;1
196011;108.2;1
196012;83.4;1
