# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 1391001
# NOM_USUEL= SALAVRE
# LATITUDE (°) = 46.364
# LONGITUDE(°)= 5.347
# ALTITUDE (m) = 240
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR001391001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195701 202012
# Date(s) de rupture(s) d'homogénéité : 200412
#     Periode homogénéisée  195701 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195701;58.8;1
195702;205.7;1
195703;26.5;1
195704;35.8;1
195705;72.6;1
195706;156;1
195707;98.3;1
195708;86.4;1
195709;94.7;1
195710;42.3;1
195711;77;1
195712;81.3;1
195801;98.9;1
195802;147.1;1
195803;67.5;1
195804;93.8;1
195805;109.9;1
195806;142.8;1
195807;82.1;1
195808;218;1
195809;97.3;1
195810;150.4;1
195811;80.9;1
195812;173.8;1
195901;108.7;1
195902;4.5;1
195903;152.6;1
195904;168.8;1
195905;14.7;1
195906;60.6;1
195907;16.7;1
195908;82.4;1
195909;14.8;1
195910;97.4;1
195911;128.1;1
195912;166.5;1
196001;66;1
196002;110.2;1
196003;99.7;1
196004;34.3;1
196005;79.9;1
196006;72.2;1
196007;164.4;1
196008;167;1
196009;221;1
196010;216;1
196011;139.4;1
196012;153.3;1
196101;98.3;1
196102;82.1;1
196103;37.8;1
196104;107.5;1
196105;71.8;1
196106;70.3;1
196107;80.6;1
196108;56.2;1
196109;9;1
196110;196.3;1
196111;94.6;1
196112;154.7;1
196201;120.2;1
196202;107.9;1
196203;170.1;1
196204;100.5;1
196205;126.9;1
196206;30.3;1
196207;17.8;1
196208;58.4;1
196209;113.9;1
196210;49.1;1
196211;53.4;1
196212;144.2;1
196301;53.4;1
196302;85.5;1
196303;126;1
196304;126;1
196305;87.2;1
196306;187.9;1
196307;47;1
196308;201.4;1
196309;45;1
196310;38.5;1
196311;257.3;1
196312;8.8;1
196401;50.5;1
196402;45.5;1
196403;136.9;1
196404;107.2;1
196405;60.4;1
196406;50.4;1
196407;12.8;1
196408;83.6;1
196409;63.7;1
196410;116.1;1
196411;35.1;1
196412;70.3;1
196501;132.3;1
196502;37.5;1
196503;152.4;1
196504;145.1;1
196505;181.2;1
196506;72.9;1
196507;224.5;1
196508;138.1;1
196509;305.2;1
196510;50.6;1
196511;201.4;1
196512;220.5;1
196601;117.6;1
196602;176.5;1
196603;79.3;1
196604;98.8;1
196605;118.6;1
196606;58;1
196607;95.9;1
196608;87.3;1
196609;89.4;1
196610;185.3;1
196611;160.5;1
196612;187.5;1
196701;78;1
196702;99.9;1
196703;99.6;1
196704;31.9;1
196705;171.1;1
196706;52.6;1
196707;72.9;1
196708;103.7;1
196709;183.8;1
196710;73;1
196711;201.1;1
196712;94.7;1
196801;158.5;1
196802;88.4;1
196803;59.1;1
196804;74;1
196805;124.8;1
196806;68.3;1
196807;81;1
196808;263.2;1
196809;167.4;1
196810;50.3;1
196811;126.2;1
196812;160.2;1
196901;80.4;1
196902;95.4;1
196903;135.6;1
196904;104.5;1
196905;105.4;1
196906;150.3;1
196907;39.7;1
196908;110.8;1
196909;46.3;1
196910;4.9;1
196911;148.1;1
196912;90.8;1
197001;121.1;1
197002;217.3;1
197003;116.3;1
197004;219.5;1
197005;72.6;1
197006;117.4;1
197007;45.1;1
197008;90.7;1
197009;122.4;1
197010;184.8;1
197011;150.4;1
197012;75.2;1
197101;89.3;1
197102;38.3;1
197103;125.5;1
197104;126.2;1
197105;55.9;1
197106;183.2;1
197107;14.4;1
197108;123.1;1
197109;56.5;1
197110;51.1;1
197111;171.3;1
197112;36.4;1
197201;61;1
197202;125.8;1
197203;81.4;1
197204;88.1;1
197205;56.5;1
197206;157.7;1
197207;56;1
197208;75.1;1
197209;33.9;1
197210;101.4;1
197211;145.1;1
197212;79.5;1
197301;91.9;1
197302;79.7;1
197303;14.2;1
197304;110.7;1
197305;82.8;1
197306;59.1;1
197307;134.1;1
197308;60.7;1
197309;160.3;1
197310;81.2;1
197311;99.2;1
197312;59.3;1
197401;60.6;1
197402;112.2;1
197403;73;1
197404;44;1
197405;106.6;1
197406;117.8;1
197407;100.3;1
197408;57.4;1
197409;173.3;1
197410;222.5;1
197411;175.7;1
197412;87.2;1
197501;138.5;1
197502;24.8;1
197503;151.3;1
197504;66.8;1
197505;121.6;1
197506;65.3;1
197507;16.7;1
197508;107.1;1
197509;199.9;1
197510;64.7;1
197511;181.2;1
197512;77.8;1
197601;67;1
197602;129.6;1
197603;18.2;1
197604;44.9;1
197605;35.6;1
197606;2.1;1
197607;73.3;1
197608;52.2;1
197609;185.2;1
197610;82.7;1
197611;152.5;1
197612;124.3;1
197701;140.4;1
197702;201.2;1
197703;103.2;1
197704;136.9;1
197705;144;1
197706;151.8;1
197707;159.4;1
197708;169.5;1
197709;10;1
197710;132.7;1
197711;93.9;1
197712;145.7;1
197801;160.2;1
197802;135.3;1
197803;139.4;1
197804;90.9;1
197805;116.5;1
197806;91.8;1
197807;89.5;1
197808;95.2;1
197809;50.7;1
197810;40.5;1
197811;23.8;1
197812;142.3;1
197901;156.6;1
197902;107.2;1
197903;182.7;1
197904;100.7;1
197905;107.4;1
197906;152.3;1
197907;78.8;1
197908;142.9;1
197909;38.2;1
197910;153;1
197911;119.7;1
197912;146;1
198001;110.2;1
198002;109.8;1
198003;152.8;1
198004;46.1;1
198005;118.1;1
198006;157.7;1
198007;120.6;1
198008;103.7;1
198009;133.1;1
198010;196.2;1
198011;78.7;1
198012;107.9;1
198101;145.6;1
198102;69.6;1
198103;121.9;1
198104;27.3;1
198105;150.1;1
198106;132.1;1
198107;188.7;1
198108;73.2;1
198109;188;1
198110;166.1;1
198111;79;1
198112;256.9;1
198201;148.1;1
198202;19.8;1
198203;131.1;1
198204;19;1
198205;53.3;1
198206;187.1;1
198207;100.7;1
198208;186.9;1
198209;167.2;1
198210;168.9;1
198211;224;1
198212;196.3;1
198301;99.8;1
198302;105.8;1
198303;106.1;1
198304;313.9;1
198305;337.7;1
198306;61.3;1
198307;21.4;1
198308;105.1;1
198309;135.3;1
198310;96.7;1
198311;61.7;1
198312;85.7;1
198401;161.9;1
198402;92.7;1
198403;80.3;1
198404;25.6;1
198405;166.1;1
198406;61.2;1
198407;60.5;1
198408;47.2;1
198409;170.5;1
198410;139.6;1
198411;111;1
198412;99.1;1
198501;112.2;1
198502;84.5;1
198503;118.2;1
198504;114.2;1
198505;226.3;1
198506;196.7;1
198507;118.6;1
198508;64.9;1
198509;16.8;1
198510;12.8;1
198511;59.1;1
198512;93.6;1
198601;164.3;1
198602;68.9;1
198603;82.6;1
198604;169.8;1
198605;112.2;1
198606;78.4;1
198607;82.3;1
198608;68;1
198609;75.4;1
198610;73;1
198611;86.6;1
198612;135.8;1
198701;60.6;1
198702;133.6;1
198703;62.7;1
198704;71.4;1
198705;190.1;1
198706;247.3;1
198707;93.7;1
198708;62.7;1
198709;122.8;1
198710;175.5;1
198711;95.7;1
198712;92.6;1
198801;155.6;1
198802;115.7;1
198803;157.9;1
198804;69.5;1
198805;230.7;1
198806;89.9;1
198807;122.9;1
198808;122.8;1
198809;110.3;1
198810;149;1
198811;53.3;1
198812;85.9;1
198901;27.5;1
198902;94.3;1
198903;77.1;1
198904;278.1;1
198905;73.1;1
198906;20.8;1
198907;57.8;1
198908;35.3;1
198909;44.1;1
198910;79.6;1
198911;155.2;1
198912;58.2;1
199001;81;1
199002;142.1;1
199003;27.8;1
199004;123.1;1
199005;68;1
199006;181.3;1
199007;59.8;1
199008;44.5;1
199009;74.7;1
199010;134.5;1
199011;155.1;1
199012;153.3;1
199101;41.2;1
199102;56.8;1
199103;118.5;1
199104;56.1;1
199105;21.7;1
199106;167.8;1
199107;64;1
199108;24.9;1
199109;239.7;1
199110;115.9;1
199111;174.2;1
199112;86.6;1
199201;26.7;1
199202;85.7;1
199203;101.5;1
199204;116.6;1
199205;74;1
199206;136;1
199207;146.8;1
199208;120.1;1
199209;55.7;1
199210;161.4;1
199211;198.9;1
199212;89.3;1
199301;57.6;1
199302;17.4;1
199303;18.7;1
199304;69.4;1
199305;181.4;1
199306;127.9;1
199307;139.4;1
199308;129.4;1
199309;266.6;1
199310;297.5;1
199311;63.6;1
199312;141.7;1
199401;201.1;1
199402;103.9;1
199403;52.1;1
199404;140.3;1
199405;150.8;1
199406;101.5;1
199407;71.6;1
199408;125.1;1
199409;179.2;1
199410;78.1;1
199411;105;1
199412;105.4;1
199501;187.4;1
199502;186;1
199503;127.3;1
199504;160.1;1
199505;206.6;1
199506;36.1;1
199507;37.9;1
199508;87.4;1
199509;201.4;1
199510;71.6;1
199511;62;1
199512;131;1
199601;52.9;1
199602;76.6;1
199603;64.5;1
199604;70.5;1
199605;137.3;1
199606;60.4;1
199607;169.1;1
199608;151.5;1
199609;28.6;1
199610;108;1
199611;278.1;1
199612;98.4;1
199701;79.6;1
199702;57.9;1
199703;15.1;1
199704;37.1;1
199705;126.9;1
199706;198.7;1
199707;67.8;1
199708;64.8;1
199709;50.6;1
199710;65.3;1
199711;168.6;1
199712;152.2;1
199801;130.6;1
199802;38;1
199803;52.9;1
199804;212.1;1
199805;48.6;1
199806;76.6;1
199807;72.3;1
199808;104.4;1
199809;193.6;1
199810;148.5;1
199811;130.6;1
199812;60.7;1
199901;175.1;1
199902;197.1;1
199903;116.4;1
199904;124.8;1
199905;139;1
199906;101.2;1
199907;90.7;1
199908;62.7;1
199909;195.8;1
199910;243.3;1
199911;80.3;1
199912;140.4;1
200001;64.7;1
200002;175.6;1
200003;60.5;1
200004;117.2;1
200005;127.3;1
200006;13.6;1
200007;141.1;1
200008;88.8;1
200009;80.4;1
200010;182.8;1
200011;204.9;1
200012;92.8;1
200101;121;1
200102;70.7;1
200103;283.6;1
200104;160.8;1
200105;107.7;1
200106;74.9;1
200107;135.8;1
200108;125.5;1
200109;82.5;1
200110;131.5;1
200111;106.3;1
200112;60.1;1
200201;47.4;1
200202;109;1
200203;67.8;1
200204;40.5;1
200205;199.4;1
200206;59.6;1
200207;189;1
200208;71.9;1
200209;68.8;1
200210;153.4;1
200211;379.3;1
200212;133.6;1
200301;95.2;1
200302;42.4;1
200303;37.1;1
200304;97.2;1
200305;69.1;1
200306;27.8;1
200307;74.6;1
200308;51.6;1
200309;92.4;1
200310;203;1
200311;106;1
200312;81.4;1
200401;186.1;1
200402;49.5;1
200403;101.3;1
200404;41;1
200405;101.7;1
200406;58.4;1
200407;141.6;1
200408;214.3;1
200409;52.8;1
200410;204;1
200411;64.9;1
200412;90;1
200501;88.3;1
200502;100.1;1
200503;63.7;1
200504;277.2;1
200505;86.9;1
200506;76.8;1
200507;42.3;1
200508;48.6;1
200509;44.8;1
200510;93.2;1
200511;80;1
200512;101;1
200601;57.4;1
200602;71.9;1
200603;189.1;1
200604;137;1
200605;186.2;1
200606;49.1;1
200607;38.2;1
200608;186.9;1
200609;37.3;1
200610;112.8;1
200611;88.1;1
200612;134.8;1
200701;96.5;1
200702;105.5;1
200703;113;1
200704;4.9;1
200705;196.4;1
200706;142.6;1
200707;159;1
200708;161.4;1
200709;112;1
200710;34.8;1
200711;132.5;1
200712;92.7;1
200801;96;1
200802;38.3;1
200803;127.8;1
200804;163.1;1
200805;83.7;1
200806;83.4;1
200807;98.4;1
200808;159.6;1
200809;199.1;1
200810;159.6;1
200811;72.6;1
200812;123.2;1
200901;56;1
200902;151.3;1
200903;80.7;1
200904;40.9;1
200905;53.5;1
200906;141.9;1
200907;56.6;1
200908;42.7;1
200909;69.1;1
200910;91;1
200911;184.8;1
200912;153.1;1
201001;85.1;1
201002;97;1
201003;97.3;1
201004;36.7;1
201005;108.7;1
201006;71.8;1
201007;26.7;1
201008;110.3;1
201009;152.8;1
201010;90.3;1
201011;102.2;1
201012;122.3;1
201101;56.7;1
201102;65.2;1
201103;53.6;1
201104;45.1;1
201105;43.7;1
201106;81.5;1
201107;121.5;1
201108;122.6;1
201109;30.6;1
201110;69.1;1
201111;36.4;1
201112;225.1;1
201201;126.3;1
201202;21.5;1
201203;57.7;1
201204;138.1;1
201205;111.3;1
201206;193.8;1
201207;81.5;1
201208;131.7;1
201209;117.6;1
201210;96.3;1
201211;223;1
201212;172.8;1
201301;139.5;1
201302;95.6;1
201303;81.8;1
201304;134.9;1
201305;207.2;1
201306;129.5;1
201307;83.8;1
201308;86.5;1
201309;95.6;1
201310;177.1;1
201311;189.6;1
201312;122.5;1
201401;136.7;1
201402;166.2;1
201403;42;1
201404;44.6;1
201405;114;1
201406;70.6;1
201407;286.9;1
201408;81.3;1
201409;14.8;1
201410;125.9;1
201411;142.3;1
201412;101;1
201501;141.3;1
201502;86.6;1
201503;88.3;1
201504;84.7;1
201505;90.5;1
201506;49.4;1
201507;72.8;1
201508;58.9;1
201509;139.6;1
201510;62.9;1
201511;76.8;1
201512;42.2;1
201601;153.2;1
201602;134.6;1
201603;96.7;1
201604;176.9;1
201605;218.2;1
201606;128.1;1
201607;47.2;1
201608;52.4;1
201609;83;1
201610;129.6;1
201611;130.6;1
201612;2.6;1
201701;49.8;1
201702;86;1
201703;74.2;1
201704;66.4;1
201705;78.2;1
201706;55.9;1
201707;108.1;1
201708;76.4;1
201709;77.8;1
201710;32.1;1
201711;140.6;1
201712;180.2;1
201801;210.1;1
201802;58.5;1
201803;180;1
201804;47.9;1
201805;157.9;1
201806;62.5;1
201807;63.3;1
201808;37.5;1
201809;24;1
201810;82.1;1
201811;88.1;1
201812;138.7;1
201901;86.9;1
201902;54.1;1
201903;89.1;1
201904;103.1;1
201905;66.8;1
201906;84.6;1
201907;88;1
201908;183.5;1
201909;36;1
201910;183;1
201911;174.7;1
201912;140.4;1
202001;44.5;1
202002;79.4;1
202003;65.5;1
202004;46.5;1
202005;110;1
202006;76.9;1
202007;62.8;1
202008;101.1;1
202009;139.8;1
202010;204;1
202011;25.3;1
202012;195.2;1
