# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 2301002
# NOM_USUEL= FAUCOUCOURT
# LATITUDE (°) = 49.527
# LONGITUDE(°)= 3.462
# ALTITUDE (m) = 100
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-01-01
# NUM_SERIE= MRR002301002
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195501 201712
# Date(s) de rupture(s) d'homogénéité : 198312
#     Periode homogénéisée  195501 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;63.1;1
195502;61.7;1
195503;23.9;1
195504;9.4;1
195505;97.4;1
195506;72.1;1
195507;78;1
195508;52.5;1
195509;36.1;1
195510;32.9;1
195511;27.1;1
195512;105.8;1
195601;76.1;1
195602;10;1
195603;25.2;1
195604;46.9;1
195605;40.2;1
195606;59.5;1
195607;55.1;1
195608;81.6;1
195609;106.3;1
195610;77.6;1
195611;63.8;1
195612;51.1;1
195701;33.1;1
195702;153.3;1
195703;30.1;1
195704;39.9;1
195705;32.9;1
195706;78.1;1
195707;96.4;1
195708;106.4;1
195709;124.8;1
195710;25.3;1
195711;33;1
195712;63.5;1
195801;74.1;1
195802;131.9;1
195803;21.5;1
195804;45.6;1
195805;96.3;1
195806;86.4;1
195807;61;1
195808;108.7;1
195809;71.3;1
195810;57.1;1
195811;59;1
195812;81;1
195901;83.1;1
195902;5;1
195903;57;1
195904;73;1
195905;13.6;1
195906;27.4;1
195907;28.6;1
195908;43.7;1
195909;2.2;1
195910;68.4;1
195911;48.7;1
195912;71.3;1
196001;47.6;1
196002;46.3;1
196003;59.6;1
196004;10.7;1
196005;20.8;1
196006;35.3;1
196007;107.7;1
196008;92.8;1
196009;51.8;1
196010;101.3;1
196011;80.4;1
196012;69.3;1
196101;96.8;1
196102;67.8;1
196103;6.8;1
196104;78.9;1
196105;47.9;1
196106;34.9;1
196107;82.3;1
196108;18.3;1
196109;54.9;1
196110;92.7;1
196111;65.4;1
196112;53.8;1
196201;78.6;1
196202;40.8;1
196203;66.1;1
196204;56.1;1
196205;63;1
196206;8.5;1
196207;83.3;1
196208;74.5;1
196209;44.6;1
196210;58.2;1
196211;51.7;1
196212;61.9;1
196301;18.3;1
196302;11;1
196303;49.7;1
196304;34.1;1
196305;77.8;1
196306;104;1
196307;15.5;1
196308;152.6;1
196309;25.1;1
196310;47.9;1
196311;114;1
196312;8.7;1
196401;29.3;1
196402;20.8;1
196403;55.9;1
196404;38.2;1
196405;12.5;1
196406;41.1;1
196407;22.5;1
196408;46.2;1
196409;38.1;1
196410;81;1
196411;83.5;1
196412;39.2;1
196501;94.1;1
196502;12.2;1
196503;60.8;1
196504;67;1
196505;64.5;1
196506;56.2;1
196507;61.8;1
196508;91.2;1
196509;114.4;1
196510;15.1;1
196511;90;1
196512;161.9;1
196601;52;1
196602;49.6;1
196603;27.2;1
196604;98.5;1
