# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 3003001
# NOM_USUEL= AINAY-LE-CHATE
# LATITUDE (°) = 46.706
# LONGITUDE(°)= 2.696
# ALTITUDE (m) = 220
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-12-31
# NUM_SERIE= MRR003003001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 196006
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;36;1
195102;48.5;1
195103;68.4;1
195104;31.5;1
195105;117.3;1
195106;99.1;1
195107;23.9;1
195108;41.7;1
195109;119.3;1
195110;26.6;1
195111;70.7;1
195112;31.3;1
195201;82.6;1
195202;63.6;1
195203;113.7;1
195204;8.9;1
195205;70.4;1
195206;30;1
195207;10.5;1
195208;65.7;1
195209;112.6;1
195210;181.3;1
195211;97.7;1
195212;94.4;1
195301;12.9;1
195302;29.7;1
195303;4.3;1
195304;65.6;1
195305;28.6;1
195306;89.2;1
195307;112.6;1
195308;47.6;1
195309;98;1
195310;58.6;1
195311;45;1
195312;25.4;1
195401;47;1
195402;52.5;1
195403;62.1;1
195404;18.9;1
195405;47.6;1
195406;77.2;1
195407;24.9;1
195408;87.8;1
195409;57.5;1
195410;45.1;1
195411;32.1;1
195412;36.7;1
195501;122.2;1
195502;84.1;1
195503;98.8;1
195504;0;1
195505;34.7;1
195506;85;1
195507;99.5;1
195508;13.9;1
195509;28.7;1
195510;16.6;1
195511;38.5;1
195512;93.9;1
195601;79.4;1
195602;16.9;1
195603;37.7;1
195604;83.8;1
195605;53.3;1
195606;50.5;1
195607;26.6;1
195608;70.9;1
195609;110.7;1
195610;49.8;1
195611;39.9;1
195612;39.6;1
195701;38;1
195702;81.6;1
195703;12;1
195704;7.8;1
195705;6.6;1
195706;59.8;1
195707;70.3;1
195708;65.7;1
195709;70.1;1
195710;47.4;1
195711;40.3;1
195712;47;1
195801;77;1
195802;67.8;1
195803;62.8;1
195804;21.2;1
195805;171.9;1
195806;65.1;1
195807;101.8;1
195808;70.7;1
195809;68.4;1
195810;50.8;1
195811;59.2;1
195812;65.9;1
195901;71.9;1
195902;5.4;1
195903;67.8;1
195904;109;1
195905;29.5;1
195906;64.8;1
195907;7.6;1
195908;37.7;1
195909;46.1;1
195910;57.6;1
195911;59.7;1
195912;66;1
196001;68.6;1
196002;44.6;1
