# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 8107001
# NOM_USUEL= CHATEAU-PORCIEN
# LATITUDE (°) = 49.511
# LONGITUDE(°)= 4.216
# ALTITUDE (m) = 67
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-12-31
# NUM_SERIE= MRR008107001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195501 201712
# Date(s) de rupture(s) d'homogénéité : 195803 196012 200712
#     Periode homogénéisée  195501 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;76;1
195502;64.8;1
195503;25;1
195504;9.6;1
195505;66.7;1
195506;51.3;1
195507;66.4;1
195508;26.3;1
195509;27.1;1
195510;51.4;1
195511;30.4;1
195512;111.4;1
195601;73.5;1
195602;22.5;1
195603;47.1;1
195604;58.9;1
195605;76.6;1
195606;57.3;1
195607;72.8;1
195608;71.6;1
195609;70.5;1
195610;87.6;1
195611;30.7;1
195612;43.2;1
195701;45.5;1
195702;130.8;1
195703;48.9;1
195704;35.2;1
195705;27.3;1
195706;55.7;1
195707;79.6;1
195708;96.7;1
195709;130.8;1
195710;29.6;1
195711;28.4;1
195712;66.4;1
195801;53.4;1
195802;116;1
195803;18.2;1
195804;39.8;1
195805;106;1
195806;48.8;1
195807;76.2;1
195808;98.2;1
195809;63.3;1
195810;66.7;1
195811;55.8;1
195812;99;1
195901;59.9;1
195902;1;1
195903;56.7;1
195904;77.6;1
195905;76.7;1
195906;59.3;1
195907;25.9;1
195908;56.9;1
195909;0.7;1
195910;65.9;1
195911;37.9;1
195912;86.1;1
196001;48.7;1
196002;37.1;1
196003;60.5;1
196004;16.7;1
196005;63.6;1
196006;63;1
196007;125.5;1
196008;81.7;1
196009;58.3;1
196010;110.1;1
196011;61.8;1
196012;66.8;1
196101;90.7;1
196102;72.2;1
196103;9;1
196104;56.9;1
196105;47;1
196106;58.6;1
196107;91.4;1
196108;25.6;1
196109;63.3;1
196110;103.6;1
196111;73;1
196112;66.3;1
196201;76.9;1
196202;62.1;1
196203;69.1;1
196204;64.3;1
196205;47.8;1
196206;8.9;1
196207;53.4;1
196208;39.7;1
196209;57.7;1
196210;33.7;1
196211;61.9;1
196212;60.7;1
196301;25.4;1
196302;20.6;1
196303;56.5;1
196304;49.1;1
196305;83.2;1
196306;156.7;1
196307;26.2;1
196308;128.2;1
196309;29.7;1
196310;65.7;1
196311;106.8;1
196312;14.1;1
196401;28.9;1
196402;33.7;1
196403;63.6;1
196404;37.8;1
196405;34.5;1
196406;25.8;1
196407;42.8;1
196408;29.3;1
196409;85.4;1
196410;62.9;1
196411;91.4;1
196412;43.6;1
196501;99.3;1
196502;12.4;1
196503;72.9;1
196504;67.2;1
196505;76.7;1
196506;109.3;1
196507;112.5;1
196508;85.4;1
196509;106.7;1
196510;15.6;1
196511;96.4;1
196512;166.6;1
196601;57.5;1
196602;90.5;1
196603;35.5;1
196604;87.5;1
196605;56.2;1
196606;87.1;1
196607;99.5;1
196608;94.3;1
196609;23.8;1
196610;94;1
196611;70.7;1
196612;117;1
196701;28.1;1
196702;43;1
196703;36.1;1
196704;34.6;1
196705;78.4;1
196706;43.2;1
196707;26.1;1
196708;52.3;1
196709;106.1;1
196710;105.5;1
196711;72.7;1
196712;73.6;1
196801;86.4;1
196802;57;1
196803;29.7;1
196804;40.2;1
196805;54.9;1
196806;68.7;1
196807;138.8;1
196808;68.7;1
196809;110;1
196810;32.9;1
196811;27.6;1
196812;37.4;1
196901;45.2;1
196902;36.6;1
196903;59.4;1
196904;71.5;1
196905;82.3;1
196906;91.8;1
196907;90.2;1
196908;75.3;1
196909;17.6;1
196910;3.2;1
196911;118;1
196912;42.2;1
197001;76;1
197002;138.1;1
197003;70.1;1
197004;79.5;1
197005;68.7;1
197006;62.9;1
197007;67.8;1
197008;32.9;1
197009;53.7;1
197010;34.9;1
197011;59.5;1
197012;33.7;1
197101;43.9;1
197102;36.6;1
197103;23.7;1
197104;25.9;1
197105;84.9;1
197106;98.4;1
197107;35.8;1
197108;56.6;1
197109;23.1;1
197110;34.5;1
