# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 8363001
# NOM_USUEL= REVIN
# LATITUDE (°) = 49.933
# LONGITUDE(°)= 4.627
# ALTITUDE (m) = 130
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-07-31
# NUM_SERIE= MRR008363001
# Amplitude minimale détectable de la série = 0.05
# Période homogénéisée : 195501 201712
# Date(s) de rupture(s) d'homogénéité : 197312
#     Periode homogénéisée  195501 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;124;1
195502;102;1
195503;37.2;1
195504;12.9;1
195505;101.4;1
195506;68.6;1
195507;78.2;1
195508;60.4;1
195509;59.1;1
195510;52.9;1
195511;37.5;1
195512;183.1;1
195601;119.6;1
195602;28.5;1
195603;72.2;1
195604;50.6;1
195605;48.3;1
195606;59.2;1
195607;68.2;1
195608;107.8;1
195609;72.5;1
195610;133.4;1
195611;68.8;1
195612;92.1;1
195701;68.9;1
195702;179.1;1
195703;51.8;1
195704;58.9;1
195705;45.8;1
195706;75.2;1
195707;136.3;1
195708;103.5;1
195709;163.2;1
195710;50.7;1
195711;59.6;1
195712;64.5;1
195801;140.2;1
195802;156.3;1
195803;36.9;1
195804;82.5;1
195805;129.1;1
195806;60.2;1
195807;81;1
195808;123.2;1
195809;84.3;1
195810;87.2;1
195811;54.2;1
195812;167.4;1
195901;117.2;1
195902;4.1;1
195903;72.3;1
195904;90.1;1
195905;55.1;1
195906;27.1;1
195907;52.1;1
195908;25.8;1
195909;5.2;1
195910;76;1
195911;74.5;1
195912;161.3;1
196001;97.3;1
196002;74.5;1
196003;74.5;1
196004;29.2;1
196005;62.5;1
196006;94.2;1
196007;114.7;1
196008;135;1
196009;73.5;1
196010;153.8;1
196011;174.7;1
196012;139.8;1
196101;208.7;1
196102;109.9;1
196103;24.6;1
196104;68;1
196105;56.9;1
196106;68.4;1
196107;112.8;1
196108;47.7;1
196109;90.7;1
196110;147.6;1
196111;119.6;1
196112;120.2;1
196201;163.4;1
196202;110.8;1
196203;88.1;1
196204;108.8;1
196205;97.8;1
196206;11.6;1
196207;36.2;1
196208;78.3;1
196209;80.2;1
196210;42.9;1
196211;56.1;1
196212;123.9;1
196301;34;1
196302;20.1;1
196303;106.9;1
196304;46.1;1
196305;93.8;1
196306;111.6;1
196307;32.1;1
196308;120.9;1
196309;45.9;1
196310;78.7;1
196311;213.7;1
196312;12.7;1
196401;31.2;1
196402;29.7;1
196403;63.9;1
196404;46.9;1
196405;34.2;1
196406;52.2;1
196407;39.5;1
196408;39.1;1
196409;61.3;1
196410;126.5;1
196411;139.3;1
196412;95.8;1
196501;128.5;1
196502;29.1;1
196503;96.4;1
196504;105.4;1
196505;76.6;1
196506;58.8;1
196507;120.3;1
196508;101.4;1
196509;94.8;1
196510;21.8;1
196511;123.2;1
196512;312.6;1
196601;78.5;1
196602;114.3;1
196603;78.2;1
196604;122.7;1
196605;107.2;1
196606;142.1;1
196607;106.9;1
196608;62.1;1
196609;47.4;1
196610;155.3;1
196611;115;1
196612;267.7;1
196701;54;1
196702;102.3;1
196703;76;1
196704;47.2;1
196705;96.9;1
196706;36.5;1
196707;34.4;1
196708;107.9;1
196709;89.3;1
196710;150.4;1
196711;108.1;1
196712;122.3;1
196801;108.6;1
196802;98;1
196803;83.2;1
196804;29.2;1
196805;66.7;1
196806;59.6;1
196807;119.9;1
196808;62.4;1
196809;143.5;1
196810;64.9;1
196811;29.6;1
196812;69;1
196901;72;1
196902;63.1;1
196903;80.6;1
196904;112.3;1
196905;84.8;1
196906;71.3;1
196907;47.9;1
196908;99.5;1
196909;10.8;1
196910;6.7;1
196911;164.8;1
196912;59.6;1
197001;78.1;1
197002;188.7;1
197003;96.5;1
197004;139.3;1
197005;68;1
197006;30.2;1
197007;98.6;1
197008;56.5;1
197009;44.4;1
197010;54.4;1
197011;126.4;1
197012;50.6;1
197101;151;1
197102;80.9;1
197103;53.1;1
197104;32.9;1
197105;64.7;1
197106;131.4;1
197107;31.7;1
197108;63.4;1
197109;27.2;1
197110;18.3;1
197111;137.6;1
197112;22.6;1
197201;80.9;1
197202;56;1
197203;73.3;1
197204;91.2;1
197205;103.8;1
197206;53;1
197207;127.4;1
197208;70.2;1
197209;50.1;1
197210;36.6;1
197211;123.9;1
197212;39.7;1
197301;37.8;1
197302;102.1;1
197303;15.1;1
197304;77.6;1
197305;99.3;1
197306;51.4;1
197307;65.9;1
197308;23.5;1
197309;141.7;1
197310;87.5;1
197311;92.1;1
197312;137.2;1
197401;108.9;1
197402;75.6;1
197403;93.6;1
197404;25.1;1
197405;39.3;1
197406;90.2;1
197407;66;1
197408;43;1
197409;148.7;1
197410;175.8;1
197411;140.2;1
197412;151.3;1
197501;170;1
197502;10;1
197503;150;1
197504;46.5;1
197505;42.6;1
197506;44.5;1
197507;42.5;1
197508;59.6;1
197509;121.7;1
197510;27.1;1
197511;124.3;1
197512;34.5;1
197601;62.5;1
197602;55;1
197603;33.3;1
197604;17.7;1
197605;42.3;1
197606;6.8;1
197607;83.7;1
197608;9.4;1
197609;77.4;1
197610;88.3;1
197611;127.4;1
197612;61.5;1
197701;122;1
197702;127.9;1
197703;71.7;1
197704;99.8;1
197705;83.3;1
197706;108.4;1
197707;69;1
197708;64;1
197709;24;1
197710;55.1;1
197711;149.8;1
197712;77.8;1
197801;112.1;1
197802;60.3;1
197803;171.2;1
197804;69.1;1
197805;107.1;1
197806;119;1
197807;113.9;1
197808;56.5;1
197809;69.9;1
197810;24.2;1
197811;18.7;1
197812;168.9;1
197901;58.8;1
197902;79.6;1
197903;231.6;1
197904;120;1
197905;105.9;1
197906;117.2;1
197907;17.3;1
197908;136.1;1
197909;39;1
197910;73.8;1
197911;151.1;1
197912;200.9;1
198001;77.2;1
198002;108.6;1
198003;117.7;1
198004;51.3;1
198005;50;1
198006;122.2;1
198007;143.5;1
198008;75;1
198009;29.2;1
198010;126.8;1
198011;83.8;1
198012;122.7;1
198101;131;1
198102;48.4;1
198103;146.2;1
198104;38.7;1
198105;93.5;1
198106;111;1
198107;76;1
198108;59.8;1
198109;77.1;1
198110;218.6;1
198111;71.4;1
198112;208;1
198201;110;1
198202;20.4;1
198203;86.9;1
198204;46.1;1
198205;103;1
198206;108.3;1
198207;27.9;1
198208;59.2;1
198209;106.4;1
198210;113.1;1
198211;119.8;1
198212;166.5;1
198301;116.7;1
198302;80.1;1
198303;94.2;1
198304;107.7;1
198305;136.5;1
198306;107.7;1
198307;36.9;1
198308;19.1;1
198309;122.3;1
198310;42.9;1
198311;92.6;1
198312;83.6;1
198401;235.5;1
198402;133.3;1
198403;86.8;1
198404;32.7;1
198405;108;1
198406;29.7;1
198407;39.7;1
198408;25.7;1
198409;150.1;1
198410;118.8;1
198411;121.6;1
198412;59.5;1
198501;89.7;1
198502;22.8;1
198503;173;1
198504;107.3;1
198505;60.8;1
198506;106.9;1
198507;51.9;1
198508;54.8;1
198509;38.5;1
198510;16.4;1
198511;82.5;1
198512;85.3;1
198601;161;1
198602;5.1;1
198603;159.4;1
198604;127.7;1
198605;56.6;1
198606;122.7;1
198607;30.8;1
198608;98.8;1
198609;61.6;1
198610;132.2;1
198611;113.8;1
198612;122.6;1
198701;44.3;1
198702;76.1;1
198703;117.2;1
198704;42;1
198705;79.6;1
198706;111.7;1
198707;131.6;1
198708;62;1
198709;64.6;1
198710;165;1
198711;124.4;1
198712;29.2;1
198801;213.9;1
198802;139.2;1
198803;181.6;1
198804;23.7;1
198805;84.8;1
198806;45.5;1
198807;158.7;1
198808;55.8;1
198809;94.6;1
198810;119.1;1
198811;80.7;1
198812;101.7;1
198901;37;1
198902;104.2;1
198903;105;1
198904;170.7;1
198905;45.6;1
198906;79.9;1
198907;33.2;1
198908;60.1;1
198909;61.1;1
198910;78.4;1
198911;56.3;1
198912;157.3;1
199001;87.7;1
199002;177.5;1
199003;32.7;1
199004;94.7;1
199005;22.1;1
199006;136.5;1
199007;36.8;1
199008;52;1
199009;45.6;1
199010;101.6;1
199011;89.6;1
199012;152.6;1
199101;122.3;1
199102;34.6;1
199103;49.7;1
199104;52.9;1
199105;20.3;1
199106;107.9;1
199107;94.4;1
199108;34.4;1
199109;47.4;1
199110;43.4;1
199111;133.7;1
199112;83.4;1
199201;32.4;1
199202;79.3;1
199203;134.4;1
199204;71;1
199205;58.5;1
199206;107;1
199207;85.3;1
199208;146.5;1
199209;66.4;1
199210;102.9;1
199211;152.6;1
199212;104.9;1
199301;166.8;1
199302;32.7;1
199303;5.6;1
199304;36.8;1
199305;90;1
199306;45.7;1
199307;100.9;1
199308;23.5;1
199309;141.4;1
199310;126.2;1
199311;63.7;1
199312;318.1;1
199401;151.5;1
199402;45.8;1
199403;109.6;1
199404;97.4;1
199405;65.9;1
199406;59.8;1
199407;25.2;1
199408;53.3;1
199409;114.1;1
199410;110;1
199411;45.4;1
199412;176.7;1
199501;314.7;1
199502;174.2;1
199503;131.8;1
199504;68;1
199505;43.4;1
199506;47.1;1
199507;51.9;1
199508;45.3;1
199509;91.2;1
199510;62.4;1
199511;34.7;1
199512;99.6;1
199601;28.5;1
199602;127.2;1
199603;28.2;1
199604;9.1;1
199605;78.2;1
199606;36.7;1
199607;40;1
199608;171.3;1
199609;27.2;1
199610;73.8;1
199611;187.1;1
199612;65.9;1
199701;11.8;1
199702;154.6;1
199703;44;1
199704;31.2;1
199705;139.3;1
199706;144.5;1
199707;36.6;1
199708;54.2;1
199709;22.4;1
199710;92.4;1
199711;129.2;1
199712;111.3;1
199801;145.5;1
199802;16.1;1
199803;77.3;1
199804;212.7;1
199805;24.5;1
199806;119.8;1
199807;69.9;1
199808;29.3;1
199809;109.8;1
199810;209.1;1
199811;86.6;1
199812;91.8;1
199901;161.4;1
199902;104.6;1
199903;96.9;1
199904;97.3;1
199905;32.4;1
199906;114.8;1
199907;54.9;1
199908;67.9;1
199909;130.1;1
199910;64.8;1
199911;63.3;1
199912;295.1;1
200001;81.2;1
200002;145.3;1
200003;90.8;1
200004;85.3;1
200005;112.8;1
200006;18.9;1
200007;162;1
200008;56.7;1
200009;79.4;1
200010;158.5;1
200011;214.4;1
200012;132.2;1
200101;215;1
200102;109;1
200103;193.7;1
200104;149.2;1
200105;36.8;1
200106;41.8;1
200107;122.6;1
200108;82.8;1
200109;140.7;1
200110;63.5;1
200111;109.2;1
200112;92.5;1
200201;101.2;1
200202;221.6;1
