# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 11185001
# NOM_USUEL= LAGRASSE
# LATITUDE (°) = 43.092
# LONGITUDE(°)= 2.622
# ALTITUDE (m) = 130
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MRR011185001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 196101 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;50.9;1
196102;57.2;1
196103;0;1
196104;79.6;1
196105;36.8;1
196106;13.5;1
196107;4.6;1
196108;18.6;1
196109;28.8;1
196110;44.6;1
196111;85.9;1
196112;36.7;1
196201;57;1
196202;34.3;1
196203;67.1;1
196204;139.1;1
196205;43.8;1
196206;14;1
196207;13.6;1
196208;5.9;1
196209;80.8;1
196210;84.8;1
196211;342.7;1
196212;26.3;1
196301;59.2;1
196302;64.5;1
196303;39.9;1
196304;92.4;1
196305;12.1;1
196306;26.5;1
196307;26.5;1
196308;24.2;1
196309;234.7;1
196310;5.3;1
196311;13.4;1
196312;89.2;1
196401;4.2;1
196402;72;1
196403;50;1
196404;36.6;1
196405;66.7;1
196406;25.6;1
196407;5.2;1
196408;15.6;1
196409;65.4;1
196410;78.4;1
196411;135;1
196412;142.1;1
196501;93.3;1
196502;42.4;1
196503;51.2;1
196504;41.5;1
196505;39.2;1
196506;32;1
196507;15.1;1
196508;39.1;1
196509;42.5;1
196510;474.9;1
196511;50.2;1
196512;126.4;1
196601;62.4;1
196602;70.3;1
196603;16.6;1
196604;46.1;1
196605;113.2;1
196606;8;1
196607;33.3;1
196608;22;1
196609;23.1;1
196610;308.3;1
196611;47.2;1
196612;89;1
196701;28;1
196702;168.2;1
196703;22.6;1
196704;40.3;1
196705;40.5;1
196706;16.2;1
196707;6.4;1
196708;2.6;1
196709;26;1
196710;22;1
196711;92.5;1
196712;36.6;1
196801;59.4;1
196802;57.4;1
196803;32.6;1
196804;30.2;1
196805;78;1
196806;27.8;1
196807;23.6;1
196808;44.6;1
196809;24;1
196810;7.2;1
196811;231;1
196812;134;1
196901;35.2;1
196902;34.8;1
196903;179.4;1
196904;258.8;1
196905;48.2;1
196906;19.6;1
196907;24.2;1
196908;23.8;1
196909;117.8;1
196910;127;1
196911;14.8;1
196912;114.7;1
197001;29.1;1
197002;40;1
197003;55;1
197004;26.5;1
197005;71.1;1
197006;51.7;1
197007;0.8;1
197008;31.7;1
197009;4.9;1
197010;289.4;1
197011;11.3;1
197012;48.6;1
197101;69.2;1
197102;44.4;1
197103;109.7;1
197104;84.9;1
197105;64.6;1
197106;37.9;1
197107;40.2;1
197108;32.8;1
197109;158.1;1
197110;31.7;1
197111;50;1
197112;268.2;1
197201;157.1;1
197202;100.9;1
197203;86.3;1
197204;91.1;1
197205;32.1;1
197206;133.2;1
197207;14.1;1
197208;42.8;1
197209;143.9;1
197210;28.9;1
197211;50.4;1
197212;50.3;1
197301;31.2;1
197302;81.9;1
197303;3.5;1
197304;16.5;1
197305;16.7;1
197306;135.2;1
197307;27.6;1
197308;4.8;1
197309;21.8;1
197310;9.2;1
197311;11;1
197312;165.4;1
197401;21.3;1
197402;113.7;1
197403;134.5;1
197404;67.3;1
197405;25.2;1
197406;18.9;1
197407;43.1;1
197408;100.1;1
197409;59.3;1
197410;63.6;1
197411;46.1;1
197412;4.9;1
197501;14.6;1
197502;34.8;1
197503;59.8;1
197504;21.7;1
197505;95.3;1
197506;53.7;1
197507;4.7;1
197508;94.5;1
197509;29.2;1
197510;0.2;1
197511;36.2;1
197512;80.1;1
197601;16.2;1
197602;44.7;1
197603;30.3;1
197604;88.6;1
197605;23.4;1
197606;39;1
197607;40;1
197608;64.5;1
197609;25.9;1
197610;118.1;1
197611;25.3;1
197612;74.8;1
197701;75.5;1
197702;17.2;1
197703;24.9;1
197704;48.9;1
197705;222.9;1
197706;90.7;1
197707;25.7;1
197708;50.7;1
197709;0.6;1
197710;89.7;1
197711;41.8;1
197712;16.2;1
197801;102.1;1
197802;81.7;1
197803;101.6;1
197804;96.6;1
197805;34.1;1
197806;38.7;1
197807;4.7;1
197808;1.1;1
197809;18.8;1
197810;20.2;1
197811;7.4;1
197812;56;1
197901;237.6;1
197902;50.4;1
197903;52.8;1
197904;59.6;1
197905;35.2;1
197906;20.1;1
197907;9.8;1
197908;36.3;1
197909;33.8;1
197910;305.5;1
197911;26.7;1
197912;61.6;1
198001;89.8;1
198002;43.8;1
198003;72.4;1
198004;91.2;1
198005;106.1;1
198006;3.5;1
198007;22.5;1
198008;35.1;1
198009;27.7;1
198010;54.6;1
198011;51.5;1
198012;67.1;1
198101;125.2;1
198102;41.4;1
198103;71.5;1
198104;92.5;1
198105;51.3;1
198106;77.2;1
198107;21.3;1
198108;12.6;1
198109;36.2;1
198110;35.6;1
198111;9.4;1
198112;168.2;1
198201;207.6;1
198202;136.7;1
198203;84.2;1
198204;44.6;1
198205;3.8;1
198206;38.2;1
198207;19.2;1
198208;61.1;1
198209;23.8;1
198210;57.1;1
198211;127.1;1
198212;78.1;1
198301;10.8;1
198302;113.1;1
198303;16.8;1
198304;38.4;1
198305;17;1
198306;29;1
198307;20.2;1
198308;81.5;1
198309;6.5;1
198310;34.3;1
198311;73;1
198312;23.2;1
198401;85.8;1
198402;49.2;1
198403;102.5;1
198404;24.9;1
198405;82.4;1
198406;10.5;1
198407;6.2;1
198408;32.5;1
198409;56.3;1
198410;17.2;1
198411;109.1;1
198412;38.2;1
198501;25.9;1
198502;72.5;1
198503;49;1
198504;61;1
198505;58;1
198506;20.2;1
198507;7.3;1
198508;28.3;1
198509;0;1
198510;191;1
198511;22.5;1
198512;23;1
198601;145.5;1
198602;59.5;1
198603;38.5;1
198604;77.4;1
198605;16.1;1
198606;7.5;1
198607;3;1
198608;21.3;1
198609;31.8;1
198610;223.8;1
198611;37.2;1
198612;40.7;1
198701;31.5;1
198702;63.1;1
198703;74.2;1
198704;25.2;1
198705;48;1
198706;9;1
198707;91.5;1
198708;43.5;1
198709;5.3;1
198710;204;1
198711;36;1
198712;76.5;1
198801;141.5;1
198802;34.2;1
198803;84;1
198804;140.6;1
198805;27.5;1
198806;62;1
198807;4;1
198808;7.8;1
198809;18;1
198810;17.1;1
198811;111.5;1
198812;18;1
198901;34.4;1
198902;40.1;1
198903;9.7;1
198904;98.4;1
198905;5.5;1
198906;1.8;1
198907;8;1
198908;44.3;1
198909;29;1
198910;23.5;1
198911;147.1;1
198912;19.6;1
199001;21.7;1
199002;127.9;1
199003;15.5;1
199004;58.7;1
199005;68.3;1
199006;20.4;1
199007;57.8;1
199008;27.5;1
199009;38.3;1
199010;108.7;1
199011;27.2;1
199012;29.3;1
199101;33.7;1
199102;52.3;1
199103;225;1
199104;59.1;1
199105;92.5;1
199106;12.5;1
199107;8.1;1
199108;39.9;1
199109;42.8;1
199110;134.3;1
199111;37.2;1
199112;65.2;1
199201;169;1
199202;15.7;1
199203;46.5;1
199204;74.5;1
199205;48.5;1
199206;114.1;1
