# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 12230001
# NOM_USUEL= ST JEAN DELNOUS
# LATITUDE (°) = 44.049
# LONGITUDE(°)= 2.505
# ALTITUDE (m) = 517
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR012230001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195501 202012
# Date(s) de rupture(s) d'homogénéité : 198612
#     Periode homogénéisée  195501 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;249.8;1
195502;107.2;1
195503;8.2;1
195504;12.7;1
195505;37.5;1
195506;98.7;1
195507;77.6;1
195508;30;1
195509;76.6;1
195510;52.8;1
195511;31.5;1
195512;161.7;1
195601;67.5;1
195602;11.4;1
195603;36;1
195604;49.4;1
195605;82.6;1
195606;43.4;1
195607;109;1
195608;102.9;1
195609;102.6;1
195610;28.2;1
195611;38.7;1
195612;38.3;1
195701;37.9;1
195702;127.1;1
195703;52.2;1
195704;177.1;1
195705;50.6;1
195706;124.9;1
195707;31.4;1
195708;38.2;1
195709;76.5;1
195710;13.6;1
195711;62.6;1
195712;62.4;1
195801;68.7;1
195802;22.8;1
195803;114.8;1
195804;63.9;1
195805;84.4;1
195806;79.3;1
195807;109.8;1
195808;77.3;1
195809;64.1;1
195810;35.3;1
195811;46.8;1
195812;127.9;1
195901;80.2;1
195902;20.8;1
195903;76;1
195904;175.8;1
195905;91.9;1
195906;72.5;1
195907;25.4;1
195908;93.6;1
195909;107.1;1
195910;81.8;1
195911;60.1;1
195912;245.2;1
196001;76.7;1
196002;37.4;1
196003;127.5;1
196004;21.9;1
196005;62.7;1
196006;56.1;1
196007;69.6;1
196008;80.4;1
196009;91;1
196010;143;1
196011;80.6;1
196012;115.2;1
196101;94.6;1
196102;84.7;1
196103;0.3;1
196104;114.3;1
196105;88.7;1
196106;44.7;1
196107;79.4;1
196108;29.1;1
196109;54;1
196110;147;1
196111;115.3;1
196112;84.2;1
196201;114.4;1
196202;80.8;1
196203;81.7;1
196204;97.6;1
196205;112.7;1
196206;8.2;1
196207;28.3;1
196208;18.5;1
196209;50.6;1
196210;55.2;1
196211;195.2;1
196212;143.3;1
196301;29.9;1
196302;113.5;1
196303;116.4;1
196304;97.7;1
196305;100.3;1
196306;134.2;1
196307;67.6;1
196308;123;1
196309;98.2;1
196310;50.3;1
196311;55.9;1
196312;47.6;1
196401;18.2;1
196402;106.7;1
196403;114.2;1
196404;88;1
196405;120;1
196406;46.9;1
196407;16.4;1
196408;51.8;1
196409;48;1
196410;115.8;1
196411;59.7;1
196412;66.7;1
196501;106.8;1
196502;11.5;1
196503;119.5;1
196504;85.5;1
196505;128.7;1
196506;54.4;1
196507;54.1;1
196508;70.6;1
196509;125.6;1
196510;78.1;1
196511;146.4;1
196512;206.5;1
196601;147.6;1
196602;91.7;1
196603;29;1
196604;85.7;1
196605;132;1
196606;40.9;1
196607;71.6;1
196608;53.6;1
196609;25.1;1
196610;206.7;1
196611;97.2;1
196612;186;1
196701;61.1;1
196702;47.1;1
196703;55.9;1
196704;13;1
196705;90;1
196706;85.4;1
196707;17.2;1
196708;20.7;1
196709;50.9;1
196710;51.5;1
196711;63;1
196712;79.2;1
196801;117.5;1
196802;84.6;1
196803;35.9;1
196804;62.3;1
196805;136.3;1
196806;71.5;1
196807;54.1;1
196808;103.1;1
196809;75.8;1
196810;42.5;1
196811;49.7;1
196812;105.9;1
196901;78.3;1
196902;88.3;1
196903;140.9;1
196904;123.4;1
196905;116.9;1
196906;66.9;1
196907;73.5;1
196908;61.6;1
196909;157.5;1
196910;50.9;1
196911;66.7;1
196912;97.4;1
197001;70;1
197002;182.1;1
197003;95.2;1
197004;104.8;1
197005;64.9;1
197006;82.6;1
197007;15.3;1
197008;34.1;1
197009;8.8;1
197010;67.8;1
197011;54.7;1
197012;37.1;1
197101;150.7;1
197102;65.9;1
197103;87.4;1
197104;76.6;1
197105;72.1;1
197106;107.8;1
197107;67.4;1
197108;46.7;1
197109;53.4;1
197110;33.3;1
197111;97.2;1
197112;50.3;1
197201;106.7;1
197202;103;1
197203;57.6;1
197204;66;1
197205;67.5;1
197206;62.6;1
197207;15.9;1
197208;88.2;1
197209;87.3;1
197210;79.4;1
197211;57.1;1
197212;33.3;1
197301;74.2;1
197302;91.5;1
197303;9.1;1
197304;16.3;1
197305;41.2;1
197306;77.2;1
197307;116.2;1
197308;31.2;1
197309;32.9;1
197310;60.5;1
197311;66.1;1
197312;81.9;1
197401;35.4;1
197402;135.2;1
197403;97.4;1
197404;51.3;1
197405;111.4;1
197406;77.2;1
197407;62.3;1
197408;148.8;1
197409;119.6;1
197410;125.7;1
197411;107.5;1
197412;38;1
197501;86;1
197502;23.5;1
197503;93.6;1
197504;46.1;1
197505;89.6;1
197506;35.1;1
197507;67.2;1
197508;81.1;1
197509;125.9;1
197510;40;1
197511;113.7;1
197512;26;1
197601;30.7;1
197602;52.3;1
197603;53.1;1
197604;96.7;1
197605;62.1;1
197606;0;1
197607;34.5;1
197608;45.7;1
197609;103;1
197610;213.8;1
197611;73.1;1
197612;112.4;1
197701;72.4;1
197702;106.4;1
197703;44.1;1
197704;39.6;1
197705;137.9;1
197706;79.1;1
197707;84.9;1
197708;93;1
197709;33;1
197710;69.8;1
197711;71.5;1
197712;43.6;1
197801;114.9;1
197802;101.2;1
197803;122.4;1
197804;110.2;1
197805;136.3;1
197806;79.2;1
197807;60.8;1
197808;36.4;1
197809;122.4;1
197810;18.4;1
197811;6;1
197812;156.4;1
197901;83.6;1
197902;91;1
197903;113.3;1
197904;127.7;1
197905;106.1;1
197906;48.5;1
197907;8.9;1
197908;48.9;1
197909;8.9;1
197910;146.8;1
197911;53;1
197912;205.5;1
198001;95.6;1
198002;29;1
198003;101.6;1
198004;20.2;1
198005;119.9;1
198006;44.8;1
198007;55;1
198008;46.4;1
198009;55.1;1
198010;138;1
198011;54.2;1
198012;78.1;1
198101;142.3;1
198102;58.4;1
198103;62.9;1
198104;23.3;1
198105;138.7;1
198106;85.6;1
198107;64.1;1
198108;25.5;1
198109;32.4;1
198110;141.8;1
198111;25.3;1
198112;268.7;1
198201;67.9;1
198202;39.5;1
198203;62;1
198204;24.6;1
198205;29.2;1
198206;65.9;1
198207;58.1;1
198208;84.8;1
198209;49.6;1
198210;180.9;1
198211;82.1;1
198212;161.5;1
198301;41.8;1
198302;103.4;1
198303;60.4;1
198304;98.7;1
198305;98.3;1
198306;92.2;1
198307;6.4;1
198308;149.7;1
198309;62;1
198310;51.3;1
198311;32.4;1
198312;75.6;1
198401;138.6;1
198402;115.2;1
198403;51.1;1
198404;18;1
198405;94.3;1
198406;64;1
198407;18.9;1
198408;87.3;1
198409;98.4;1
198410;51.9;1
198411;93.8;1
198412;57.3;1
198501;67;1
198502;97.5;1
198503;114.2;1
198504;87.7;1
198505;119.1;1
198506;70;1
198507;28.7;1
198508;22.3;1
198509;0.6;1
198510;14.7;1
198511;57.5;1
198512;45.6;1
198601;158.3;1
198602;59.4;1
198603;82.8;1
198604;128.2;1
198605;54.6;1
198606;16.5;1
198607;54.9;1
198608;35.1;1
198609;40.9;1
198610;68.4;1
198611;70.3;1
198612;113;1
198701;41.7;1
198702;52.2;1
198703;72;1
198704;52;1
198705;51.1;1
198706;65.5;1
198707;60.9;1
198708;55.9;1
198709;12.2;1
198710;90.7;1
198711;99.7;1
198712;22.8;1
198801;112.2;1
198802;96.6;1
198803;187.1;1
198804;99.2;1
198805;116.4;1
198806;40.3;1
198807;45.8;1
198808;48.1;1
198809;24.8;1
198810;21.5;1
198811;21.9;1
198812;99;1
198901;27.3;1
198902;132.6;1
198903;48.1;1
198904;187.4;1
198905;26.7;1
198906;19.7;1
198907;13.3;1
198908;76.1;1
198909;75.6;1
198910;49.5;1
198911;91.6;1
198912;13.6;1
199001;27.8;1
199002;152.7;1
199003;20.9;1
199004;66.7;1
199005;128.1;1
199006;43.5;1
199007;30.3;1
199008;110.7;1
199009;17.3;1
199010;115.6;1
199011;74.7;1
199012;66.5;1
199101;25.6;1
199102;51;1
199103;93.1;1
199104;62.3;1
199105;40.1;1
199106;88.9;1
199107;41.2;1
199108;50.6;1
199109;79.1;1
199110;66.8;1
199111;113.8;1
199112;56.3;1
199201;32.5;1
199202;32.2;1
199203;81.5;1
199204;78;1
199205;88.9;1
199206;222;1
199207;67.4;1
199208;43.9;1
199209;70;1
199210;218.5;1
199211;114.6;1
199212;94.7;1
199301;6.5;1
199302;7.3;1
199303;19.1;1
199304;145.4;1
199305;72.8;1
199306;128.6;1
199307;72.1;1
199308;65.1;1
199309;72.9;1
199310;89.4;1
199311;52.1;1
199312;219.9;1
199401;132.1;1
199402;114.7;1
199403;23.1;1
199404;182.1;1
199405;119;1
199406;72;1
199407;19;1
199408;30.8;1
199409;191.1;1
199410;79.4;1
199411;92.8;1
199412;44.4;1
199501;89;1
199502;173;1
199503;84.1;1
199504;84.8;1
199505;60.6;1
199506;74.2;1
199507;35.4;1
199508;90;1
199509;138.1;1
199510;26.3;1
199511;104;1
199512;133.4;1
199601;101.8;1
199602;119.5;1
199603;39.5;1
199604;65.5;1
199605;95.5;1
199606;25.5;1
199607;55.4;1
199608;90.1;1
199609;83.8;1
199610;70;1
199611;184;1
199612;113.1;1
199701;65;1
199702;82.1;1
199703;7.5;1
199704;43.8;1
199705;114;1
199706;97.9;1
199707;53;1
199708;123.9;1
199709;42;1
199710;48.8;1
199711;90.9;1
199712;130.4;1
199801;96.5;1
199802;30.4;1
199803;54.9;1
199804;209.5;1
199805;66.8;1
199806;46.7;1
199807;55.3;1
199808;46;1
199809;114.5;1
199810;94.7;1
199811;83.1;1
199812;53.2;1
199901;115.2;1
199902;108.1;1
199903;69.9;1
199904;107.9;1
199905;132.7;1
199906;35.1;1
199907;46.7;1
199908;130.8;1
199909;141;1
199910;95.9;1
199911;178.3;1
199912;124.3;1
200001;27.1;1
200002;106.1;1
200003;99.2;1
200004;131.9;1
200005;99.9;1
200006;110.3;1
