# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 15168001
# NOM_USUEL= RUYNES - GENDAR
# LATITUDE (°) = 45.001
# LONGITUDE(°)= 3.221
# ALTITUDE (m) = 900
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR015168001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 199212
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;20.5;1
195102;91.1;1
195103;56.4;1
195104;33.8;1
195105;136.8;1
195106;102.2;1
195107;44.9;1
195108;68.5;1
195109;48.3;1
195110;40.1;1
195111;82.3;1
195112;22.3;1
195201;53.7;1
195202;40.1;1
195203;37.1;1
195204;58;1
195205;48.2;1
195206;47.1;1
195207;2.9;1
195208;84.9;1
195209;51;1
195210;47;1
195211;81.8;1
195212;75.9;1
195301;12.2;1
195302;35.5;1
195303;2.8;1
195304;53.9;1
195305;57.8;1
195306;105.2;1
195307;21.5;1
195308;21.1;1
195309;83.6;1
195310;46;1
195311;18.1;1
195312;34.9;1
195401;36.6;1
195402;63.6;1
195403;73.4;1
195404;43.3;1
195405;63.2;1
195406;81.4;1
195407;49.5;1
195408;109.9;1
195409;88.6;1
195410;22.1;1
195411;49.9;1
195412;33.8;1
195501;105.8;1
195502;67;1
195503;16.2;1
195504;7.5;1
195505;40.1;1
195506;90.7;1
195507;104.9;1
195508;31.6;1
195509;66.1;1
195510;45.2;1
195511;12.9;1
195512;70.8;1
195601;54.5;1
195602;19;1
195603;23.3;1
195604;40.1;1
195605;87.5;1
195606;36.5;1
195607;103;1
195608;115.1;1
195609;76.4;1
195610;46.7;1
195611;27.3;1
195612;44.6;1
195701;23.4;1
195702;97.8;1
195703;36.5;1
195704;61.1;1
195705;54.7;1
195706;118.7;1
195707;21.7;1
195708;12.9;1
195709;54.7;1
195710;28.8;1
195711;44.6;1
195712;76.2;1
195801;46.3;1
195802;24.5;1
195803;63;1
195804;38;1
195805;47.5;1
195806;63.4;1
195807;50.8;1
195808;80.2;1
195809;66;1
195810;43.6;1
195811;46.2;1
195812;85.8;1
195901;45.6;1
195902;4.1;1
195903;77.8;1
195904;79.6;1
195905;88.9;1
195906;89;1
195907;21.6;1
195908;74.1;1
195909;77;1
195910;96.5;1
195911;45.9;1
195912;113;1
196001;52.6;1
196002;70.9;1
196003;67.4;1
196004;15.7;1
196005;56.4;1
196006;39.7;1
196007;59.1;1
196008;94.5;1
196009;59.3;1
196010;92.8;1
196011;68;1
196012;57;1
196101;52.3;1
196102;11.6;1
196103;6.6;1
196104;49.1;1
196105;66.9;1
196106;37.4;1
196107;42.2;1
196108;82.5;1
196109;31.3;1
196110;78.4;1
196111;66.8;1
196112;44.4;1
196201;59.1;1
196202;27.5;1
196203;36.7;1
196204;63.6;1
196205;52.7;1
196206;8;1
196207;36.1;1
196208;14.8;1
196209;89.7;1
196210;19.4;1
196211;66;1
196212;50.4;1
196301;35.7;1
196302;47.6;1
196303;70.7;1
196304;57.4;1
196305;54.8;1
196306;103.7;1
196307;57.1;1
196308;160.6;1
196309;92.4;1
196310;32.7;1
196311;61.9;1
196312;15.4;1
196401;9.2;1
196402;32.1;1
196403;66.5;1
196404;59.1;1
196405;116.1;1
196406;54;1
196407;28.5;1
196408;71.7;1
196409;38.4;1
196410;75.4;1
196411;43.8;1
196412;39;1
196501;40.3;1
196502;4.2;1
196503;47.1;1
196504;44.8;1
196505;128.6;1
196506;45.7;1
196507;130.5;1
196508;38.6;1
196509;175.8;1
196510;67.1;1
196511;75.3;1
196512;91.2;1
196601;57.9;1
196602;46;1
196603;22.8;1
196604;69.2;1
196605;64.2;1
196606;77.4;1
196607;25.3;1
196608;50.7;1
196609;49.7;1
196610;98.9;1
196611;66.9;1
196612;53;1
196701;30.5;1
196702;42.3;1
196703;25.5;1
196704;16;1
196705;83.9;1
196706;54.3;1
196707;31.5;1
196708;59.6;1
196709;56.3;1
196710;21.6;1
196711;82.1;1
196712;41.1;1
196801;35.7;1
196802;64.3;1
196803;16.3;1
196804;70.6;1
196805;118.8;1
196806;49.3;1
196807;41.4;1
196808;69.3;1
196809;78.9;1
196810;41.6;1
196811;29.3;1
196812;56.7;1
196901;49;1
196902;42.3;1
196903;77.3;1
196904;96;1
196905;129.6;1
196906;71.8;1
196907;29.7;1
196908;99.5;1
196909;76;1
196910;25.5;1
196911;62;1
196912;26.8;1
197001;62.8;1
197002;55.8;1
197003;75.4;1
197004;59.8;1
197005;29.3;1
197006;72.6;1
197007;9.2;1
197008;62;1
197009;15;1
197010;44.9;1
197011;49.3;1
197012;38.5;1
197101;130.6;1
197102;18;1
197103;43.8;1
197104;87.5;1
197105;64.3;1
197106;91.2;1
197107;51.3;1
197108;95.3;1
197109;51.2;1
197110;21.7;1
197111;48.7;1
197112;20.9;1
197201;60.9;1
197202;77;1
197203;41.8;1
197204;37.9;1
197205;52.4;1
197206;74.2;1
197207;50;1
197208;95.5;1
197209;41.8;1
197210;72.4;1
197211;48.9;1
197212;43.7;1
197301;34.1;1
197302;38.8;1
197303;12.4;1
197304;41.5;1
197305;57.7;1
197306;77.6;1
197307;67.3;1
197308;59.4;1
197309;52.5;1
197310;116.9;1
197311;29.4;1
197312;93.5;1
197401;36.5;1
197402;73.9;1
197403;28.6;1
197404;39.4;1
197405;101.2;1
197406;77.6;1
197407;50.3;1
197408;120.7;1
197409;110.7;1
197410;46.3;1
197411;64.8;1
197412;7.3;1
197501;54.6;1
197502;10.2;1
197503;65.8;1
197504;16;1
197505;118.8;1
197506;54.1;1
197507;50.9;1
197508;121.8;1
197509;135;1
197510;19.8;1
197511;82.3;1
197512;12.9;1
197601;13.7;1
197602;22.2;1
197603;17.3;1
197604;37.4;1
197605;54.7;1
197606;5.6;1
197607;68;1
197608;56.3;1
197609;95.1;1
197610;206.9;1
197611;85.7;1
197612;81.3;1
197701;55.9;1
197702;55.2;1
197703;69;1
197704;51.4;1
197705;126.3;1
197706;63.7;1
197707;94.7;1
197708;152.8;1
197709;21;1
197710;95.5;1
197711;41.5;1
197712;38.8;1
197801;77.5;1
197802;57;1
197803;59.9;1
197804;58.6;1
197805;59.6;1
197806;58.5;1
197807;53.5;1
197808;21;1
197809;24.4;1
197810;9.4;1
197811;5.5;1
197812;163.3;1
197901;42.7;1
197902;61.7;1
197903;65.5;1
197904;65.1;1
197905;124.9;1
197906;50.6;1
197907;32.2;1
197908;90;1
197909;4;1
197910;136.9;1
197911;21.5;1
197912;102.1;1
198001;40.7;1
198002;38.4;1
198003;50.7;1
198004;54;1
198005;86.5;1
198006;30.4;1
198007;38.3;1
198008;98.2;1
198009;47.9;1
198010;84.2;1
198011;84.9;1
198012;31.1;1
198101;22.5;1
198102;31.3;1
198103;81;1
198104;10.7;1
198105;108.7;1
198106;115.2;1
198107;48.8;1
198108;34.3;1
198109;56;1
198110;56.7;1
198111;8.2;1
198112;145.3;1
198201;32.6;1
198202;14.3;1
198203;38.9;1
198204;13.8;1
198205;32.7;1
198206;42.7;1
198207;95.3;1
198208;78.3;1
198209;89.6;1
198210;74.7;1
198211;60.7;1
198212;78.2;1
198301;4.4;1
198302;39;1
198303;33;1
198304;174.6;1
198305;116.6;1
198306;51.4;1
198307;8;1
198308;57.4;1
198309;60.8;1
198310;46.8;1
198311;21.1;1
198312;35;1
198401;76.2;1
198402;19.8;1
198403;60.7;1
198404;6.3;1
198405;105.5;1
198406;74;1
198407;26.7;1
198408;78;1
198409;88.4;1
198410;53.9;1
198411;87.3;1
198412;62.2;1
198501;38.5;1
198502;26.1;1
198503;44.6;1
198504;53.2;1
198505;122.1;1
198506;80.4;1
198507;11.5;1
198508;4.9;1
198509;1.6;1
198510;49.1;1
198511;32.6;1
198512;40.1;1
198601;85.1;1
198602;40.8;1
198603;56.5;1
198604;158;1
198605;103.5;1
198606;71.6;1
198607;41.1;1
198608;44.3;1
198609;72.4;1
198610;29.1;1
198611;29.9;1
198612;52.5;1
198701;35.3;1
198702;43.1;1
198703;33.9;1
198704;31.4;1
198705;44.5;1
198706;84.6;1
198707;72.4;1
198708;48.8;1
198709;24.7;1
198710;79.7;1
198711;47.7;1
198712;34.4;1
198801;82.4;1
198802;54.2;1
198803;53;1
198804;77;1
198805;128.2;1
198806;68.3;1
198807;54;1
198808;106.5;1
198809;57.2;1
198810;99.2;1
198811;10.2;1
198812;23;1
198901;10.7;1
198902;48.5;1
198903;25;1
198904;120.9;1
198905;51.3;1
198906;15.9;1
198907;26.8;1
198908;80.5;1
198909;100.2;1
198910;25.4;1
198911;36.3;1
198912;22.9;1
199001;32.5;1
199002;43.7;1
199003;18.9;1
199004;36.2;1
199005;103.7;1
199006;112.1;1
199007;9.7;1
199008;74.6;1
199009;28.3;1
199010;77.3;1
199011;32.3;1
199012;51.8;1
199101;18.2;1
199102;20.2;1
199103;46.9;1
199104;21;1
199105;27;1
199106;53.9;1
199107;38.6;1
199108;43.3;1
199109;54.9;1
199110;63.5;1
199111;65.6;1
199112;5.9;1
199201;27.2;1
199202;18.6;1
199203;46;1
199204;70.8;1
199205;91.5;1
199206;202.7;1
199207;62.7;1
199208;38.6;1
199209;62.9;1
199210;121;1
199211;36.5;1
199212;57.8;1
199301;1.3;1
199302;15.8;1
199303;8.3;1
199304;80.8;1
199305;78.8;1
199306;73.3;1
199307;104.5;1
199308;48.2;1
199309;142;1
199310;69.8;1
199311;26.9;1
199312;115.6;1
199401;60.6;1
199402;84;1
199403;8.7;1
199404;78.7;1
199405;88.5;1
199406;78.8;1
199407;17.5;1
199408;69.5;1
199409;166.1;1
199410;136.2;1
199411;112.6;1
199412;17.9;1
199501;58.9;1
199502;64.2;1
199503;24.5;1
199504;73.6;1
199505;43.6;1
199506;28.3;1
199507;69.1;1
199508;46.7;1
199509;139.6;1
199510;43.7;1
199511;46.4;1
199512;55.7;1
199601;65.8;1
199602;59;1
199603;26.3;1
199604;45;1
199605;84.2;1
199606;40.4;1
199607;83.6;1
199608;88.2;1
199609;48.5;1
199610;46.8;1
199611;123.7;1
199612;36.4;1
199701;31.6;1
199702;20.7;1
199703;2;1
199704;12.2;1
199705;87.9;1
199706;99.9;1
199707;57.3;1
199708;115.6;1
199709;48.7;1
199710;42.1;1
199711;70.9;1
199712;66.6;1
199801;70.7;1
199802;12.3;1
199803;20.6;1
199804;112.8;1
199805;38.5;1
199806;42.6;1
199807;74;1
199808;27.2;1
199809;90.8;1
199810;52.4;1
199811;35.3;1
199812;18;1
199901;31.4;1
199902;36.6;1
199903;27.5;1
199904;38.1;1
199905;103.1;1
199906;30.6;1
199907;8.1;1
199908;64.9;1
199909;123.5;1
199910;93.1;1
199911;50;1
199912;82.3;1
200001;10.6;1
200002;39.1;1
200003;16.9;1
200004;88.2;1
200005;92.4;1
200006;56.9;1
200007;36.2;1
200008;50.1;1
200009;90.6;1
200010;62.1;1
200011;85.9;1
200012;28.9;1
200101;86.5;1
200102;26.9;1
200103;108.8;1
200104;72.1;1
200105;153.7;1
200106;40.9;1
200107;58.2;1
200108;32.2;1
200109;69.4;1
200110;105.7;1
200111;35.7;1
200112;6;1
200201;16;1
200202;28.9;1
200203;14.8;1
200204;30;1
200205;64.2;1
200206;92.9;1
200207;42;1
200208;97;1
200209;84.1;1
200210;62;1
200211;87.1;1
200212;75;1
200301;50.3;1
200302;32.8;1
200303;24.4;1
200304;35.8;1
200305;23.7;1
200306;37.6;1
200307;55;1
200308;66;1
200309;62;1
200310;76.5;1
200311;78;1
200312;123.5;1
200401;90.4;1
200402;25;1
200403;61.5;1
200404;99.7;1
200405;22.5;1
200406;7.1;1
200407;24.6;1
200408;152.6;1
200409;24;1
200410;148.4;1
200411;32;1
200412;26.7;1
200501;26.4;1
200502;41.1;1
200503;25.2;1
200504;79.1;1
200505;78.9;1
200506;32.9;1
200507;11.7;1
200508;28.1;1
200509;111.3;1
200510;107.4;1
200511;42.6;1
200512;36.6;1
200601;23.8;1
200602;36.5;1
200603;89.8;1
200604;58;1
200605;41.2;1
200606;52;1
200607;59.6;1
200608;96.8;1
200609;63;1
200610;77.8;1
200611;23.1;1
200612;23.5;1
200701;24.2;1
200702;61.6;1
200703;36.5;1
200704;21.3;1
200705;143;1
200706;100.6;1
200707;91.8;1
200708;58.9;1
200709;48.7;1
200710;21.9;1
200711;31.8;1
200712;33.3;1
200801;31.7;1
200802;13;1
200803;55.7;1
200804;111;1
200805;166.4;1
200806;77.8;1
200807;84.7;1
200808;51.2;1
200809;34.2;1
200810;105.2;1
200811;94.1;1
200812;92.4;1
200901;37.5;1
200902;36.4;1
200903;9.7;1
200904;90.6;1
200905;45;1
200906;94.9;1
200907;63.4;1
200908;99.1;1
200909;45.4;1
200910;37.8;1
200911;51.3;1
200912;42.5;1
201001;31.9;1
201002;70.9;1
201003;60.2;1
201004;26.8;1
201005;85.5;1
201006;83.8;1
201007;41.2;1
201008;26.6;1
201009;128.6;1
201010;91.3;1
201011;94.7;1
201012;45.3;1
201101;14.4;1
201102;19.9;1
201103;48.5;1
201104;8;1
201105;79.2;1
201106;88.4;1
201107;98.3;1
201108;44.4;1
201109;17.4;1
201110;32.1;1
201111;82;1
201112;64.9;1
201201;19.7;1
201202;6.5;1
201203;19.4;1
201204;100.4;1
201205;150.3;1
201206;60.7;1
201207;51.6;1
201208;62.3;1
201209;42;1
201210;59.6;1
201211;61.8;1
201212;51.3;1
201301;28.3;1
201302;45.6;1
201303;70.5;1
201304;92.1;1
201305;107.1;1
201306;31.6;1
201307;73.4;1
201308;48.9;1
201309;66.1;1
201310;75.2;1
201311;78;1
201312;49.8;1
201401;98;1
201402;92.1;1
201403;30.3;1
201404;56.6;1
201405;23.9;1
201406;32;1
201407;161.2;1
201408;74.8;1
201409;25.3;1
201410;69.2;1
201411;124.8;1
201412;45.1;1
201501;38.9;1
201502;40.4;1
201503;19.2;1
201504;57.1;1
201505;30.4;1
201506;35.7;1
201507;44.3;1
201508;77.8;1
201509;102.1;1
201510;40.2;1
201511;32.9;1
201512;12.1;1
201601;83.2;1
201602;81.8;1
201603;40.1;1
201604;83.6;1
201605;131.2;1
201606;73.4;1
201607;38;1
201608;29.1;1
201609;71.2;1
201610;58.7;1
201611;122.1;1
201612;25.5;1
201701;24.7;0
201702;41.7;0
201703;62.6;0
201704;41.1;0
201705;57.9;0
201706;136.1;0
201707;28.4;0
201708;97.9;0
201709;38.4;0
201710;10.1;0
201711;51.3;0
201712;73.4;0
201801;133.1;0
201802;23.2;0
201803;53.1;0
201804;48.1;0
201805;138.3;0
201806;71;0
201807;64.5;0
201808;61.8;0
201809;17.5;0
201810;52.3;0
201811;58.4;0
201812;37.5;0
