# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 15225001
# NOM_USUEL= SEGUR-LES-VILLA
# LATITUDE (°) = 45.225
# LONGITUDE(°)= 2.816
# ALTITUDE (m) = 1045
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-12-31
# NUM_SERIE= MRR015225001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195301 201612
# Date(s) de rupture(s) d'homogénéité : 195912 198212 200412
#     Periode homogénéisée  195301 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;21.3;1
195302;40.2;1
195303;0;1
195304;91.1;1
195305;79.9;1
195306;77.7;1
195307;51.2;1
195308;30.4;1
195309;89.5;1
195310;52;1
195311;29.3;1
195312;66;1
195401;77.6;1
195402;110;1
195403;112.9;1
195404;67.4;1
195405;100.1;1
195406;67.2;1
195407;68.2;1
195408;194.4;1
195409;91.5;1
195410;47.6;1
195411;72.8;1
195412;109.8;1
195501;252.7;1
195502;137.3;1
195503;38.9;1
195504;3.8;1
195505;72.5;1
195506;135.5;1
195507;129.7;1
195508;51.9;1
195509;45.7;1
195510;84.2;1
195511;39.5;1
195512;138.5;1
195601;102.8;1
195602;19.4;1
195603;54.8;1
195604;57.9;1
195605;116.6;1
195606;72.3;1
195607;173.4;1
195608;110;1
195609;148.8;1
195610;78;1
195611;54.6;1
195612;39.4;1
195701;60.4;1
195702;227.1;1
195703;37.5;1
195704;76.3;1
195705;44.4;1
195706;145.6;1
195707;58.6;1
195708;15;1
195709;98.4;1
195710;45.3;1
195711;42.3;1
195712;85.9;1
195801;109;1
195802;91.9;1
195803;123.2;1
195804;74.9;1
195805;123;1
195806;116.1;1
195807;98.2;1
195808;88.4;1
195809;67.3;1
195810;51.1;1
195811;68;1
195812;169.4;1
195901;108.4;1
195902;13.6;1
195903;103.6;1
195904;143.7;1
195905;115.2;1
195906;140.1;1
195907;77.7;1
195908;99.4;1
195909;105.8;1
195910;91.1;1
195911;65.2;1
195912;244.7;1
196001;98.6;1
196002;99.8;1
196003;122.4;1
196004;31.1;1
196005;40.1;1
196006;59.5;1
196007;128.6;1
196008;185.2;1
196009;81.3;1
196010;244.2;1
196011;111.5;1
196012;97;1
196101;116.6;1
196102;76.4;1
196103;10.9;1
196104;87.6;1
196105;109.6;1
196106;49.9;1
196107;158;1
196108;49.7;1
196109;39.4;1
196110;102.8;1
196111;84.2;1
196112;97.6;1
196201;148.3;1
196202;77.5;1
196203;92.7;1
196204;151.7;1
196205;114.6;1
196206;10.6;1
196207;40.6;1
196208;13.8;1
196209;109;1
196210;47.6;1
196211;142.1;1
196212;187.7;1
196301;47.1;1
196302;84.3;1
196303;174.6;1
196304;78.3;1
196305;70.5;1
196306;162.3;1
196307;61.6;1
196308;126.8;1
196309;59;1
196310;60.1;1
196311;118.2;1
196312;21;1
196401;29;1
196402;66.1;1
196403;120.1;1
196404;149.2;1
196405;169;1
196406;49.4;1
196407;50.7;1
196408;91.6;1
196409;44.2;1
196410;145.3;1
196411;70.9;1
196412;59.8;1
196501;98.7;1
196502;28.4;1
196503;93.6;1
196504;125.4;1
196505;160.9;1
196506;61.5;1
196507;127.7;1
196508;70.8;1
196509;222.7;1
196510;53.7;1
196511;241.4;1
196512;250.9;1
196601;145.1;1
196602;120.7;1
196603;60.1;1
196604;139.1;1
196605;100.5;1
196606;81.8;1
196607;53.4;1
196608;72.7;1
196609;41.9;1
196610;120.4;1
196611;106.5;1
196612;166.4;1
196701;68.6;1
196702;108;1
196703;81.2;1
196704;22.6;1
196705;146.9;1
196706;75.3;1
196707;40.4;1
196708;60.4;1
196709;64;1
196710;79.2;1
196711;134.6;1
196712;81.1;1
196801;162.5;1
196802;44.9;1
196803;40.5;1
196804;98.3;1
196805;177;1
196806;55.8;1
196807;109.9;1
196808;122.8;1
196809;138.6;1
196810;43.6;1
196811;49;1
196812;151.4;1
196901;83.4;1
196902;81.8;1
196903;115.9;1
196904;137.9;1
196905;147.3;1
196906;120;1
196907;59.7;1
196908;126.5;1
196909;176.5;1
196910;24.4;1
196911;125.7;1
196912;99;1
197001;107.1;1
197002;206.6;1
197003;106.2;1
197004;130.8;1
197005;46.5;1
197006;127.4;1
197007;40;1
197008;62.3;1
197009;31;1
197010;123.4;1
197011;89.5;1
197012;53;1
197101;187.7;1
197102;46.8;1
197103;70.1;1
197104;71.7;1
197105;85.3;1
197106;104.3;1
197107;127.5;1
197108;126.1;1
197109;43.8;1
197110;20.9;1
197111;107.9;1
197112;24.8;1
197201;76.7;1
197202;112.6;1
197203;52.6;1
197204;63.4;1
197205;65.3;1
197206;57.9;1
197207;56;1
197208;97.2;1
197209;35.9;1
197210;93.1;1
197211;97.3;1
197212;57;1
197301;73.2;1
197302;80.8;1
197303;4;1
197304;35.4;1
197305;59.4;1
197306;62.5;1
197307;133.6;1
197308;58;1
197309;75.5;1
197310;123.9;1
197311;82.2;1
197312;116;1
197401;64.2;1
197402;108.3;1
197403;60.1;1
197404;71.8;1
197405;84.9;1
197406;93.8;1
197407;48.1;1
197408;76.8;1
197409;179;1
197410;151.1;1
197411;160;1
197412;51.3;1
197501;131.4;1
197502;26.5;1
197503;85.1;1
197504;49.4;1
197505;113.5;1
197506;58.1;1
197507;32.3;1
197508;109.7;1
197509;108.3;1
197510;48.9;1
197511;111.6;1
197512;29;1
197601;37.8;1
197602;63.5;1
197603;29.2;1
197604;68.9;1
197605;33.2;1
197606;3.1;1
197607;54.7;1
197608;47.7;1
197609;145.9;1
197610;248.8;1
197611;143.1;1
197612;150.9;1
197701;90.9;1
197702;131;1
197703;88.9;1
197704;59.3;1
197705;190.7;1
197706;76.1;1
197707;109.6;1
197708;149;1
197709;10;1
197710;80.1;1
197711;100.8;1
197712;80.8;1
197801;123.9;1
197802;91.6;1
197803;154.9;1
197804;81.3;1
197805;67.4;1
197806;73.1;1
197807;55.1;1
197808;70.1;1
197809;87.4;1
197810;23.1;1
197811;15.2;1
197812;218.4;1
197901;77.2;1
197902;113.7;1
197903;119.1;1
197904;106.5;1
197905;141.8;1
197906;66.4;1
197907;7.9;1
197908;114.7;1
197909;11.6;1
197910;240.7;1
197911;71.6;1
197912;222;1
198001;96.4;1
198002;86.9;1
198003;72.8;1
198004;32.9;1
198005;93.1;1
198006;48.6;1
198007;88.6;1
198008;116.8;1
198009;80.8;1
198010;145;1
198011;93.7;1
198012;113.5;1
198101;130.3;1
198102;44.9;1
198103;193.3;1
198104;16.6;1
198105;204.9;1
198106;99;1
198107;48.3;1
198108;56.8;1
198109;120.8;1
198110;112.2;1
198111;44.9;1
198112;277.7;1
198201;122.4;1
198202;28.1;1
198203;96.8;1
198204;8.8;1
198205;74.6;1
198206;66.4;1
198207;189;1
198208;72.9;1
198209;107.7;1
198210;144.3;1
198211;92.8;1
198212;146.9;1
198301;46;1
198302;81.1;1
198303;58.3;1
198304;218.5;1
198305;166.8;1
198306;34.5;1
198307;33.8;1
198308;161.6;1
198309;76.9;1
198310;82.1;1
198311;87.4;1
198312;78.4;1
198401;134.8;1
198402;85.1;1
198403;82.9;1
198404;17.2;1
198405;151;1
198406;86.5;1
198407;62.8;1
198408;66.4;1
198409;177.5;1
198410;116.4;1
198411;117;1
198412;77.5;1
198501;55.8;1
198502;90.1;1
198503;62.2;1
198504;91.6;1
198505;129.4;1
198506;113.9;1
198507;29.5;1
198508;21.1;1
198509;26.4;1
198510;23.2;1
198511;56.1;1
198512;49.7;1
198601;174;1
198602;46.8;1
198603;109.1;1
198604;186.4;1
198605;65.8;1
198606;45.3;1
198607;41.1;1
198608;63.5;1
198609;78.4;1
198610;79;1
198611;67.2;1
198612;117;1
198701;54.7;1
198702;54.8;1
198703;78.5;1
198704;81.4;1
198705;88.5;1
198706;168.7;1
198707;144;1
198708;51.2;1
198709;64.3;1
198710;142.7;1
198711;107.4;1
198712;50.3;1
198801;172.6;1
198802;114.7;1
198803;196.4;1
198804;72.1;1
198805;187.5;1
198806;41.1;1
198807;96;1
198808;45;1
198809;61.5;1
198810;150.2;1
198811;35.8;1
198812;62.3;1
198901;25.9;1
198902;65.9;1
198903;71.7;1
198904;177.1;1
198905;53.8;1
198906;35.3;1
198907;24.9;1
198908;59.1;1
198909;79;1
198910;52.1;1
198911;91.8;1
198912;62.1;1
199001;60;1
199002;183.1;1
199003;20.2;1
199004;77.4;1
199005;72.6;1
199006;104.9;1
199007;34.1;1
199008;57;1
199009;79.5;1
199010;166.2;1
199011;100;1
199012;76.3;1
199101;52.3;1
199102;53.1;1
199103;67.9;1
199104;58;1
199105;38.1;1
199106;92.1;1
199107;37.6;1
199108;64.3;1
199109;81.5;1
199110;76.4;1
199111;126.8;1
199112;44.3;1
199201;24.4;1
199202;31.6;1
199203;66.8;1
199204;110;1
199205;98.4;1
199206;193.6;1
199207;110.3;1
199208;106.2;1
199209;124.2;1
199210;168.6;1
199211;117.9;1
199212;106;1
199301;17.9;1
199302;12.2;1
199303;12.9;1
199304;109.8;1
199305;134.3;1
199306;147.8;1
199307;134.4;1
199308;47;1
199309;189.8;1
199310;144.4;1
199311;17.2;1
199312;217.4;1
199401;150.8;1
199402;142.9;1
199403;26;1
199404;189.8;1
199405;103.1;1
199406;77.3;1
199407;90;1
199408;53.8;1
199409;265.3;1
199410;151.1;1
199411;218.5;1
199412;100.8;1
199501;144.9;1
199502;176.5;1
199503;94.4;1
199504;75.3;1
199505;99.6;1
199506;103.9;1
199507;64.5;1
199508;81.2;1
199509;151.5;1
199510;59.5;1
199511;80.1;1
199512;127.7;1
199601;125.6;1
199602;123.1;1
199603;36.3;1
199604;55.9;1
199605;119;1
199606;64.1;1
199607;93.4;1
199608;68.1;1
199609;56.5;1
199610;86.2;1
199611;197.9;1
199612;61.3;1
199701;45.8;1
199702;73;1
199703;6.4;1
199704;23.1;1
199705;135.6;1
199706;165;1
199707;96.2;1
199708;98.8;1
199709;63;1
199710;83.8;1
199711;162.8;1
199712;169.2;1
199801;137.8;1
199802;31.7;1
199803;59;1
199804;202.9;1
199805;65.1;1
199806;64;1
199807;53.2;1
