# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 18127001
# NOM_USUEL= LIGNIERES
# LATITUDE (°) = 46.753
# LONGITUDE(°)= 2.199
# ALTITUDE (m) = 191
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-04-01
# NUM_SERIE= MRR018127001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194701 201912
# Date(s) de rupture(s) d'homogénéité : 197001 197211
#     Periode homogénéisée  194701 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;35.9;1
194702;63.8;1
194703;77.9;1
194704;28.2;1
194705;67.6;1
194706;45.7;1
194707;14.4;1
194708;58.7;1
194709;40.8;1
194710;50.1;1
194711;66.6;1
194712;56.2;1
194801;65.4;1
194802;19.3;1
194803;18.7;1
194804;46.9;1
194805;66.3;1
194806;50.5;1
194807;25.3;1
194808;43.2;1
194809;50.9;1
194810;21.3;1
194811;30.2;1
194812;31.8;1
194901;25;1
194902;9.5;1
194903;28.8;1
194904;21.8;1
194905;74.3;1
194906;48.7;1
194907;13.7;1
194908;40.9;1
194909;139.4;1
194910;20.9;1
194911;89.1;1
194912;25.9;1
195001;10.9;1
195002;57.3;1
195003;13.4;1
195004;68.1;1
195005;37.1;1
195006;39.5;1
195007;26.5;1
195008;72;1
195009;35.7;1
195010;23.2;1
195011;142.1;1
195012;70.6;1
195101;39.1;1
195102;50.2;1
195103;76.2;1
195104;34.8;1
195105;92.9;1
195106;99.4;1
195107;25.2;1
195108;69.1;1
195109;62.1;1
195110;21.3;1
195111;69.8;1
195112;31.4;1
195201;85;1
195202;53.5;1
195203;86.9;1
195204;8.6;1
195205;55.2;1
195206;12.1;1
195207;19.9;1
195208;57;1
195209;113.5;1
195210;155.1;1
195211;91.7;1
195212;66.6;1
195301;22;1
195302;23.7;1
195303;4.5;1
195304;56.4;1
195305;24.2;1
195306;88.1;1
195307;91.3;1
195308;24.2;1
195309;80;1
195310;58;1
195311;34.7;1
195312;28.8;1
195401;40.6;1
195402;53.2;1
195403;66.4;1
195404;17.9;1
195405;54.6;1
195406;49.8;1
195407;28.6;1
195408;99.9;1
195409;76.1;1
195410;47.1;1
195411;43.2;1
195412;40.7;1
195501;116.2;1
195502;94.8;1
195503;59.1;1
195504;0;1
195505;43.4;1
195506;87.1;1
195507;60.9;1
195508;21.1;1
195509;24.1;1
195510;15.8;1
195511;18.7;1
195512;80.3;1
195601;70.8;1
195602;10.6;1
195603;25.2;1
195604;82.3;1
195605;74.3;1
195606;34.3;1
195607;31.5;1
195608;73;1
195609;124.9;1
195610;36.4;1
195611;45.9;1
195612;34.3;1
195701;30.2;1
195702;102.9;1
195703;12.7;1
195704;28.8;1
195705;52.7;1
195706;61;1
195707;97.8;1
195708;36.4;1
195709;62.9;1
195710;44.2;1
195711;33.9;1
195712;31.7;1
195801;61.1;1
195802;57.8;1
195803;73.4;1
195804;27.3;1
195805;126;1
195806;102.6;1
195807;129.5;1
195808;125.8;1
195809;85.2;1
195810;43;1
195811;56.6;1
195812;80.8;1
195901;78.7;1
195902;7.1;1
195903;42.8;1
195904;87.1;1
195905;38.4;1
195906;47.3;1
195907;12.8;1
195908;49.8;1
195909;23.3;1
195910;50.3;1
195911;62.9;1
195912;69.9;1
196001;81.4;1
196002;60.2;1
196003;70.9;1
196004;28.7;1
196005;69.2;1
196006;115.8;1
196007;52.4;1
196008;112.7;1
196009;60.2;1
196010;174.7;1
196011;59.5;1
196012;57.1;1
196101;87.5;1
196102;29.6;1
196103;8.6;1
196104;50.8;1
196105;55.4;1
196106;47;1
196107;88;1
196108;36.5;1
196109;54;1
196110;50.2;1
196111;61.7;1
196112;53.3;1
196201;62.2;1
196202;29.8;1
196203;118.5;1
196204;75.2;1
196205;111.6;1
196206;13.9;1
196207;50.9;1
196208;24.4;1
196209;22.2;1
196210;41.4;1
196211;98.3;1
196212;73;1
196301;33.7;1
196302;44.8;1
196303;88.8;1
196304;45;1
196305;57.1;1
196306;67.1;1
196307;16.2;1
196308;132.3;1
196309;23.1;1
196310;34.5;1
196311;80.4;1
196312;8;1
196401;18.2;1
196402;60.9;1
196403;74.4;1
196404;60.8;1
196405;30;1
196406;24.9;1
196407;10.1;1
196408;41.1;1
196409;83;1
196410;39.6;1
196411;30.2;1
196412;31.2;1
196501;75.7;1
196502;4.5;1
196503;65.4;1
196504;56.5;1
196505;73;1
196506;34.1;1
196507;60.2;1
196508;94.8;1
196509;167.2;1
196510;11;1
196511;110.9;1
196512;91.4;1
196601;68;1
196602;95.8;1
196603;22.6;1
196604;72.4;1
196605;56.8;1
196606;65.5;1
196607;67.6;1
196608;61.7;1
196609;11.8;1
196610;84;1
196611;72.7;1
196612;82.8;1
196701;41.6;1
196702;59.6;1
196703;48.3;1
196704;11.4;1
196705;99.8;1
196706;13.9;1
196707;8.5;1
196708;44.5;1
196709;127.3;1
196710;57.7;1
196711;53.2;1
196712;48.9;1
196801;86.7;1
196802;68.3;1
196803;30.3;1
196804;71.9;1
196805;97.2;1
196806;42.1;1
196807;70.6;1
196808;186.3;1
196809;105.9;1
196810;42.8;1
196811;40.4;1
196812;91.5;1
196901;25.8;1
196902;53.2;1
196903;66;1
196904;33.3;1
196905;111.8;1
196906;57.5;1
196907;15.3;1
196908;82.9;1
196909;81.9;1
196910;2.4;1
196911;95;1
196912;52.7;1
197001;66;1
197002;150.6;1
197003;70.4;1
197004;95.1;1
197005;18.1;1
197006;61.3;1
197007;52.5;1
197008;49.8;1
197009;38.6;1
197010;37.7;1
197011;47.2;1
197012;24.8;1
197101;63;1
197102;22.3;1
197103;37.2;1
197104;35.9;1
197105;115.4;1
197106;94.2;1
197107;41;1
197108;74.7;1
197109;33.4;1
197110;50.9;1
197111;47.8;1
197112;6;1
197201;67.2;1
197202;58.5;1
197203;25.2;1
197204;37.4;1
197205;69.3;1
197206;44.3;1
197207;39.5;1
197208;83.8;1
197209;31.3;1
197210;35.3;1
197211;107.6;1
197212;20.9;1
197301;47.2;1
197302;51.9;1
197303;10.1;1
197304;22.9;1
197305;76.5;1
197306;35.4;1
197307;92.7;1
197308;22.8;1
197309;33.3;1
197310;48.6;1
197311;30.8;1
197312;44.7;1
197401;41.2;1
197402;47.8;1
197403;81.2;1
197404;52.8;1
197405;66.8;1
197406;77;1
197407;15.6;1
197408;50.5;1
197409;96.2;1
197410;102.3;1
197411;53.2;1
197412;31.1;1
197501;60.6;1
197502;13.3;1
197503;67;1
197504;57;1
197505;100;1
197506;30;1
197507;34.2;1
197508;32.3;1
197509;145.3;1
197510;25.8;1
197511;87.5;1
197512;30.8;1
197601;41;1
197602;63.9;1
197603;11.7;1
197604;31.4;1
197605;42.6;1
197606;1.2;1
197607;41.5;1
197608;27.9;1
197609;66.9;1
197610;98.5;1
197611;99;1
197612;90.6;1
197701;65.7;1
197702;121.6;1
197703;49.9;1
197704;42.5;1
197705;186.6;1
197706;137.2;1
197707;182.4;1
197708;100.2;1
197709;5.5;1
197710;71.8;1
197711;61.1;1
197712;59.6;1
197801;81.8;1
197802;84.1;1
197803;124.1;1
197804;63;1
197805;47.6;1
197806;19.7;1
197807;75.5;1
197808;4.2;1
197809;24.3;1
197810;6.6;1
197811;19.5;1
197812;112.7;1
197901;79.2;1
197902;80.4;1
197903;129;1
197904;77.1;1
197905;61.3;1
197906;78.3;1
197907;32.6;1
197908;56.6;1
197909;28.2;1
197910;110.5;1
197911;50.7;1
197912;121;1
198001;77.6;1
198002;76.9;1
198003;79.8;1
198004;15.1;1
198005;66.2;1
198006;75.5;1
198007;80.2;1
198008;13.2;1
198009;40.9;1
198010;71.4;1
198011;50.7;1
198012;49.2;1
198101;95.8;1
198102;34.4;1
198103;85.9;1
198104;10.4;1
198105;144.4;1
198106;117.2;1
198107;54.6;1
198108;69.1;1
198109;49.8;1
198110;150.7;1
198111;32.4;1
198112;136.1;1
198201;95.5;1
198202;31;1
198203;83.6;1
198204;18.1;1
198205;68.9;1
198206;51.7;1
198207;32.1;1
198208;52.6;1
198209;77.8;1
198210;132.7;1
198211;44.3;1
198212;127.2;1
198301;24.7;1
198302;60.7;1
198303;52.2;1
198304;150.7;1
198305;93.2;1
198306;29.2;1
198307;64.1;1
198308;123.4;1
198309;68.7;1
198310;57.4;1
198311;41.9;1
198312;39.1;1
198401;90.9;1
198402;41.3;1
