# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 28305001
# NOM_USUEL= PRE-ST-EVROULT
# LATITUDE (°) = 48.181
# LONGITUDE(°)= 1.468
# ALTITUDE (m) = 129
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-02-15
# NUM_SERIE= MRR028305001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194701 201712
# Date(s) de rupture(s) d'homogénéité : 195512 197012 200412
#     Periode homogénéisée  194701 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;34.4;1
194702;41.6;1
194703;77.6;1
194704;15.8;1
194705;67.4;1
194706;46.5;1
194707;13.2;1
194708;28.5;1
194709;6.5;1
194710;9.5;1
194711;64.1;1
194712;51.6;1
194801;63.1;1
194802;19.5;1
194803;15.2;1
194804;65.5;1
194805;66.4;1
194806;38.3;1
194807;48.4;1
194808;48.2;1
194809;17.8;1
194810;1.5;1
194811;10.9;1
194812;15.8;1
194901;7.1;1
194902;10.6;1
194903;7.9;1
194904;20.1;1
194905;28.2;1
194906;16.6;1
194907;12.8;1
194908;35.8;1
194909;44.3;1
194910;85;1
194911;61.1;1
194912;25.8;1
195001;8.5;1
195002;52.5;1
195003;22.3;1
195004;47.5;1
195005;53.8;1
195006;22.2;1
195007;53.7;1
195008;61.1;1
195009;53.1;1
195010;11.1;1
195011;52.7;1
195012;62.1;1
195101;45.6;1
195102;49.7;1
195103;57.2;1
195104;40.9;1
195105;121.2;1
195106;47.7;1
195107;21.2;1
195108;67.3;1
195109;29.1;1
195110;28.1;1
195111;42.1;1
195112;32.5;1
195201;46;1
195202;26.6;1
195203;75.7;1
195204;10.6;1
195205;49.1;1
195206;13.9;1
195207;16.1;1
195208;57.8;1
195209;91.8;1
195210;60.9;1
195211;72.2;1
195212;65.6;1
195301;15.1;1
195302;17.9;1
195303;1.1;1
195304;46.3;1
195305;26.7;1
195306;50.7;1
195307;107.3;1
195308;9.6;1
195309;33.7;1
195310;42;1
195311;17.6;1
195312;9.5;1
195401;17.3;1
195402;40;1
195403;46.8;1
195404;6;1
195405;15.8;1
195406;46.8;1
195407;25.7;1
195408;42;1
195409;54;1
195410;32.9;1
195411;29.1;1
195412;41.4;1
195501;83.2;1
195502;53.9;1
195503;18.5;1
195504;2;1
195505;23;1
195506;46.9;1
195507;51.8;1
195508;35.4;1
195509;22.4;1
195510;44;1
195511;28.6;1
195512;74.4;1
195601;64.8;1
195602;10;1
195603;15.4;1
195604;35.3;1
195605;37.2;1
195606;38.2;1
195607;35.2;1
195608;63.7;1
195609;28.2;1
195610;30.1;1
195611;21.8;1
195612;33.1;1
195701;16.6;1
195702;60.4;1
195703;15.7;1
195704;33.9;1
195705;15.3;1
195706;87.8;1
195707;70.4;1
195708;30;1
195709;72.1;1
195710;10.7;1
195711;21.2;1
195712;27.4;1
195801;63.5;1
195802;95.3;1
195803;47.6;1
195804;49.5;1
195805;55.6;1
195806;51.6;1
195807;35.6;1
195808;73;1
195809;22.1;1
195810;31.5;1
195811;39.6;1
195812;48.6;1
195901;72.8;1
195902;0;1
195903;30.6;1
195904;54.1;1
195905;37.9;1
195906;34.4;1
195907;3.4;1
195908;46.9;1
195909;5.6;1
195910;40.7;1
195911;45.8;1
195912;84;1
196001;36.4;1
196002;34;1
196003;41;1
196004;19.1;1
196005;57.9;1
196006;30.1;1
196007;45.3;1
196008;57.3;1
196009;53.3;1
196010;105.8;1
196011;87.1;1
196012;76;1
196101;76.4;1
196102;29;1
196103;1.9;1
196104;21.5;1
196105;23.7;1
196106;29.3;1
196107;35.9;1
196108;12.5;1
196109;32.7;1
196110;55.2;1
196111;50.4;1
196112;57.6;1
196201;44.4;1
196202;19.3;1
196203;57;1
196204;30.1;1
196205;31.7;1
196206;6.1;1
196207;32.6;1
196208;21.2;1
196209;27.2;1
196210;53.1;1
196211;93.1;1
196212;28.4;1
196301;20.7;1
196302;28.7;1
196303;58.3;1
196304;43.2;1
196305;34.1;1
196306;58.9;1
196307;14;1
196308;84.1;1
196309;30.9;1
196310;31.4;1
196311;91.5;1
196312;7.4;1
196401;12.2;1
196402;47.4;1
196403;42.3;1
196404;42.9;1
196405;36;1
196406;40.9;1
196407;9;1
196408;29.8;1
196409;40;1
196410;43.8;1
196411;20.1;1
196412;40.6;1
