# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 30200002
# NOM_USUEL= POMPIGNAN
# LATITUDE (°) = 43.895
# LONGITUDE(°)= 3.853
# ALTITUDE (m) = 192
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-12-31
# NUM_SERIE= MRR030200002
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195701 202112
# Date(s) de rupture(s) d'homogénéité : 201612
#     Periode homogénéisée  195701 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195701;0;1
195702;129.2;1
195703;94.4;1
195704;234.8;1
195705;98.3;1
195706;163.5;1
195707;0;1
195708;26.4;1
195709;50;1
195710;9.9;1
195711;103;1
195712;91.4;1
195801;46.2;1
195802;8.1;1
195803;69.2;1
195804;41.5;1
195805;4.5;1
195806;54;1
195807;102;1
195808;40.9;1
195809;168.1;1
195810;211.9;1
195811;22.8;1
195812;154.7;1
195901;11.1;1
195902;45.1;1
195903;221.8;1
195904;151.2;1
195905;56.9;1
195906;33.2;1
195907;7.8;1
195908;91.2;1
195909;160.4;1
195910;176.2;1
195911;103;1
195912;302.1;1
196001;125.2;1
196002;73.8;1
196003;394.2;1
196004;10.7;1
196005;15.9;1
196006;58;1
196007;69.2;1
196008;104.5;1
196009;103.2;1
196010;288;1
196011;100.6;1
196012;84.1;1
196101;61.6;1
196102;6.6;1
196103;0;1
196104;67.8;1
196105;40.4;1
196106;35.2;1
196107;44.5;1
196108;9.3;1
196109;104.5;1
196110;232.7;1
196111;289.5;1
196112;42.8;1
196201;124;1
196202;47.8;1
196203;119;1
196204;124;1
196205;58.1;1
196206;42.5;1
196207;0;1
196208;22.1;1
196209;117.3;1
196210;170.3;1
196211;183.5;1
196212;56.6;1
196301;163.2;1
196302;193.2;1
196303;38;1
196304;169.6;1
196305;47.5;1
196306;163.5;1
196307;113.1;1
196308;163.5;1
196309;328.3;1
196310;135.1;1
196311;148.8;1
196312;109.2;1
196401;81.9;1
196402;327.5;1
196403;163.8;1
196404;65.5;1
196405;98.3;1
196406;21.8;1
196407;14.7;1
196408;116.6;1
196409;324;1
196410;66.5;1
196411;99.5;1
196412;88.8;1
196501;96.4;1
196502;54.9;1
196503;96.6;1
196504;2.7;1
196505;20.4;1
196506;41.1;1
196507;7.4;1
196508;12.7;1
196509;243.7;1
196510;439.8;1
196511;41.7;1
196512;94.8;1
196601;62.8;1
196602;170.4;1
196603;5.1;1
196604;149.5;1
196605;68.2;1
196606;71.8;1
196607;39.8;1
196608;35.2;1
196609;124.1;1
196610;170.8;1
196611;59.4;1
196612;13.3;1
196701;184.1;1
196702;181.2;1
196703;104.5;1
196704;22.8;1
196705;87.1;1
196706;16.8;1
196707;8.1;1
196708;49.8;1
196709;31;1
196710;48.8;1
196711;101.9;1
196712;25.2;1
196801;21.9;1
196802;147.4;1
196803;15.1;1
196804;166.3;1
196805;140.2;1
196806;75.4;1
196807;24.8;1
196808;148.2;1
196809;122.6;1
196810;82.5;1
196811;129;1
196812;46.4;1
196901;216.9;1
196902;306.9;1
196903;265.5;1
196904;136.6;1
196905;114.7;1
196906;78.2;1
196907;12.1;1
196908;105;1
196909;235.6;1
196910;289.6;1
196911;160.1;1
196912;101;1
197001;341.2;1
197002;19.7;1
197003;76.5;1
197004;38.1;1
197005;105.9;1
197006;36;1
197007;24.1;1
197008;59.9;1
197009;64.4;1
197010;165;1
197011;97.4;1
197012;24.5;1
197101;286.5;1
197102;2;1
197103;97.6;1
197104;269.9;1
197105;86.1;1
197106;88.2;1
197107;46.9;1
197108;45;1
197109;67.1;1
197110;91.5;1
197111;73.6;1
197112;93.8;1
197201;321.9;1
197202;332.1;1
197203;175.9;1
197204;47.9;1
197205;78;1
197206;178.8;1
197207;9.2;1
197208;42.6;1
197209;208.5;1
197210;306.8;1
197211;59.1;1
197212;213;1
197301;184.3;1
197302;7.9;1
197303;82.8;1
197304;37.9;1
197305;23;1
197306;78.8;1
197307;22.9;1
197308;23.1;1
197309;26.6;1
197310;132.5;1
197311;83.1;1
197312;227.4;1
197401;179.9;1
197402;155.4;1
197403;239.3;1
197404;95.2;1
197405;79.7;1
197406;93.9;1
197407;48.7;1
197408;44.2;1
197409;484;1
197410;11.9;1
197411;113.5;1
197412;3.6;1
197501;72.9;1
197502;126;1
197503;119.4;1
197504;21.2;1
197505;147.6;1
197506;72.8;1
197507;11.2;1
197508;96.8;1
197509;112.2;1
197510;15.3;1
197511;50.5;1
197512;151.3;1
197601;58.3;1
197602;231.6;1
197603;53.2;1
197604;168.5;1
197605;50.9;1
197606;7.5;1
197607;52.6;1
197608;212.5;1
197609;348.3;1
197610;401.9;1
197611;165.2;1
197612;245.9;1
197701;216.6;1
197702;82.6;1
197703;108.5;1
197704;28.9;1
197705;220.1;1
197706;109.4;1
197707;71.9;1
197708;65.1;1
197709;53.7;1
197710;324.4;1
197711;91.7;1
197712;225;1
197801;187.5;1
197802;126.3;1
197803;107.3;1
197804;231.7;1
197805;110.6;1
197806;17.6;1
197807;15;1
197808;22.5;1
197809;28.1;1
197810;2;1
197811;49.5;1
197812;292.6;1
197901;283.2;1
197902;38.9;1
197903;84.6;1
197904;69.7;1
197905;59.9;1
197906;22.8;1
197907;18.7;1
197908;12.9;1
197909;23.3;1
197910;572.6;1
197911;8.5;1
197912;50.8;1
198001;55.1;1
198002;46.8;1
198003;108.6;1
198004;118.3;1
198005;116.1;1
198006;37.8;1
198007;15;1
198008;98.4;1
198009;21.2;1
198010;69.7;1
198011;103.2;1
198012;26.6;1
198101;19.3;1
198102;73.3;1
198103;185.6;1
198104;25.5;1
198105;103.1;1
198106;172.4;1
198107;48.6;1
198108;6.2;1
198109;83.1;1
198110;97.5;1
198111;0.2;1
198112;260.3;1
198201;50.3;1
198202;171.2;1
198203;62.6;1
198204;81.6;1
198205;26.2;1
198206;54.3;1
198207;95;1
198208;54.2;1
198209;70.2;1
198210;52.3;1
198211;300.6;1
198212;38.8;1
198301;0;1
198302;170.8;1
198303;34;1
198304;144.8;1
198305;33.3;1
198306;27.6;1
198307;2.4;1
198308;82.8;1
198309;33.7;1
198310;116.8;1
198311;37.7;1
198312;99;1
198401;86.6;1
198402;39.8;1
198403;163.4;1
198404;9;1
198405;189.2;1
198406;32.9;1
198407;10.9;1
198408;75.1;1
198409;93.1;1
198410;96.1;1
198411;327.3;1
198412;109.6;1
198501;41.9;1
198502;26.4;1
198503;55.2;1
198504;55.2;1
198505;144.2;1
198506;74.9;1
198507;26.5;1
198508;60.8;1
198509;0;1
198510;145.4;1
198511;25.1;1
198512;109.1;1
198601;135.3;1
198602;169.4;1
198603;73;1
198604;164.4;1
198605;62.8;1
198606;1.4;1
198607;5.5;1
198608;44;1
198609;132.1;1
198610;194.6;1
198611;88.4;1
198612;58.6;1
198701;62.8;1
198702;220.4;1
198703;41.5;1
198704;101.6;1
198705;38;1
198706;47.6;1
198707;66.6;1
198708;66.1;1
198709;16.8;1
198710;307;1
198711;125;1
198712;152.5;1
198801;330.6;1
198802;14.2;1
198803;15.6;1
198804;177.6;1
198805;226.8;1
198806;108.4;1
198807;40.7;1
198808;98;1
198809;46.8;1
198810;207.2;1
198811;136.3;1
198812;12.6;1
198901;60.6;1
198902;34.9;1
198903;28.9;1
198904;163.3;1
198905;3.5;1
198906;9.9;1
198907;5.5;1
198908;9.4;1
198909;76.3;1
198910;92.3;1
198911;166.9;1
198912;23.6;1
199001;55.2;1
199002;59.1;1
199003;13.1;1
199004;115.2;1
199005;68.1;1
199006;20.2;1
199007;32.8;1
199008;47.2;1
199009;30.8;1
199010;393;1
199011;43;1
199012;62.8;1
199101;24;1
199102;85;1
199103;160.7;1
199104;64.9;1
199105;48.6;1
199106;30.2;1
199107;85.2;1
199108;54.6;1
199109;54.4;1
199110;101.5;1
199111;24;1
199112;21.4;1
199201;46.3;1
199202;57.1;1
199203;34.9;1
199204;15.3;1
199205;224.9;1
199206;135.9;1
199207;30;1
199208;67.9;1
199209;357.6;1
199210;106.1;1
199211;16.7;1
199212;96.4;1
199301;4.9;1
199302;44.2;1
199303;38.6;1
199304;207.1;1
199305;77.2;1
199306;43.2;1
199307;39.3;1
199308;22.6;1
199309;246.2;1
199310;248.9;1
199311;198.7;1
199312;20;1
199401;46.9;1
199402;240.7;1
199403;2.2;1
199404;76.4;1
199405;53.5;1
199406;32.2;1
199407;7;1
199408;10.9;1
199409;480.9;1
199410;272.9;1
199411;167;1
199412;65.5;1
199501;60.8;1
199502;31.6;1
199503;9.3;1
199504;68.8;1
199505;29.5;1
199506;5.5;1
199507;2.2;1
199508;22.1;1
199509;282.8;1
199510;360.3;1
199511;178;1
199512;211.8;1
199601;540.4;1
199602;139.2;1
199603;113.5;1
199604;142.5;1
199605;44.8;1
199606;75.3;1
199607;48;1
199608;122.3;1
199609;131.6;1
199610;104.8;1
199611;172.5;1
199612;503.9;1
199701;247.1;1
199702;2.7;1
199703;0;1
199704;9.8;1
199705;68.2;1
199706;151.2;1
199707;63.3;1
199708;126.6;1
199709;34.4;1
199710;105.4;1
199711;286.6;1
199712;354.3;1
199801;62.2;1
199802;28.4;1
199803;2.2;1
199804;236.9;1
199805;200.9;1
199806;31.7;1
199807;8.7;1
199808;13.6;1
199809;115.7;1
199810;12.6;1
199811;16.3;1
199812;151.8;1
199901;60;1
199902;2;1
199903;159.4;1
199904;54;1
199905;214;1
199906;27.8;1
199907;11.5;1
199908;134.3;1
199909;121.7;1
199910;205;1
199911;168.1;1
199912;19.4;1
200001;16.6;1
200002;3.8;1
200003;29.5;1
200004;129.4;1
200005;92.8;1
200006;100.4;1
200007;43.7;1
200008;48.6;1
200009;215.1;1
200010;80.8;1
200011;209;1
200012;247.6;1
200101;248.9;1
200102;53;1
200103;162.8;1
200104;35.5;1
200105;113.5;1
200106;56.4;1
200107;114.6;1
200108;12.4;1
200109;125.9;1
200110;394.7;1
200111;31.9;1
200112;7.6;1
200201;53;1
200202;109.6;1
200203;204.7;1
200204;76.4;1
200205;134;1
200206;98.8;1
200207;47.2;1
200208;154.4;1
200209;426.3;1
200210;163.2;1
200211;180.7;1
200212;334.1;1
200301;54.9;1
200302;66.6;1
200303;29.5;1
200304;78.6;1
200305;28.4;1
200306;33.8;1
200307;7.6;1
200308;11.5;1
200309;149.6;1
200310;203.1;1
200311;359.7;1
200312;291.2;1
200401;57.9;1
200402;73.7;1
200403;136.4;1
200404;169.8;1
200405;17.6;1
200406;30.7;1
200407;10;1
200408;71;1
200409;63.5;1
200410;274.6;1
200411;39.3;1
200412;51.6;1
200501;2.2;1
200502;12.6;1
200503;21.7;1
200504;75.9;1
200505;44.5;1
200506;30.8;1
200507;12;1
200508;21.3;1
200509;340.6;1
200510;170.3;1
200511;62.2;1
200512;8.7;1
200601;220;1
200602;14.2;1
200603;71.5;1
200604;22.4;1
200605;21.2;1
200606;1.6;1
200607;88.1;1
200608;28.3;1
200609;159.6;1
200610;120.1;1
200611;59.5;1
200612;46.2;1
200701;60;1
200702;61.8;1
200703;16.9;1
200704;79.7;1
200705;131.9;1
200706;114.4;1
200707;4.4;1
200708;9.3;1
200709;41.5;1
200710;52.2;1
200711;152.6;1
200712;14.4;1
200801;154.6;1
200802;72.9;1
200803;37.8;1
200804;153.6;1
200805;235.5;1
200806;91.8;1
200807;21;1
200808;35.2;1
200809;25.5;1
200810;278.3;1
200811;184.6;1
200812;301.7;1
200901;100.2;1
200902;208.1;1
200903;79.9;1
200904;209;1
200905;31;1
200906;32;1
200907;19.3;1
200908;27.3;1
200909;16.8;1
200910;169.1;1
200911;18.6;1
200912;130.6;1
201001;125;1
201002;259.1;1
201003;158.1;1
201004;23.5;1
201005;132.3;1
201006;72.8;1
201007;34.4;1
201008;43.3;1
201009;281.9;1
201010;282.8;1
201011;139;1
201012;222.8;1
201101;89.2;1
201102;65.1;1
201103;263.3;1
201104;46.6;1
201105;9.1;1
201106;61.9;1
201107;55.8;1
201108;91.1;1
201109;17.3;1
201110;141.1;1
201111;434.4;1
201112;6.1;1
201201;9.7;1
201202;0;1
201203;11.6;1
201204;175.7;1
201205;172.3;1
201206;34.3;1
201207;39.6;1
201208;96.3;1
201209;101.8;1
201210;124.7;1
201211;165.3;1
201212;113.1;1
201301;82.5;1
201302;26.5;1
201303;371.7;1
201304;100.7;1
201305;41.8;1
201306;85.2;1
201307;47.5;1
201308;27.6;1
201309;164;1
201310;155.4;1
201311;61;1
201312;71.2;1
201401;165.5;1
201402;126.8;1
201403;19.7;1
201404;30.2;1
201405;54.2;1
201406;87.7;1
201407;107.5;1
201408;40.2;1
201409;381.2;1
201410;127.2;1
201411;377;1
201412;51.4;1
201501;56.1;1
201502;29.2;1
201503;57.8;1
201504;162.1;1
201505;9.7;1
201506;65.6;1
201507;9.2;1
201508;165.8;1
201509;122.2;1
201510;193.8;1
201511;95.5;1
201512;64.3;1
201601;51.3;1
201602;152.7;1
201603;27.1;1
201604;123.6;1
201605;139.3;1
201606;30.1;1
201607;66.9;1
201608;25.4;1
201609;108.2;1
201610;255.6;1
201611;125.1;1
201612;81.4;1
201701;85.8;1
201702;78.7;1
201703;127.7;1
201704;64.6;1
201705;70.6;1
201706;23.8;1
201707;9.5;1
201708;5.9;1
201709;11.1;1
201710;33.4;1
201711;210.8;1
201712;25.9;1
201801;227.7;1
201802;83.6;1
201803;204.2;1
201804;169.8;1
201805;160.3;1
201806;117.7;1
201807;27.7;1
201808;66.3;1
201809;1.8;1
201810;221.4;1
201811;318.4;1
201812;32.6;1
201901;35.9;1
201902;21.2;1
201903;15;1
201904;163;1
201905;72;1
201906;55.4;1
201907;13;1
201908;10.6;1
201909;102.4;1
201910;207.1;1
201911;233.2;1
201912;75.8;1
202001;86.9;1
202002;37.1;1
202003;29.8;1
202004;69.7;1
202005;85.5;1
202006;65.4;1
202007;0.7;1
202008;53.9;1
202009;131.7;1
202010;93.6;1
202011;81.5;1
202012;195.3;1
202101;51.3;1
202102;97.7;1
202103;8.8;1
202104;63.7;1
202105;152.1;1
202106;79.8;1
202107;40.9;1
202108;20.2;1
202109;163;1
202110;252.9;1
202111;76.6;1
202112;30.8;1
