# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 31540001
# NOM_USUEL= SEGREVILLE
# LATITUDE (°) = 43.492
# LONGITUDE(°)= 1.743
# ALTITUDE (m) = 212
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MRR031540001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 196101 201812
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196101 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;75.8;1
196102;43.8;1
196103;0;1
196104;102.5;1
196105;76.8;1
196106;86.3;1
196107;50.9;1
196108;43.3;1
196109;53.6;1
196110;58;1
196111;55.7;1
196112;58.5;1
196201;58.5;1
196202;53.8;1
196203;54.4;1
196204;77.1;1
196205;102.5;1
196206;23.4;1
196207;53.8;1
196208;16.3;1
196209;58.9;1
196210;32;1
196211;125.6;1
196212;80.4;1
196301;32.4;1
196302;82.3;1
196303;65.5;1
196304;71.3;1
196305;35.2;1
196306;86.9;1
196307;51.4;1
196308;81.2;1
196309;141.8;1
196310;25.6;1
196311;47.3;1
196312;53.8;1
196401;9.8;1
196402;64.3;1
196403;76.8;1
196404;44;1
196405;33;1
196406;45.7;1
196407;28;1
196408;15;1
196409;59.8;1
196410;77.5;1
196411;41.8;1
196412;44.3;1
196501;71.2;1
196502;12.3;1
196503;69;1
196504;75;1
196505;82;1
196506;30;1
196507;25.7;1
196508;42.9;1
196509;92.4;1
196510;67.3;1
196511;75;1
196512;187;1
196601;121;1
196602;95;1
196603;33;1
196604;96.5;1
196605;110;1
196606;32.8;1
196607;37;1
196608;50.8;1
196609;42;1
196610;119;1
196611;65.5;1
196612;135.9;1
196701;39;1
196702;20.9;1
196703;37.8;1
196704;28;1
196705;63.8;1
196706;53;1
196707;18.2;1
196708;14;1
196709;81.6;1
196710;27.6;1
196711;59;1
196712;51.7;1
196801;71.1;1
196802;72.3;1
196803;30.4;1
196804;48.6;1
196805;113.6;1
196806;46.2;1
196807;52;1
196808;64.5;1
196809;52;1
196810;62.2;1
196811;191.7;1
196812;76.3;1
196901;39;1
196902;43.2;1
196903;119;1
196904;86.6;1
196905;85;1
196906;32.7;1
196907;56;1
196908;58.3;1
196909;140.4;1
196910;20.2;1
196911;33.5;1
196912;120.7;1
197001;39;1
197002;85;1
197003;73.8;1
197004;55.2;1
197005;107;1
197006;73;1
197007;7;1
197008;51.5;1
197009;1.5;1
197010;138.6;1
197011;58;1
197012;29;1
197101;104;1
197102;95.5;1
197103;109.9;1
197104;73.1;1
197105;89.6;1
197106;88.1;1
197107;62.3;1
197108;34;1
197109;79;1
197110;10.8;1
197111;64.1;1
197112;87.2;1
197201;119;1
197202;99.5;1
197203;43;1
197204;119.8;1
197205;100;1
197206;97.3;1
197207;26;1
197208;47.7;1
197209;66.1;1
197210;63;1
197211;42.3;1
197212;31;1
197301;72;1
197302;114;1
197303;23;1
197304;29.2;1
197305;34;1
197306;74.9;1
197307;77.2;1
197308;19.7;1
197309;52;1
197310;31.5;1
197311;46.5;1
197312;98.5;1
197401;44;1
197402;91.1;1
197403;97.2;1
197404;95.3;1
197405;73.3;1
197406;46.2;1
197407;53;1
197408;113.2;1
197409;150.5;1
197410;109.3;1
197411;75.2;1
197412;33.6;1
197501;62.3;1
197502;15;1
197503;89.5;1
197504;44.9;1
197505;116;1
197506;84.1;1
197507;28.1;1
197508;125.1;1
197509;38.8;1
197510;44;1
197511;122.5;1
197512;17.7;1
197601;34.2;1
197602;38;1
197603;48;1
197604;108;1
197605;36;1
197606;1.5;1
197607;31;1
197608;58;1
197609;63.8;1
197610;127.2;1
197611;57;1
197612;51.8;1
197701;57.1;1
197702;45.7;1
197703;53.7;1
197704;44.8;1
197705;195.2;1
197706;122.4;1
197707;128;1
197708;64;1
197709;1;1
197710;29.8;1
197711;53.2;1
197712;32.5;1
197801;108.7;1
197802;77.8;1
197803;128;1
197804;103.2;1
197805;163.4;1
197806;87.8;1
197807;23.2;1
197808;15.6;1
197809;51.7;1
197810;15;1
197811;8.2;1
197812;57;1
197901;84.9;1
197902;85.8;1
197903;81.7;1
197904;98;1
197905;83.4;1
197906;36.1;1
197907;11.7;1
197908;59.7;1
197909;25.5;1
197910;181.7;1
197911;53.7;1
197912;82.5;1
198001;82.4;1
198002;38;1
198003;87;1
198004;30.5;1
198005;120.9;1
198006;41.5;1
198007;56.6;1
198008;78.7;1
198009;48.2;1
198010;89;1
198011;58.5;1
198012;67.9;1
198101;101.5;1
198102;32.9;1
198103;67;1
198104;83.9;1
198105;85.4;1
198106;71;1
198107;66.3;1
198108;29.8;1
198109;21.2;1
198110;78.1;1
198111;30;1
198112;195.4;1
198201;92.7;1
198202;84.5;1
198203;79.7;1
198204;20.1;1
198205;33.8;1
198206;32;1
198207;99.7;1
198208;68.1;1
198209;39.5;1
198210;148.2;1
198211;36.8;1
198212;142.1;1
198301;23.8;1
198302;62.1;1
198303;43.7;1
198304;67;1
198305;68.2;1
198306;54.2;1
198307;4.2;1
198308;85.6;1
198309;16.3;1
198310;31.8;1
198311;23.7;1
198312;47.1;1
198401;115.7;1
198402;55.7;1
198403;43.4;1
198404;47.1;1
198405;117.4;1
198406;52.2;1
198407;10;1
198408;92.5;1
198409;109.3;1
198410;37.5;1
198411;79.5;1
198412;51.2;1
198501;39.7;1
198502;85.6;1
198503;76;1
198504;55.1;1
198505;128;1
198506;79.6;1
198507;31.1;1
198508;16;1
198509;0;1
198510;56.6;1
198511;46.6;1
198512;47;1
198601;116.4;1
198602;48.7;1
198603;43;1
198604;92.2;1
198605;26;1
198606;19.7;1
198607;2.2;1
198608;52.9;1
198609;44.9;1
198610;33.5;1
198611;45.6;1
198612;81.6;1
198701;31.7;1
198702;51.5;1
198703;73.2;1
198704;57.3;1
198705;55.4;1
198706;61.4;1
198707;72.5;1
198708;23.5;1
198709;31.9;1
198710;59.6;1
198711;62.9;1
198712;6.5;1
198801;127.4;1
198802;66.4;1
198803;144.2;1
198804;149.4;1
198805;117.6;1
198806;32;1
198807;34.9;1
198808;29;1
198809;35.8;1
198810;13;1
198811;25.3;1
198812;31.8;1
198901;32.3;1
198902;63;1
198903;43.3;1
198904;106.2;1
198905;12.3;1
198906;6.2;1
198907;14.2;1
198908;51.2;1
198909;56.2;1
198910;26.5;1
198911;42.2;1
198912;4.8;1
199001;26.3;1
199002;115.7;1
199003;13.7;1
199004;88;1
199005;100.8;1
199006;36.3;1
199007;28;1
199008;88;1
199009;24.5;1
199010;98.6;1
199011;49.5;1
199012;64.2;1
199101;21.6;1
199102;27.8;1
199103;108.2;1
199104;63.8;1
199105;76.2;1
199106;52.7;1
199107;24.6;1
199108;39;1
199109;91.3;1
199110;42.5;1
199111;79.8;1
199112;35.9;1
199201;47.5;1
199202;24.1;1
199203;43.2;1
199204;80.7;1
199205;95.9;1
199206;263.8;1
199207;110;1
199208;26;1
199209;71;1
199210;178.5;1
199211;64.2;1
199212;56.5;1
199301;4;1
199302;22.5;1
199303;29;1
199304;94.5;1
199305;116.9;1
199306;98.1;1
199307;53.1;1
199308;52.5;1
199309;163;1
199310;76.5;1
199311;55.2;1
199312;109.7;1
199401;56.9;1
199402;100;1
199403;26.3;1
199404;146;1
199405;76;1
199406;107.4;1
199407;6;1
199408;18.2;1
199409;119;1
199410;45.2;1
199411;42.6;1
199412;56.8;1
199501;99;1
199502;50.8;1
199503;50.2;1
199504;46;1
199505;116;1
199506;43;1
199507;20.5;1
199508;39.9;1
199509;107.3;1
199510;26.5;1
199511;41;1
199512;90.2;1
199601;76.5;1
199602;99.9;1
199603;86;1
199604;56;1
199605;79.1;1
199606;33.2;1
199607;163;1
199608;51.2;1
199609;93;1
199610;44.5;1
199611;191;1
199612;74.5;1
199701;64.9;1
199702;31;1
199703;21.2;1
199704;34.8;1
199705;73.5;1
199706;53.1;1
199707;26.5;1
199708;190.8;1
199709;50.6;1
199710;66.5;1
199711;88;1
199712;50.3;1
199801;38.7;1
199802;17;1
199803;33;1
199804;99.3;1
199805;52.5;1
199806;48.4;1
199807;57;1
