# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 36128001
# NOM_USUEL= MONTIERCHAUME
# LATITUDE (°) = 46.864
# LONGITUDE(°)= 1.751
# ALTITUDE (m) = 160
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-09-16
# NUM_SERIE= MRR036128001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194701 201912
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  194701 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;45.1;1
194702;69.7;1
194703;52;1
194704;27.1;1
194705;57.4;1
194706;18.3;1
194707;15.3;1
194708;35.9;1
194709;17.2;1
194710;15.1;1
194711;49.4;1
194712;84.1;1
194801;98.2;1
194802;20.3;1
194803;17.1;1
194804;59.9;1
194805;87.1;1
194806;41.8;1
194807;25.1;1
194808;103.4;1
194809;24.1;1
194810;17.7;1
194811;39.8;1
194812;39.7;1
194901;22.5;1
194902;10.6;1
194903;35;1
194904;26;1
194905;45.5;1
194906;44.7;1
194907;9;1
194908;22.5;1
194909;174.1;1
194910;115.7;1
194911;115.9;1
194912;38.6;1
195001;13.6;1
195002;65.2;1
195003;8.9;1
195004;85.6;1
195005;56;1
195006;58.4;1
195007;32.9;1
195008;66.6;1
195009;47.6;1
195010;26.6;1
195011;134.9;1
195012;75;1
195101;43;1
195102;72.3;1
195103;95.1;1
195104;35.7;1
195105;102.5;1
195106;105.8;1
195107;71.3;1
195108;90.2;1
195109;45.7;1
195110;40.3;1
195111;69.6;1
195112;50.8;1
195201;94.4;1
195202;53.8;1
195203;95.6;1
195204;6.3;1
195205;58.6;1
195206;6.3;1
195207;13.1;1
195208;51.8;1
195209;82.9;1
195210;154.5;1
195211;130;1
195212;121.1;1
195301;11.7;1
195302;37.9;1
195303;3.8;1
195304;57.2;1
195305;48.2;1
195306;50.9;1
195307;95.5;1
195308;22.4;1
195309;37.6;1
195310;76.6;1
195311;30;1
195312;19.1;1
195401;33;1
195402;57;1
195403;47.5;1
195404;24;1
195405;49.2;1
195406;42.2;1
195407;26.8;1
195408;68;1
195409;61.6;1
195410;34.4;1
195411;44.6;1
195412;58.5;1
195501;99.5;1
195502;114.9;1
195503;22.6;1
195504;1.6;1
195505;38.9;1
195506;82.5;1
195507;88.4;1
195508;23.1;1
195509;26;1
195510;27.2;1
195511;35.5;1
195512;106.9;1
195601;72.2;1
195602;12.2;1
195603;14.5;1
195604;48.3;1
195605;32.5;1
195606;38;1
195607;75;1
195608;76.9;1
195609;71.2;1
195610;38.5;1
195611;24.1;1
195612;27.8;1
195701;23.8;1
195702;115.4;1
195703;38.4;1
195704;23.6;1
195705;19.6;1
195706;102;1
195707;57.2;1
195708;45.2;1
195709;70.5;1
195710;40.3;1
195711;21.1;1
195712;35.2;1
195801;88.6;1
195802;74.2;1
195803;68.5;1
195804;56.3;1
195805;134.1;1
195806;112.6;1
195807;132.4;1
195808;103;1
195809;42.5;1
195810;49.1;1
195811;54.8;1
195812;113.4;1
195901;85.9;1
195902;3.8;1
195903;43.2;1
195904;109.9;1
195905;55.6;1
195906;37.2;1
195907;0;1
195908;44;1
195909;12.9;1
195910;49.4;1
195911;77.8;1
195912;89.5;1
196001;69.6;1
196002;47.7;1
196003;72.1;1
196004;29.5;1
196005;107.7;1
196006;43.3;1
196007;55.3;1
196008;80;1
196009;80;1
196010;180;1
196011;70;1
196012;65;1
196101;103;1
196102;32.9;1
196103;5.5;1
196104;47.2;1
196105;37.8;1
196106;32.4;1
196107;102.5;1
196108;7;1
196109;65;1
196110;51.6;1
196111;80.7;1
196112;74.1;1
196201;78.1;1
196202;25.4;1
196203;114.1;1
196204;61.7;1
196205;96.5;1
196206;9.8;1
196207;52.9;1
196208;9.2;1
196209;40.4;1
196210;14.7;1
196211;111;1
196212;60.7;1
196301;29;1
196302;33;1
196303;90;1
196304;57.7;1
196305;51.3;1
196306;69.5;1
196307;42.8;1
196308;91.5;1
196309;33;1
196310;42;1
196311;90.2;1
196312;8;1
196401;21.5;1
196402;73.2;1
196403;68.4;1
196404;77.4;1
196405;40;1
196406;23.7;1
196407;10.9;1
