# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 36136001
# NOM_USUEL= MURS
# LATITUDE (°) = 46.925
# LONGITUDE(°)= 1.168
# ALTITUDE (m) = 148
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-09-16
# NUM_SERIE= MRR036136001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194701 201812
# Date(s) de rupture(s) d'homogénéité : 197112
#     Periode homogénéisée  194701 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;44.9;1
194702;60.8;1
194703;92.3;1
194704;17.6;1
194705;87.4;1
194706;29.7;1
194707;30.9;1
194708;38.4;1
194709;32.7;1
194710;18.2;1
194711;54.9;1
194712;57.8;1
194801;93.4;1
194802;20.2;1
194803;18.8;1
194804;73.7;1
194805;112.4;1
194806;28.8;1
194807;23.3;1
194808;88.6;1
194809;23.9;1
194810;43;1
194811;59.5;1
194812;41.3;1
194901;25.1;1
194902;9.6;1
194903;34.2;1
194904;40.8;1
194905;34.2;1
194906;72.8;1
194907;0;1
194908;27.7;1
194909;142;1
194910;34.2;1
194911;70;1
194912;30.7;1
195001;10.9;1
195002;61.9;1
195003;15.6;1
195004;60.9;1
195005;64;1
195006;61.7;1
195007;15.6;1
195008;32.3;1
195009;55.7;1
195010;22.5;1
195011;143.3;1
195012;94.1;1
195101;38.4;1
195102;43.5;1
195103;95;1
195104;41.7;1
195105;116.6;1
195106;92;1
195107;43.2;1
195108;53.3;1
195109;32.1;1
195110;18.3;1
195111;63.9;1
195112;57.5;1
195201;87.4;1
195202;47.6;1
195203;81.1;1
195204;7;1
195205;20.7;1
195206;14.2;1
195207;2.9;1
195208;53.5;1
195209;92;1
195210;145;1
195211;124.4;1
195212;78.1;1
195301;33.3;1
195302;33;1
195303;7.4;1
195304;64.5;1
195305;20;1
195306;27.8;1
195307;47.3;1
195308;16.5;1
195309;64.5;1
195310;80.8;1
195311;24.6;1
195312;9.7;1
195401;32.3;1
195402;40.2;1
195403;104.5;1
195404;15.4;1
195405;51.6;1
195406;30.8;1
195407;11.6;1
195408;46.9;1
195409;21.5;1
195410;29.8;1
195411;38.8;1
195412;57;1
195501;105.6;1
195502;125.2;1
195503;17.8;1
195504;0;1
195505;23.5;1
195506;86.8;1
195507;28.1;1
195508;8.1;1
195509;18;1
195510;26.4;1
195511;23.9;1
195512;107.6;1
195601;85.7;1
195602;2;1
195603;16.2;1
195604;56;1
195605;29.5;1
195606;35.2;1
195607;51.6;1
195608;78.8;1
195609;20.8;1
195610;68.5;1
195611;20.9;1
195612;24.5;1
195701;43.9;1
195702;125.6;1
195703;22.6;1
195704;32.4;1
195705;25.6;1
195706;70.6;1
195707;66.1;1
195708;16;1
195709;39.6;1
195710;24.5;1
195711;25.3;1
195712;50.3;1
195801;100;1
195802;53.4;1
195803;79.7;1
195804;45.7;1
195805;119.4;1
195806;82.8;1
195807;87.3;1
195808;103.7;1
195809;74.9;1
195810;51.8;1
195811;54.7;1
195812;90.9;1
195901;78.8;1
195902;0;1
195903;36.4;1
195904;87.6;1
195905;71.3;1
195906;36.8;1
195907;0;1
195908;29.3;1
195909;29.9;1
195910;56.7;1
195911;56.5;1
195912;76.2;1
196001;64.9;1
196002;52;1
196003;72.6;1
196004;31.1;1
196005;65.3;1
196006;67.4;1
196007;57.1;1
196008;90.9;1
196009;76;1
196010;161.5;1
196011;71.4;1
196012;98.9;1
196101;129.6;1
196102;30.1;1
196103;5.8;1
196104;41.4;1
196105;24.6;1
196106;36.1;1
196107;91.4;1
196108;3.6;1
196109;38;1
196110;48.7;1
196111;87.3;1
196112;73.7;1
196201;109.5;1
196202;31.8;1
196203;97.8;1
196204;69.9;1
196205;69.4;1
196206;9.4;1
196207;59;1
196208;10.7;1
196209;60.3;1
196210;26.9;1
196211;139.1;1
196212;40.5;1
196301;43.4;1
196302;29.8;1
196303;99;1
196304;39.6;1
196305;51.6;1
196306;78.8;1
196307;36.2;1
196308;103.5;1
196309;64.3;1
196310;40.9;1
196311;79.6;1
196312;16.8;1
196401;17.3;1
196402;71.3;1
196403;65.6;1
196404;67.6;1
196405;47.5;1
196406;46.9;1
196407;11.8;1
196408;19.4;1
196409;60.2;1
196410;57.2;1
196411;38.3;1
196412;36.6;1
196501;94.5;1
196502;7.9;1
196503;49;1
196504;40.9;1
196505;63.1;1
196506;40.5;1
196507;77.5;1
196508;86.4;1
196509;180.3;1
196510;26.6;1
196511;113.6;1
196512;98.5;1
196601;77.7;1
196602;121;1
196603;15.7;1
196604;61.7;1
196605;48.2;1
196606;38.4;1
196607;70.8;1
196608;77.1;1
196609;7.6;1
196610;103;1
196611;73;1
196612;98.2;1
196701;44.3;1
196702;58.3;1
196703;64.3;1
196704;10.5;1
196705;75.7;1
196706;8.9;1
196707;9.2;1
196708;57.5;1
196709;95.1;1
196710;70.6;1
196711;60.4;1
196712;54.7;1
196801;66.3;1
196802;63.2;1
196803;35.1;1
196804;55.4;1
196805;34.7;1
196806;39.7;1
196807;86.8;1
196808;246.6;1
196809;108.9;1
196810;36.6;1
196811;50.2;1
196812;67.7;1
196901;46.9;1
196902;37.9;1
196903;69.8;1
196904;35.8;1
