# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 36162001
# NOM_USUEL= POULAINES
# LATITUDE (°) = 47.183
# LONGITUDE(°)= 1.615
# ALTITUDE (m) = 109
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-10-01
# NUM_SERIE= MRR036162001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 194901 201812
# Date(s) de rupture(s) d'homogénéité : 198712
#     Periode homogénéisée  194901 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194901;16.4;1
194902;3.1;1
194903;25.1;1
194904;22.9;1
194905;37.1;1
194906;26.7;1
194907;2.2;1
194908;60.6;1
194909;129.8;1
194910;59.5;1
194911;92.7;1
194912;3.3;1
195001;12;1
195002;49.1;1
195003;9.8;1
195004;43.6;1
195005;72;1
195006;40.4;1
195007;28.4;1
195008;39.3;1
195009;64.4;1
195010;32.7;1
195011;111.8;1
195012;108;1
195101;63.3;1
195102;58.9;1
195103;81.8;1
195104;45.8;1
195105;108.3;1
195106;112.4;1
195107;25.1;1
195108;73.1;1
195109;28.4;1
195110;63.3;1
195111;66.6;1
195112;46.1;1
195201;72.4;1
195202;29.3;1
195203;83.7;1
195204;3.3;1
195205;55;1
195206;25.6;1
195207;21.8;1
195208;55.6;1
195209;116;1
195210;131.6;1
195211;93.6;1
195212;90.4;1
195301;19.6;1
195302;25.1;1
195303;16.9;1
195304;52.5;1
195305;16.8;1
195306;30.1;1
195307;88.3;1
195308;16.4;1
195309;67.5;1
195310;75.9;1
195311;13.1;1
195312;17;1
195401;28.9;1
195402;49.7;1
195403;77.5;1
195404;26.7;1
195405;31.2;1
195406;25;1
195407;30.8;1
195408;98.5;1
195409;18.3;1
195410;36.1;1
195411;20.6;1
195412;67.2;1
195501;130.9;1
195502;105.6;1
195503;47.9;1
195504;0;1
195505;38.6;1
195506;82.8;1
195507;7.1;1
195508;6.5;1
195509;45.5;1
195510;43.1;1
195511;25.1;1
195512;60;1
195601;62.2;1
195602;0;1
195603;25.1;1
195604;67.1;1
195605;33.8;1
195606;16.4;1
195607;70.9;1
195608;76.4;1
195609;57.3;1
195610;45.8;1
195611;15.3;1
195612;36;1
195701;22.9;1
195702;108.6;1
195703;35.5;1
195704;28.4;1
195705;26.2;1
195706;107;1
195707;56.2;1
195708;48.2;1
195709;56.7;1
195710;25.1;1
195711;14.2;1
195712;34.9;1
195801;81.8;1
195802;51.3;1
195803;75.3;1
195804;38.2;1
195805;127.6;1
195806;69.8;1
195807;78.6;1
195808;48.5;1
195809;56.7;1
195810;36;1
195811;63.3;1
195812;62.2;1
195901;78.6;1
195902;1.1;1
195903;21.8;1
195904;80.7;1
195905;93.8;1
195906;17.2;1
195907;12;1
195908;67.6;1
195909;30.5;1
195910;51.3;1
195911;46.9;1
195912;53.5;1
196001;53.5;1
196002;43.6;1
196003;70.9;1
196004;27.3;1
196005;64.4;1
196006;57.8;1
196007;57.8;1
196008;48;1
196009;57.3;1
196010;233.5;1
196011;60;1
196012;91.6;1
196101;90.6;1
196102;30;1
196103;2.2;1
196104;38.7;1
196105;29.5;1
196106;60;1
196107;44.7;1
196108;5.5;1
196109;54.5;1
196110;57.3;1
196111;108;1
196112;70.9;1
196201;70.9;1
196202;28.4;1
196203;79.6;1
196204;43.6;1
196205;64.4;1
196206;13.1;1
196207;60;1
196208;37.1;1
196209;37.1;1
196210;28.4;1
196211;99.3;1
196212;41.5;1
196301;40.4;1
196302;19.6;1
196303;83.5;1
196304;38.2;1
196305;56.6;1
196306;78.6;1
196307;19.6;1
196308;91.1;1
196309;48;1
196310;27.3;1
196311;62.2;1
196312;5.5;1
196401;9.8;1
196402;75.3;1
196403;65.5;1
196404;27.3;1
196405;34.9;1
196406;48;1
196407;7.6;1
196408;24;1
196409;51.3;1
196410;39.8;1
196411;26.2;1
196412;42;1
196501;86.2;1
196502;2.2;1
196503;50.7;1
196504;48;1
196505;66.6;1
196506;19.6;1
196507;46.9;1
196508;73.1;1
196509;135.8;1
196510;15.3;1
196511;94.3;1
196512;88.8;1
196601;64.4;1
196602;117.3;1
196603;25.5;1
196604;66.6;1
196605;38.2;1
196606;55.1;1
196607;64.9;1
196608;62.2;1
196609;15.3;1
196610;96.2;1
196611;73.1;1
196612;81.8;1
196701;37.1;1
196702;66.6;1
196703;54.5;1
196704;6;1
196705;77.5;1
196706;24;1
196707;10.9;1
196708;30.5;1
196709;102.6;1
196710;106.9;1
196711;66.6;1
196712;85.2;1
196801;92.7;1
196802;60;1
196803;33.3;1
196804;56.2;1
196805;68.7;1
196806;21.8;1
196807;46.9;1
196808;74.5;1
196809;109;1
196810;51.6;1
196811;30;1
196812;58.7;1
196901;40.3;1
196902;38.2;1
196903;65.5;1
196904;41.5;1
196905;112.5;1
196906;55.6;1
196907;21.8;1
196908;43.1;1
196909;42;1
196910;4.4;1
196911;142.9;1
196912;75.3;1
197001;74.2;1
197002;125.5;1
197003;60.7;1
197004;48;1
197005;39.3;1
197006;71.2;1
197007;17.5;1
197008;75.3;1
197009;30.5;1
197010;25.1;1
197011;78;1
197012;16.4;1
197101;46.9;1
197102;24.5;1
197103;26.2;1
197104;37.6;1
197105;159.3;1
197106;48;1
197107;94.4;1
197108;74.8;1
197109;45.8;1
197110;10.9;1
197111;63.3;1
197112;6.4;1
197201;65.2;1
197202;67.6;1
197203;35.8;1
197204;37.1;1
197205;83.5;1
197206;62.5;1
197207;80;1
197208;51.7;1
197209;34;1
197210;10.8;1
197211;101.6;1
197212;29.6;1
197301;40.9;1
197302;65.8;1
197303;10.4;1
197304;23.8;1
197305;66.2;1
197306;44;1
197307;44.2;1
197308;27.9;1
197309;28.4;1
197310;51.4;1
197311;40;1
197312;66.6;1
197401;50;1
197402;37.1;1
197403;70.3;1
197404;33.5;1
197405;49.6;1
197406;72.6;1
197407;18.2;1
197408;35.2;1
197409;74.1;1
197410;83.2;1
197411;53;1
197412;28.9;1
197501;47.7;1
197502;1;1
197503;77.4;1
197504;45.1;1
197505;65.8;1
197506;17.7;1
197507;39.4;1
197508;21.2;1
197509;149.1;1
197510;47;1
197511;73.8;1
197512;41.6;1
197601;18.8;1
197602;54.4;1
197603;25.2;1
197604;12.5;1
197605;7.6;1
197606;0;1
197607;45.7;1
197608;16.1;1
197609;66.3;1
197610;81.7;1
197611;69.9;1
197612;86.2;1
197701;50.7;1
197702;189;1
197703;60.8;1
197704;31.4;1
197705;183.3;1
197706;94;1
197707;69.3;1
197708;57.2;1
197709;6;1
197710;102.8;1
197711;52.6;1
197712;59.4;1
197801;82;1
197802;77.2;1
197803;115.4;1
197804;98;1
197805;48.7;1
197806;85.8;1
197807;72.9;1
197808;10.6;1
197809;17.7;1
197810;5.5;1
197811;18.4;1
197812;117.3;1
197901;56.4;1
197902;99.8;1
197903;115.6;1
197904;78.6;1
197905;71.4;1
197906;27.3;1
197907;54.1;1
197908;53;1
197909;27.6;1
197910;91.3;1
197911;31.4;1
197912;99.7;1
198001;61.9;1
198002;56.5;1
198003;103.8;1
198004;12.3;1
198005;72;1
198006;61.3;1
198007;90.8;1
198008;26.7;1
198009;24.5;1
198010;48.9;1
198011;43.3;1
198012;57.4;1
198101;97.2;1
198102;48.5;1
198103;69.1;1
198104;23.7;1
198105;100.7;1
198106;89.8;1
198107;27.5;1
198108;36.1;1
198109;50.2;1
198110;126;1
198111;26.7;1
198112;86.2;1
198201;69.9;1
198202;21.5;1
198203;64.9;1
198204;18.2;1
198205;44.6;1
198206;49.6;1
198207;41.7;1
198208;36.2;1
198209;65;1
198210;121.9;1
198211;47.7;1
198212;121.3;1
198301;27.3;1
198302;50.4;1
198303;57.3;1
198304;125.7;1
198305;95.2;1
198306;41.2;1
198307;66.6;1
198308;25.1;1
198309;53.9;1
198310;37.2;1
198311;28.4;1
198312;41.5;1
198401;92.7;1
198402;22.4;1
198403;38.2;1
198404;6.4;1
198405;98;1
198406;76.4;1
198407;23.3;1
198408;80.7;1
198409;73.8;1
198410;80.2;1
198411;146;1
198412;55.9;1
198501;41.8;1
198502;51.8;1
198503;43.4;1
198504;59.7;1
198505;148.7;1
198506;33.1;1
198507;43.6;1
198508;37.3;1
198509;6.9;1
198510;2.8;1
198511;48.3;1
198512;72.2;1
198601;55.1;1
198602;100.2;1
198603;45.2;1
198604;84.4;1
198605;60.7;1
198606;15.5;1
198607;5.6;1
198608;48.2;1
198609;75.7;1
198610;55.7;1
198611;48.4;1
198612;52.5;1
198701;28.1;1
198702;39.4;1
198703;34.4;1
198704;33.6;1
198705;41.9;1
198706;84.9;1
198707;81.6;1
198708;38.4;1
198709;35.5;1
198710;124.8;1
198711;71.5;1
198712;50.3;1
198801;140.9;1
198802;96.5;1
198803;85.7;1
198804;35.5;1
198805;108.5;1
198806;36;1
198807;54.1;1
198808;16.8;1
198809;23.1;1
198810;72;1
198811;25;1
198812;32.8;1
198901;20.9;1
198902;40.8;1
198903;36.5;1
198904;83.9;1
198905;19.3;1
198906;27.7;1
198907;78.1;1
198908;17.6;1
198909;16.9;1
198910;23.2;1
198911;29.3;1
198912;75.2;1
199001;41.5;1
199002;83.7;1
199003;8.4;1
199004;38.2;1
199005;21.6;1
199006;41.8;1
199007;36.9;1
199008;20.2;1
199009;25.3;1
199010;63.3;1
199011;63;1
199012;48.6;1
199101;56;1
199102;31.5;1
199103;36.6;1
199104;49.8;1
199105;15.4;1
199106;73.2;1
199107;67.6;1
199108;37.4;1
199109;55.2;1
199110;54.8;1
199111;78.7;1
199112;20;1
199201;7.1;1
199202;24.6;1
199203;39.1;1
199204;42.2;1
199205;66.4;1
199206;66;1
199207;82.6;1
199208;76.8;1
199209;40.8;1
199210;95;1
199211;107.3;1
199212;61.9;1
199301;25.9;1
199302;9.9;1
199303;6.3;1
199304;78.6;1
199305;87.9;1
199306;51;1
199307;30.6;1
199308;28.9;1
199309;142;1
199310;103.1;1
199311;21.2;1
199312;68;1
199401;86;1
199402;85.8;1
199403;47;1
199404;72.7;1
199405;80.9;1
199406;55.2;1
199407;78.9;1
199408;103.9;1
199409;107.4;1
199410;42.7;1
199411;57.2;1
199412;77.3;1
199501;103.5;1
199502;67.8;1
199503;81.9;1
199504;61.7;1
199505;71.4;1
199506;19.5;1
199507;39.1;1
199508;20.8;1
199509;70.3;1
199510;54.9;1
199511;37.2;1
199512;85.5;1
199601;90.4;1
199602;70.7;1
199603;19.5;1
199604;29.5;1
199605;62.6;1
199606;8.1;1
199607;27.9;1
199608;29.9;1
199609;43;1
199610;48.1;1
199611;143.2;1
199612;77.5;1
199701;19.6;1
199702;76;1
199703;6.2;1
199704;21.1;1
199705;65.5;1
199706;84.3;1
199707;39;1
199708;59.3;1
199709;13.1;1
199710;63.2;1
199711;91.3;1
199712;62;1
199801;79.8;1
199802;11.7;1
199803;29.7;1
199804;177.3;1
199805;24.4;1
199806;18.1;1
199807;17.8;1
199808;25.8;1
199809;70.8;1
199810;91.7;1
199811;47.3;1
199812;66.4;1
199901;63.6;1
199902;83.4;1
199903;60.3;1
199904;81.3;1
199905;61.1;1
199906;25.6;1
199907;54.6;1
199908;63.9;1
199909;126.4;1
199910;38.7;1
199911;72;1
199912;138.7;1
200001;17.1;1
200002;74.9;1
200003;53.6;1
200004;103.5;1
200005;40.3;1
200006;40.6;1
200007;85.1;1
200008;20.9;1
200009;43.9;1
200010;83.3;1
200011;106.5;1
200012;66.8;1
200101;89.5;1
200102;41.8;1
200103;118.9;1
200104;89.1;1
200105;57.7;1
200106;21.8;1
200107;116.4;1
200108;88.7;1
200109;26.8;1
200110;114.2;1
200111;28.8;1
200112;51.8;1
200201;20.8;1
200202;57.8;1
200203;41.3;1
200204;23;1
200205;64.2;1
200206;83.8;1
200207;52.5;1
200208;113.2;1
200209;37.2;1
200210;94.2;1
200211;116.5;1
200212;63.4;1
200301;69;1
200302;41.1;1
200303;26.7;1
200304;59.7;1
200305;66.7;1
200306;50.7;1
200307;33.7;1
200308;13.4;1
200309;72.8;1
200310;129.4;1
200311;75.2;1
200312;46.3;1
200401;118.2;1
200402;33.6;1
200403;37;1
200404;62.9;1
200405;35.4;1
200406;23.9;1
200407;47;1
200408;130;1
200409;11.3;1
200410;72.5;1
200411;24;1
200412;49;1
200501;55.9;1
200502;27.3;1
200503;32.7;1
200504;54.8;1
200505;36.5;1
200506;56;1
200507;72.3;1
200508;26.8;1
200509;58.6;1
200510;46.3;1
200511;36.1;1
200512;53;1
200601;48.9;1
200602;46.3;1
200603;113.9;1
200604;28.9;1
200605;66.4;1
200606;19.2;1
200607;39.4;1
200608;36.7;1
200609;108.3;1
200610;113.6;1
200611;52.3;1
200612;57;1
200701;44.8;1
200702;58.9;1
200703;85.8;1
200704;4.3;1
200705;66.9;1
200706;87.7;1
200707;78.1;1
200708;58.8;1
200709;38.6;1
200710;36.3;1
200711;62.9;1
200712;38.7;1
200801;83.4;1
200802;29.5;1
200803;90.1;1
200804;99.7;1
200805;84.3;1
200806;58.9;1
