# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 39138001
# NOM_USUEL= CHEMIN
# LATITUDE (°) = 46.978
# LONGITUDE(°)= 5.316
# ALTITUDE (m) = 184
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-12-31
# NUM_SERIE= MRR039138001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195601 201712
# Date(s) de rupture(s) d'homogénéité : 197409 198601 200904
#     Periode homogénéisée  195601 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;86.7;1
195602;4.4;1
195603;41.8;1
195604;53.3;1
195605;48.5;1
195606;101.2;1
195607;106.9;1
195608;107.9;1
195609;159.5;1
195610;99.6;1
195611;38.6;1
195612;34.1;1
195701;17.5;1
195702;133.2;1
195703;28.8;1
195704;6.7;1
195705;60.9;1
195706;170.4;1
195707;75.1;1
195708;27.4;1
195709;74.6;1
195710;24.6;1
195711;27.9;1
195712;72.6;1
195801;91;1
195802;69.3;1
195803;51.7;1
195804;28.9;1
195805;75.3;1
195806;99.8;1
195807;43;1
195808;136.2;1
195809;129.9;1
195810;73.9;1
195811;42.9;1
195812;109.6;1
195901;78.1;1
195902;2.1;1
195903;98.8;1
195904;123.6;1
195905;15.7;1
195906;81.2;1
195907;5.2;1
195908;78.4;1
195909;8.7;1
195910;71.4;1
195911;79.4;1
195912;87.5;1
196001;63;1
196002;71.4;1
196003;43.9;1
196004;16.2;1
196005;23.8;1
196006;63.1;1
196007;70;1
196008;140.2;1
196009;126.7;1
196010;143.3;1
196011;88.3;1
196012;68.1;1
196101;92.9;1
196102;51.8;1
196103;21.6;1
196104;82.4;1
196105;55.2;1
196106;38.8;1
196107;92.3;1
196108;69.7;1
196109;4;1
196110;115.3;1
196111;54.5;1
196112;82.2;1
196201;94.7;1
196202;54.4;1
196203;102;1
196204;51.7;1
196205;81.4;1
196206;1.3;1
196207;39.6;1
196208;72.6;1
196209;104.1;1
196210;29.4;1
196211;27.4;1
196212;81;1
196301;49.3;1
196302;36;1
196303;67.2;1
196304;76.2;1
196305;59;1
196306;242.3;1
196307;28.4;1
196308;123.5;1
196309;24.5;1
196310;26.1;1
196311;165.5;1
196312;5.4;1
196401;33.2;1
196402;21.5;1
196403;63.8;1
196404;56.3;1
196405;26.1;1
196406;19;1
196407;4.7;1
196408;48;1
196409;55.1;1
196410;27.3;1
196411;48.7;1
196412;29.6;1
196501;93.3;1
196502;6.9;1
196503;94.3;1
196504;67.9;1
196505;148;1
196506;48.1;1
196507;153.6;1
196508;69.1;1
196509;198.3;1
196510;21.6;1
196511;88.9;1
196512;99.9;1
196601;70.9;1
196602;88;1
196603;39.1;1
196604;64.4;1
196605;73.9;1
196606;54.7;1
196607;40.8;1
196608;103;1
196609;24;1
196610;119.9;1
196611;79;1
196612;89;1
196701;38.2;1
196702;61.5;1
196703;57.9;1
196704;24;1
196705;132.9;1
196706;40;1
196707;35.1;1
196708;52.9;1
196709;109.5;1
196710;37.5;1
196711;103.2;1
196712;58.8;1
196801;73.5;1
196802;62.1;1
196803;31;1
196804;53.7;1
196805;77.1;1
196806;54.2;1
196807;96.9;1
196808;141.4;1
196809;141.2;1
196810;47.3;1
196811;106;1
196812;81.5;1
196901;57.1;1
196902;46.3;1
196903;55.7;1
196904;117.9;1
196905;71.3;1
196906;105.8;1
196907;26;1
196908;76.2;1
196909;32.1;1
196910;9.6;1
196911;116.1;1
196912;62.3;1
197001;97.1;1
197002;135.4;1
197003;65.7;1
197004;92.6;1
197005;44.6;1
197006;129.5;1
197007;67.5;1
197008;78.3;1
197009;73.9;1
197010;72.8;1
197011;91.4;1
197012;24.5;1
197101;44.2;1
197102;14.6;1
197103;81.7;1
197104;42.2;1
197105;35.2;1
197106;90.2;1
197107;30;1
197108;77.5;1
197109;15.8;1
197110;29.8;1
197111;118.5;1
197112;30.5;1
197201;32.3;1
197202;73.8;1
197203;48.8;1
197204;49.2;1
197205;58.6;1
197206;95.6;1
197207;66;1
197208;41;1
197209;19.4;1
197210;45.3;1
197211;145.9;1
197212;72.3;1
197301;56.6;1
197302;42.7;1
197303;12.6;1
197304;47.5;1
197305;69.6;1
197306;53.3;1
197307;65.3;1
197308;86.1;1
197309;75.7;1
197310;65;1
197311;66.1;1
197312;68.3;1
197401;57.5;1
197402;86.7;1
197403;77;1
197404;24.9;1
197405;71.5;1
197406;71.5;1
197407;69.4;1
197408;61.8;1
197409;106.8;1
197410;151.7;1
197411;116.6;1
197412;47.3;1
197501;76.2;1
197502;18.4;1
197503;69.9;1
197504;65.3;1
197505;86.7;1
197506;29;1
197507;19.8;1
197508;80.1;1
197509;161.9;1
197510;33.2;1
197511;127.2;1
197512;48.9;1
197601;31.6;1
197602;82.1;1
197603;9;1
197604;36;1
197605;31.3;1
197606;4.6;1
197607;63.7;1
197608;30.3;1
197609;124.5;1
197610;53;1
197611;134.1;1
197612;84.2;1
197701;104.8;1
197702;117;1
197703;56.6;1
197704;71.9;1
197705;86.5;1
197706;72.8;1
197707;220.5;1
197708;128.8;1
197709;7.1;1
197710;92.7;1
197711;56.6;1
197712;95.2;1
197801;63.1;1
197802;91;1
197803;79;1
197804;66.2;1
197805;62.4;1
197806;37.4;1
197807;44.5;1
197808;59.1;1
197809;38.1;1
197810;31.7;1
197811;13.6;1
197812;126.7;1
197901;113.3;1
197902;102.7;1
197903;88.3;1
197904;84.5;1
197905;67.2;1
197906;111.4;1
197907;12.5;1
197908;100.8;1
197909;29.8;1
197910;83.5;1
197911;90.8;1
197912;79.7;1
198001;71.8;1
198002;67.3;1
198003;71.2;1
198004;23.8;1
198005;69;1
198006;72.8;1
198007;59.7;1
198008;72;1
198009;72.2;1
198010;100.2;1
198011;36.3;1
198012;66.2;1
198101;75;1
198102;47.1;1
198103;107;1
198104;16.3;1
198105;113.5;1
198106;108.9;1
198107;143;1
198108;34.2;1
198109;145.7;1
198110;144.1;1
198111;42.3;1
198112;162;1
198201;84;1
198202;18.2;1
198203;88.3;1
198204;9.6;1
198205;60;1
198206;90.1;1
198207;151.3;1
198208;70.8;1
198209;157.9;1
198210;92.8;1
198211;116.1;1
198212;159.2;1
198301;61.3;1
198302;68.6;1
198303;58.6;1
198304;248.3;1
198305;253.4;1
198306;46.6;1
198307;19.5;1
198308;47.2;1
198309;103.6;1
198310;65.5;1
198311;40.8;1
198312;50;1
198401;119.2;1
198402;71.9;1
198403;46.9;1
198404;18;1
198405;126.1;1
198406;59;1
198407;24.3;1
198408;57.2;1
198409;96.9;1
198410;98.4;1
198411;80.2;1
198412;57.4;1
198501;51.5;1
198502;47.6;1
198503;56.5;1
198504;67.4;1
198505;129.3;1
198506;63.8;1
198507;52.9;1
198508;39.2;1
198509;39.4;1
198510;7.6;1
198511;47.2;1
198512;77.3;1
198601;88.6;1
198602;56.2;1
198603;73.7;1
198604;168;1
198605;109.9;1
198606;48.1;1
198607;29.7;1
198608;99.9;1
198609;70.6;1
198610;70.3;1
198611;49.3;1
198612;89.9;1
198701;35.2;1
198702;76.2;1
198703;34.6;1
198704;49.4;1
198705;114;1
198706;172.8;1
198707;138.6;1
198708;51.5;1
198709;113.8;1
198710;109.3;1
198711;69.5;1
198712;74.3;1
198801;131.4;1
198802;74.7;1
198803;80;1
198804;60.1;1
198805;221.6;1
198806;65.4;1
198807;85.7;1
198808;49.6;1
198809;72.7;1
198810;154.3;1
198811;45.6;1
198812;53.9;1
198901;24.3;1
198902;49.7;1
198903;40.9;1
198904;213.5;1
198905;52.5;1
198906;26.9;1
198907;137.4;1
198908;30.5;1
198909;38.7;1
198910;48.4;1
198911;96.6;1
198912;85.7;1
199001;55.5;1
199002;75.4;1
199003;22.6;1
199004;64.9;1
199005;71.9;1
199006;155.1;1
199007;12.6;1
199008;45.7;1
199009;66.3;1
199010;75.1;1
199011;94.4;1
199012;102.6;1
199101;33;1
199102;29.2;1
199103;102.2;1
199104;49.4;1
199105;16.7;1
199106;83.2;1
199107;41.4;1
199108;7.5;1
199109;161.5;1
199110;74.5;1
199111;108;1
199112;25.9;1
199201;23.6;1
199202;45.5;1
199203;64.9;1
199204;94;1
199205;45;1
199206;71.3;1
199207;98.6;1
199208;122.6;1
199209;57;1
199210;106.1;1
199211;100.1;1
199212;47.3;1
199301;26.3;1
199302;10;1
199303;11.5;1
199304;78.7;1
199305;88.3;1
199306;157.8;1
199307;86;1
199308;23.6;1
199309;209.7;1
199310;191;1
199311;35.6;1
199312;105.7;1
199401;156.7;1
199402;99.5;1
199403;39.3;1
199404;77.7;1
199405;97.9;1
199406;89.5;1
199407;45.7;1
199408;85.2;1
199409;151.2;1
199410;51.1;1
199411;54.5;1
199412;66;1
199501;87.9;1
199502;104.9;1
199503;85.7;1
199504;90.9;1
199505;148.9;1
199506;28.5;1
199507;51.1;1
199508;55;1
199509;102.6;1
199510;17.5;1
199511;62.9;1
199512;140.1;1
199601;65.5;1
199602;60.3;1
199603;26.1;1
199604;16.3;1
199605;111.7;1
199606;57.7;1
199607;84.1;1
199608;70.8;1
199609;21.9;1
199610;43.7;1
199611;265.4;1
199612;87.8;1
199701;64.2;1
199702;52.2;1
199703;8.6;1
199704;61.9;1
199705;96.3;1
199706;99;1
199707;100.6;1
199708;53.1;1
199709;26.3;1
199710;36.8;1
199711;129.9;1
199712;114;1
199801;89.1;1
199802;48.8;1
199803;37.7;1
199804;151.6;1
199805;28.3;1
199806;60.7;1
199807;62;1
199808;68.9;1
199809;170.3;1
199810;120.8;1
199811;79.1;1
199812;36.5;1
199901;92.3;1
199902;100.9;1
199903;79;1
199904;78.7;1
199905;111;1
199906;104.2;1
199907;58.6;1
199908;33.5;1
199909;130.4;1
199910;120.5;1
199911;49.8;1
199912;101.7;1
200001;27.6;1
200002;106.3;1
200003;40.4;1
200004;92.5;1
200005;76.9;1
200006;20.1;1
200007;122.3;1
200008;62;1
200009;60.7;1
200010;118.5;1
200011;191.9;1
200012;63.8;1
200101;62;1
200102;42;1
200103;212.4;1
200104;106;1
200105;74;1
200106;72.5;1
200107;127;1
200108;67.4;1
200109;85.2;1
200110;124;1
200111;56.1;1
200112;28.8;1
200201;37.4;1
200202;58.8;1
200203;39.8;1
200204;22.5;1
200205;128;1
200206;43.2;1
200207;69.8;1
200208;60;1
200209;45.5;1
200210;80.4;1
200211;208.7;1
200212;71.6;1
200301;69.3;1
200302;28;1
200303;25.7;1
200304;66.6;1
200305;50;1
200306;45.6;1
200307;35.8;1
200308;44.3;1
200309;33.2;1
200310;166.5;1
200311;74.5;1
200312;36.2;1
200401;138.2;1
200402;25.8;1
200403;44.9;1
200404;22.9;1
200405;51.3;1
200406;77.3;1
200407;92.7;1
200408;159.8;1
200409;32.7;1
200410;171.1;1
200411;56.6;1
200412;64.7;1
200501;46.3;1
200502;39.7;1
200503;30.2;1
200504;125.5;1
200505;118.5;1
200506;44.9;1
200507;29.2;1
200508;12.5;1
200509;43.4;1
200510;89.8;1
200511;69.3;1
200512;44.3;1
200601;44.9;1
200602;58.6;1
200603;118.8;1
200604;80.7;1
200605;129.4;1
200606;22.5;1
200607;33.4;1
200608;104;1
200609;40.5;1
200610;85.7;1
200611;45.9;1
200612;52;1
200701;48.7;1
200702;70.3;1
200703;81.4;1
200704;4.9;1
200705;107.1;1
200706;116;1
200707;109.9;1
200708;148;1
200709;53.6;1
200710;16.2;1
200711;99;1
200712;45.9;1
200801;60.3;1
200802;27;1
200803;79.8;1
200804;123.3;1
200805;47.2;1
200806;75.2;1
200807;84.9;1
200808;93.6;1
200809;132.7;1
200810;112.1;1
200811;54.8;1
200812;61;1
200901;27.3;1
200902;102;1
200903;52.7;1
200904;48.9;1
200905;40.6;1
200906;90.2;1
200907;105;1
200908;47.9;1
200909;46.5;1
200910;50;1
200911;97.4;1
200912;84;1
201001;40.8;1
201002;82.8;1
201003;65.6;1
201004;36.5;1
201005;78.3;1
201006;95.9;1
201007;66.3;1
201008;105.9;1
201009;59.4;1
201010;57.7;1
201011;111.9;1
201012;121.5;1
201101;36.7;1
201102;40.5;1
201103;46.9;1
201104;23.7;1
201105;32.5;1
201106;46;1
201107;144.8;1
201108;75.6;1
201109;31.1;1
201110;75.2;1
201111;43.9;1
201112;105.1;1
201201;62.2;1
201202;12.2;1
201203;26.9;1
201204;98.8;1
201205;129.4;1
201206;114;1
201207;70.8;1
201208;83.4;1
201209;106.9;1
201210;86.6;1
201211;112.8;1
201212;110.5;1
201301;95.7;1
201302;55.8;1
201303;59.8;1
201304;148.8;1
201305;185.8;1
201306;103.4;1
201307;95.8;1
201308;48.3;1
201309;100.1;1
201310;113.7;1
201311;111.1;1
201312;68.6;1
201401;80;1
201402;116.8;1
201403;26.5;1
201404;24.1;1
201405;43.9;1
201406;70.1;1
201407;159.9;1
201408;98.4;1
201409;33.8;1
201410;96.3;1
201411;165;1
201412;70.4;1
201501;86.2;1
201502;45.8;1
201503;39.1;1
201504;63.3;1
201505;57.9;1
201506;65.5;1
201507;45.3;1
201508;104.3;1
201509;145.8;1
201510;58.7;1
201511;49.2;1
201512;31.1;1
201601;106.2;1
201602;95.5;1
201603;72.9;1
201604;152.2;1
201605;138.9;1
201606;147.4;1
201607;46.2;1
201608;38.1;1
201609;46.6;1
201610;72.4;1
201611;99;1
201612;10.1;1
201701;32.6;1
201702;67.4;1
201703;60.7;1
201704;62.1;1
201705;84;1
201706;82.4;1
201707;57;1
201708;94.3;1
201709;48.2;1
201710;24.1;1
201711;91.4;1
201712;104.9;1
201801;138;0
201802;49;0
201803;152.4;0
201804;43.9;0
201805;153.6;0
201806;37.2;0
201807;53.2;0
201808;45.7;0
201809;21.3;0
201810;48.3;0
201811;69.9;0
201812;78.1;0
201901;43;0
201902;31.9;0
201903;61.5;0
201904;94.3;0
201905;51.5;0
201906;65.9;0
201907;59.4;0
201908;77;0
201909;37.7;0
201910;144.3;0
201911;100.3;0
201912;76.6;0
202001;35;0
202002;53.7;0
202003;52.9;0
202004;27.2;0
202005;102.4;0
202006;52.2;0
202007;11.3;0
202008;58;0
202009;61.3;0
202010;154.2;0
202011;23;0
202012;107.6;0
202101;90;0
202102;67;0
202103;29.8;0
202104;44.3;0
202105;137;0
202106;98.3;0
202107;192.2;0
202108;59.2;0
202109;61.5;0
202110;100.8;0
202111;38.3;0
202112;93;0
