# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 42012001
# NOM_USUEL= BARD
# LATITUDE (°) = 45.591
# LONGITUDE(°)= 4.003
# ALTITUDE (m) = 806
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-01-01
# NUM_SERIE= MRR042012001
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195001 202012
# Date(s) de rupture(s) d'homogénéité : 196212 197806 198309
#     Periode homogénéisée  195001 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;19.4;1
195002;77.2;1
195003;20;1
195004;93.7;1
195005;58.4;1
195006;93.6;1
195007;39.7;1
195008;100.3;1
195009;43.7;1
195010;48.1;1
195011;190.7;1
195012;37.3;1
195101;43.4;1
195102;90.7;1
195103;73.5;1
195104;42.8;1
195105;140.4;1
195106;94.6;1
195107;71.9;1
195108;100.8;1
195109;44.3;1
195110;44.4;1
195111;173.6;1
195112;38.4;1
195201;64.7;1
195202;47;1
195203;62.9;1
195204;61.2;1
195205;46.1;1
195206;92;1
195207;10.3;1
195208;120;1
195209;54.5;1
195210;104.7;1
195211;89.3;1
195212;100.4;1
195301;3.2;1
195302;22.4;1
195303;1.2;1
195304;30.8;1
195305;24.6;1
195306;130.9;1
195307;72.6;1
195308;36.3;1
195309;87.5;1
195310;89.7;1
195311;20.2;1
195312;26.2;1
195401;39.5;1
195402;71.4;1
195403;87.8;1
195404;50;1
195405;77.8;1
195406;43.4;1
195407;37.8;1
195408;138.7;1
195409;82;1
195410;40.4;1
195411;43.9;1
195412;72.6;1
195501;153.9;1
195502;91.4;1
195503;25.4;1
195504;6.5;1
195505;55.3;1
195506;165.6;1
195507;70.4;1
195508;90.7;1
195509;28.7;1
195510;31.7;1
195511;18.6;1
195512;77;1
195601;85.5;1
195602;62.1;1
195603;76.8;1
195604;46;1
195605;73.4;1
195606;35.5;1
195607;105.1;1
195608;129.9;1
195609;137.3;1
195610;35.5;1
195611;15.5;1
195612;21.7;1
195701;44.5;1
195702;120.2;1
195703;24.4;1
195704;43.5;1
195705;45.9;1
195706;160.8;1
195707;60.1;1
195708;12.2;1
195709;56.6;1
195710;15.1;1
195711;56.9;1
195712;24.7;1
195801;61.3;1
195802;35.9;1
195803;55.2;1
195804;73.7;1
195805;40.8;1
195806;96.2;1
195807;59.9;1
195808;60.7;1
195809;166;1
195810;37.2;1
195811;79.2;1
195812;101.2;1
195901;81.8;1
195902;4.1;1
195903;76.3;1
195904;70.7;1
195905;74.2;1
195906;78.5;1
195907;34.1;1
195908;53.1;1
195909;72.7;1
195910;66.9;1
195911;61.2;1
195912;88.9;1
196001;75.7;1
196002;72.1;1
196003;84.1;1
196004;26.9;1
196005;44.3;1
196006;124.1;1
196007;89.2;1
196008;81.7;1
196009;82.9;1
196010;147.4;1
196011;58.6;1
196012;54.9;1
196101;57.1;1
196102;65.5;1
196103;4.1;1
196104;50.8;1
196105;49.4;1
196106;86.1;1
196107;57.9;1
196108;79;1
196109;35.7;1
196110;96.1;1
196111;57.3;1
196112;49.6;1
196201;79.6;1
196202;59.5;1
196203;101.1;1
196204;89.4;1
196205;98.6;1
196206;39.1;1
196207;23.7;1
196208;27.1;1
196209;99.1;1
196210;15.4;1
196211;69.8;1
196212;65.1;1
196301;46.8;1
196302;46.3;1
196303;88.8;1
196304;59.9;1
196305;58.3;1
196306;135.5;1
196307;109.6;1
196308;139.6;1
