# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 43151001
# NOM_USUEL= PINOLS
# LATITUDE (°) = 45.052
# LONGITUDE(°)= 3.412
# ALTITUDE (m) = 1015
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2016-05-31
# NUM_SERIE= MRR043151001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 199412 199812
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;28.8;1
195102;96;1
195103;69.9;1
195104;49.1;1
195105;145.4;1
195106;105.6;1
195107;74.1;1
195108;123.2;1
195109;58.7;1
195110;50.6;1
195111;113.4;1
195112;25.7;1
195201;42.5;1
195202;26.5;1
195203;43.5;1
195204;45.8;1
195205;64;1
195206;88.5;1
195207;12.5;1
195208;84.5;1
195209;41.9;1
195210;36.5;1
195211;90.8;1
195212;75;1
195301;17.1;1
195302;22.7;1
195303;3.8;1
195304;36.3;1
195305;53.5;1
195306;148.2;1
195307;40.9;1
195308;29.6;1
195309;99.4;1
195310;89.3;1
195311;18.1;1
195312;42.4;1
195401;27.5;1
195402;62.1;1
195403;51.8;1
195404;62.4;1
195405;158.3;1
195406;48.9;1
195407;39.6;1
195408;136.8;1
195409;87.2;1
195410;25.1;1
195411;42.8;1
195412;30.9;1
195501;127.5;1
195502;71.8;1
195503;17.8;1
195504;6.2;1
195505;37;1
195506;112;1
195507;72.1;1
195508;42.6;1
195509;39.9;1
195510;27;1
195511;8.3;1
195512;80.3;1
195601;48.7;1
195602;13.6;1
195603;25.3;1
195604;58.8;1
195605;81.5;1
195606;25.2;1
195607;95.4;1
195608;90.3;1
195609;82.8;1
195610;56.9;1
195611;22.9;1
195612;41.7;1
195701;12.9;1
195702;104.1;1
195703;17.9;1
195704;68.9;1
195705;49.5;1
195706;110;1
195707;10.8;1
195708;15.9;1
195709;43.3;1
195710;30.1;1
195711;99.3;1
195712;102.9;1
195801;34.2;1
195802;29.7;1
195803;49.9;1
195804;50.5;1
195805;34.2;1
195806;69.1;1
195807;44.6;1
195808;48;1
195809;79.6;1
195810;49.9;1
195811;75.7;1
195812;124.9;1
195901;63.7;1
195902;13.1;1
195903;91.1;1
195904;67.3;1
195905;88.2;1
195906;94.8;1
195907;41.3;1
195908;65.8;1
195909;71.7;1
195910;86.9;1
195911;48.9;1
195912;98;1
196001;55.4;1
196002;62.8;1
196003;56.5;1
196004;19.7;1
196005;47;1
196006;90.3;1
196007;105.5;1
196008;58;1
196009;91.1;1
196010;100.7;1
196011;65.3;1
196012;40.8;1
196101;44.7;1
196102;11.1;1
196103;4.9;1
196104;53.7;1
196105;56.7;1
196106;63.2;1
196107;77.8;1
196108;61;1
196109;32.9;1
196110;78.4;1
196111;76.2;1
196112;43;1
196201;55.7;1
196202;29;1
196203;40.5;1
196204;60.4;1
196205;65;1
196206;5.1;1
196207;47.7;1
196208;10.2;1
196209;77.5;1
196210;28;1
196211;66.2;1
196212;47.7;1
196301;37.8;1
196302;38.6;1
196303;77.9;1
196304;79.2;1
196305;67.5;1
196306;124.8;1
196307;126.9;1
196308;115.7;1
196309;125.1;1
196310;57.2;1
196311;64.7;1
196312;24.7;1
196401;8.1;1
196402;35.5;1
196403;75.6;1
196404;79.4;1
196405;104.2;1
196406;16.7;1
196407;119.2;1
196408;96.3;1
196409;62.2;1
196410;104.7;1
196411;54.4;1
196412;22.4;1
196501;36.9;1
196502;8;1
196503;46.4;1
196504;45.5;1
196505;148.5;1
196506;52.7;1
196507;121.7;1
196508;36.1;1
196509;157.6;1
196510;98.9;1
196511;103.5;1
196512;88.2;1
196601;57.3;1
196602;49.9;1
196603;19.4;1
196604;70.4;1
196605;75.3;1
196606;51.2;1
196607;56.7;1
196608;26.6;1
196609;48.6;1
196610;120;1
196611;84.7;1
196612;63;1
196701;18.1;1
196702;33.4;1
196703;35.9;1
196704;10.1;1
196705;112.5;1
196706;58.3;1
196707;44.2;1
196708;83.1;1
196709;45.6;1
196710;10.4;1
196711;83.2;1
196712;37.4;1
196801;36.2;1
196802;64.5;1
196803;6.5;1
196804;57.6;1
196805;134;1
196806;31.4;1
196807;66.1;1
196808;48.6;1
196809;65.7;1
196810;35.7;1
196811;44.7;1
196812;46.2;1
196901;41.9;1
196902;42.2;1
196903;55.9;1
196904;126.4;1
196905;82.8;1
196906;92.4;1
196907;51.1;1
196908;102.2;1
196909;81.2;1
196910;37.3;1
196911;75.2;1
196912;35.1;1
197001;39.8;1
197002;33.9;1
197003;81;1
197004;94.2;1
197005;38.3;1
197006;61;1
197007;11;1
197008;22.4;1
197009;20.5;1
197010;70.3;1
197011;83;1
197012;63.2;1
197101;218.8;1
197102;23.4;1
197103;58.6;1
197104;64.6;1
197105;60.5;1
197106;82.3;1
197107;43;1
197108;114.2;1
197109;36.6;1
197110;34;1
197111;52.9;1
197112;24.2;1
197201;62.8;1
197202;93.1;1
197203;28.1;1
197204;47.8;1
197205;64;1
197206;74.6;1
197207;32.7;1
197208;93;1
197209;20.1;1
197210;89.9;1
197211;62.8;1
197212;61.1;1
197301;33.9;1
197302;47;1
197303;15.3;1
197304;38.4;1
197305;34.8;1
197306;74;1
197307;70.6;1
197308;48.9;1
197309;108;1
197310;122.7;1
197311;29.7;1
197312;89.7;1
197401;36.8;1
197402;105.9;1
197403;51.3;1
197404;46;1
197405;93.1;1
197406;101.2;1
197407;62.6;1
197408;73.7;1
197409;120.1;1
197410;62;1
197411;88.5;1
197412;10.6;1
197501;61.8;1
197502;20.9;1
197503;72.1;1
197504;23;1
197505;165.9;1
197506;68.7;1
197507;28.5;1
197508;95;1
197509;154.2;1
197510;24.5;1
197511;80.1;1
197512;16.9;1
197601;19.9;1
197602;23.7;1
197603;17.1;1
197604;46.6;1
197605;49.4;1
197606;11.9;1
197607;74.5;1
197608;57;1
197609;133;1
197610;209.8;1
197611;108.8;1
197612;103.1;1
197701;56.7;1
197702;45.5;1
197703;65.6;1
197704;58.3;1
197705;149.9;1
197706;69.9;1
197707;136.9;1
197708;140.9;1
197709;16.6;1
197710;104.1;1
197711;42.5;1
197712;53.4;1
197801;84.8;1
197802;73.5;1
197803;65.1;1
197804;89.9;1
197805;70;1
197806;55.8;1
197807;47.9;1
197808;40.3;1
197809;25.7;1
197810;24.2;1
197811;4.4;1
197812;179.8;1
197901;65;1
197902;53.2;1
197903;61.9;1
197904;88.1;1
197905;118;1
197906;92.7;1
197907;49.4;1
197908;99.7;1
