# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 46045001
# NOM_USUEL= CAJARC
# LATITUDE (°) = 44.49
# LONGITUDE(°)= 1.85
# ALTITUDE (m) = 174
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-12-31
# NUM_SERIE= MRR046045001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 202012
# Date(s) de rupture(s) d'homogénéité : 196706
#     Periode homogénéisée  195501 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;206.3;1
195502;79.8;1
195503;14.2;1
195504;0;1
195505;42.2;1
195506;91;1
195507;58.2;1
195508;37.8;1
195509;55.2;1
195510;51;1
195511;18.9;1
195512;126.2;1
195601;43.4;1
195602;16.6;1
195603;46.5;1
195604;101.2;1
195605;65.9;1
195606;51.2;1
195607;140.2;1
195608;85.9;1
195609;89.7;1
195610;35.8;1
195611;36.3;1
195612;38.2;1
195701;33.5;1
195702;106.5;1
195703;34.5;1
195704;73.9;1
195705;60;1
195706;140.7;1
195707;66;1
195708;22.8;1
195709;92.5;1
195710;14.2;1
195711;71.2;1
195712;42.5;1
195801;127.7;1
195802;15.9;1
195803;124.3;1
195804;48.2;1
195805;95.9;1
195806;96.4;1
195807;83.7;1
195808;77.7;1
195809;43.4;1
195810;24.4;1
195811;60.7;1
195812;88.9;1
195901;71.5;1
195902;13.7;1
195903;100.4;1
195904;103.6;1
195905;68.3;1
195906;99.9;1
195907;17.2;1
195908;93.7;1
195909;292;1
195910;90.4;1
195911;86.7;1
195912;233.9;1
196001;63.3;1
196002;53.3;1
196003;46.3;1
196004;8.3;1
196005;45.8;1
196006;38.2;1
196007;120.8;1
196008;137.7;1
196009;79.8;1
196010;181.1;1
196011;87.6;1
196012;94.8;1
196101;101;1
196102;44.9;1
196103;0;1
196104;103.9;1
196105;43;1
196106;43.8;1
196107;31.3;1
196108;49.8;1
196109;54;1
196110;75.1;1
196111;78.9;1
196112;94.4;1
196201;97.1;1
196202;42;1
196203;65.1;1
196204;94;1
196205;102.4;1
196206;13.9;1
196207;34.6;1
196208;11.8;1
196209;51.1;1
196210;44.3;1
196211;202.2;1
196212;98.9;1
196301;33.9;1
196302;75.2;1
196303;110.2;1
196304;74.1;1
196305;62;1
196306;228.7;1
196307;65.3;1
196308;112.9;1
196309;100.5;1
196310;45.6;1
196311;100.8;1
196312;65;1
196401;10.2;1
196402;74;1
196403;95.7;1
196404;102.9;1
196405;100.9;1
196406;58;1
196407;17.2;1
196408;54;1
196409;50.3;1
196410;109.4;1
196411;74.8;1
196412;36.8;1
196501;93.8;1
196502;10;1
196503;81.7;1
196504;76.8;1
196505;72.7;1
196506;43.5;1
196507;150.5;1
196508;48.6;1
196509;144.3;1
196510;33.3;1
196511;127;1
196512;198.4;1
196601;131.8;1
196602;75;1
196603;26.2;1
196604;85.3;1
196605;94;1
196606;62.4;1
196607;101.8;1
196608;42.7;1
196609;22.8;1
196610;227.9;1
196611;84.1;1
196612;137.4;1
196701;51.8;1
196702;73.8;1
196703;46;1
196704;7.1;1
196705;83.8;1
196706;50.8;1
196707;25.6;1
196708;45;1
196709;69.6;1
196710;41;1
196711;97;1
196712;78.3;1
196801;87;1
196802;63.3;1
196803;45.8;1
196804;48.3;1
196805;171;1
196806;73;1
196807;51.6;1
196808;141.5;1
196809;113.5;1
196810;21;1
196811;35;1
196812;98.2;1
196901;94.2;1
196902;84.6;1
196903;135.5;1
196904;110.2;1
196905;122.7;1
196906;71.2;1
196907;37.4;1
196908;55.8;1
196909;145.5;1
196910;9;1
196911;57.8;1
196912;81;1
197001;57.7;1
197002;120.9;1
197003;61.5;1
197004;97.5;1
197005;43.1;1
197006;148.7;1
197007;8.4;1
197008;126.4;1
197009;16.6;1
197010;37;1
197011;70.1;1
197012;24.7;1
197101;142.1;1
197102;87.8;1
197103;65.1;1
197104;71.2;1
197105;127;1
197106;104.3;1
197107;108.3;1
197108;58;1
197109;37.1;1
197110;24.8;1
197111;97.9;1
197112;17;1
197201;89.3;1
197202;104.1;1
197203;67.4;1
197204;58.3;1
197205;53.2;1
197206;28.6;1
197207;4.3;1
197208;85.1;1
197209;44.9;1
197210;49.2;1
197211;56.1;1
197212;38.6;1
197301;80.3;1
197302;71.8;1
197303;14.3;1
197304;42.7;1
197305;59.2;1
197306;28.9;1
197307;75.7;1
197308;66.1;1
197309;54.9;1
197310;74.1;1
197311;64.3;1
197312;65.8;1
197401;36.8;1
197402;94.9;1
197403;71.4;1
197404;46.4;1
197405;117.4;1
197406;159.3;1
197407;37;1
197408;80.3;1
197409;152;1
197410;102.5;1
197411;88.9;1
197412;25.4;1
197501;98.9;1
197502;19;1
197503;79.3;1
197504;40.5;1
197505;100.3;1
197506;43.6;1
197507;42.5;1
197508;56.8;1
197509;74.3;1
197510;45.2;1
197511;96.8;1
197512;37.3;1
197601;15.5;1
197602;64;1
197603;42.7;1
197604;45.6;1
197605;31;1
197606;12.3;1
197607;44.7;1
197608;77.7;1
197609;72.5;1
197610;195.1;1
197611;125.3;1
197612;97;1
197701;67.2;1
197702;103.5;1
197703;84;1
197704;33.5;1
197705;202.7;1
197706;100.1;1
197707;67.2;1
197708;127;1
197709;6.7;1
197710;68.9;1
197711;37.7;1
197712;47.3;1
197801;90.9;1
197802;91.7;1
197803;138.7;1
197804;78.4;1
197805;112.5;1
197806;50.5;1
197807;45.5;1
197808;6.2;1
197809;46.6;1
197810;4.6;1
197811;7.6;1
197812;131.2;1
197901;94;1
197902;92.1;1
197903;129;1
197904;81.1;1
197905;118.5;1
197906;30;1
197907;12.5;1
197908;26.2;1
197909;35.1;1
197910;155.7;1
197911;56.7;1
197912;147.7;1
198001;98.7;1
198002;66.2;1
198003;73.5;1
198004;31.1;1
198005;116.8;1
198006;100;1
198007;77;1
198008;57.4;1
198009;41.8;1
198010;140;1
198011;76.9;1
198012;83.1;1
198101;80;1
198102;45.7;1
198103;82.4;1
198104;38.3;1
198105;143.1;1
198106;71.7;1
198107;86;1
198108;34.5;1
198109;50.9;1
198110;92.1;1
198111;23.9;1
198112;230.5;1
198201;65.2;1
198202;45.4;1
198203;56.4;1
198204;15.1;1
198205;56.7;1
198206;71.2;1
198207;36.5;1
198208;99.5;1
198209;68.7;1
198210;205.2;1
198211;68.9;1
198212;163.7;1
198301;22.3;1
198302;107.3;1
198303;53.9;1
198304;99.7;1
198305;136.5;1
198306;39.3;1
198307;21;1
198308;118.4;1
198309;32.3;1
198310;24;1
198311;33.6;1
198312;92.3;1
198401;136.9;1
198402;101.1;1
198403;59.1;1
198404;18.5;1
198405;107.3;1
198406;73.5;1
198407;49.2;1
198408;61.2;1
198409;128;1
198410;95.9;1
198411;106.6;1
198412;55.2;1
198501;56.8;1
198502;73.2;1
198503;95.1;1
198504;79.9;1
198505;156.6;1
198506;89;1
198507;47.3;1
198508;15;1
198509;0;1
198510;16.8;1
198511;42.3;1
198512;75.8;1
198601;113.1;1
198602;59.2;1
198603;62.3;1
198604;103.8;1
198605;77.4;1
198606;20.1;1
198607;46.5;1
198608;61.5;1
198609;94.4;1
198610;82.7;1
198611;61;1
198612;81.6;1
198701;44.9;1
198702;41.4;1
198703;85.2;1
198704;50.3;1
198705;75.8;1
198706;77.8;1
198707;93;1
198708;63.1;1
198709;42.2;1
198710;127.6;1
198711;96.4;1
198712;34.7;1
198801;116;1
198802;71.2;1
198803;112.1;1
198804;134.5;1
198805;114.2;1
198806;80.7;1
198807;75.4;1
198808;17.1;1
198809;30.3;1
198810;43.9;1
198811;17.7;1
198812;42.7;1
198901;24;1
198902;88.8;1
198903;36.7;1
198904;184.3;1
198905;39.5;1
198906;30.9;1
198907;15.2;1
198908;79.8;1
198909;111.2;1
198910;39.9;1
198911;34.2;1
198912;15.3;1
199001;32.7;1
199002;96.9;1
199003;9.6;1
199004;59;1
199005;124.5;1
199006;57.2;1
199007;25.1;1
199008;67.5;1
199009;17.9;1
199010;142.9;1
199011;80;1
199012;86.8;1
199101;30.8;1
199102;67.8;1
199103;59.9;1
199104;42.8;1
199105;20.8;1
199106;80;1
199107;59.6;1
199108;34.1;1
199109;67;1
199110;70;1
199111;120.7;1
199112;38.2;1
199201;34.3;1
199202;36.8;1
199203;53.1;1
199204;47.5;1
199205;127.1;1
199206;211.7;1
199207;77.3;1
199208;58.8;1
199209;162.5;1
199210;193.4;1
199211;94.6;1
199212;57.8;1
199301;10.2;1
