# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 47254001
# NOM_USUEL= SAINT-MARTIN-CURTO
# LATITUDE (°) = 44.345
# LONGITUDE(°)= 0.043
# ALTITUDE (m) = 144
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MRR047254001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 196101 201812
# Date(s) de rupture(s) d'homogénéité : 200312
#     Periode homogénéisée  196101 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;125.2;1
196102;43.3;1
196103;0;1
196104;99.4;1
196105;116.7;1
196106;44.4;1
196107;40.1;1
196108;29.2;1
196109;45.1;1
196110;86.1;1
196111;78.1;1
196112;81.9;1
196201;98.1;1
196202;43.5;1
196203;76.1;1
196204;74;1
196205;105.1;1
196206;6.7;1
196207;26.9;1
196208;15.9;1
196209;45.9;1
196210;59.1;1
196211;92.8;1
196212;86;1
196301;44.2;1
196302;75.3;1
196303;129.8;1
196304;58.5;1
196305;98.9;1
196306;161.8;1
196307;38.2;1
196308;185.2;1
196309;99.7;1
196310;51.3;1
196311;85.5;1
196312;41.6;1
196401;10.7;1
196402;76.9;1
196403;62.5;1
196404;70.7;1
196405;75.3;1
196406;22.8;1
196407;12.8;1
196408;31.7;1
196409;32.9;1
196410;144.3;1
196411;44.6;1
196412;77.9;1
196501;92.9;1
196502;11.8;1
196503;108.7;1
196504;95;1
196505;76.2;1
196506;41.1;1
196507;49.5;1
196508;65.8;1
196509;169;1
196510;26.7;1
196511;241.5;1
196512;216.4;1
196601;132.5;1
196602;89.5;1
196603;28.4;1
196604;118.8;1
196605;41.8;1
196606;104.1;1
196607;55.7;1
196608;27.4;1
196609;48.1;1
196610;70.6;1
196611;111.4;1
196612;179.4;1
196701;69.9;1
196702;93.7;1
196703;56.4;1
196704;30.6;1
196705;93.4;1
196706;43.2;1
196707;25.4;1
196708;42.8;1
196709;94.2;1
196710;74.2;1
196711;107;1
196712;51.1;1
196801;81.3;1
196802;76.9;1
196803;29.5;1
196804;57.1;1
196805;94.6;1
196806;103.9;1
196807;65;1
196808;109.9;1
196809;87.6;1
196810;50.9;1
196811;41.1;1
196812;147.4;1
196901;74;1
196902;60.2;1
196903;97.1;1
196904;95;1
196905;97.6;1
196906;50.2;1
196907;33.9;1
196908;49.3;1
196909;145.1;1
196910;5.5;1
196911;105.5;1
196912;107;1
197001;75.4;1
197002;143.1;1
197003;61.3;1
197004;74.3;1
197005;55.3;1
197006;60.7;1
197007;11.1;1
197008;85.9;1
197009;16.6;1
197010;37.2;1
197011;123.1;1
197012;16.3;1
197101;148.2;1
197102;73.7;1
197103;50;1
197104;75;1
197105;153.9;1
197106;119.3;1
197107;84.2;1
197108;71.7;1
197109;45.8;1
197110;52.1;1
197111;111.6;1
197112;60.9;1
197201;74.6;1
197202;105.9;1
197203;77.8;1
197204;98;1
197205;95;1
197206;35.3;1
197207;6.5;1
197208;128.1;1
197209;35.2;1
197210;26.5;1
197211;42.5;1
197212;47.9;1
197301;65.8;1
197302;115.1;1
197303;22.1;1
197304;41.5;1
197305;131.7;1
197306;42.3;1
197307;134.3;1
197308;38;1
197309;102.2;1
197310;54.1;1
197311;54.7;1
197312;77.4;1
197401;49.7;1
197402;114;1
197403;84.6;1
197404;48.6;1
197405;97.8;1
197406;31.4;1
197407;13.3;1
197408;40.4;1
197409;145.1;1
197410;123.2;1
197411;107.6;1
197412;35.9;1
197501;65.9;1
197502;18.4;1
197503;106.7;1
197504;80.1;1
197505;84.6;1
197506;45.8;1
197507;13.2;1
197508;92.3;1
197509;106.2;1
197510;26.4;1
197511;91.4;1
197512;18.1;1
197601;23.5;1
197602;55.3;1
197603;71.2;1
197604;37.4;1
197605;47.6;1
197606;78.9;1
197607;45.4;1
197608;77.2;1
197609;76.8;1
197610;102.9;1
197611;137.3;1
197612;87.4;1
197701;112.6;1
197702;144.8;1
197703;59.9;1
197704;60.5;1
197705;142.9;1
197706;138.3;1
197707;185.4;1
197708;60;1
197709;4.1;1
197710;66.8;1
197711;44.1;1
197712;63;1
197801;122.8;1
197802;85.3;1
197803;140.6;1
197804;95.8;1
197805;67.2;1
197806;61.6;1
197807;86.7;1
197808;23.3;1
