# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 56166004
# NOM_USUEL= PLOUAY
# LATITUDE (°) = 47.937
# LONGITUDE(°)= -3.318
# ALTITUDE (m) = 136
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR056166004
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195801 201812
# Date(s) de rupture(s) d'homogénéité : 198710 200712
#     Periode homogénéisée  195801 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195801;145.6;1
195802;126.1;1
195803;120.9;1
195804;27.1;1
195805;127.5;1
195806;159.7;1
195807;71;1
195808;172.8;1
195809;133.1;1
195810;63.1;1
195811;39.9;1
195812;166.1;1
195901;181.8;1
195902;4;1
195903;107.8;1
195904;181.3;1
195905;21.5;1
195906;33.7;1
195907;8.2;1
195908;49.6;1
195909;43.1;1
195910;152.6;1
195911;158.5;1
195912;294;1
196001;139.3;1
196002;111.8;1
196003;161.7;1
196004;28;1
196005;32.9;1
196006;63.8;1
196007;93.8;1
196008;212.2;1
196009;101.4;1
196010;226.7;1
196011;259.8;1
196012;113.3;1
196101;199.9;1
196102;58.5;1
196103;2.1;1
196104;109.1;1
196105;58.9;1
196106;25.6;1
196107;50.9;1
196108;9.8;1
196109;38.9;1
196110;195.4;1
196111;78.1;1
196112;217.2;1
196201;171.3;1
196202;25.1;1
196203;111.4;1
196204;83.8;1
196205;57.9;1
196206;4.9;1
196207;55.4;1
196208;56.3;1
196209;139.4;1
196210;42.3;1
196211;136.1;1
196212;83.3;1
196301;55.5;1
196302;92.5;1
196303;175;1
196304;115.5;1
196305;38.6;1
196306;102.9;1
196307;22.9;1
196308;86.1;1
196309;46.1;1
196310;100.3;1
196311;301.4;1
196312;92.3;1
196401;35.5;1
196402;83;1
196403;162;1
196404;55.4;1
196405;120;1
196406;58;1
196407;15.2;1
196408;34.8;1
196409;58.2;1
196410;83.8;1
196411;39.3;1
196412;219;1
196501;142;1
196502;2.6;1
196503;136.2;1
196504;32;1
196505;55.5;1
196506;100.3;1
