# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 56199001
# NOM_USUEL= ROUDOUALLEC
# LATITUDE (°) = 48.127
# LONGITUDE(°)= -3.72
# ALTITUDE (m) = 172
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR056199001
# Amplitude minimale détectable de la série = 0.05
# Période homogénéisée : 195801 201812
# Date(s) de rupture(s) d'homogénéité : 197506 201511
#     Periode homogénéisée  195801 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195801;175.9;1
195802;177.1;1
195803;143.4;1
195804;35.1;1
195805;107.7;1
195806;178.3;1
195807;114.6;1
195808;136.5;1
195809;99.2;1
195810;122.4;1
195811;74.8;1
195812;204.7;1
195901;244.4;1
195902;4.6;1
195903;130.5;1
195904;242.8;1
195905;49.3;1
195906;35.6;1
195907;16.5;1
195908;40.4;1
195909;30.7;1
195910;264.6;1
195911;233.6;1
195912;336.7;1
196001;198.4;1
196002;146.4;1
196003;160.5;1
196004;45.5;1
196005;67.9;1
196006;102.7;1
196007;86.1;1
196008;219.1;1
196009;98.5;1
196010;300.3;1
196011;226.5;1
196012;189.3;1
196101;234.2;1
196102;99;1
196103;12.6;1
196104;159.1;1
196105;107.1;1
196106;26.6;1
196107;95;1
196108;24.2;1
196109;79.5;1
196110;218.4;1
196111;110.3;1
196112;280.7;1
196201;219;1
196202;50.8;1
196203;137.3;1
196204;104.9;1
196205;86.5;1
196206;7.8;1
196207;53.1;1
196208;64.6;1
196209;129.4;1
196210;50.1;1
196211;165.6;1
196212;120.6;1
196301;58.4;1
196302;111.3;1
196303;188.5;1
196304;158.8;1
196305;69.7;1
196306;156.1;1
196307;21;1
196308;167.7;1
196309;37.5;1
196310;86.5;1
196311;305;1
196312;93.8;1
196401;40.8;1
196402;92.7;1
196403;178.2;1
196404;81.8;1
196405;141.7;1
196406;67.7;1
196407;21.4;1
196408;35.7;1
196409;46.9;1
196410;130.6;1
196411;69.9;1
196412;210.8;1
196501;173.9;1
196502;8.7;1
