# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 58230001
# NOM_USUEL= ST AUBIN DES CH
# LATITUDE (°) = 47.394
# LONGITUDE(°)= 3.748
# ALTITUDE (m) = 280
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2015-04-30
# NUM_SERIE= MRR058230001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : 196012
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;56.6;1
195102;100.1;1
195103;74.5;1
195104;55.1;1
195105;106.4;1
195106;170.8;1
195107;19.3;1
195108;83.4;1
195109;71.8;1
195110;38;1
195111;140.5;1
195112;76.4;1
195201;125.1;1
195202;65.3;1
195203;118.3;1
195204;17.4;1
195205;107.1;1
195206;24.6;1
195207;14.1;1
195208;35.7;1
195209;134.9;1
195210;146.2;1
195211;137.3;1
195212;115.2;1
195301;22.9;1
195302;57.2;1
195303;10.4;1
195304;63.3;1
195305;39.9;1
195306;108.1;1
195307;84;1
195308;13.2;1
195309;124.4;1
195310;47.8;1
195311;14.5;1
195312;24.4;1
195401;59.7;1
195402;53;1
195403;106.5;1
195404;5.2;1
195405;53.3;1
195406;97.4;1
195407;29.2;1
195408;112.3;1
195409;66.4;1
195410;53.4;1
195411;68;1
195412;78.7;1
195501;165.4;1
195502;90.7;1
195503;60.1;1
195504;1.3;1
195505;45.7;1
195506;81.6;1
195507;26.8;1
195508;26.3;1
195509;38.7;1
195510;61.8;1
195511;48.9;1
195512;136.7;1
195601;73.7;1
195602;12.6;1
195603;34.3;1
195604;84;1
195605;107.4;1
195606;74.6;1
195607;70.5;1
195608;85.7;1
195609;121.4;1
195610;77.9;1
195611;52.7;1
195612;56.2;1
195701;45.6;1
195702;154;1
195703;34.1;1
195704;13.9;1
195705;33.6;1
195706;89.8;1
195707;120;1
195708;97.4;1
195709;99.8;1
195710;57.3;1
195711;44.5;1
195712;80.9;1
195801;95.9;1
195802;129.9;1
195803;60.3;1
195804;49.7;1
195805;171.2;1
195806;66.6;1
195807;84.1;1
195808;86.4;1
195809;92;1
195810;80;1
195811;75.5;1
195812;132.2;1
195901;103.9;1
195902;2.8;1
195903;75.5;1
195904;85;1
195905;29.3;1
195906;64.3;1
195907;29.7;1
195908;31.2;1
195909;21.1;1
195910;56.9;1
195911;56.6;1
195912;71;1
196001;64.2;1
196002;52.9;1
196003;39.6;1
196004;20;1
196005;71.9;1
196006;83.9;1
196007;117.1;1
196008;142.8;1
196009;80.2;1
196010;148.7;1
196011;54.5;1
196012;71.3;1
196101;106.4;1
196102;59.1;1
196103;12.9;1
196104;51.7;1
196105;55.1;1
196106;59.8;1
196107;89.3;1
196108;37.8;1
196109;36.7;1
196110;126.9;1
196111;77.4;1
196112;88;1
196201;106.4;1
196202;49.9;1
196203;106.9;1
196204;67.8;1
196205;98.7;1
196206;5.8;1
196207;55.3;1
196208;20.5;1
196209;43.8;1
196210;37.5;1
196211;49.9;1
196212;110.3;1
196301;37.6;1
196302;33.4;1
196303;77;1
196304;39.5;1
196305;85;1
196306;127.5;1
196307;64.9;1
196308;108.3;1
196309;54.3;1
196310;23.9;1
196311;80.3;1
196312;6.4;1
196401;23.4;1
196402;32.3;1
196403;68.1;1
196404;85.6;1
196405;71.3;1
196406;24.4;1
196407;11.4;1
196408;45.3;1
196409;73;1
196410;74.6;1
196411;30.9;1
196412;38.3;1
196501;88.2;1
196502;10.5;1
196503;96.7;1
196504;80;1
196505;76.4;1
196506;82.1;1
196507;56.1;1
196508;43.6;1
196509;198.8;1
196510;10.4;1
196511;113.5;1
196512;142.6;1
196601;107.2;1
196602;106.1;1
196603;50.8;1
196604;69;1
196605;88.8;1
196606;62.5;1
196607;80.5;1
196608;122.5;1
196609;25.1;1
196610;80.3;1
196611;80.4;1
196612;121.1;1
196701;38;1
196702;51.9;1
196703;38.8;1
196704;27.3;1
196705;88.2;1
196706;32.7;1
196707;30.7;1
196708;89.1;1
196709;118.3;1
196710;87;1
196711;75;1
196712;85;1
196801;117;1
196802;52.5;1
196803;34.4;1
196804;67.8;1
196805;132.7;1
196806;41.3;1
196807;65.9;1
196808;154.9;1
196809;157.5;1
196810;44.6;1
196811;39.3;1
196812;103;1
196901;40.9;1
196902;45;1
196903;75.1;1
196904;70.8;1
196905;112.6;1
196906;94.8;1
196907;30.3;1
196908;50.3;1
196909;42.2;1
196910;2.8;1
196911;125.4;1
196912;58.3;1
197001;65;1
197002;135.6;1
197003;57.3;1
197004;90.4;1
197005;28.5;1
197006;77.4;1
197007;38.1;1
197008;57.4;1
197009;68.3;1
197010;74.7;1
197011;44.2;1
197012;38.7;1
197101;62.6;1
197102;32.1;1
197103;38.5;1
197104;23.1;1
197105;72.7;1
197106;116.8;1
197107;48.1;1
197108;94.4;1
197109;33.6;1
197110;18.4;1
197111;70.1;1
197112;10.8;1
197201;50.9;1
197202;47.5;1
197203;35.3;1
197204;49.3;1
197205;54.1;1
197206;96.8;1
197207;100;1
197208;145;1
197209;27.1;1
197210;63.3;1
197211;110;1
197212;30.9;1
197301;56.2;1
197302;62;1
197303;8;1
197304;36.1;1
197305;99.5;1
197306;16.5;1
197307;71.9;1
197308;75.7;1
197309;76.3;1
197310;44.8;1
197311;43.5;1
197312;117.5;1
197401;44.1;1
197402;84.9;1
197403;78.2;1
197404;31.3;1
197405;56.6;1
197406;62.8;1
197407;23.2;1
197408;90.4;1
197409;124.8;1
197410;176.4;1
197411;102.5;1
197412;69.8;1
197501;83.8;1
197502;11.7;1
197503;78.4;1
197504;67.7;1
197505;65.2;1
197506;25;1
197507;38;1
197508;40.3;1
197509;106.3;1
197510;56.2;1
197511;132.5;1
197512;45.1;1
197601;38.2;1
197602;61.4;1
197603;11.6;1
197604;30.5;1
197605;24.2;1
197606;0.8;1
197607;42.8;1
197608;19.2;1
197609;83.5;1
197610;113.6;1
197611;97.3;1
197612;76.3;1
197701;83.7;1
197702;148.3;1
197703;67.8;1
197704;37.4;1
197705;108.9;1
197706;105.2;1
197707;86.9;1
197708;104.1;1
197709;7.5;1
197710;64.5;1
197711;95.1;1
197712;68.7;1
197801;96.2;1
197802;109.6;1
197803;125.6;1
197804;60.5;1
197805;75.1;1
197806;33.6;1
197807;66.1;1
197808;19.1;1
197809;36.6;1
197810;28.6;1
197811;19.9;1
197812;121.5;1
197901;79.6;1
197902;104.4;1
197903;142.9;1
197904;80.1;1
197905;112.3;1
197906;109.4;1
197907;9.4;1
197908;139.6;1
197909;15.1;1
197910;122.9;1
197911;68.4;1
197912;100.5;1
198001;84.9;1
198002;84.5;1
198003;100.1;1
198004;13.9;1
198005;72.9;1
198006;78.9;1
198007;86.7;1
198008;29.7;1
198009;41.5;1
198010;91.1;1
198011;47;1
198012;82.9;1
198101;118.7;1
198102;37.6;1
198103;86.7;1
198104;25.1;1
198105;123.4;1
198106;223.2;1
198107;83.2;1
198108;55.5;1
198109;83.3;1
198110;148;1
198111;50.4;1
198112;158.9;1
198201;97;1
198202;19.2;1
198203;82.4;1
198204;17.5;1
198205;51.9;1
198206;96.1;1
198207;44.8;1
198208;39.9;1
198209;66.7;1
198210;126.4;1
198211;71.1;1
198212;125.6;1
198301;71.3;1
198302;72.1;1
198303;61.7;1
198304;159;1
198305;127;1
198306;68.5;1
198307;67.3;1
198308;120.5;1
198309;100.9;1
198310;44.8;1
198311;43.3;1
198312;43.2;1
198401;117.8;1
198402;57.3;1
198403;33;1
198404;16.4;1
198405;91.3;1
198406;45.8;1
198407;25.8;1
198408;35.2;1
198409;136.5;1
198410;111.7;1
198411;82.3;1
198412;69.3;1
198501;51.6;1
198502;42.2;1
198503;51.3;1
198504;55.7;1
198505;119.9;1
198506;81.7;1
198507;32.2;1
198508;50.6;1
198509;13.2;1
198510;4.8;1
198511;59.4;1
198512;65.2;1
198601;90.5;1
198602;64;1
198603;71.2;1
198604;121;1
198605;115.7;1
198606;35.8;1
198607;9.7;1
198608;106.5;1
198609;79.9;1
198610;63.7;1
198611;70.8;1
198612;108.7;1
198701;32.2;1
198702;66.8;1
198703;60.2;1
198704;37.9;1
198705;102.1;1
198706;142.9;1
198707;137;1
198708;31.5;1
198709;72.9;1
198710;133.6;1
198711;97.5;1
198712;60.6;1
198801;154.5;1
198802;103.9;1
198803;96.1;1
198804;38.6;1
198805;129.7;1
198806;113.5;1
198807;130.2;1
198808;23.4;1
198809;56.7;1
198810;95.1;1
198811;61.2;1
198812;66.8;1
198901;28.7;1
198902;70.7;1
198903;75.9;1
198904;156.6;1
198905;36.8;1
198906;26;1
198907;72.6;1
198908;36.4;1
198909;56.2;1
198910;51.8;1
198911;41.6;1
198912;70.7;1
199001;73.4;1
199002;118.8;1
199003;24;1
199004;66;1
199005;62.2;1
199006;107.4;1
199007;37.2;1
199008;42.8;1
199009;53.8;1
199010;123.4;1
199011;73;1
