# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 59161001
# NOM_USUEL= CREVECOEUR
# LATITUDE (°) = 50.081
# LONGITUDE(°)= 3.258
# ALTITUDE (m) = 125
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-06-30
# NUM_SERIE= MRR059161001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195601 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195601 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;59.1;1
195602;26.4;1
195603;26.6;1
195604;45.7;1
195605;17.6;1
195606;57.1;1
195607;47.1;1
195608;66.5;1
195609;69;1
195610;50.9;1
195611;65.2;1
195612;40.5;1
195701;39.1;1
195702;163.6;1
195703;32.4;1
195704;41.6;1
195705;40.3;1
195706;63.8;1
195707;84;1
195708;42.6;1
195709;106.6;1
195710;20.1;1
195711;29.7;1
195712;49;1
195801;55.7;1
195802;108.8;1
195803;23.5;1
195804;49.1;1
195805;59.9;1
195806;74.2;1
195807;72.9;1
195808;102.7;1
195809;77.7;1
195810;45.5;1
195811;47.6;1
195812;80.4;1
195901;53.8;1
195902;2.5;1
195903;76.8;1
195904;58.4;1
195905;20.6;1
195906;18.2;1
195907;12.3;1
195908;36.8;1
195909;5.4;1
195910;56.6;1
195911;50.7;1
195912;76.8;1
196001;58.8;1
196002;32.4;1
196003;42.9;1
196004;14.9;1
196005;59.3;1
196006;53.1;1
196007;125.9;1
196008;76;1
196009;33.8;1
196010;114.4;1
196011;93.8;1
196012;61.6;1
196101;113.3;1
196102;52;1
196103;9.8;1
196104;68.4;1
196105;42.6;1
196106;73.6;1
196107;74.4;1
196108;19.6;1
196109;63.3;1
196110;90.9;1
196111;68.3;1
196112;78;1
196201;69.6;1
196202;38;1
196203;58.5;1
196204;61.2;1
196205;50.3;1
196206;6.7;1
196207;26.5;1
196208;31.5;1
196209;29.2;1
196210;39.4;1
196211;51.6;1
196212;54;1
196301;21;1
196302;9.6;1
196303;44;1
196304;57.4;1
196305;64.3;1
196306;121.4;1
196307;38.7;1
196308;128.6;1
196309;56.6;1
196310;58.8;1
196311;112.1;1
196312;14.1;1
196401;26.6;1
196402;32;1
196403;69.5;1
196404;28.4;1
196405;40.7;1
196406;48.4;1
196407;15.2;1
196408;52.2;1
196409;49.9;1
196410;85;1
196411;60.1;1
196412;53;1
196501;78.8;1
196502;11.4;1
196503;49.3;1
196504;51.6;1
196505;69.2;1
196506;46.3;1
196507;101.1;1
196508;104.3;1
196509;78;1
196510;28.1;1
196511;95.8;1
196512;157.8;1
196601;44;1
196602;60.9;1
196603;40.1;1
196604;85.4;1
196605;48.5;1
196606;79.5;1
196607;92.4;1
196608;64.4;1
196609;23;1
