# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 59249001
# NOM_USUEL= FOURMIES
# LATITUDE (°) = 50.015
# LONGITUDE(°)= 4.039
# ALTITUDE (m) = 185
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR059249001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195501 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;76.5;1
195502;76.5;1
195503;14.3;1
195504;15.1;1
195505;83.2;1
195506;70.5;1
195507;63.4;1
195508;91.4;1
195509;67.9;1
195510;37.4;1
195511;36.4;1
195512;118.1;1
195601;68.5;1
195602;42;1
195603;62.5;1
195604;57.8;1
195605;29;1
195606;78.2;1
195607;56.3;1
195608;74.6;1
195609;61.3;1
195610;117.8;1
195611;60.1;1
195612;34.1;1
195701;38.6;1
195702;105.1;1
195703;49.6;1
195704;74.2;1
195705;48.4;1
195706;127.2;1
195707;107;1
195708;109.1;1
195709;133.1;1
195710;39;1
195711;40.7;1
195712;66.6;1
195801;81;1
195802;175.3;1
195803;20.6;1
195804;66.4;1
195805;100.9;1
195806;76.5;1
195807;65.9;1
195808;192.2;1
195809;82.1;1
195810;90.2;1
195811;61.6;1
195812;130.5;1
195901;86.4;1
195902;2.8;1
195903;77.2;1
195904;73.4;1
195905;31.2;1
195906;11.5;1
195907;28.2;1
195908;41.1;1
195909;14.6;1
195910;75.7;1
195911;60.4;1
195912;95.8;1
196001;63.5;1
196002;52;1
196003;52.1;1
196004;31.8;1
196005;49.9;1
196006;62.7;1
196007;136.9;1
196008;104.1;1
196009;68.1;1
196010;142.7;1
196011;111.1;1
196012;116.6;1
196101;155;1
196102;92.1;1
196103;20.8;1
196104;66;1
196105;60.4;1
196106;74.3;1
196107;96;1
196108;37.6;1
196109;59.2;1
196110;138.8;1
196111;93.7;1
196112;101.5;1
196201;130.5;1
196202;116.4;1
196203;79.1;1
196204;75.1;1
196205;105.1;1
196206;15.8;1
196207;73.6;1
196208;75;1
196209;72.8;1
196210;37.5;1
196211;43.8;1
196212;81.2;1
196301;33.3;1
196302;18.7;1
196303;65.7;1
196304;50.1;1
196305;69.9;1
196306;144.2;1
196307;24.8;1
196308;152.1;1
196309;31.8;1
196310;71.7;1
196311;148.1;1
196312;20.1;1
196401;28.6;1
196402;23.2;1
196403;70.5;1
196404;38.7;1
196405;31.7;1
196406;65.5;1
196407;35.5;1
196408;52.7;1
196409;39.6;1
196410;102;1
196411;102;1
196412;62.6;1
196501;116;1
196502;18.7;1
196503;77.1;1
196504;81.4;1
196505;107.8;1
196506;86.4;1
196507;107.1;1
196508;117.4;1
196509;77;1
196510;24.9;1
196511;110.9;1
196512;201.4;1
196601;55.4;1
196602;86.2;1
196603;56.4;1
196604;117.8;1
196605;66.6;1
196606;133.8;1
196607;98.7;1
196608;74.8;1
196609;28.6;1
196610;137.8;1
196611;108;1
196612;212.7;1
196701;48.3;1
196702;74.8;1
196703;57.4;1
196704;48.9;1
