# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 60178002
# NOM_USUEL= CREVECOEUR-LE-GRAND
# LATITUDE (°) = 49.603
# LONGITUDE(°)= 2.086
# ALTITUDE (m) = 174
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-12-31
# NUM_SERIE= MRR060178002
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195801 201412
# Date(s) de rupture(s) d'homogénéité : 196211 199204
#     Periode homogénéisée  195801 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195801;83.2;1
195802;118.5;1
195803;55.1;1
195804;34.3;1
195805;87.6;1
195806;102.5;1
195807;52.6;1
195808;88.6;1
195809;27.3;1
195810;56.5;1
195811;53.9;1
195812;81.2;1
195901;103.5;1
195902;1.2;1
195903;46.9;1
195904;80.7;1
195905;30.7;1
195906;36.5;1
195907;33.3;1
195908;27.4;1
195909;5.6;1
195910;56.9;1
195911;62.1;1
195912;98.4;1
196001;44;1
196002;49.5;1
196003;91.6;1
196004;11.7;1
196005;26.7;1
196006;71.9;1
196007;57.8;1
196008;63.4;1
196009;91;1
196010;165.9;1
196011;94.1;1
196012;61.9;1
196101;115.5;1
196102;41.6;1
196103;2.9;1
196104;24.9;1
196105;43.4;1
196106;18.7;1
196107;32.8;1
196108;5.4;1
196109;50.6;1
196110;95.3;1
196111;71.5;1
196112;79.8;1
196201;61.2;1
196202;22.6;1
196203;74.1;1
196204;55.8;1
196205;56.4;1
196206;13.6;1
196207;66.1;1
196208;49.7;1
196209;37.1;1
196210;45;1
196211;102.3;1
196212;57.1;1
196301;18.1;1
196302;6.5;1
196303;87.7;1
196304;44.1;1
196305;62.7;1
196306;96.4;1
196307;22.3;1
196308;140.4;1
196309;40.8;1
196310;44.5;1
196311;101.2;1
196312;8.3;1
196401;28.2;1
196402;44.1;1
196403;66.9;1
196404;45.5;1
196405;22.8;1
196406;79.8;1
196407;20.6;1
196408;30.5;1
196409;41.4;1
196410;100.7;1
196411;58.3;1
196412;68.4;1
196501;85.6;1
196502;17.5;1
196503;65;1
196504;45.4;1
196505;66.8;1
196506;72.7;1
196507;61.1;1
196508;48.7;1
196509;98.4;1
196510;22.3;1
196511;125.1;1
196512;189.4;1
196601;56.2;1
196602;54.6;1
196603;31.9;1
196604;76.7;1
196605;49.1;1
196606;54.4;1
196607;85.2;1
196608;81.6;1
196609;31.9;1
196610;157.4;1
196611;119.1;1
196612;136.1;1
196701;45.2;1
196702;67.3;1
196703;59.5;1
196704;22.7;1
196705;103.1;1
196706;24.1;1
196707;35.7;1
196708;58.3;1
196709;80.2;1
196710;93.8;1
196711;65;1
196712;85.8;1
196801;76.6;1
196802;88;1
196803;55.4;1
196804;55.4;1
196805;31.8;1
196806;90.8;1
196807;45.2;1
196808;143.2;1
196809;103.3;1
196810;42.5;1
196811;52.7;1
196812;52.9;1
196901;41.2;1
196902;43.2;1
196903;59.1;1
196904;63.8;1
196905;78.7;1
196906;88.9;1
196907;72.6;1
196908;58.5;1
196909;40.5;1
196910;7.5;1
196911;134.3;1
196912;61.8;1
197001;69.4;1
197002;117.7;1
197003;60;1
197004;82.4;1
197005;43.3;1
197006;63.3;1
197007;58.9;1
197008;30.6;1
197009;30.8;1
197010;27.8;1
197011;73.1;1
197012;25.9;1
197101;67.2;1
197102;38.9;1
197103;22.3;1
197104;32.4;1
197105;43.5;1
197106;102.8;1
197107;15.6;1
197108;63.9;1
197109;12.5;1
197110;17.9;1
197111;82.5;1
197112;5.5;1
197201;70.8;1
197202;54.6;1
197203;41.9;1
197204;55.4;1
197205;62;1
197206;58.1;1
197207;60.4;1
197208;66.1;1
197209;38.5;1
197210;8.4;1
197211;117.8;1
197212;27;1
197301;28.7;1
197302;45.4;1
197303;8.8;1
197304;43.8;1
197305;86.5;1
197306;29.6;1
197307;26.2;1
197308;47.7;1
197309;76.7;1
197310;42.9;1
197311;44.4;1
197312;41.9;1
197401;79.7;1
197402;51.9;1
197403;56;1
197404;16;1
197405;37.7;1
197406;54.5;1
197407;23.2;1
197408;36.2;1
197409;138.7;1
197410;138.5;1
197411;104.7;1
197412;71.6;1
197501;93.5;1
197502;17.5;1
197503;68.7;1
197504;44.8;1
197505;47.4;1
197506;41.5;1
197507;36.9;1
197508;46.4;1
197509;116.7;1
197510;18.1;1
197511;84.9;1
197512;18.3;1
197601;23.2;1
197602;31.9;1
197603;31.9;1
197604;7.1;1
197605;15.4;1
197606;0;1
197607;18.5;1
197608;1.4;1
197609;72;1
197610;55.8;1
197611;70.2;1
197612;77.9;1
197701;84.8;1
197702;79.5;1
197703;40.7;1
197704;40.4;1
197705;116.1;1
197706;53.7;1
197707;85.4;1
197708;85.7;1
197709;20.1;1
197710;51.1;1
197711;117.1;1
197712;63.3;1
197801;63.1;1
197802;75.7;1
197803;97.6;1
197804;58.9;1
197805;54.7;1
197806;77.1;1
197807;60.4;1
197808;41.4;1
197809;64.3;1
197810;12.4;1
197811;12.9;1
197812;108.8;1
197901;34.2;1
197902;63.6;1
197903;118.6;1
197904;63.5;1
197905;65.3;1
197906;46.8;1
197907;35.2;1
197908;56.4;1
197909;15.3;1
197910;67.3;1
197911;82.5;1
197912;127.5;1
198001;33.2;1
198002;69.8;1
198003;74.1;1
198004;10.7;1
198005;53;1
198006;96.1;1
198007;117.4;1
198008;47.1;1
198009;24.4;1
198010;87.9;1
198011;53.7;1
198012;75.7;1
198101;71.5;1
198102;41.5;1
198103;86.2;1
198104;24.7;1
198105;100.2;1
198106;55.3;1
198107;36.2;1
198108;10.7;1
198109;68.1;1
198110;148.8;1
198111;39.5;1
198112;131.1;1
198201;72.5;1
198202;18.9;1
198203;55.6;1
198204;27.2;1
198205;97;1
198206;93.7;1
198207;41;1
198208;59.3;1
198209;41;1
198210;117.5;1
198211;67.8;1
198212;90.7;1
198301;57.4;1
198302;58.6;1
198303;55;1
198304;76.5;1
198305;94.4;1
198306;36.3;1
198307;44.9;1
198308;11.5;1
198309;69.2;1
198310;35.7;1
198311;37.5;1
198312;53.5;1
198401;150.6;1
198402;64.9;1
198403;55;1
198404;17.3;1
198405;91;1
198406;45.4;1
198407;39.5;1
198408;41.8;1
198409;133.3;1
198410;67.1;1
198411;89.3;1
198412;37.5;1
198501;46.1;1
198502;15.9;1
198503;58.3;1
198504;72.1;1
198505;83.4;1
198506;87.9;1
198507;62.6;1
198508;60.8;1
198509;16.9;1
198510;19.2;1
198511;63.3;1
198512;24.5;1
198601;81.9;1
198602;3.9;1
198603;104.6;1
198604;83.7;1
198605;23.8;1
198606;38.1;1
198607;40.9;1
198608;52.2;1
198609;63.7;1
198610;71.7;1
198611;60.3;1
198612;107.9;1
198701;28.9;1
198702;51.9;1
198703;71.4;1
198704;33.7;1
198705;71.8;1
198706;134.1;1
198707;86.2;1
198708;56.8;1
198709;32.5;1
198710;133.6;1
198711;71.6;1
198712;24.9;1
198801;153.9;1
198802;79.5;1
198803;111.9;1
198804;38;1
198805;46.7;1
198806;21;1
198807;95.5;1
198808;36.3;1
198809;51.7;1
198810;67.1;1
198811;41.1;1
198812;82.5;1
198901;41.5;1
198902;49.8;1
198903;67.4;1
198904;83.9;1
198905;9.2;1
198906;46.3;1
198907;18.3;1
198908;29.1;1
198909;43.3;1
198910;59.1;1
198911;36;1
198912;72;1
199001;65.3;1
199002;125.9;1
