# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 62583001
# NOM_USUEL= MONDICOURT
# LATITUDE (°) = 50.175
# LONGITUDE(°)= 2.463
# ALTITUDE (m) = 156
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR062583001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195501 201412
# Date(s) de rupture(s) d'homogénéité : 198712 199612
#     Periode homogénéisée  195501 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;80.1;1
195502;84.8;1
195503;17.6;1
195504;27;1
195505;89.8;1
195506;71.5;1
195507;65.8;1
195508;88;1
195509;62.3;1
195510;51.8;1
195511;18.7;1
195512;110.7;1
195601;75.7;1
195602;19.9;1
195603;39.8;1
195604;29.7;1
195605;9.7;1
195606;113;1
195607;64.6;1
195608;106.8;1
195609;52.7;1
195610;92.9;1
195611;55.5;1
195612;34.9;1
195701;42.7;1
195702;175.5;1
195703;38.5;1
195704;29.1;1
195705;27.5;1
195706;76.5;1
195707;97.5;1
195708;92.3;1
195709;186.1;1
195710;43.5;1
195711;33.3;1
195712;84.3;1
195801;93.5;1
195802;119.1;1
195803;30.4;1
195804;46.6;1
195805;80.6;1
195806;141.9;1
195807;66.2;1
195808;139.7;1
195809;158.9;1
195810;76.2;1
195811;63.6;1
195812;109.5;1
195901;84.8;1
195902;3.6;1
195903;51.5;1
195904;58.5;1
195905;25.2;1
195906;12.9;1
195907;37.2;1
195908;48.4;1
195909;4.4;1
195910;71;1
195911;63.5;1
195912;97.3;1
196001;57.6;1
196002;57.1;1
196003;57.4;1
196004;16.1;1
196005;48.3;1
196006;56.1;1
196007;79.1;1
196008;128.6;1
196009;51.3;1
196010;147.2;1
196011;151;1
196012;92.9;1
196101;104.6;1
196102;88.6;1
196103;21.4;1
196104;117.9;1
196105;28.6;1
196106;44.3;1
196107;101.3;1
196108;26.4;1
196109;46.4;1
196110;103;1
196111;89;1
196112;91.1;1
196201;105.8;1
196202;35.2;1
196203;60.8;1
196204;44.9;1
196205;47.3;1
196206;5;1
196207;84.2;1
196208;86.8;1
196209;64.2;1
196210;63;1
196211;101;1
196212;71.1;1
196301;7.3;1
196302;11.2;1
196303;60.5;1
196304;59.5;1
196305;72.3;1
196306;131.5;1
196307;16.3;1
196308;124.7;1
196309;49.3;1
196310;76.5;1
196311;156.7;1
196312;14.5;1
196401;27.1;1
196402;39.2;1
196403;71.2;1
196404;47.2;1
196405;23.9;1
196406;98.8;1
196407;59.1;1
196408;40.4;1
196409;57.4;1
196410;135.8;1
196411;96.3;1
196412;103.8;1
196501;120.8;1
196502;11.4;1
196503;61.5;1
196504;62.5;1
196505;67.1;1
196506;85.5;1
196507;127.4;1
196508;54.7;1
196509;76.7;1
196510;30.3;1
196511;74.4;1
196512;222.9;1
196601;61.1;1
196602;81.4;1
196603;39.4;1
196604;82.4;1
196605;48.7;1
196606;76;1
196607;81.8;1
196608;61.1;1
196609;23.4;1
196610;99.1;1
196611;137.1;1
196612;186.2;1
196701;33.4;1
196702;64;1
196703;58.8;1
196704;21.7;1
196705;108.7;1
196706;54.1;1
196707;39.6;1
196708;62.6;1
196709;70.9;1
196710;110.6;1
196711;61.8;1
196712;110;1
196801;84.2;1
196802;75.6;1
196803;45.4;1
196804;35.9;1
196805;49.9;1
196806;69.1;1
196807;143.7;1
196808;91.8;1
196809;109.1;1
196810;34.8;1
196811;41.7;1
196812;45.7;1
196901;40.7;1
196902;61.7;1
196903;69.7;1
196904;55.9;1
196905;93.2;1
196906;103.9;1
196907;98.1;1
196908;75.1;1
196909;11.6;1
196910;6.7;1
196911;104.6;1
196912;78.7;1
197001;76.6;1
197002;142;1
197003;98.7;1
197004;122.4;1
197005;42;1
197006;64.1;1
197007;66.4;1
197008;37;1
197009;66.4;1
197010;33.9;1
197011;70.8;1
197012;29.1;1
197101;63.8;1
197102;38.8;1
197103;39.2;1
197104;25.7;1
197105;53.3;1
197106;136;1
197107;41.1;1
197108;97.3;1
197109;28.3;1
197110;19.3;1
197111;92.9;1
197112;20.5;1
197201;83.9;1
197202;43.8;1
197203;66.7;1
197204;81.9;1
197205;91;1
197206;66.4;1
197207;47.9;1
197208;24.1;1
197209;62;1
197210;11;1
197211;148.3;1
197212;35.4;1
197301;28.6;1
197302;75.7;1
197303;13.1;1
197304;75.9;1
197305;83.8;1
197306;28.9;1
197307;56.1;1
197308;16.1;1
197309;120.9;1
197310;64.2;1
197311;51.7;1
197312;60.1;1
197401;77.8;1
197402;64.1;1
197403;62.5;1
197404;13.2;1
197405;41.2;1
197406;134.9;1
197407;75.6;1
197408;74.8;1
197409;155.4;1
197410;150.5;1
197411;135.8;1
197412;104;1
