# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 64339001
# NOM_USUEL= LESTELLE-BETH
# LATITUDE (°) = 43.125
# LONGITUDE(°)= -0.207
# ALTITUDE (m) = 315
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR064339001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195601 202012
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195601 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;156.1;1
195602;29.2;1
195603;38.5;1
195604;201.5;1
195605;157.6;1
195606;102.8;1
195607;99.4;1
195608;130.8;1
195609;72.2;1
195610;88.7;1
195611;133.3;1
195612;58.7;1
195701;84;1
195702;105.8;1
195703;45.5;1
195704;191.2;1
195705;183.2;1
195706;306;1
195707;70.4;1
195708;73.6;1
195709;101.3;1
195710;45.8;1
195711;128.3;1
195712;47.6;1
195801;120.5;1
195802;20.1;1
195803;200;1
195804;117.7;1
195805;172.3;1
195806;126.4;1
195807;104.3;1
195808;54.5;1
195809;98.1;1
195810;105.6;1
195811;78.7;1
195812;158.6;1
195901;85.7;1
195902;15.6;1
195903;136.2;1
195904;164.2;1
195905;160.9;1
195906;132.9;1
195907;79.3;1
195908;143.2;1
195909;237.7;1
195910;181.7;1
195911;116.6;1
195912;217;1
196001;77.7;1
196002;55.1;1
196003;130.6;1
196004;80.1;1
196005;95.4;1
196006;136.3;1
196007;131.3;1
196008;114.7;1
196009;129;1
196010;238.3;1
196011;121.3;1
196012;221;1
196101;203.4;1
196102;58.9;1
196103;5.3;1
196104;206;1
196105;116.5;1
196106;92.8;1
196107;177.7;1
196108;64.3;1
196109;115.7;1
196110;102.8;1
196111;144.2;1
196112;52.7;1
196201;143.9;1
196202;120.3;1
196203;119.6;1
196204;152.5;1
196205;163.2;1
196206;30.8;1
196207;34.1;1
196208;32.6;1
196209;85.6;1
196210;110.4;1
196211;128;1
196212;116.4;1
196301;65.5;1
196302;78;1
196303;147.1;1
196304;76;1
196305;77.2;1
196306;198.7;1
196307;117.5;1
196308;215.9;1
196309;123.9;1
196310;49.1;1
196311;90.7;1
196312;80.8;1
196401;22.1;1
196402;98.8;1
196403;137.4;1
196404;96.3;1
196405;87.7;1
196406;34;1
196407;32.4;1
196408;97.3;1
196409;96.9;1
196410;158.5;1
196411;61.7;1
196412;142.1;1
196501;142.9;1
196502;50.3;1
196503;129.1;1
196504;141.8;1
196505;115;1
196506;55.7;1
196507;60.2;1
196508;97.3;1
196509;167.7;1
196510;65.9;1
196511;159.2;1
196512;270.3;1
196601;87.4;1
196602;163.4;1
196603;60.7;1
196604;159.1;1
196605;176;1
196606;100.7;1
196607;94.3;1
196608;46.6;1
196609;58.6;1
196610;162.5;1
196611;165.5;1
196612;232.9;1
196701;106.8;1
196702;11.3;1
196703;98.2;1
196704;56.4;1
196705;76.4;1
196706;82.1;1
196707;61.7;1
196708;69.6;1
196709;103.5;1
196710;95.9;1
196711;191;1
196712;122.9;1
196801;184.7;1
196802;64.5;1
196803;68.2;1
196804;107.1;1
196805;264.9;1
196806;88.2;1
196807;108.4;1
196808;90.2;1
196809;151.3;1
196810;41.7;1
196811;94.5;1
196812;168.9;1
196901;69.7;1
196902;66.8;1
196903;152.1;1
196904;155.1;1
196905;79.1;1
196906;148.3;1
196907;66.2;1
196908;60.2;1
196909;183.1;1
196910;35.2;1
196911;49.8;1
196912;272.8;1
197001;104;1
197002;119.5;1
197003;119.4;1
197004;103.2;1
197005;108.9;1
197006;182.6;1
197007;54.8;1
197008;41.8;1
197009;24.4;1
197010;67.4;1
197011;89.8;1
197012;33.2;1
197101;138.4;1
197102;206.8;1
197103;164.6;1
197104;172.4;1
197105;194.1;1
197106;157;1
197107;63.1;1
197108;86.8;1
197109;83.1;1
197110;65.5;1
197111;211.3;1
197112;43.2;1
197201;204.5;1
197202;141.5;1
197203;90.3;1
197204;196.9;1
197205;127.4;1
197206;123.3;1
197207;86.2;1
197208;139.1;1
