# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 66024001
# NOM_USUEL= LE BOULOU
# LATITUDE (°) = 42.529
# LONGITUDE(°)= 2.844
# ALTITUDE (m) = 77
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MRR066024001
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 196201 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196201 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196201;40;1
196202;35;1
196203;86.3;1
196204;117.6;1
196205;66.6;1
196206;7.7;1
196207;13;1
196208;0;1
196209;60.6;1
196210;75.5;1
196211;173.7;1
196212;3.8;1
196301;91.5;1
196302;52.7;1
196303;6.9;1
196304;41;1
196305;9.1;1
196306;6;1
196307;4.3;1
196308;44.4;1
196309;306.5;1
196310;11.4;1
196311;64.4;1
196312;104.2;1
196401;1.8;1
196402;54.8;1
196403;60.1;1
196404;25.5;1
196405;123;1
196406;5.2;1
196407;49;1
196408;32.5;1
196409;70.1;1
196410;24.1;1
196411;139.7;1
196412;228.4;1
196501;30.2;1
196502;13.9;1
196503;37.7;1
196504;33.8;1
196505;34.3;1
196506;35.8;1
196507;18.4;1
196508;142.6;1
196509;117.2;1
196510;725.9;1
196511;17.8;1
196512;30.3;1
196601;9.7;1
196602;30.9;1
196603;10.7;1
196604;19;1
196605;57.8;1
196606;5;1
196607;29.7;1
196608;40.9;1
196609;21;1
196610;170.2;1
196611;41.5;1
196612;3.3;1
196701;26.5;1
196702;136;1
196703;13.5;1
196704;39;1
196705;64.5;1
196706;0;1
196707;7.5;1
196708;13;1
196709;56.5;1
196710;39.1;1
196711;112.5;1
196712;2;1
196801;0;1
196802;61;1
196803;58;1
196804;22.5;1
196805;111;1
196806;36;1
196807;50;1
196808;81;1
196809;22;1
196810;5;1
196811;311;1
196812;140;1
196901;8;1
196902;33;1
196903;179;1
196904;289;1
196905;20;1
196906;36;1
196907;64;1
196908;18;1
196909;114;1
196910;164;1
196911;19;1
196912;33;1
197001;22;1
197002;1;1
197003;59;1
197004;17;1
197005;66;1
197006;37;1
197007;5.7;1
197008;35.4;1
197009;5.3;1
197010;275.6;1
197011;12.5;1
197012;101.7;1
197101;31.6;1
197102;10.4;1
197103;87.3;1
197104;114.8;1
197105;88.5;1
197106;47.6;1
197107;70.5;1
197108;23.1;1
197109;257.2;1
197110;37;1
197111;22.6;1
197112;267.2;1
197201;140.8;1
197202;80.8;1
197203;93.7;1
197204;40;1
197205;70;1
197206;98;1
197207;6.5;1
197208;26.7;1
197209;146;1
197210;57.6;1
197211;50.2;1
197212;72.9;1
197301;3.5;1
197302;13.2;1
197303;4.7;1
197304;6;1
197305;8.7;1
197306;77.7;1
197307;18.5;1
197308;49.2;1
197309;21.9;1
197310;1.5;1
197311;14.5;1
197312;187;1
197401;13;1
197402;38.5;1
197403;136;1
197404;77.3;1
197405;46;1
197406;38;1
197407;72;1
197408;134;1
197409;71;1
197410;18;1
197411;2;1
197412;0;1
197501;1.8;1
197502;93.8;1
197503;33.9;1
197504;16;1
197505;75.5;1
197506;81.4;1
197507;10;1
197508;82.8;1
197509;36.8;1
197510;1;1
197511;20.2;1
197512;81.5;1
197601;5.5;1
197602;68.5;1
197603;29;1
197604;65;1
197605;48;1
197606;3.2;1
197607;44.7;1
197608;52.9;1
197609;66;1
197610;113;1
197611;34;1
197612;56;1
197701;142;1
197702;3;1
197703;67;1
197704;31.3;1
197705;246;1
197706;68.7;1
197707;74.5;1
197708;77.5;1
197709;8.2;1
197710;135.5;1
197711;23.8;1
197712;36.8;1
197801;66.2;1
197802;64.3;1
197803;73.2;1
197804;145.4;1
197805;76.3;1
197806;61.2;1
197807;15.8;1
197808;22.2;1
197809;36.5;1
197810;7.7;1
197811;10.5;1
197812;37.7;1
