# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 69007001
# NOM_USUEL= AMPUIS
# LATITUDE (°) = 45.491
# LONGITUDE(°)= 4.811
# ALTITUDE (m) = 157
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR069007001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195601 202012
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195601 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;93.6;1
195602;5.3;1
195603;58.2;1
195604;69.8;1
195605;65.7;1
195606;43.1;1
195607;140.5;1
195608;89.8;1
195609;178.8;1
195610;93.2;1
195611;15.1;1
195612;15.1;1
195701;30.6;1
195702;71.4;1
195703;25.9;1
195704;72;1
195705;47.6;1
195706;222.3;1
195707;43.5;1
195708;38.7;1
195709;30.2;1
195710;21.2;1
195711;89.6;1
195712;45.4;1
195801;35.2;1
195802;42;1
195803;38.4;1
195804;43.9;1
195805;99.7;1
195806;90.6;1
195807;49.4;1
195808;225.5;1
195809;174.9;1
195810;68.4;1
195811;49.6;1
195812;113.6;1
195901;41.1;1
195902;4.8;1
195903;99.7;1
195904;93.8;1
195905;42.3;1
195906;67.2;1
195907;20.3;1
195908;69.9;1
195909;21.4;1
195910;78.8;1
195911;93.2;1
195912;47.3;1
196001;54.5;1
196002;77.4;1
196003;87.2;1
196004;26.3;1
196005;78.8;1
196006;55.9;1
196007;153.1;1
196008;116.9;1
196009;196.9;1
196010;193.8;1
196011;101.5;1
196012;62.9;1
196101;83.6;1
196102;35.7;1
196103;16.1;1
196104;99.7;1
196105;42.6;1
196106;81.8;1
196107;38.6;1
196108;43;1
196109;29.1;1
196110;150.9;1
196111;49.9;1
196112;63.4;1
196201;41.7;1
196202;44.1;1
196203;31.7;1
196204;38.5;1
196205;68.9;1
196206;21.1;1
196207;12.1;1
196208;34.6;1
196209;101;1
196210;32.4;1
196211;32.2;1
196212;90.5;1
196301;27.8;1
196302;50.8;1
196303;60.2;1
196304;75.4;1
196305;47.7;1
196306;142.3;1
196307;106.5;1
196308;186.3;1
196309;25.4;1
196310;38.4;1
196311;160.6;1
196312;36.5;1
196401;43.8;1
196402;41.5;1
196403;132.3;1
196404;55.7;1
196405;71.2;1
196406;66.7;1
196407;25.2;1
196408;90.8;1
196409;50.8;1
196410;36.9;1
196411;28.4;1
196412;50;1
196501;60.7;1
196502;9.1;1
196503;88.1;1
196504;57.3;1
196505;79.2;1
196506;51.3;1
196507;117.7;1
196508;43.5;1
196509;203.3;1
196510;37.3;1
196511;92.1;1
196512;109.2;1
196601;45;1
196602;72.2;1
196603;38.4;1
196604;68.6;1
196605;60.1;1
196606;28.9;1
196607;68.2;1
196608;31.4;1
196609;26.3;1
196610;180.8;1
196611;126.4;1
196612;59.3;1
196701;44.2;1
196702;35.1;1
196703;54.2;1
196704;12.2;1
196705;100.7;1
196706;100.2;1
196707;63.6;1
196708;43.8;1
196709;103.4;1
196710;6.6;1
196711;163.2;1
196712;31.2;1
196801;60.8;1
196802;59.2;1
196803;14.2;1
196804;51.6;1
196805;121.7;1
196806;54.4;1
196807;49.9;1
196808;116.1;1
196809;143.7;1
196810;31.9;1
196811;102.3;1
196812;104.5;1
196901;58.6;1
196902;44.2;1
196903;55.4;1
196904;71.4;1
196905;82.5;1
196906;140.8;1
196907;26.6;1
196908;41;1
196909;45.1;1
196910;16.4;1
196911;58.8;1
196912;38.3;1
197001;76.4;1
197002;78.4;1
197003;79.3;1
197004;76.1;1
197005;95.9;1
197006;95.1;1
197007;25.7;1
197008;48.6;1
197009;42.5;1
197010;176;1
197011;98.8;1
197012;44.4;1
197101;48.9;1
197102;7.7;1
197103;86.4;1
197104;94.3;1
197105;97.3;1
197106;97.5;1
197107;31.8;1
197108;78.2;1
197109;29.9;1
197110;17.9;1
197111;134;1
197112;35.8;1
197201;57.7;1
197202;82.7;1
197203;37.7;1
197204;46.1;1
197205;27.6;1
197206;95.3;1
197207;37.4;1
197208;33.6;1
197209;27;1
197210;131.1;1
197211;35.3;1
197212;78.2;1
197301;45.6;1
197302;38;1
197303;16.1;1
197304;87.6;1
197305;80.7;1
197306;121.8;1
197307;94.9;1
197308;48.7;1
197309;60;1
197310;76.4;1
197311;25.7;1
197312;15.8;1
197401;21.6;1
197402;125.8;1
197403;52.6;1
197404;32.7;1
197405;56.5;1
197406;78;1
197407;57.5;1
197408;66.7;1
197409;143.9;1
197410;91.5;1
197411;130;1
197412;28.6;1
197501;75.1;1
197502;68.6;1
197503;73.8;1
197504;34.7;1
197505;105.3;1
197506;112.9;1
197507;28.9;1
197508;106.1;1
197509;146.7;1
197510;21.4;1
197511;118.9;1
197512;52.7;1
197601;24.8;1
197602;40.3;1
197603;16.3;1
197604;24.8;1
197605;13.3;1
197606;7.5;1
197607;95.6;1
197608;112.8;1
197609;174.4;1
197610;123.8;1
197611;113;1
197612;26.4;1
197701;87;1
197702;98.3;1
197703;89.2;1
197704;94.2;1
197705;128.7;1
197706;94.8;1
197707;128.4;1
197708;79.6;1
197709;3.8;1
197710;160.9;1
197711;43.6;1
197712;63.6;1
197801;44.6;1
197802;67.1;1
197803;84.7;1
197804;79.8;1
197805;57;1
197806;17.8;1
197807;31.3;1
197808;112.2;1
197809;20.2;1
197810;37;1
197811;10.6;1
197812;30.1;1
197901;85.1;1
197902;53.3;1
197903;79.4;1
197904;55.5;1
197905;67;1
197906;98.7;1
197907;25.5;1
197908;69.6;1
197909;56.4;1
197910;248.4;1
197911;28.6;1
197912;73.1;1
198001;32.9;1
198002;34.7;1
198003;112.2;1
198004;44.7;1
198005;62.1;1
198006;44.7;1
198007;63.7;1
198008;94.3;1
198009;167;1
198010;83.3;1
198011;52.4;1
198012;45.4;1
198101;60.7;1
198102;43.5;1
198103;63.2;1
198104;10.3;1
198105;172.6;1
198106;77.2;1
198107;74.9;1
198108;70.9;1
198109;146.6;1
198110;46.4;1
198111;18.3;1
198112;113.4;1
198201;61;1
198202;11;1
198203;44.3;1
198204;9.3;1
198205;60.9;1
198206;92.3;1
198207;75.3;1
198208;110.8;1
198209;74.8;1
198210;89.3;1
198211;186.5;1
198212;89;1
198301;13.1;1
198302;50.1;1
198303;120.5;1
198304;216.6;1
198305;163.8;1
198306;37.2;1
198307;3.1;1
198308;46.4;1
198309;61.1;1
198310;53.9;1
198311;17;1
198312;56.2;1
198401;75.7;1
198402;39.8;1
198403;60.7;1
198404;20;1
198405;88.3;1
198406;86;1
198407;15.4;1
198408;50.8;1
198409;76.8;1
198410;121.3;1
198411;62.1;1
198412;51.4;1
198501;39;1
198502;27.6;1
198503;92.5;1
198504;35;1
198505;179.7;1
198506;72.3;1
198507;39.3;1
198508;12.6;1
198509;14;1
198510;10.6;1
198511;6.6;1
198512;50.1;1
198601;70.7;1
198602;54.4;1
198603;28.8;1
198604;222.9;1
198605;93.3;1
198606;36.8;1
198607;56;1
198608;45.6;1
198609;88.9;1
198610;27.3;1
198611;46.6;1
198612;61.1;1
198701;32.3;1
198702;81.2;1
198703;39.7;1
198704;70.9;1
198705;72.4;1
198706;104.9;1
198707;47.5;1
198708;75.7;1
198709;32.1;1
198710;263.5;1
198711;71.9;1
198712;73.9;1
198801;74.5;1
198802;57.6;1
198803;78.8;1
198804;61.8;1
198805;155.2;1
198806;55;1
198807;86;1
198808;35.3;1
198809;51.1;1
198810;173.7;1
198811;22.9;1
198812;47.2;1
198901;11.9;1
198902;47.6;1
198903;29.7;1
198904;155.7;1
198905;58;1
198906;19.6;1
198907;26.7;1
198908;46.9;1
198909;43.9;1
198910;20;1
198911;127.5;1
198912;31.3;1
199001;43.9;1
199002;64;1
199003;20.2;1
199004;69.3;1
199005;69.1;1
199006;110.6;1
199007;7.1;1
199008;28.3;1
199009;24.2;1
199010;110;1
199011;134.8;1
199012;90.4;1
199101;19.9;1
199102;39.3;1
199103;116.4;1
199104;34.4;1
199105;16.2;1
199106;86.6;1
199107;37.4;1
199108;12.5;1
199109;165.7;1
199110;97.5;1
199111;62.9;1
199112;18.5;1
199201;22.4;1
199202;45.7;1
199203;76.7;1
199204;53.7;1
199205;88.5;1
199206;155.4;1
199207;40.8;1
199208;131.9;1
199209;101;1
199210;121.9;1
199211;139.8;1
199212;31.6;1
199301;8.9;1
199302;9.7;1
199303;7.6;1
199304;80;1
199305;110.8;1
199306;47.1;1
199307;102.8;1
199308;96.2;1
199309;232.7;1
199310;245.3;1
199311;49;1
199312;55.1;1
199401;135.8;1
199402;34.7;1
199403;17.2;1
199404;106.1;1
199405;81.8;1
199406;26.9;1
199407;58.9;1
199408;34.6;1
199409;223.3;1
199410;78.4;1
199411;100;1
199412;24.6;1
199501;71;1
199502;64.2;1
199503;44.1;1
199504;121.2;1
199505;106.2;1
199506;33.9;1
199507;29.9;1
199508;47.2;1
199509;155.9;1
199510;115.3;1
199511;54.9;1
199512;55.6;1
199601;57.4;1
199602;57.5;1
199603;38.5;1
199604;40.8;1
199605;118.3;1
199606;61.5;1
199607;78.5;1
199608;44.8;1
199609;23.9;1
199610;39.8;1
199611;244.3;1
199612;58.7;1
199701;74.3;1
199702;22.7;1
199703;3.8;1
199704;27;1
199705;66.8;1
199706;95.2;1
199707;30.6;1
199708;63.5;1
199709;11.9;1
199710;37.3;1
199711;83;1
199712;69.4;1
199801;59.1;1
199802;18.2;1
199803;34.2;1
199804;145.9;1
199805;114.1;1
199806;62.3;1
199807;67.3;1
199808;31.9;1
199809;120.2;1
199810;84.4;1
199811;95;1
199812;35.3;1
199901;73.1;1
199902;61.2;1
199903;69.5;1
199904;73;1
199905;53.8;1
199906;81;1
199907;38.7;1
199908;46.2;1
199909;101.5;1
199910;182.1;1
199911;74.1;1
199912;43.8;1
200001;17;1
200002;49.2;1
200003;40.3;1
200004;100;1
200005;66.8;1
200006;102.5;1
200007;35.3;1
200008;58.2;1
200009;63.5;1
200010;159;1
200011;108;1
200012;80.5;1
200101;70.7;1
200102;34.8;1
200103;135;1
200104;88.1;1
200105;90.6;1
200106;67.9;1
200107;83.1;1
200108;47.1;1
200109;76;1
200110;137.4;1
200111;35.4;1
200112;11.7;1
200201;33.9;1
200202;40.8;1
200203;54;1
200204;19;1
200205;155.1;1
200206;66.8;1
200207;78.1;1
200208;91.7;1
200209;122.3;1
200210;44.3;1
200211;266.7;1
200212;61.7;1
200301;51.6;1
200302;16.1;1
200303;17.3;1
200304;32.9;1
200305;43;1
200306;39.3;1
200307;34.2;1
200308;22.6;1
200309;36.4;1
200310;104.7;1
200311;65.5;1
200312;159.4;1
200401;64.2;1
200402;67.1;1
200403;68.5;1
200404;58.4;1
200405;26.8;1
200406;37.6;1
200407;29.8;1
200408;171.1;1
200409;27.5;1
200410;204.6;1
200411;69.3;1
200412;83.3;1
200501;33.4;1
200502;36.5;1
200503;23.7;1
200504;185.1;1
200505;46.1;1
200506;34.1;1
200507;19.9;1
200508;38.7;1
200509;31.3;1
200510;96.4;1
200511;62.7;1
200512;36.5;1
200601;45.7;1
200602;48.4;1
200603;86.3;1
200604;65.9;1
200605;61.7;1
200606;21.5;1
200607;90.9;1
200608;84.6;1
200609;63.9;1
200610;68.2;1
200611;110.1;1
200612;54.9;1
200701;40.3;1
200702;56.2;1
200703;44.7;1
200704;15.4;1
200705;154.1;1
200706;164.2;1
200707;56.7;1
200708;87.4;1
200709;71.4;1
200710;10.2;1
200711;98.6;1
200712;34.3;1
200801;50.4;1
200802;17.3;1
200803;50.4;1
200804;103;1
200805;113.5;1
200806;68;1
200807;106.5;1
200808;93;1
200809;178.9;1
200810;108.9;1
200811;100.5;1
200812;76.8;1
200901;35.8;1
200902;125.7;1
200903;32.4;1
200904;56.6;1
200905;42.8;1
200906;66.3;1
200907;71.3;1
200908;36.5;1
200909;39.8;1
200910;84.3;1
200911;78.2;1
200912;52.7;1
201001;62.2;1
201002;61.6;1
201003;43;1
201004;19.7;1
201005;120.1;1
201006;81.1;1
201007;22.7;1
201008;49.8;1
201009;92.6;1
201010;116.7;1
201011;106.8;1
201012;29.5;1
201101;36.9;1
201102;48.6;1
201103;41.3;1
201104;6.6;1
201105;24.7;1
201106;73.1;1
201107;122.7;1
201108;123.4;1
201109;53.6;1
201110;74.6;1
201111;69.4;1
201112;99.7;1
201201;33.8;1
201202;7.8;1
201203;32.1;1
201204;183.8;1
201205;90.9;1
201206;89;1
201207;106.1;1
201208;58.6;1
201209;157.2;1
201210;44.6;1
201211;200.5;1
201212;40.5;1
201301;59.6;1
201302;33.1;1
201303;77.8;1
201304;97.6;1
201305;222.4;1
201306;25.5;1
201307;78;1
201308;46.7;1
201309;84.7;1
201310;82.4;1
201311;141.2;1
201312;99;1
201401;109.7;1
201402;109.2;1
201403;15.4;1
201404;62.3;1
201405;82.4;1
201406;24.9;1
201407;150.4;1
201408;87.9;1
201409;52.5;1
201410;185.1;1
201411;237.4;1
201412;53.2;1
201501;122.3;1
201502;69.9;1
201503;41.5;1
201504;42.6;1
201505;43.2;1
201506;59.9;1
201507;45.2;1
201508;30.1;1
201509;185.3;1
201510;87.5;1
201511;33.9;1
201512;11.6;1
201601;60.8;1
201602;60.6;1
201603;79.6;1
201604;63.2;1
201605;85.1;1
201606;88.1;1
201607;47.4;1
201608;44.7;1
201609;27.7;1
201610;99.7;1
201611;114.7;1
201612;11.7;1
201701;23.7;1
201702;19.6;1
201703;61.4;1
201704;34.6;1
201705;101;1
201706;74.8;1
201707;64.9;1
201708;70.3;1
201709;56.2;1
201710;11.7;1
201711;75.6;1
201712;73.9;1
201801;100.4;1
201802;24.3;1
201803;91.4;1
201804;40.3;1
201805;154.5;1
201806;46.4;1
201807;68.6;1
201808;36.8;1
201809;8.3;1
201810;44.3;1
201811;87.8;1
201812;48.3;1
201901;39.8;1
201902;16.9;1
201903;24.1;1
201904;84.5;1
201905;39.5;1
201906;89.9;1
201907;38.6;1
201908;98.7;1
201909;26.6;1
201910;168.5;1
201911;153.5;1
201912;61.2;1
202001;13.8;1
202002;20.7;1
202003;40.3;1
202004;22.1;1
202005;103.7;1
202006;62.3;1
202007;23.5;1
202008;53.5;1
202009;46;1
202010;152.9;1
202011;27.8;1
202012;105;1
