# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 69108001
# NOM_USUEL= LANCIE
# LATITUDE (°) = 46.173
# LONGITUDE(°)= 4.717
# ALTITUDE (m) = 180
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-01-01
# NUM_SERIE= MRR069108001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195001 202012
# Date(s) de rupture(s) d'homogénéité : 197112 198012
#     Periode homogénéisée  195001 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;38.7;1
195002;74;1
195003;17.8;1
195004;96.5;1
195005;13.4;1
195006;22.4;1
195007;27.1;1
195008;138.9;1
195009;38.5;1
195010;12.1;1
195011;216.3;1
195012;47.9;1
195101;33.6;1
195102;66.5;1
195103;65.2;1
195104;17.7;1
195105;114.6;1
195106;86.9;1
195107;46.7;1
195108;107.1;1
195109;60.3;1
195110;52.6;1
195111;173.6;1
195112;30;1
195201;75.4;1
195202;51.2;1
195203;111.9;1
195204;59.7;1
195205;46.2;1
195206;74.6;1
195207;5.2;1
195208;141.1;1
195209;106.4;1
195210;119;1
195211;133.6;1
195212;72;1
195301;9.5;1
195302;13.7;1
195303;0.2;1
195304;46.8;1
195305;13.5;1
195306;120.9;1
195307;73;1
195308;47.5;1
195309;83.4;1
195310;87.2;1
195311;10.4;1
195312;25.7;1
195401;39.4;1
195402;33.5;1
195403;44.7;1
195404;38.8;1
195405;58.4;1
195406;44.1;1
195407;40.7;1
195408;186.2;1
195409;105.9;1
195410;38.8;1
195411;40.7;1
195412;102.5;1
195501;134.2;1
195502;77.5;1
195503;31.7;1
195504;0.4;1
195505;55;1
195506;124.7;1
195507;94.7;1
195508;78.6;1
195509;20.3;1
195510;30.6;1
195511;51.6;1
195512;53.8;1
195601;66.8;1
195602;8.5;1
195603;51.7;1
195604;42.5;1
195605;97.3;1
195606;51.8;1
195607;95;1
195608;88;1
195609;127.5;1
195610;69.5;1
195611;26;1
195612;56.2;1
195701;31.6;1
195702;107;1
195703;10.3;1
195704;39.1;1
195705;35.9;1
195706;127.1;1
195707;44;1
195708;37.1;1
195709;39.3;1
195710;26.2;1
195711;30;1
195712;46.5;1
195801;75.4;1
195802;30.8;1
195803;71.6;1
195804;18.9;1
195805;66.2;1
195806;77.5;1
195807;15.2;1
195808;69.2;1
195809;141.6;1
195810;51.5;1
195811;57.2;1
195812;67;1
195901;68;1
195902;0;1
195903;109.7;1
195904;73.5;1
195905;12.4;1
195906;107.6;1
195907;12.3;1
195908;66.5;1
195909;46;1
195910;40.9;1
195911;71.6;1
195912;55.2;1
196001;51.1;1
196002;71.6;1
196003;71.6;1
196004;15.3;1
196005;39.9;1
196006;96.1;1
196007;92;1
196008;92;1
196009;145.2;1
196010;184.1;1
196011;65.4;1
196012;66.5;1
196101;78.4;1
196102;55.2;1
196103;2.5;1
196104;69.7;1
196105;88;1
196106;30.9;1
196107;75.6;1
196108;104.5;1
196109;16.1;1
196110;127.5;1
196111;42.6;1
196112;74;1
196201;79.7;1
196202;64.7;1
196203;71.9;1
196204;64.9;1
196205;83.5;1
196206;26.2;1
196207;39.8;1
196208;36.8;1
196209;84.2;1
196210;29.1;1
196211;50.2;1
196212;111.7;1
196301;45.6;1
196302;52.5;1
196303;80.1;1
196304;45.8;1
196305;54.8;1
196306;96;1
196307;51;1
196308;181;1
196309;33.5;1
196310;56.5;1
196311;119.4;1
196312;13.1;1
196401;23.4;1
196402;34.6;1
196403;74;1
196404;46.7;1
196405;44.3;1
196406;40.7;1
196407;29.9;1
196408;48.2;1
196409;68.5;1
196410;59.7;1
196411;14.1;1
196412;45.4;1
196501;78.1;1
196502;6.7;1
196503;71.2;1
196504;75.3;1
196505;80.7;1
196506;53;1
196507;145.7;1
196508;40.4;1
196509;201.7;1
196510;30.8;1
196511;112.5;1
196512;132.5;1
196601;48.6;1
196602;108.6;1
196603;53.4;1
196604;78.4;1
196605;66.9;1
196606;58.7;1
196607;41.5;1
196608;39.7;1
196609;66.2;1
196610;128.8;1
196611;113.3;1
196612;84.3;1
196701;58.2;1
196702;48.8;1
196703;58.5;1
196704;18.4;1
196705;100.9;1
196706;49.3;1
196707;47.5;1
196708;73.3;1
196709;83.4;1
