# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 70252001
# NOM_USUEL= FRAMONT
# LATITUDE (°) = 47.58
# LONGITUDE(°)= 5.577
# ALTITUDE (m) = 220
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-12-31
# NUM_SERIE= MRR070252001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195901 201712
# Date(s) de rupture(s) d'homogénéité : 200812 201112
#     Periode homogénéisée  195901 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;126.9;1
195902;0;1
195903;97.9;1
195904;96.6;1
195905;32;1
195906;58.3;1
195907;24.6;1
195908;27;1
195909;9.3;1
195910;59.6;1
195911;91.9;1
195912;96.8;1
196001;60.9;1
196002;92.6;1
196003;42.6;1
196004;14.4;1
196005;94.9;1
196006;87.1;1
196007;86;1
196008;178.8;1
196009;112.1;1
196010;112.8;1
196011;86.2;1
196012;72.2;1
196101;85;1
196102;73.8;1
196103;13;1
196104;61.3;1
196105;69.5;1
196106;61.2;1
196107;97.8;1
196108;45;1
196109;16.8;1
196110;106.3;1
196111;71;1
196112;89.4;1
196201;87.6;1
196202;62.8;1
196203;126.2;1
196204;66.1;1
196205;97.3;1
196206;0;1
196207;34.8;1
196208;68.4;1
196209;66.8;1
196210;20.9;1
196211;43.5;1
196212;75.9;1
196301;30.6;1
196302;28.8;1
196303;80.5;1
196304;76.8;1
196305;72.7;1
196306;142.2;1
196307;32.2;1
196308;163.8;1
196309;39.2;1
196310;29.3;1
196311;128.8;1
196312;10.7;1
196401;34.7;1
196402;21.2;1
196403;91;1
196404;40.1;1
196405;37.1;1
196406;9.1;1
196407;30.9;1
196408;64.7;1
196409;66.4;1
196410;41.3;1
196411;39.3;1
196412;25.1;1
196501;116.6;1
196502;8.9;1
196503;99.7;1
196504;64.8;1
196505;108.4;1
196506;64.9;1
196507;69.9;1
196508;62.9;1
196509;196.8;1
196510;22.5;1
196511;97;1
196512;145.7;1
196601;70.4;1
196602;59.2;1
196603;42.4;1
196604;64.5;1
196605;118.5;1
196606;83.2;1
196607;62.6;1
196608;122.7;1
196609;12.9;1
196610;73.6;1
196611;80.6;1
196612;148.8;1
196701;45.2;1
196702;67.8;1
196703;39.6;1
196704;24.2;1
196705;121.9;1
196706;23.3;1
196707;46.9;1
196708;51.9;1
196709;125.7;1
196710;80.7;1
196711;87.5;1
196712;74.4;1
196801;81.8;1
196802;80.3;1
196803;34.6;1
196804;84.4;1
196805;74.5;1
196806;32.2;1
196807;69.7;1
196808;160;1
196809;240.5;1
196810;43.7;1
196811;75.2;1
196812;120.5;1
196901;58;1
196902;57.1;1
196903;90.1;1
196904;108.8;1
196905;74;1
196906;80.2;1
196907;47.1;1
196908;55.3;1
196909;8.5;1
196910;2.4;1
196911;106;1
196912;74.2;1
197001;81.7;1
197002;176;1
197003;85;1
197004;118.8;1
197005;43.4;1
197006;193.7;1
197007;47.9;1
197008;47.2;1
197009;46.6;1
197010;66.2;1
197011;56.9;1
197012;30.4;1
197101;51.3;1
197102;20.3;1
197103;58.6;1
197104;23.1;1
197105;40.5;1
197106;93.5;1
197107;41.1;1
197108;67.5;1
197109;15.1;1
197110;23.9;1
197111;79.8;1
197112;19.6;1
197201;36.2;1
197202;48.3;1
197203;52.7;1
197204;48;1
197205;48.5;1
197206;88.1;1
197207;61.5;1
197208;58.3;1
197209;11.9;1
197210;26.9;1
197211;146;1
197212;48.1;1
197301;44.8;1
197302;44.6;1
197303;13.9;1
197304;43.4;1
197305;63.8;1
197306;20.4;1
197307;74.2;1
197308;88.1;1
197309;55.3;1
197310;46.1;1
197311;60;1
197312;73.9;1
197401;45.5;1
197402;69.6;1
197403;79;1
197404;22.5;1
197405;44.4;1
197406;49.7;1
197407;70;1
197408;65.3;1
197409;98.1;1
197410;156.1;1
197411;96;1
197412;87.5;1
197501;91.4;1
197502;9;1
197503;65.6;1
197504;60.3;1
197505;62.5;1
197506;63.9;1
197507;41;1
197508;106.8;1
197509;112.4;1
197510;39.5;1
197511;137.4;1
197512;22.7;1
197601;53.7;1
197602;67;1
197603;13.4;1
197604;26.4;1
197605;81.5;1
197606;15.9;1
197607;66.1;1
197608;26;1
197609;116.4;1
197610;69.5;1
197611;112.3;1
197612;80.5;1
197701;125.4;1
197702;157.3;1
197703;51.1;1
197704;59.3;1
197705;100.2;1
197706;133.7;1
197707;112.9;1
197708;129.5;1
197709;18.7;1
197710;108.9;1
197711;107.9;1
197712;94.9;1
197801;68.8;1
197802;96.6;1
197803;120.5;1
197804;54.2;1
197805;93.6;1
197806;67.6;1
197807;84.5;1
197808;72.9;1
197809;44.5;1
197810;16.6;1
197811;17.8;1
197812;115.1;1
197901;83.2;1
197902;108.8;1
197903;116.4;1
197904;64.7;1
197905;87.9;1
197906;63.3;1
197907;18.5;1
197908;119;1
197909;19.3;1
197910;98.9;1
197911;62.1;1
197912;101.2;1
198001;87.6;1
198002;91.2;1
198003;73.3;1
198004;19.8;1
198005;56.4;1
198006;107.4;1
198007;63.8;1
198008;67.1;1
198009;48.8;1
198010;66.3;1
198011;49;1
198012;86.1;1
198101;108.5;1
198102;43.4;1
198103;97.2;1
198104;15.9;1
198105;93;1
198106;136.3;1
198107;65;1
198108;78.6;1
198109;172.4;1
198110;156;1
198111;48.9;1
198112;221.4;1
198201;121.1;1
198202;20.1;1
198203;86.4;1
198204;11.1;1
198205;63.8;1
198206;117.5;1
198207;112.1;1
198208;107.1;1
198209;109.3;1
198210;130.8;1
198211;114.7;1
198212;167.2;1
198301;91.6;1
198302;68.1;1
198303;51;1
198304;205.7;1
198305;231.2;1
198306;46.6;1
198307;19.2;1
198308;61.9;1
198309;107;1
198310;73.7;1
198311;44.4;1
198312;53.1;1
198401;145.7;1
198402;79.5;1
198403;45.9;1
198404;19.9;1
198405;84.8;1
198406;66.7;1
198407;56.7;1
198408;30.3;1
198409;118.4;1
198410;111.5;1
198411;89.8;1
198412;48.5;1
198501;72.5;1
198502;30.8;1
198503;62.6;1
198504;61;1
198505;97.9;1
198506;75.7;1
198507;53.6;1
198508;35.9;1
198509;16.8;1
198510;12.2;1
198511;74.4;1
198512;74.6;1
198601;107.8;1
198602;54.6;1
198603;96.3;1
198604;156.9;1
198605;94.7;1
198606;36.9;1
198607;59.2;1
198608;93;1
198609;93.4;1
198610;77.2;1
198611;60.1;1
198612;90;1
198701;37;1
198702;83.8;1
198703;63.9;1
198704;33.2;1
198705;112.8;1
198706;202;1
198707;80.2;1
198708;57.9;1
198709;93.3;1
198710;90.4;1
198711;61.5;1
198712;53;1
198801;125.3;1
198802;96.9;1
198803;134.1;1
198804;47.6;1
198805;161;1
198806;45.7;1
198807;89.8;1
198808;43.5;1
198809;75.9;1
198810;109.8;1
198811;50.6;1
198812;71.7;1
198901;29.1;1
198902;71.6;1
198903;53.5;1
198904;138.4;1
198905;35.8;1
198906;54.3;1
198907;158.2;1
198908;50.2;1
198909;32.2;1
198910;51;1
198911;61.9;1
198912;92.4;1
199001;75.9;1
199002;97.6;1
199003;26.4;1
199004;57.7;1
199005;54;1
199006;138.7;1
199007;29.7;1
199008;30.4;1
199009;72.4;1
199010;80.2;1
199011;110.3;1
199012;96.4;1
199101;52.7;1
199102;46.5;1
199103;76.9;1
199104;35.6;1
199105;13.2;1
199106;68;1
199107;76.7;1
199108;19.7;1
199109;159.2;1
199110;55.4;1
199111;96.6;1
199112;46.3;1
199201;20.5;1
199202;43.2;1
199203;90.6;1
199204;62.5;1
199205;47.8;1
199206;50.7;1
199207;66.1;1
199208;121.8;1
199209;38.6;1
199210;95;1
199211;135.7;1
199212;43.6;1
199301;43.6;1
199302;11.7;1
199303;6.8;1
199304;60.4;1
199305;81.1;1
199306;93.5;1
199307;66.9;1
199308;34.8;1
199309;134.8;1
199310;205.3;1
199311;23.9;1
199312;144.5;1
199401;135.2;1
199402;85.7;1
199403;37.9;1
199404;75.7;1
199405;100.8;1
199406;51.1;1
199407;96.6;1
199408;63.1;1
199409;130.4;1
199410;59.8;1
199411;35.8;1
199412;90.6;1
199501;153.2;1
199502;106.3;1
199503;100.9;1
199504;58.2;1
199505;128;1
199506;36.2;1
199507;83.3;1
199508;108.6;1
199509;115;1
199510;35;1
199511;50;1
199512;102.9;1
199601;43.2;1
199602;59.4;1
199603;5.6;1
199604;13.4;1
199605;151.5;1
199606;39.6;1
199607;61.1;1
199608;66;1
199609;13.5;1
199610;48.1;1
199611;265;1
199612;60.4;1
199701;42.2;1
199702;69.5;1
199703;14.7;1
199704;29.2;1
199705;84;1
199706;127.1;1
199707;89.1;1
199708;69.2;1
199709;20;1
199710;49.7;1
199711;145.6;1
199712;104.1;1
199801;97.3;1
199802;21;1
199803;31.6;1
199804;181.5;1
199805;38.2;1
199806;67.2;1
199807;49.8;1
199808;46.6;1
199809;155.2;1
199810;124.9;1
199811;67.9;1
199812;41.2;1
199901;92.4;1
199902;121;1
199903;85.9;1
199904;78.4;1
199905;110.8;1
199906;86.4;1
199907;123.5;1
199908;37.6;1
199909;118.7;1
199910;102.8;1
199911;46.8;1
199912;167.4;1
200001;35.5;1
200002;116.2;1
200003;46.1;1
200004;55.8;1
200005;73.9;1
200006;33.8;1
200007;112.7;1
200008;76.9;1
200009;61.1;1
200010;90.2;1
200011;171.9;1
200012;74.8;1
200101;83.1;1
200102;43.5;1
200103;193;1
200104;117.4;1
200105;75.6;1
200106;87.5;1
200107;86.6;1
200108;51;1
200109;71.2;1
200110;90.4;1
200111;72.5;1
200112;57.5;1
200201;46.2;1
200202;112;1
200203;47.2;1
200204;29;1
200205;81.6;1
200206;46.4;1
200207;90.3;1
200208;75.2;1
200209;41.7;1
200210;82.3;1
200211;197.3;1
200212;89.3;1
200301;79.9;1
200302;33.4;1
200303;28.8;1
200304;49.8;1
200305;59;1
200306;47.1;1
200307;86.5;1
200308;26.9;1
200309;39;1
200310;161.7;1
200311;61.9;1
200312;42.4;1
200401;148.8;1
200402;24.1;1
200403;36.5;1
200404;23.6;1
200405;122.3;1
200406;76.1;1
200407;96.4;1
200408;138.8;1
200409;18.5;1
200410;152.6;1
200411;39.7;1
200412;71;1
200501;41.3;1
200502;33.4;1
200503;35;1
200504;116.5;1
200505;85.1;1
200506;65.1;1
200507;68.6;1
200508;19.4;1
200509;41.3;1
200510;39.5;1
200511;67.5;1
200512;69.1;1
200601;48.2;1
200602;71;1
200603;155.9;1
200604;73.1;1
200605;113.3;1
200606;49.9;1
200607;44.2;1
200608;159.2;1
200609;47.8;1
200610;101.6;1
200611;52.2;1
200612;46.3;1
200701;70.1;1
200702;95;1
200703;93.8;1
200704;32.8;1
200705;98.4;1
200706;99.2;1
200707;145;1
200708;100.5;1
200709;65.3;1
200710;19.5;1
200711;77.3;1
200712;84.5;1
200801;72.3;1
200802;37;1
200803;88.4;1
200804;103.3;1
200805;100.8;1
200806;44.9;1
200807;33.6;1
200808;143.5;1
200809;74.1;1
200810;121.1;1
200811;47.8;1
200812;54;1
200901;32.7;1
200902;73.4;1
200903;54.7;1
200904;66.3;1
200905;50.7;1
200906;100.2;1
200907;138;1
200908;44.4;1
200909;59.1;1
200910;45.8;1
200911;138.1;1
200912;117.9;1
201001;47.2;1
201002;89.6;1
201003;47.1;1
201004;47.4;1
201005;61.4;1
201006;85.8;1
201007;93.1;1
201008;123.8;1
201009;69.6;1
201010;54.4;1
201011;106.4;1
201012;146.6;1
201101;53.4;1
201102;32;1
201103;37.9;1
201104;25.4;1
201105;40.5;1
201106;74.9;1
201107;137.1;1
201108;88.8;1
201109;20;1
201110;70.7;1
201111;29.7;1
201112;162.1;1
201201;96.1;1
201202;8.6;1
201203;43.1;1
201204;93.1;1
201205;129;1
201206;85.7;1
201207;116.7;1
201208;55.7;1
201209;93.4;1
201210;89;1
201211;107.7;1
201212;135.2;1
201301;70.7;1
201302;58;1
201303;53.1;1
201304;140.5;1
201305;145.4;1
201306;74.3;1
201307;93.6;1
201308;78.1;1
201309;74.3;1
201310;132.5;1
201311;114.3;1
201312;68.4;1
201401;79.6;1
201402;98;1
201403;20.2;1
201404;20.7;1
201405;41.5;1
201406;43.1;1
201407;155.8;1
201408;84.3;1
201409;22;1
201410;113.9;1
201411;148.6;1
201412;77.8;1
201501;101.7;1
201502;37.7;1
201503;36.1;1
201504;59.8;1
201505;61.9;1
201506;43.5;1
201507;20.1;1
201508;78;1
201509;113.9;1
201510;43.5;1
201511;58;1
201512;27;1
201601;135.9;1
201602;91.1;1
201603;102.6;1
201604;118.5;1
201605;105.6;1
201606;124.7;1
201607;62.2;1
201608;43.9;1
201609;47;1
201610;60.7;1
201611;106.6;1
201612;9.2;1
201701;41.2;1
201702;52.5;1
201703;94.4;1
201704;30.8;1
201705;83.3;1
201706;64.7;1
201707;57.4;1
201708;55.5;1
201709;74.8;1
201710;24.3;1
201711;116.5;1
201712;114.7;1
201801;199;0
201802;56.5;0
201803;148.9;0
201804;59.7;0
201805;140.5;0
201806;53.6;0
201807;93.9;0
201808;62.3;0
201809;16.9;0
201810;22.8;0
201811;60.9;0
201812;110.6;0
201901;53.6;0
201902;21;0
201903;79.2;0
201904;79.6;0
201905;54.8;0
201906;72.8;0
201907;52.6;0
201908;40.7;0
201909;44.8;0
201910;117.8;0
201911;104.8;0
201912;126.8;0
202001;28.2;0
202002;93.2;0
202003;77.5;0
202004;41.7;0
202005;87.9;0
202006;58.2;0
202007;28.2;0
202008;60.9;0
202009;62;0
202010;146.9;0
202011;21.7;0
202012;112.2;0
202101;99;0
202102;70.8;0
202103;57.4;0
202104;32.5;0
202105;150.6;0
202106;78.7;0
202107;143.1;0
202108;33.4;0
202109;61.3;0
202110;79.6;0
202111;47.7;0
202112;89.6;0
