# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 70372001
# NOM_USUEL= MONTUREUX-LES-B
# LATITUDE (°) = 47.818
# LONGITUDE(°)= 5.981
# ALTITUDE (m) = 217
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-12-31
# NUM_SERIE= MRR070372001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201712
# Date(s) de rupture(s) d'homogénéité : 196012 197012
#     Periode homogénéisée  195101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;70;1
195102;71;1
195103;79.5;1
195104;54.8;1
195105;84.4;1
195106;122.7;1
195107;50;1
195108;90.7;1
195109;54.4;1
195110;29.5;1
195111;145.6;1
195112;49;1
195201;98.5;1
195202;50.2;1
195203;101.7;1
195204;21.7;1
195205;43.9;1
195206;60.6;1
195207;25.1;1
195208;67.6;1
195209;119.1;1
195210;170.2;1
195211;121.8;1
195212;89.4;1
195301;10.8;1
195302;39.5;1
195303;4;1
195304;39.3;1
195305;32.4;1
195306;125.7;1
195307;148.3;1
195308;18.8;1
195309;95.6;1
195310;33;1
195311;18;1
195312;23.1;1
195401;60.7;1
195402;37.6;1
195403;37.5;1
195404;37.5;1
195405;43.1;1
195406;48.1;1
195407;50.5;1
195408;190.8;1
195409;81.9;1
195410;73.6;1
195411;65.9;1
195412;97.8;1
195501;142.4;1
195502;88.4;1
195503;64.4;1
195504;11.1;1
195505;76.7;1
195506;108.3;1
195507;136.1;1
195508;51.2;1
195509;50.2;1
195510;53.3;1
195511;21.7;1
195512;113.1;1
195601;72.4;1
195602;11;1
195603;35.3;1
195604;54.3;1
195605;34.8;1
195606;80.6;1
195607;126.7;1
195608;109.7;1
195609;100.7;1
195610;67.3;1
195611;46.3;1
195612;29.3;1
195701;32.9;1
195702;125.6;1
195703;41.9;1
195704;6.8;1
195705;41.8;1
195706;104.2;1
195707;92.1;1
195708;39.6;1
195709;90.4;1
195710;25.6;1
195711;24.1;1
195712;39.9;1
195801;105.1;1
195802;131.6;1
195803;39.6;1
195804;34.4;1
195805;107.1;1
195806;114.4;1
195807;55.6;1
195808;134.5;1
195809;73.9;1
195810;59.8;1
195811;42.3;1
195812;91.8;1
195901;118.7;1
195902;0;1
195903;69;1
195904;77.8;1
195905;20.9;1
195906;70.9;1
195907;19.3;1
195908;50;1
195909;12.8;1
195910;51.9;1
195911;55.9;1
195912;90.3;1
196001;63.2;1
196002;96.4;1
196003;40.1;1
196004;20.3;1
196005;57.5;1
196006;101.6;1
196007;83;1
196008;177.6;1
196009;115.9;1
196010;105.3;1
196011;83.8;1
196012;64.5;1
196101;90.3;1
196102;68.6;1
196103;18.7;1
196104;58.9;1
196105;82.8;1
196106;77.3;1
196107;91.1;1
196108;57.7;1
196109;18;1
