# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 71351001
# NOM_USUEL= PIERRE DE BRESSE
# LATITUDE (°) = 46.885
# LONGITUDE(°)= 5.27
# ALTITUDE (m) = 208
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR071351001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : 197809
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;62;1
195102;61.9;1
195103;65.3;1
195104;44.5;1
195105;92.6;1
195106;164.1;1
195107;61.2;1
195108;175.8;1
195109;51.7;1
195110;47.6;1
195111;184.2;1
195112;42.5;1
195201;73;1
195202;58.3;1
195203;108.6;1
195204;62.7;1
195205;62.3;1
195206;68.3;1
195207;10.8;1
195208;100.1;1
195209;100.9;1
195210;138.6;1
195211;115.4;1
195212;122.1;1
195301;16.5;1
195302;28.1;1
195303;10;1
195304;55;1
195305;14;1
195306;170.2;1
195307;146.3;1
195308;48.9;1
195309;88.8;1
195310;40.9;1
195311;24;1
195312;22.4;1
195401;47.1;1
195402;46.9;1
195403;58.2;1
195404;45.2;1
195405;48.6;1
195406;48.7;1
195407;42.1;1
195408;177.8;1
195409;99.3;1
195410;60.7;1
195411;68.7;1
195412;86.2;1
195501;137.7;1
195502;84.5;1
195503;38.9;1
195504;4.5;1
195505;101.1;1
195506;101.7;1
195507;97.2;1
195508;87.7;1
195509;34.7;1
195510;43.2;1
195511;53.4;1
195512;93.1;1
195601;78.8;1
195602;11.9;1
195603;42.8;1
195604;61.2;1
195605;59.5;1
195606;108.6;1
195607;127.7;1
195608;124;1
195609;163.4;1
195610;119.7;1
195611;31.3;1
195612;37.9;1
195701;29.5;1
195702;153.6;1
195703;27.3;1
195704;17.2;1
195705;74.7;1
195706;115.5;1
195707;49.3;1
195708;34.2;1
195709;46.7;1
195710;26.9;1
195711;28.5;1
195712;59;1
195801;104.5;1
195802;64.2;1
195803;55.2;1
195804;42.4;1
195805;76.2;1
195806;95;1
195807;44.1;1
195808;135.7;1
195809;122.6;1
195810;79.1;1
195811;42.8;1
195812;113.9;1
195901;77.3;1
195902;3.1;1
195903;97.5;1
195904;115.7;1
195905;25.7;1
195906;80;1
195907;20.8;1
195908;48.6;1
195909;29.7;1
195910;63.6;1
195911;88.8;1
195912;84.8;1
196001;63.1;1
196002;60;1
196003;67.7;1
196004;23.5;1
196005;31;1
196006;79.5;1
196007;80.7;1
196008;159.9;1
196009;156.2;1
196010;149.5;1
196011;89;1
196012;80.3;1
196101;65.9;1
196102;53.4;1
196103;13.4;1
196104;93;1
196105;55.9;1
196106;52.8;1
196107;89.3;1
196108;80.5;1
196109;11.1;1
196110;137.9;1
196111;53.7;1
196112;78.4;1
196201;99;1
196202;66;1
196203;132.7;1
196204;60.6;1
196205;78.6;1
196206;26.7;1
196207;49.2;1
196208;47.9;1
196209;105.3;1
196210;34.9;1
196211;27.2;1
196212;67.3;1
196301;53.7;1
196302;45.3;1
196303;81.8;1
196304;49.3;1
196305;50.5;1
196306;184;1
196307;26.6;1
196308;123.6;1
196309;28.3;1
196310;34.3;1
196311;190.2;1
196312;8.9;1
196401;37.8;1
196402;21.9;1
196403;66.8;1
196404;52.5;1
196405;33.2;1
196406;27;1
196407;9.2;1
196408;41.3;1
196409;57.9;1
196410;52.3;1
196411;21.1;1
196412;47.1;1
196501;107.4;1
196502;7.7;1
196503;92.1;1
196504;71.1;1
196505;158.8;1
196506;43.5;1
196507;119.5;1
196508;106;1
196509;221.8;1
196510;23.9;1
196511;97.3;1
196512;119;1
196601;61.7;1
196602;118;1
196603;37.6;1
196604;70.7;1
196605;67.3;1
196606;60.4;1
196607;34.8;1
196608;90.6;1
196609;25.2;1
196610;112.3;1
196611;86.5;1
196612;107.5;1
196701;63.4;1
196702;58.7;1
196703;62;1
196704;19.1;1
196705;132.7;1
196706;38;1
196707;14.3;1
196708;61.2;1
196709;137.5;1
196710;47.8;1
196711;98.6;1
196712;60.5;1
196801;100.6;1
196802;65.8;1
196803;31.6;1
196804;88.5;1
196805;90.4;1
196806;81.9;1
196807;64;1
196808;114.9;1
196809;155.4;1
196810;55.6;1
196811;109.2;1
196812;89.5;1
196901;51.8;1
196902;56.5;1
196903;65.9;1
196904;108.3;1
196905;80;1
196906;84.8;1
196907;33;1
196908;65.9;1
196909;37.7;1
196910;8.5;1
196911;103.6;1
196912;51.8;1
197001;89.5;1
197002;127.1;1
197003;70.6;1
197004;94.2;1
197005;42.4;1
197006;108.3;1
197007;47.1;1
197008;75.3;1
197009;65.9;1
197010;70.6;1
197011;84.8;1
197012;33;1
197101;47.1;1
197102;16.5;1
197103;83.1;1
197104;45.4;1
197105;29.6;1
197106;110.6;1
197107;52.1;1
197108;80.2;1
197109;8.9;1
197110;21.8;1
197111;103.9;1
197112;36.8;1
197201;33.1;1
197202;74.8;1
197203;44;1
197204;66.8;1
197205;51;1
197206;85.4;1
197207;43.7;1
197208;63.4;1
197209;7.8;1
197210;49;1
197211;129.8;1
197212;67.1;1
197301;60.2;1
197302;45.8;1
197303;9.5;1
197304;63.1;1
197305;69.7;1
197306;39.2;1
197307;74.4;1
197308;39.3;1
197309;92.4;1
197310;55.6;1
197311;51.7;1
197312;60;1
197401;45.4;1
197402;72;1
197403;44.7;1
197404;20.5;1
197405;57.2;1
197406;51.6;1
197407;49.9;1
197408;43.6;1
197409;96.7;1
197410;151.7;1
197411;107;1
197412;50.7;1
197501;72.7;1
197502;13;1
197503;84.1;1
197504;59;1
197505;76;1
197506;35.1;1
