# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 72032001
# NOM_USUEL= BERFAY
# LATITUDE (°) = 47.998
# LONGITUDE(°)= 0.771
# ALTITUDE (m) = 158
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR072032001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : 195512 196712 199806
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;52.4;1
195102;59.7;1
195103;58.3;1
195104;56.6;1
195105;110.2;1
195106;118;1
195107;43.1;1
195108;124.9;1
195109;52.1;1
195110;34.2;1
195111;65.9;1
195112;60.4;1
195201;88.3;1
195202;49.9;1
195203;70.5;1
195204;16.9;1
195205;72.5;1
195206;20.6;1
195207;29.6;1
195208;71.1;1
195209;141;1
195210;102.9;1
195211;83.3;1
195212;94.1;1
195301;13.1;1
195302;26.2;1
195303;0;1
195304;51.1;1
195305;20.7;1
195306;54;1
195307;92.3;1
195308;18.6;1
195309;57.8;1
195310;67.2;1
195311;26.1;1
195312;12.7;1
195401;16.2;1
195402;53.4;1
195403;67.4;1
195404;3.1;1
195405;30.4;1
195406;64.3;1
195407;26.4;1
195408;53.9;1
195409;77.4;1
195410;23.1;1
195411;46.7;1
195412;68.5;1
195501;117.4;1
195502;72.6;1
195503;29.9;1
195504;0;1
195505;30;1
195506;59.5;1
195507;116.6;1
195508;32.9;1
195509;32.9;1
195510;61.8;1
195511;39.8;1
195512;81.9;1
195601;89.5;1
195602;7.7;1
195603;13.6;1
195604;52;1
195605;68.2;1
195606;41.2;1
195607;50.6;1
195608;93.4;1
195609;42.5;1
195610;45.8;1
195611;30.3;1
195612;43.3;1
195701;30.6;1
195702;120.9;1
195703;20.8;1
195704;42.6;1
195705;20.8;1
195706;148.7;1
195707;90.3;1
195708;48.8;1
195709;73.8;1
195710;12.6;1
195711;49.9;1
195712;61.3;1
195801;111.4;1
195802;107.7;1
195803;54.6;1
195804;63.9;1
195805;88.1;1
195806;91.3;1
195807;42.7;1
195808;76.3;1
195809;61.5;1
195810;55.5;1
195811;79.5;1
195812;83.2;1
195901;99;1
195902;0;1
195903;47.4;1
195904;92.4;1
195905;34.7;1
195906;47.1;1
195907;20;1
195908;30.2;1
195909;6.3;1
195910;62.1;1
195911;49.6;1
195912;108.7;1
196001;40;1
196002;56.6;1
196003;57.9;1
196004;35;1
196005;69.7;1
196006;33.6;1
196007;55.8;1
196008;71.7;1
196009;95;1
196010;160.1;1
196011;168.8;1
196012;125.5;1
196101;115;1
196102;47.2;1
196103;3;1
196104;49.8;1
196105;51;1
196106;44.3;1
196107;86.5;1
196108;2.9;1
196109;67.2;1
196110;86.8;1
196111;81.8;1
196112;91.8;1
196201;86.8;1
196202;32.9;1
196203;103.5;1
196204;47.8;1
196205;39;1
196206;16.6;1
196207;52.5;1
196208;21.8;1
196209;65.4;1
196210;74.8;1
196211;157.2;1
196212;53.7;1
196301;30.1;1
196302;42.7;1
196303;84.8;1
196304;67.3;1
