# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 72276001
# NOM_USUEL= SAINT COSME EN VAI
# LATITUDE (°) = 48.286
# LONGITUDE(°)= 0.467
# ALTITUDE (m) = 115
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR072276001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195301 202012
# Date(s) de rupture(s) d'homogénéité : 197405
#     Periode homogénéisée  195301 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;20.2;1
195302;49.2;1
195303;1.4;1
195304;64.8;1
195305;7.8;1
195306;23;1
195307;146.2;1
195308;30.3;1
195309;74.9;1
195310;46.7;1
195311;20.1;1
195312;13.3;1
195401;27.3;1
195402;60.1;1
195403;75.3;1
195404;0;1
195405;24.3;1
195406;26.3;1
195407;32;1
195408;55.8;1
195409;75.3;1
195410;40.3;1
195411;62.4;1
195412;80;1
195501;122;1
195502;93.1;1
195503;23.6;1
195504;4.8;1
195505;42.8;1
195506;94.1;1
195507;59.8;1
195508;59.9;1
195509;40.4;1
195510;47.9;1
195511;17.3;1
195512;101.6;1
195601;97.5;1
195602;7;1
195603;31.5;1
195604;69.2;1
195605;49;1
195606;30.7;1
195607;120.7;1
195608;78.7;1
195609;37.1;1
195610;62.4;1
195611;34.8;1
195612;44.2;1
195701;27.1;1
195702;114.8;1
195703;35.3;1
195704;46.7;1
195705;24.2;1
195706;63.7;1
195707;58.3;1
195708;68.1;1
195709;94.8;1
195710;25.9;1
195711;69.8;1
195712;41.2;1
195801;125.5;1
195802;102.3;1
195803;57.8;1
195804;37.9;1
195805;52.6;1
195806;92.4;1
195807;22.1;1
195808;73.5;1
195809;11.9;1
195810;37.9;1
195811;49.2;1
195812;72.1;1
195901;99.3;1
195902;0;1
195903;45.2;1
195904;68.5;1
195905;41.1;1
195906;38.6;1
195907;23.6;1
195908;35.1;1
195909;14.3;1
195910;66.1;1
195911;47.1;1
195912;122.5;1
196001;52;1
196002;51.2;1
196003;79.1;1
196004;24.2;1
196005;56.2;1
196006;96.8;1
196007;100.3;1
196008;84.1;1
196009;148.2;1
196010;151.9;1
196011;144.2;1
196012;128.4;1
196101;109.1;1
196102;53.3;1
196103;4.4;1
196104;57;1
196105;52.5;1
196106;47.6;1
196107;84.6;1
196108;1.7;1
196109;37.2;1
196110;128.9;1
196111;70.2;1
196112;78.9;1
196201;81.6;1
196202;46;1
196203;92.4;1
196204;55.9;1
196205;41.4;1
196206;41;1
196207;55.2;1
196208;29.9;1
196209;54;1
196210;70.1;1
196211;135.1;1
196212;44.4;1
196301;25.4;1
196302;37.2;1
196303;85.6;1
196304;60.5;1
196305;37.5;1
196306;75.5;1
196307;43.5;1
196308;121.7;1
196309;36.9;1
196310;35.5;1
196311;113.4;1
196312;12.7;1
196401;31.1;1
196402;119.5;1
196403;70.8;1
196404;44.4;1
196405;52.1;1
196406;91.7;1
196407;15.8;1
196408;18.4;1
196409;35.7;1
196410;76.9;1
196411;20.5;1
196412;77.2;1
196501;107.2;1
196502;8.1;1
196503;83.1;1
196504;51;1
196505;52.1;1
196506;28.3;1
196507;46.1;1
196508;84.6;1
196509;115.7;1
196510;23.1;1
196511;128.7;1
196512;115.2;1
196601;113.8;1
196602;56;1
196603;29.6;1
196604;100.8;1
196605;44.8;1
196606;42.9;1
196607;93.5;1
196608;66.6;1
196609;27.3;1
196610;209.7;1
196611;98.3;1
196612;97.2;1
196701;29.7;1
196702;64.1;1
196703;66.2;1
196704;60;1
196705;113.8;1
196706;19.1;1
196707;5.9;1
196708;72.1;1
196709;105.9;1
196710;91.5;1
196711;77.6;1
196712;87.6;1
196801;109.3;1
196802;78.5;1
196803;46.7;1
196804;47.1;1
196805;66.3;1
196806;84.7;1
196807;49.1;1
196808;68;1
196809;91.6;1
196810;39.8;1
196811;21.2;1
196812;46.6;1
196901;43.4;1
196902;35.2;1
196903;71.8;1
196904;30.8;1
196905;66.7;1
196906;34.2;1
196907;77.5;1
196908;7.4;1
196909;17.9;1
196910;15.8;1
196911;159.8;1
196912;74.2;1
197001;64.9;1
197002;105.2;1
197003;48.7;1
197004;33.5;1
197005;33.6;1
197006;47.2;1
197007;33.1;1
197008;62.2;1
197009;38.6;1
197010;15.8;1
197011;97.4;1
197012;24;1
197101;83.8;1
197102;50.4;1
197103;31.7;1
197104;39.4;1
197105;101.7;1
197106;50.5;1
197107;23.6;1
197108;73.7;1
197109;22.6;1
197110;12.5;1
197111;76.4;1
197112;18.2;1
197201;70.3;1
197202;88;1
197203;47.9;1
197204;43.8;1
197205;45.1;1
197206;60.9;1
197207;42.8;1
197208;62.9;1
197209;45.7;1
197210;16.6;1
197211;107.2;1
197212;23.7;1
197301;29.5;1
197302;54.6;1
197303;5.8;1
197304;54.8;1
197305;110.7;1
197306;34.7;1
197307;67;1
197308;36.8;1
197309;97.8;1
197310;40.2;1
197311;41;1
197312;55.9;1
197401;67.7;1
197402;65.1;1
197403;61.7;1
197404;22.3;1
197405;39.4;1
197406;35.8;1
197407;20.4;1
197408;63.6;1
197409;94.1;1
197410;92.5;1
197411;97;1
197412;31.8;1
197501;109.2;1
197502;18.6;1
197503;63;1
197504;66;1
197505;74.9;1
197506;46;1
197507;73.7;1
197508;73.1;1
197509;107.1;1
197510;30.1;1
197511;62.3;1
197512;17.9;1
197601;17.9;1
197602;48.1;1
197603;35.3;1
197604;7.4;1
197605;11.8;1
197606;0.4;1
197607;66.1;1
197608;10.2;1
197609;65.3;1
197610;52.3;1
197611;75.4;1
197612;61.5;1
197701;52.8;1
197702;102.9;1
197703;67.5;1
197704;37.8;1
197705;51;1
197706;42.2;1
197707;31.2;1
197708;33.7;1
197709;10;1
197710;67.7;1
197711;66.9;1
197712;84.5;1
197801;95.5;1
197802;98.2;1
197803;109.6;1
197804;68.5;1
197805;49.2;1
197806;45.7;1
197807;66.1;1
197808;30.1;1
197809;56.6;1
197810;4.9;1
197811;15.2;1
197812;130.1;1
197901;43.4;1
197902;120.5;1
197903;90.3;1
197904;73.4;1
197905;85.5;1
197906;31.4;1
197907;27.4;1
197908;58;1
197909;8;1
197910;89.1;1
197911;40;1
197912;145.6;1
198001;63.3;1
198002;72;1
198003;100.1;1
198004;2.2;1
198005;47.8;1
198006;135.1;1
198007;63.1;1
198008;13.8;1
198009;69.2;1
198010;66.8;1
198011;61.8;1
198012;93.6;1
198101;58.8;1
198102;44.8;1
198103;102.4;1
198104;38.4;1
198105;129.6;1
198106;28.4;1
198107;25.8;1
198108;52.3;1
198109;78.5;1
198110;133.6;1
198111;35;1
198112;120.9;1
198201;56.9;1
198202;26;1
198203;56.7;1
198204;9.7;1
198205;46.8;1
198206;81.4;1
198207;88.1;1
198208;21.8;1
198209;62.7;1
198210;107.1;1
198211;66.1;1
198212;116.6;1
198301;47.3;1
198302;71.7;1
198303;39.4;1
198304;117;1
198305;104.2;1
198306;41.5;1
198307;99.9;1
198308;19.8;1
198309;84.5;1
198310;28.8;1
198311;35.3;1
198312;49.3;1
198401;125.8;1
198402;30.5;1
198403;51.9;1
198404;6.2;1
198405;139.2;1
198406;27.5;1
198407;63.6;1
198408;33.5;1
198409;113.8;1
198410;79.7;1
198411;113.2;1
198412;63.6;1
198501;56;1
198502;31;1
198503;79;1
198504;101;1
198505;79;1
198506;60.4;1
198507;49.8;1
198508;81.4;1
198509;28;1
198510;14.1;1
198511;45.5;1
198512;41.4;1
198601;90.6;1
198602;40.3;1
198603;71.3;1
198604;62.3;1
198605;36.4;1
198606;16.8;1
198607;22.9;1
198608;61;1
198609;63.1;1
198610;74.6;1
198611;49.3;1
198612;84.5;1
198701;26;1
198702;36.5;1
198703;49.4;1
198704;32.7;1
198705;60.9;1
198706;70.7;1
198707;113.9;1
198708;38.3;1
198709;30.8;1
198710;159.3;1
198711;44.9;1
198712;75.4;1
198801;133;1
198802;72.9;1
198803;79.5;1
198804;60.3;1
198805;153.7;1
198806;10.6;1
198807;84;1
198808;36.7;1
198809;55.7;1
198810;40.5;1
198811;41;1
198812;36.4;1
198901;40;1
198902;56.1;1
198903;88.5;1
198904;82.2;1
198905;30.1;1
198906;34.7;1
198907;20.8;1
198908;14.2;1
198909;38.7;1
198910;47;1
198911;54.6;1
198912;121.2;1
199001;72;1
199002;98.5;1
199003;9.2;1
199004;56.1;1
199005;29.2;1
199006;53;1
199007;35.8;1
199008;21.7;1
199009;32.4;1
199010;72.6;1
199011;31.1;1
199012;76;1
199101;97.8;1
199102;22.2;1
199103;65.7;1
199104;38.6;1
199105;15.6;1
199106;74.5;1
199107;40;1
199108;15;1
199109;35.6;1
199110;61.7;1
199111;87.2;1
199112;26.3;1
199201;10.6;1
199202;29.8;1
199203;52.5;1
199204;39.4;1
199205;34.7;1
199206;43;1
199207;49.5;1
199208;87;1
199209;61.8;1
199210;48;1
199211;83;1
199212;55.4;1
199301;69.8;1
199302;11.4;1
199303;7.8;1
199304;96.4;1
199305;68.5;1
199306;89;1
199307;17.2;1
199308;8.3;1
199309;87.7;1
199310;81.4;1
199311;21.8;1
199312;110.3;1
199401;89.2;1
199402;95;1
199403;46.7;1
199404;56.5;1
199405;102.3;1
199406;44.6;1
199407;103.8;1
199408;80.3;1
199409;109.1;1
199410;63.5;1
199411;79.5;1
199412;76.9;1
199501;127.9;1
199502;90.5;1
199503;87.5;1
199504;39;1
199505;38.4;1
199506;22.8;1
199507;47.6;1
199508;53.3;1
199509;106.6;1
199510;43.3;1
199511;30.4;1
199512;61.6;1
199601;63.4;1
199602;77.6;1
199603;26.9;1
199604;16.3;1
199605;70.4;1
199606;2.8;1
199607;39.6;1
199608;39.5;1
199609;37.6;1
199610;29.5;1
199611;108.8;1
199612;46.7;1
199701;17.2;1
199702;133;1
199703;8.7;1
199704;13;1
199705;83.5;1
199706;118.2;1
199707;13.6;1
199708;64.7;1
199709;15.6;1
199710;40.8;1
199711;80.1;1
199712;80.7;1
199801;83.2;1
199802;4.5;1
199803;29.2;1
199804;104.1;1
199805;32.1;1
199806;42;1
199807;35.2;1
199808;8.3;1
199809;130.4;1
199810;132.7;1
199811;40.5;1
199812;109.1;1
199901;64.5;1
199902;62.3;1
199903;48.9;1
199904;102.4;1
199905;63.9;1
199906;60.6;1
199907;57.1;1
199908;125.1;1
199909;130.8;1
199910;71.9;1
199911;48.1;1
199912;166.4;1
200001;18.7;1
200002;72.8;1
200003;41.4;1
200004;93.2;1
200005;66.6;1
200006;16.7;1
200007;168;1
200008;46.4;1
200009;60.6;1
200010;133.1;1
200011;136;1
200012;117.8;1
200101;90.8;1
200102;58.5;1
200103;140.7;1
200104;90.7;1
200105;14.4;1
200106;49.4;1
200107;82.8;1
200108;57.7;1
200109;78.9;1
200110;48.2;1
200111;45.8;1
200112;45.3;1
200201;42.6;1
200202;83.4;1
200203;72.3;1
200204;19.5;1
200205;101.2;1
200206;39.3;1
200207;59.5;1
200208;101;1
200209;31.4;1
200210;105.2;1
200211;116.7;1
200212;108.8;1
200301;53.7;1
200302;27;1
200303;29.3;1
200304;25.5;1
200305;87.2;1
200306;45.3;1
200307;51.7;1
200308;17.4;1
200309;15;1
200310;54.1;1
200311;67.3;1
200312;78.7;1
200401;140;1
200402;6.5;1
200403;46.3;1
200404;64.4;1
200405;45.1;1
200406;15.8;1
200407;37.9;1
200408;79.5;1
200409;29;1
200410;121.5;1
200411;41.3;1
200412;53.4;1
200501;53.7;1
200502;25.4;1
200503;36.7;1
200504;44.8;1
200505;50.8;1
200506;17.5;1
200507;44.4;1
200508;35.2;1
200509;16.1;1
200510;105.1;1
200511;62.5;1
200512;48.2;1
200601;42.1;1
200602;54;1
200603;88.6;1
200604;15.5;1
200605;62.7;1
200606;40.1;1
200607;69.8;1
200608;28.9;1
200609;43.6;1
200610;70.2;1
200611;64.3;1
200612;70.9;1
200701;50.4;1
200702;79.9;1
200703;44.1;1
200704;3.1;1
200705;95.7;1
200706;101.7;1
200707;140.6;1
200708;73.5;1
200709;17.6;1
200710;38.1;1
200711;68.1;1
200712;70.3;1
200801;85.2;1
200802;61.8;1
200803;90.2;1
200804;75.8;1
200805;54.5;1
200806;30.1;1
200807;35.2;1
200808;65;1
200809;22.6;1
200810;77.9;1
200811;63.7;1
200812;43.1;1
200901;69.6;1
200902;30.4;1
200903;32.2;1
200904;60.3;1
200905;60.1;1
200906;64.8;1
200907;23.2;1
200908;23.2;1
200909;17;1
200910;55.7;1
200911;110.5;1
200912;91.5;1
201001;55.6;1
201002;69.3;1
201003;56.5;1
201004;15.9;1
201005;40.2;1
201006;82.8;1
201007;8.2;1
201008;52.4;1
201009;34.1;1
201010;103.4;1
201011;98.9;1
201012;76.1;1
201101;73.5;1
201102;42.6;1
201103;20.6;1
201104;5;1
201105;8.7;1
201106;66.4;1
201107;73.7;1
201108;143.2;1
201109;51.8;1
201110;24.1;1
201111;23.8;1
201112;119.6;1
201201;40.3;1
201202;12.5;1
201203;19.5;1
201204;138.3;1
201205;77.3;1
201206;93.5;1
201207;108.9;1
201208;18.4;1
201209;76;1
201210;168.4;1
201211;50.6;1
201212;146.9;1
201301;74;1
201302;51;1
201303;96.9;1
201304;50.6;1
201305;95.2;1
201306;47.8;1
201307;65.4;1
201308;23.2;1
201309;51.6;1
201310;65.4;1
201311;103.2;1
201312;83.8;1
201401;98.1;1
201402;130.2;1
201403;36.6;1
201404;51.3;1
201405;78.3;1
201406;76.3;1
201407;115;1
201408;117.9;1
201409;20;1
201410;55.8;1
201411;63.1;1
201412;80.4;1
201501;55.7;1
201502;53.2;1
201503;31.2;1
201504;53.5;1
201505;81.9;1
201506;17.3;1
201507;19.2;1
201508;93.7;1
201509;57.4;1
201510;42.6;1
201511;85.5;1
201512;38.7;1
201601;93.7;1
201602;59.9;1
201603;81.6;1
201604;57.2;1
201605;110.7;1
201606;100.6;1
201607;25.7;1
201608;17.8;1
201609;28.5;1
201610;34.1;1
201611;64.7;1
201612;25.1;1
201701;47.7;1
201702;51.4;1
201703;53.2;1
201704;14.2;1
201705;104;1
201706;52.9;1
201707;30.8;1
201708;83.4;1
201709;93.3;1
201710;26.4;1
201711;54.1;1
201712;98.3;1
201801;113.9;1
201802;53.8;1
201803;96.9;1
201804;44;1
201805;43;1
201806;172.6;1
201807;23.9;1
201808;41.7;1
201809;9.4;1
201810;38.6;1
201811;97.1;1
201812;95.5;1
201901;45.1;1
201902;47.4;1
201903;60.2;1
201904;44.8;1
201905;53;1
201906;74.3;1
201907;12.6;1
201908;71.9;1
201909;29.9;1
201910;157.1;1
201911;138.2;1
201912;95.5;1
202001;72.1;1
202002;81.8;1
202003;76.2;1
202004;45.1;1
202005;18.7;1
202006;45.5;1
202007;7.5;1
202008;13;1
202009;32.8;1
202010;93.1;1
202011;25.6;1
202012;139.9;1
