# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 72294001
# NOM_USUEL= SAINT LEONARD D
# LATITUDE (°) = 48.335
# LONGITUDE(°)= -0.072
# ALTITUDE (m) = 127
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR072294001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195301 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195301 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;15.9;1
195302;41.6;1
195303;0;1
195304;80.7;1
195305;21.6;1
195306;60;1
195307;104.9;1
195308;17.7;1
195309;76.4;1
195310;74.8;1
195311;37.4;1
195312;18.6;1
195401;39.2;1
195402;67.8;1
195403;80.1;1
195404;6.1;1
195405;24.4;1
195406;38.6;1
195407;19.8;1
195408;67.8;1
195409;47.2;1
195410;39.3;1
195411;74.7;1
195412;83.7;1
195501;140;1
195502;96.2;1
195503;32.2;1
195504;5.3;1
195505;45;1
195506;58.9;1
195507;49.3;1
195508;28.6;1
195509;40;1
195510;46.8;1
195511;19.3;1
195512;98.5;1
195601;120;1
195602;9;1
195603;25.2;1
195604;82.4;1
195605;24.9;1
195606;29.5;1
195607;69.2;1
195608;85.3;1
195609;43.6;1
195610;38.4;1
195611;33.9;1
195612;73.2;1
195701;40.6;1
195702;153.7;1
195703;31.9;1
195704;42.6;1
195705;22.1;1
195706;83.7;1
195707;42.5;1
195708;55.7;1
195709;164.7;1
195710;10.6;1
195711;74.2;1
195712;44.7;1
195801;159.6;1
195802;111.3;1
195803;51.5;1
195804;35.2;1
195805;74.9;1
195806;88.5;1
195807;27.9;1
195808;63.5;1
195809;34.2;1
195810;54;1
195811;51.2;1
195812;86.5;1
195901;102;1
195902;0;1
195903;51.3;1
195904;82.7;1
195905;46.4;1
195906;27.6;1
195907;31;1
195908;32.1;1
195909;21.8;1
195910;97.8;1
195911;51.5;1
195912;168.6;1
196001;58.7;1
196002;58.8;1
196003;68.1;1
196004;22.8;1
196005;54.4;1
196006;57.9;1
196007;86.5;1
196008;123.6;1
196009;103.4;1
196010;170.9;1
196011;152.8;1
196012;108.7;1
196101;106.6;1
196102;70;1
196103;5.1;1
196104;66.5;1
196105;42.3;1
196106;32.7;1
196107;75.5;1
196108;5.1;1
196109;40.1;1
196110;137.4;1
196111;90.3;1
196112;92.2;1
196201;110.1;1
196202;57.9;1
196203;92.1;1
196204;68.7;1
196205;49.9;1
196206;1.1;1
196207;42.6;1
196208;54;1
196209;66.4;1
196210;56.9;1
196211;150.7;1
196212;59.9;1
196301;35;1
196302;41.9;1
196303;82.4;1
196304;68.3;1
196305;34.9;1
196306;45.3;1
196307;47.1;1
196308;139.4;1
196309;40.9;1
196310;41.4;1
196311;114.2;1
196312;16.3;1
196401;28.8;1
196402;104.3;1
196403;81.9;1
196404;38.6;1
196405;75.3;1
196406;85;1
196407;9.7;1
196408;16.1;1
196409;48.1;1
196410;107.1;1
196411;45.1;1
196412;91.7;1
196501;129.8;1
196502;10.8;1
196503;92.9;1
196504;51.6;1
196505;61.3;1
196506;29.8;1
196507;46;1
196508;71.4;1
196509;114.5;1
196510;41.2;1
196511;139.6;1
196512;153.8;1
196601;106.8;1
196602;62.3;1
196603;31.1;1
196604;102.1;1
196605;58.5;1
196606;68.3;1
196607;54.8;1
196608;66.8;1
196609;41.9;1
196610;194.1;1
196611;134.1;1
196612;121.9;1
196701;44.4;1
196702;57.2;1
196703;55.8;1
196704;45.7;1
196705;112.2;1
196706;10.7;1
196707;44.4;1
196708;61.1;1
196709;118.9;1
196710;104.9;1
196711;81.2;1
196712;96.7;1
196801;104.1;1
196802;79.4;1
196803;41.9;1
196804;40.5;1
196805;44.3;1
196806;60.6;1
196807;23.7;1
196808;53.5;1
196809;65.5;1
196810;41.9;1
196811;18.1;1
196812;49.8;1
196901;52.7;1
196902;47.1;1
196903;72.8;1
196904;31.3;1
196905;79.3;1
196906;25.8;1
196907;28.5;1
196908;10.6;1
196909;31.2;1
196910;6.7;1
196911;151.1;1
196912;98.1;1
197001;77.2;1
197002;173.3;1
197003;53.2;1
197004;41.2;1
197005;62.2;1
197006;81.4;1
197007;32.4;1
197008;49.1;1
197009;24.4;1
197010;27.4;1
197011;90.9;1
197012;29.9;1
197101;92.2;1
197102;41;1
197103;36.4;1
197104;52.8;1
197105;100.4;1
197106;154.2;1
197107;27.6;1
197108;80.6;1
197109;43.8;1
197110;21;1
197111;85.1;1
197112;21.1;1
197201;88;1
197202;101.7;1
197203;51.5;1
197204;72;1
197205;49.9;1
197206;46;1
197207;43;1
197208;47.8;1
197209;49.2;1
197210;22.2;1
197211;132.2;1
197212;33.7;1
197301;30;1
197302;61.6;1
197303;8.8;1
197304;64.7;1
197305;97.1;1
197306;36.2;1
