# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 75112001
# NOM_USUEL= ILE DE BERCY
# LATITUDE (°) = 48.832
# LONGITUDE(°)= 2.412
# ALTITUDE (m) = 50
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-01-01
# NUM_SERIE= MRR075112001
# Amplitude minimale détectable de la série = 0.05
# Période homogénéisée : 194701 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  194701 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;47.8;1
194702;32.6;1
194703;56.9;1
194704;22.2;1
194705;49.9;1
194706;57.4;1
194707;70.9;1
194708;48;1
194709;13;1
194710;23.5;1
194711;59.5;1
194712;66.9;1
194801;68.2;1
194802;37.5;1
194803;15.1;1
194804;62.9;1
194805;42.3;1
194806;101.6;1
194807;24.4;1
194808;116.5;1
194809;55.6;1
194810;18.7;1
194811;44.2;1
194812;35.1;1
194901;15.3;1
194902;10;1
194903;14.1;1
194904;23.7;1
194905;24.3;1
194906;22;1
194907;0;1
194908;49.9;1
194909;86.6;1
194910;61.7;1
194911;43.1;1
194912;26.3;1
195001;25;1
195002;55.5;1
195003;17.3;1
195004;62.7;1
195005;78.1;1
195006;26;1
195007;96.8;1
195008;58.5;1
195009;94.6;1
195010;13.9;1
195011;66.1;1
195012;81.1;1
195101;39.3;1
195102;50.1;1
195103;47.5;1
195104;44.8;1
195105;100.7;1
195106;104.4;1
195107;38.8;1
195108;121.4;1
195109;47.7;1
195110;29.8;1
195111;66.5;1
195112;31.8;1
195201;45.4;1
195202;35.5;1
195203;90;1
195204;5;1
195205;52.5;1
195206;24.1;1
195207;21;1
195208;90.3;1
195209;101.6;1
195210;65.9;1
195211;91;1
195212;74.1;1
195301;14.9;1
195302;23.7;1
195303;0;1
195304;55.4;1
195305;21.5;1
195306;70.1;1
195307;48.7;1
195308;37.7;1
195309;35;1
195310;25.2;1
195311;16.8;1
195312;8.8;1
195401;23.1;1
195402;39;1
195403;38;1
195404;2.9;1
195405;23;1
195406;46.4;1
195407;26.2;1
195408;59.3;1
195409;91;1
195410;32.8;1
195411;24.7;1
195412;35.6;1
195501;83.3;1
195502;63;1
195503;22.7;1
195504;7;1
195505;50.1;1
195506;49.5;1
195507;84.3;1
195508;21.1;1
195509;37.3;1
195510;45.5;1
195511;23.1;1
195512;51.9;1
195601;63.3;1
195602;15.5;1
195603;7.7;1
195604;49.5;1
195605;23.4;1
195606;50.7;1
195607;26.3;1
195608;89.2;1
195609;39.8;1
195610;56.1;1
195611;31.9;1
195612;32.1;1
195701;20.4;1
195702;81.5;1
195703;21.4;1
195704;21.8;1
195705;20.3;1
195706;72.4;1
195707;72.9;1
195708;42.3;1
195709;84.5;1
195710;23.5;1
195711;19.3;1
195712;35.4;1
195801;71.1;1
195802;86.5;1
195803;17;1
195804;52.1;1
195805;81.8;1
195806;126.1;1
195807;59.3;1
195808;91.5;1
195809;27.2;1
195810;54.5;1
195811;55.4;1
195812;62;1
195901;80.8;1
195902;1.5;1
195903;43;1
195904;73.4;1
195905;37.8;1
195906;30.9;1
195907;14.5;1
195908;22;1
195909;3.1;1
195910;47.8;1
195911;46.2;1
195912;69.4;1
196001;40.4;1
196002;33;1
196003;42.6;1
196004;10.1;1
196005;25.1;1
196006;103.4;1
196007;74.7;1
196008;111.4;1
196009;56.7;1
196010;134;1
196011;58.8;1
