# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 77006001
# NOM_USUEL= ARBONNE
# LATITUDE (°) = 48.417
# LONGITUDE(°)= 2.565
# ALTITUDE (m) = 73
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-12-31
# NUM_SERIE= MRR077006001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194701 201712
# Date(s) de rupture(s) d'homogénéité : 196212 197112
#     Periode homogénéisée  194701 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;45.9;1
194702;35.8;1
194703;69.7;1
194704;15.9;1
194705;43.6;1
194706;34.8;1
194707;42.4;1
194708;33.5;1
194709;18.5;1
194710;15.1;1
194711;72.2;1
194712;104.4;1
194801;69.4;1
194802;30.6;1
194803;30;1
194804;65.4;1
194805;75.9;1
194806;87.3;1
194807;32.3;1
194808;115.3;1
194809;49.6;1
194810;11.4;1
194811;52.6;1
194812;47.2;1
194901;27.2;1
194902;11.5;1
194903;21.3;1
194904;17.5;1
194905;27.4;1
194906;11.2;1
194907;13.5;1
194908;100.4;1
194909;67.1;1
194910;59.8;1
194911;53.2;1
194912;45.8;1
195001;22.4;1
195002;50.6;1
195003;17.8;1
195004;54.1;1
195005;80.2;1
195006;61.7;1
195007;44.7;1
195008;65.5;1
195009;88.5;1
195010;17.7;1
195011;88.7;1
195012;94.1;1
195101;57.8;1
195102;47.3;1
195103;61.4;1
195104;30.4;1
195105;70.8;1
195106;121.4;1
195107;35.4;1
195108;80.9;1
195109;50.6;1
195110;25.3;1
195111;70.8;1
195112;30.4;1
195201;71.7;1
195202;46.8;1
195203;92.7;1
195204;15.8;1
195205;55;1
195206;14.8;1
195207;15.1;1
195208;72.9;1
195209;123.3;1
195210;70.9;1
195211;109.6;1
195212;77.5;1
195301;16.7;1
195302;26.7;1
195303;0.8;1
195304;49.5;1
195305;17.4;1
195306;84.9;1
195307;59.2;1
195308;31;1
195309;51.7;1
195310;29.3;1
195311;33.2;1
195312;9.1;1
195401;32.5;1
195402;47.4;1
195403;42.8;1
195404;2.6;1
195405;10.7;1
195406;44.8;1
195407;25;1
195408;100.7;1
195409;77.3;1
195410;41.1;1
195411;38.6;1
195412;42.4;1
195501;107.1;1
195502;50.3;1
195503;14.3;1
195504;7.6;1
195505;84.9;1
195506;48.4;1
195507;61.6;1
195508;14.6;1
195509;25.6;1
195510;50.5;1
195511;29.5;1
195512;73.9;1
195601;76.7;1
195602;11;1
195603;16.1;1
195604;45.7;1
195605;53.2;1
