# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 77459002
# NOM_USUEL= SOURDUN
# LATITUDE (°) = 48.538
# LONGITUDE(°)= 3.355
# ALTITUDE (m) = 148
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-12-31
# NUM_SERIE= MRR077459002
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194701 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  194701 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;40.9;1
194702;52;1
194703;94.6;1
194704;24.3;1
194705;56;1
194706;47.8;1
194707;44.7;1
194708;59.9;1
194709;18;1
194710;4.7;1
194711;64.4;1
194712;114.2;1
194801;115.1;1
194802;40.4;1
194803;24.6;1
194804;65.6;1
194805;53.8;1
194806;47.4;1
194807;46.2;1
194808;171.8;1
194809;44;1
194810;14.7;1
194811;45;1
194812;52.2;1
194901;29.9;1
194902;22.2;1
194903;16.2;1
194904;21.5;1
194905;25.5;1
194906;12.3;1
194907;5.7;1
194908;36.7;1
194909;64.3;1
194910;45.1;1
194911;61.2;1
194912;51;1
195001;30.1;1
195002;86.5;1
195003;22.1;1
195004;62.8;1
195005;67.2;1
195006;54.7;1
195007;63.9;1
195008;52.6;1
195009;108.5;1
195010;37.6;1
195011;81.3;1
195012;85.6;1
195101;55.7;1
195102;64;1
195103;70.6;1
195104;42.3;1
195105;118.4;1
195106;145.4;1
195107;44.9;1
195108;89.9;1
195109;63.6;1
195110;34.3;1
195111;99.4;1
195112;60.5;1
195201;116.7;1
195202;50.7;1
195203;83.5;1
195204;9;1
195205;72.4;1
195206;36.5;1
195207;22.6;1
195208;69.1;1
195209;128.9;1
195210;103.5;1
195211;118.4;1
195212;107.9;1
195301;13.1;1
195302;35.7;1
