# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 80481001
# NOM_USUEL= LIHONS
# LATITUDE (°) = 49.836
# LONGITUDE(°)= 2.769
# ALTITUDE (m) = 96
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-01-01
# NUM_SERIE= MRR080481001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195501 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;66.7;1
195502;76;1
195503;13.1;1
195504;20.7;1
195505;102.5;1
195506;84;1
195507;33.4;1
195508;60.9;1
195509;55.5;1
195510;33.2;1
195511;21.9;1
195512;89.1;1
195601;53.9;1
195602;19;1
195603;33;1
195604;46.9;1
195605;20.6;1
195606;69.7;1
195607;20;1
195608;87;1
195609;59.9;1
195610;62.1;1
195611;53.3;1
195612;41.4;1
195701;26.8;1
195702;147;1
195703;28.5;1
195704;21.4;1
195705;34.2;1
195706;48.3;1
195707;58.4;1
195708;62.8;1
195709;126.1;1
195710;28.2;1
195711;30;1
195712;48.5;1
195801;57.5;1
195802;109.6;1
195803;26.2;1
195804;44.8;1
195805;67.7;1
195806;100;1
195807;48.1;1
195808;154.6;1
195809;69.3;1
195810;52.1;1
195811;46.1;1
195812;82.7;1
195901;69.5;1
195902;1.5;1
195903;50.2;1
195904;49.5;1
195905;7.2;1
195906;48.2;1
195907;27.4;1
195908;42.9;1
195909;5.7;1
195910;64.4;1
195911;46;1
195912;72.6;1
196001;46.1;1
196002;36.4;1
196003;46.6;1
196004;14.7;1
196005;36.8;1
196006;61.6;1
196007;78;1
196008;72;1
196009;40.5;1
196010;120.6;1
196011;78.9;1
196012;67.1;1
196101;109.6;1
196102;72;1
196103;7.3;1
196104;57.8;1
196105;36.9;1
196106;63.5;1
196107;101.7;1
196108;12.4;1
196109;42.5;1
196110;83.9;1
196111;58.3;1
196112;85.1;1
196201;73.9;1
196202;31.4;1
196203;41.5;1
196204;42.6;1
196205;53.4;1
196206;10.6;1
196207;52.9;1
196208;50.3;1
196209;48.6;1
196210;39.7;1
196211;67.9;1
196212;52.8;1
196301;23.7;1
196302;7.4;1
196303;64.7;1
196304;56.5;1
196305;64.7;1
196306;79.3;1
196307;22.1;1
196308;112.9;1
196309;52.6;1
196310;61.5;1
196311;121.1;1
196312;11.9;1
196401;29.7;1
196402;38.8;1
196403;69.5;1
196404;28.3;1
196405;21.3;1
196406;72.4;1
196407;14.3;1
196408;24.1;1
196409;45.8;1
196410;85;1
196411;51.5;1
196412;49.9;1
196501;78.6;1
196502;7.4;1
196503;50.5;1
196504;40.5;1
196505;90.2;1
196506;30.1;1
196507;89.2;1
196508;53.5;1
196509;89.3;1
196510;19.9;1
196511;99.3;1
196512;160.2;1
196601;31.8;1
196602;48.1;1
196603;32.8;1
196604;63.7;1
196605;40.2;1
196606;78.5;1
196607;96.8;1
196608;60.5;1
196609;18.1;1
196610;104.3;1
196611;91.2;1
196612;158.1;1
196701;27.6;1
196702;40.8;1
196703;53.5;1
196704;23;1
196705;98.8;1
196706;40.9;1
196707;28.4;1
196708;45.2;1
196709;79;1
196710;74.5;1
196711;49.5;1
196712;64.8;1
196801;57.5;1
196802;59.5;1
196803;42.8;1
196804;27.8;1
196805;49.7;1
196806;82.2;1
196807;124.2;1
196808;58.3;1
196809;106.1;1
196810;36.2;1
196811;28;1
196812;36.2;1
196901;31.6;1
196902;36;1
196903;56.8;1
196904;41.2;1
196905;73.4;1
196906;91;1
196907;68.1;1
196908;55.6;1
196909;9.6;1
196910;6;1
196911;97;1
196912;48;1
197001;55.8;1
197002;117.1;1
197003;53.5;1
197004;81.7;1
197005;49.9;1
197006;87.2;1
197007;69.3;1
197008;50.7;1
197009;43.6;1
197010;29.1;1
197011;48.4;1
197012;21.6;1
197101;61.2;1
197102;53.7;1
197103;25;1
197104;34.2;1
197105;38.5;1
197106;97.7;1
197107;52.1;1
197108;89.6;1
197109;18.4;1
197110;21;1
197111;82.8;1
197112;6.5;1
197201;71.1;1
197202;50.9;1
197203;38.3;1
197204;69.2;1
197205;59.6;1
197206;87.9;1
197207;64.1;1
197208;38.9;1
197209;68.6;1
197210;10.3;1
197211;120;1
197212;39.5;1
197301;25.8;1
197302;42.3;1
197303;8.6;1
197304;68;1
197305;75.7;1
197306;46.7;1
197307;14.5;1
197308;51.7;1
197309;102;1
197310;46.1;1
197311;57;1
197312;37.5;1
197401;72.4;1
197402;69.9;1
197403;60.8;1
197404;24.8;1
197405;44.6;1
197406;72.4;1
197407;54.7;1
197408;52.3;1
197409;108.8;1
197410;119.5;1
197411;101.2;1
197412;78.2;1
197501;75.3;1
197502;21.7;1
197503;60.9;1
197504;42.3;1
197505;45.8;1
197506;44.2;1
197507;62;1
197508;62.5;1
197509;79.6;1
197510;14.7;1
197511;87.2;1
197512;13.9;1
197601;22.5;1
197602;36.2;1
197603;26.9;1
197604;9;1
197605;15.9;1
197606;0.6;1
197607;29.6;1
197608;8.4;1
197609;70.3;1
197610;74.2;1
197611;43.3;1
197612;52;1
197701;59.1;1
197702;57.7;1
197703;63.7;1
197704;36.3;1
197705;81.7;1
197706;66.2;1
197707;63.1;1
197708;27.3;1
197709;29.6;1
197710;59.3;1
197711;72.2;1
197712;49.6;1
197801;68.7;1
197802;49.5;1
197803;84.9;1
197804;93.8;1
197805;42.3;1
197806;60.6;1
197807;71.2;1
197808;30.7;1
197809;47;1
197810;6.9;1
197811;16.9;1
197812;75.2;1
197901;32.2;1
197902;47.9;1
197903;95.3;1
197904;55.2;1
197905;53.6;1
197906;58.6;1
197907;27.3;1
197908;62.3;1
197909;8.9;1
197910;56.9;1
197911;102.2;1
197912;99.6;1
198001;28.7;1
198002;56.9;1
198003;67.5;1
198004;15.1;1
198005;52.7;1
198006;81.7;1
198007;108.8;1
198008;58.2;1
198009;19;1
198010;82;1
198011;56.1;1
198012;85;1
198101;74.6;1
198102;33.9;1
198103;55.2;1
198104;22.2;1
198105;130.7;1
198106;61;1
198107;65;1
198108;21.5;1
198109;79.7;1
198110;168.8;1
198111;35.2;1
198112;109.2;1
198201;60.8;1
198202;17.1;1
198203;40.7;1
198204;35.2;1
198205;110;1
198206;151.5;1
198207;46;1
198208;149.2;1
198209;53.8;1
198210;74.3;1
198211;76.3;1
198212;104.3;1
198301;63.4;1
198302;76.9;1
198303;60.7;1
198304;63.8;1
198305;88;1
198306;26.9;1
198307;32.6;1
198308;15.8;1
198309;61.6;1
198310;44.9;1
198311;44.4;1
198312;47.8;1
198401;105.5;1
198402;48.4;1
198403;53.9;1
198404;36;1
198405;97.9;1
198406;36.7;1
198407;47;1
198408;74.6;1
198409;121.1;1
198410;66.5;1
198411;84.6;1
198412;42;1
198501;32.2;1
198502;19;1
198503;62.7;1
198504;57.7;1
198505;68.4;1
198506;80.7;1
198507;48.7;1
198508;59;1
198509;26.6;1
198510;12.2;1
198511;54.3;1
198512;30.7;1
198601;67;1
198602;8.9;1
198603;123.2;1
198604;68.8;1
198605;28.9;1
198606;25.7;1
198607;31;1
198608;95.6;1
198609;61.8;1
198610;89.6;1
198611;59.5;1
198612;92.3;1
198701;34.8;1
198702;59.9;1
198703;61.8;1
198704;32;1
198705;72.8;1
198706;109.3;1
198707;81.1;1
198708;110.1;1
198709;45;1
198710;128.7;1
198711;69.1;1
198712;20.6;1
198801;122.1;1
198802;67.8;1
198803;88.2;1
198804;8.2;1
198805;66.7;1
198806;20.8;1
198807;118.2;1
198808;56;1
198809;37.9;1
198810;89.5;1
198811;45.6;1
198812;70;1
198901;26.2;1
198902;51.2;1
198903;76;1
198904;94;1
198905;15.7;1
198906;35.8;1
198907;19.9;1
198908;16.2;1
198909;48.6;1
198910;34.5;1
198911;53.7;1
198912;70.3;1
199001;46;1
199002;136.2;1
199003;12.1;1
199004;61;1
199005;0.7;1
199006;53.8;1
199007;12.2;1
199008;40.9;1
199009;13.2;1
199010;81.9;1
199011;86.2;1
199012;85.9;1
199101;60.7;1
199102;20.1;1
199103;59.5;1
199104;41.4;1
199105;36.9;1
199106;63.3;1
199107;57.9;1
199108;6.8;1
199109;55.2;1
199110;24.9;1
199111;61.4;1
199112;52.4;1
199201;8;1
199202;34;1
199203;77.3;1
199204;38.2;1
199205;59.8;1
199206;133.3;1
199207;48.4;1
199208;112.3;1
199209;41.5;1
199210;50;1
199211;97.2;1
199212;61.7;1
199301;80.7;1
199302;12.2;1
199303;4.8;1
199304;44;1
199305;28.9;1
199306;52.9;1
199307;88.7;1
199308;16.9;1
199309;95.7;1
199310;74.9;1
199311;37.1;1
199312;199.8;1
199401;82.2;1
199402;38.5;1
199403;75.4;1
199404;85.6;1
199405;65.5;1
199406;30;1
199407;23.3;1
199408;69.3;1
199409;75.8;1
199410;31.7;1
199411;31.1;1
199412;74.2;1
199501;156.9;1
199502;93.6;1
199503;84.2;1
199504;36.5;1
199505;52.6;1
199506;31.6;1
199507;53.7;1
199508;37.6;1
199509;83;1
199510;11.4;1
199511;11.6;1
199512;59.2;1
199601;32;1
199602;47;1
199603;25.6;1
199604;8.5;1
199605;93.7;1
199606;31;1
199607;21.2;1
199608;113.7;1
199609;19.4;1
199610;34.6;1
199611;112.4;1
199612;60.1;1
199701;4.4;1
199702;73;1
199703;12.8;1
199704;13.3;1
199705;74.1;1
199706;132.1;1
199707;34.3;1
199708;72.6;1
199709;3.4;1
199710;70.9;1
199711;91.3;1
199712;73.3;1
199801;71.6;1
199802;13.7;1
199803;57.2;1
199804;96.4;1
199805;7.4;1
199806;81.6;1
199807;44.6;1
199808;34.9;1
199809;81.8;1
199810;140.7;1
199811;56.1;1
199812;63.5;1
199901;70;1
199902;56.8;1
199903;44.3;1
199904;52.2;1
199905;30.3;1
199906;113.1;1
199907;36.4;1
199908;67.6;1
199909;98;1
199910;60.3;1
199911;38.5;1
199912;168.8;1
200001;26.7;1
200002;57.3;1
200003;43.9;1
200004;79;1
200005;62.4;1
200006;35.1;1
200007;84;1
200008;39.1;1
200009;52.9;1
200010;147.3;1
200011;108.1;1
200012;93.4;1
200101;80;1
200102;37.9;1
200103;164.7;1
200104;134;1
200105;34.6;1
200106;23.3;1
200107;91.7;1
200108;71.5;1
200109;104.9;1
200110;102.6;1
200111;94.5;1
200112;60.6;1
200201;44.1;1
200202;113.4;1
200203;67.9;1
200204;20;1
200205;61.7;1
200206;50.8;1
200207;76.7;1
200208;86.1;1
200209;14.8;1
200210;85.4;1
200211;130.9;1
200212;106;1
200301;100.8;1
200302;32.4;1
200303;14.8;1
200304;44.1;1
200305;77.8;1
200306;70.5;1
200307;55.3;1
200308;21.1;1
200309;5.2;1
200310;49.9;1
200311;53.9;1
200312;48;1
200401;97.2;1
200402;22.3;1
200403;36.2;1
200404;55.7;1
200405;41.7;1
200406;19.5;1
200407;78.7;1
200408;129.9;1
200409;31.8;1
200410;58.9;1
200411;29.4;1
200412;63.1;1
200501;37.7;1
200502;40.9;1
200503;23.6;1
200504;53.5;1
200505;59;1
200506;41;1
200507;82.7;1
200508;106.8;1
200509;59.7;1
200510;42.8;1
200511;48.9;1
200512;46.8;1
200601;28.8;1
200602;80.6;1
200603;78.7;1
200604;24.7;1
200605;115.2;1
200606;43.1;1
200607;46.6;1
200608;181.6;1
200609;46.2;1
200610;49.1;1
200611;63.4;1
200612;66.9;1
200701;44.3;1
200702;85;1
200703;59.9;1
200704;5;1
200705;89;1
200706;122;1
200707;93.5;1
200708;78.7;1
200709;46.9;1
200710;70.3;1
200711;49.3;1
200712;75.6;1
200801;48.5;1
200802;32.6;1
200803;115.5;1
200804;43.9;1
200805;67.1;1
200806;42.8;1
200807;66.4;1
200808;87.4;1
200809;55.9;1
200810;71.4;1
200811;49.1;1
200812;38.7;1
200901;47.6;1
200902;39.5;1
200903;54.6;1
200904;45.1;1
200905;105.4;1
200906;32.2;1
200907;46.5;1
200908;19.7;1
200909;14.7;1
200910;65.4;1
200911;81.3;1
200912;77.9;1
201001;51.8;1
201002;90.8;1
201003;40.2;1
201004;17.8;1
201005;35.5;1
201006;42.6;1
201007;59.3;1
201008;123.6;1
201009;95.8;1
201010;42.1;1
201011;79.1;1
201012;71.8;1
201101;63.2;1
201102;25.3;1
201103;12.9;1
201104;8.8;1
201105;1.2;1
201106;64.9;1
201107;46.2;1
201108;99.5;1
201109;47.2;1
201110;37.2;1
201111;22.3;1
201112;145.7;1
201201;63.8;1
201202;13.4;1
201203;37.7;1
201204;70.6;1
201205;30.4;1
201206;102.8;1
201207;130.1;1
201208;11.4;1
201209;15.3;1
201210;82.2;1
201211;61.5;1
201212;117.6;1
201301;38.1;1
201302;43.2;1
201303;41;1
201304;22.6;1
201305;112.7;1
201306;66.7;1
201307;105.4;1
201308;51.3;1
201309;97.3;1
201310;84;1
201311;90.6;1
201312;75.6;1
201401;87.5;1
201402;56.3;1
201403;21.3;1
201404;22.9;1
201405;95.3;1
201406;83.7;1
201407;142.8;1
201408;137.8;1
201409;26;1
201410;74.8;1
201411;58.5;1
201412;88.4;1
201501;76.1;1
201502;50.3;1
201503;26.6;1
201504;25.2;1
201505;62.8;1
201506;69.2;1
201507;43.4;1
201508;81.3;1
201509;45.3;1
201510;63.8;1
201511;85.3;1
201512;27.1;1
201601;76.2;1
201602;66.5;1
201603;91.7;1
201604;52.5;1
201605;147.2;1
201606;85.2;1
201607;28;1
201608;47;1
201609;27.6;1
201610;30.1;1
201611;49.5;1
201612;20.7;1
201701;53.5;1
201702;52.4;1
201703;47.4;1
201704;4.7;1
201705;50.1;1
201706;76.1;1
201707;49.7;1
201708;67.9;1
201709;51.6;1
201710;36;1
201711;97.1;1
201712;93.4;1
201801;127.7;0
201802;28.4;0
201803;60.7;0
201804;42.5;0
201805;92.5;0
201806;24.5;0
201807;20.3;0
201808;68;0
201809;40.8;0
201810;35.6;0
201811;57.5;0
201812;114;0
201901;36.2;0
201902;61.7;0
201903;75.4;0
201904;42.8;0
201905;47.5;0
201906;39.2;0
201907;30.3;0
201908;63.1;0
201909;25.9;0
201910;96.9;0
201911;93.4;0
201912;97.2;0
202001;45.7;0
202002;136.9;0
202003;61;0
202004;38.4;0
202005;23.3;0
202006;21.8;0
202007;21.8;0
202008;67.8;0
202009;62;0
202010;115.2;0
202011;32.8;0
202012;127.8;0
