# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 93055001
# NOM_USUEL= PANTIN
# LATITUDE (°) = 48.887
# LONGITUDE(°)= 2.42
# ALTITUDE (m) = 90
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-12-31
# NUM_SERIE= MRR093055001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194701 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  194701 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;43.1;1
194702;47.6;1
194703;63.4;1
194704;33.1;1
194705;42.8;1
194706;46.2;1
194707;20.3;1
194708;47.5;1
194709;18.8;1
194710;25.1;1
194711;54.1;1
194712;66.8;1
194801;74.6;1
194802;33.1;1
194803;19.4;1
194804;85.3;1
194805;55.4;1
194806;62.8;1
194807;43.6;1
194808;103.2;1
194809;44;1
194810;19.4;1
194811;47.4;1
194812;46.6;1
194901;25.4;1
194902;13.1;1
194903;13.6;1
194904;19.9;1
194905;32.1;1
194906;19.1;1
194907;4.9;1
194908;32.9;1
194909;65.4;1
194910;52.7;1
194911;43.4;1
194912;42.6;1
195001;25.6;1
195002;60.6;1
195003;20.6;1
195004;61.2;1
195005;47.3;1
195006;20.9;1
195007;75.6;1
195008;60.5;1
195009;88.7;1
195010;12.2;1
195011;60.5;1
195012;75.4;1
195101;39.3;1
195102;60;1
195103;53.4;1
195104;31.7;1
195105;100.7;1
195106;90.3;1
195107;36;1
195108;105.6;1
195109;39.4;1
195110;26.2;1
195111;62;1
195112;33.9;1
195201;49.2;1
195202;39.4;1
195203;69.8;1
195204;5.3;1
195205;35.6;1
195206;52.5;1
195207;25.6;1
195208;80.9;1
195209;80.3;1
195210;71.4;1
195211;81.5;1
195212;83.2;1
195301;14.3;1
195302;21.8;1
195303;0;1
195304;54.9;1
195305;31.4;1
195306;74.9;1
195307;44.1;1
195308;40.6;1
195309;32.2;1
195310;20.6;1
195311;14;1
195312;10.5;1
195401;25.5;1
195402;40.7;1
195403;37;1
195404;1;1
195405;21.5;1
195406;42.3;1
195407;34.7;1
195408;60.1;1
195409;83.3;1
195410;24;1
195411;27.6;1
195412;38.2;1
195501;72.6;1
195502;61.5;1
195503;18.3;1
195504;7.3;1
195505;39.4;1
195506;49.9;1
195507;156.5;1
195508;26.9;1
195509;25;1
195510;45.7;1
195511;22.1;1
195512;55.8;1
195601;59.8;1
195602;12;1
195603;5.2;1
195604;56;1
195605;23.7;1
195606;55.3;1
195607;71.9;1
195608;84;1
195609;37.3;1
195610;57.5;1
195611;38.9;1
195612;20.6;1
195701;16.4;1
195702;89.7;1
195703;17.8;1
195704;10;1
195705;15.3;1
195706;84;1
195707;61.7;1
195708;30.2;1
195709;79.3;1
195710;22.4;1
195711;24.7;1
195712;40.5;1
195801;77.3;1
195802;87.5;1
195803;25.1;1
195804;59.3;1
195805;82;1
195806;116.3;1
195807;63.3;1
195808;51;1
195809;46.3;1
195810;40.3;1
195811;50.8;1
195812;55.2;1
195901;79.1;1
195902;0;1
195903;45.5;1
195904;51.2;1
195905;21.3;1
195906;12.9;1
195907;11.4;1
195908;12.8;1
195909;0.7;1
195910;44.9;1
