# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 3186001
# NOM_USUEL= MONTMARAULT
# LATITUDE (°) = 46.315
# LONGITUDE(°)= 2.953
# ALTITUDE (m) = 466
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-07-12
# NUM_SERIE= MRR103186001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 196312 197412 199712
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;39.8;1
195102;61.2;1
195103;60.1;1
195104;23.8;1
195105;116.9;1
195106;107.5;1
195107;64.6;1
195108;47.2;1
195109;56.6;1
195110;28.3;1
195111;60.5;1
195112;36.5;1
195201;97.5;1
195202;64.7;1
195203;90.4;1
195204;18.3;1
195205;47.2;1
195206;41.4;1
195207;32.4;1
195208;83.3;1
195209;89.7;1
195210;149.7;1
195211;107.1;1
195212;104.5;1
195301;14.2;1
195302;31.9;1
195303;8.8;1
195304;48;1
195305;24.3;1
195306;80;1
195307;118.6;1
195308;52.5;1
195309;94.8;1
195310;82.3;1
195311;21.8;1
195312;30.8;1
195401;53.7;1
195402;57.6;1
195403;45.1;1
195404;22.6;1
195405;68.7;1
195406;67.8;1
195407;58.3;1
195408;114;1
195409;83.9;1
195410;57.7;1
195411;34.1;1
195412;59.4;1
195501;100.8;1
195502;85.4;1
195503;35.7;1
195504;3.1;1
195505;38.1;1
195506;104.5;1
195507;133.7;1
195508;38.9;1
195509;61.8;1
195510;26.8;1
195511;49.2;1
195512;72;1
195601;81;1
195602;21.3;1
195603;21.7;1
195604;47.5;1
195605;127.8;1
195606;59.3;1
195607;110.9;1
195608;111.8;1
195609;81.4;1
195610;78.6;1
195611;44.7;1
195612;43.9;1
195701;51.4;1
195702;68.4;1
195703;19;1
195704;18.5;1
195705;33.4;1
195706;160.8;1
195707;86.8;1
195708;36.8;1
195709;52.9;1
195710;36.2;1
195711;37.1;1
195712;55.4;1
195801;70.8;1
195802;61;1
195803;77.6;1
195804;38.7;1
195805;182.5;1
195806;80.1;1
195807;85.8;1
195808;87;1
195809;70.5;1
195810;62.2;1
195811;109;1
195812;65;1
195901;58.4;1
195902;2.1;1
195903;83.5;1
195904;77.7;1
195905;90.4;1
195906;93.7;1
195907;22.5;1
195908;44;1
195909;53.7;1
195910;53.6;1
195911;30.2;1
195912;69.5;1
196001;58.2;1
196002;43.5;1
196003;69;1
196004;18.8;1
196005;49.3;1
196006;65.1;1
196007;83.9;1
196008;126.3;1
196009;63.9;1
196010;160.9;1
196011;43.6;1
196012;37.7;1
196101;52.7;1
196102;31.7;1
196103;12.5;1
196104;69.2;1
196105;62.4;1
196106;61.5;1
196107;80.5;1
196108;62.6;1
196109;28.6;1
196110;77;1
196111;50.3;1
196112;64.9;1
196201;93.5;1
196202;48.3;1
196203;59.7;1
196204;63.3;1
196205;113.9;1
196206;19.9;1
196207;87.5;1
196208;12.9;1
196209;68.5;1
196210;34.8;1
196211;79.9;1
196212;78.6;1
196301;36.7;1
196302;35.9;1
196303;98.4;1
196304;43;1
196305;65.5;1
196306;150.5;1
196307;47.2;1
196308;176.3;1
196309;26.5;1
196310;18.3;1
196311;55.7;1
196312;19.4;1
196401;25.7;1
196402;43.5;1
196403;65.3;1
196404;88.1;1
196405;104.5;1
196406;75.1;1
196407;11.7;1
196408;55.2;1
196409;37.9;1
196410;50.4;1
196411;54.1;1
196412;46.2;1
196501;61.7;1
196502;12.3;1
196503;50.9;1
196504;91.3;1
196505;115.8;1
196506;51.3;1
196507;75.4;1
196508;71.2;1
196509;214.2;1
196510;13.5;1
196511;80.1;1
196512;100.1;1
196601;46.4;1
196602;75.9;1
196603;42;1
196604;93;1
196605;47.2;1
196606;74.3;1
196607;67.6;1
196608;77.6;1
196609;16.7;1
196610;102.7;1
196611;72;1
196612;91.2;1
196701;49.1;1
196702;33.4;1
196703;51.6;1
196704;11.4;1
196705;61.3;1
196706;60.9;1
196707;14.5;1
196708;80.8;1
196709;137.6;1
196710;83;1
196711;70;1
196712;51.1;1
196801;91.8;1
196802;30.7;1
196803;23.5;1
196804;48;1
196805;150.7;1
196806;34.3;1
196807;147.1;1
196808;132.4;1
196809;124.5;1
196810;39.7;1
196811;36.7;1
196812;78.3;1
196901;40.7;1
196902;53.2;1
196903;40.3;1
196904;91.8;1
196905;85.7;1
196906;104.5;1
196907;69.7;1
196908;76.1;1
196909;116.1;1
196910;8.5;1
196911;66.7;1
196912;57;1
197001;70;1
197002;130.4;1
197003;51.8;1
197004;67.5;1
197005;51.7;1
197006;192.7;1
197007;22.4;1
197008;75.7;1
197009;63.3;1
197010;72.3;1
197011;30.9;1
197012;33.7;1
197101;69.9;1
197102;22.2;1
197103;68.4;1
197104;37.3;1
197105;103;1
197106;87.3;1
197107;28;1
197108;110.3;1
197109;23.6;1
197110;27.8;1
197111;67.1;1
197112;19.5;1
197201;77.5;1
197202;58.5;1
197203;23.2;1
197204;60.8;1
197205;34.5;1
197206;72.1;1
197207;62.6;1
197208;103.7;1
197209;34.3;1
197210;67.2;1
197211;98.2;1
197212;36.1;1
197301;62.2;1
197302;57.2;1
197303;19.3;1
197304;32;1
197305;98.6;1
197306;80.4;1
197307;154.1;1
197308;59.8;1
197309;65.8;1
197310;63.5;1
197311;39;1
197312;87.2;1
197401;24.8;1
197402;42.8;1
197403;60.8;1
197404;58.8;1
197405;73;1
197406;73.1;1
197407;46;1
197408;62.8;1
197409;133.3;1
197410;134.4;1
197411;89.3;1
197412;39.7;1
197501;48.5;1
197502;21.9;1
197503;54.9;1
197504;53;1
197505;58.7;1
197506;32.7;1
197507;66.1;1
197508;83.1;1
197509;71.5;1
197510;33.2;1
197511;126.4;1
197512;34.9;1
197601;40.2;1
197602;53.6;1
197603;6;1
197604;32.7;1
197605;60.2;1
197606;4;1
197607;91.4;1
197608;77.9;1
197609;127.8;1
197610;133.5;1
197611;79.3;1
197612;74.5;1
197701;43.7;1
197702;78.7;1
197703;72;1
197704;48;1
197705;169;1
197706;123.3;1
197707;228.1;1
197708;153.9;1
197709;5.8;1
197710;82.8;1
197711;50.9;1
197712;46.9;1
197801;61.7;1
197802;62.9;1
197803;74.9;1
197804;79.2;1
197805;89.8;1
197806;19.6;1
197807;90.9;1
197808;21.5;1
197809;45.5;1
197810;19.7;1
197811;12.5;1
197812;68.6;1
197901;50.1;1
197902;57.9;1
197903;69.2;1
197904;67;1
197905;97.6;1
197906;110;1
197907;24.9;1
197908;108.8;1
197909;18.6;1
197910;135.7;1
197911;29.7;1
197912;87.4;1
198001;48.2;1
198002;56.4;1
198003;59.6;1
198004;24.7;1
198005;67;1
198006;92.1;1
198007;68;1
198008;63.8;1
198009;49.3;1
198010;98.4;1
198011;68.3;1
198012;57.5;1
198101;92.9;1
198102;32.5;1
198103;92.1;1
198104;12.4;1
198105;186.3;1
198106;181.2;1
198107;90.5;1
198108;57.3;1
198109;65;1
198110;77.3;1
198111;36.6;1
198112;106.2;1
198201;88;1
198202;25.7;1
198203;104.8;1
198204;9.5;1
198205;55.9;1
198206;73.9;1
198207;83.7;1
198208;56.4;1
198209;63.4;1
198210;73;1
198211;43.3;1
198212;112;1
198301;19.9;1
198302;66.3;1
198303;36;1
198304;131.6;1
198305;141.3;1
198306;51.4;1
198307;86;1
198308;142.3;1
198309;85.8;1
198310;65.4;1
198311;33.6;1
198312;34.9;1
198401;82.1;1
198402;37.7;1
198403;19.6;1
198404;11.6;1
198405;139.1;1
198406;86;1
198407;33.6;1
198408;91.9;1
198409;138.1;1
198410;56.6;1
198411;65.1;1
198412;64.2;1
198501;35.7;1
198502;68.7;1
198503;31.1;1
198504;56.9;1
198505;167.7;1
198506;102.3;1
198507;13.1;1
198508;28.7;1
198509;4.3;1
198510;7.2;1
198511;40.6;1
