# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 3316001
# NOM_USUEL= VILLENEUVE
# LATITUDE (°) = 46.666
# LONGITUDE(°)= 3.252
# ALTITUDE (m) = 223
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR103316001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195301 201612
# Date(s) de rupture(s) d'homogénéité : 196312 200612
#     Periode homogénéisée  195301 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;9.4;1
195302;26.3;1
195303;4.9;1
195304;57.9;1
195305;18.5;1
195306;71.9;1
195307;89.5;1
195308;40.8;1
195309;93.4;1
195310;64.9;1
195311;48.4;1
195312;26.4;1
195401;47.8;1
195402;58.3;1
195403;65.7;1
195404;26.5;1
195405;53.4;1
195406;106.9;1
195407;33.8;1
195408;118.9;1
195409;63.3;1
195410;55.8;1
195411;57.5;1
195412;51.7;1
195501;121.7;1
195502;92.4;1
195503;49;1
195504;0.6;1
195505;39.2;1
195506;84.5;1
195507;38.5;1
195508;18.3;1
195509;33.8;1
195510;44.8;1
195511;41.5;1
195512;86.6;1
195601;78.6;1
195602;16.2;1
195603;27.9;1
195604;44.8;1
195605;115.2;1
195606;47.4;1
195607;91.7;1
195608;95;1
195609;108.9;1
195610;55.5;1
195611;32.8;1
195612;44.5;1
195701;36.5;1
195702;97.1;1
195703;21.2;1
195704;13.5;1
195705;52.7;1
195706;118.3;1
195707;77;1
195708;70.1;1
195709;52.8;1
195710;39.8;1
195711;35;1
195712;79.7;1
195801;81.3;1
195802;55.7;1
195803;74.6;1
195804;55;1
195805;165.8;1
195806;66.3;1
195807;76.6;1
195808;90.9;1
195809;74.5;1
195810;66.2;1
195811;55.5;1
195812;92.9;1
195901;83.7;1
195902;1.1;1
195903;92;1
195904;89.1;1
195905;18.6;1
195906;45.6;1
195907;17.1;1
195908;28.6;1
195909;75;1
195910;58.4;1
195911;52.6;1
195912;61.8;1
196001;65.8;1
196002;45.1;1
196003;65.5;1
196004;15.3;1
196005;44.5;1
196006;63.4;1
196007;90;1
196008;119.8;1
196009;70;1
196010;177.8;1
196011;51.5;1
196012;51.9;1
196101;60.9;1
196102;54.5;1
196103;4.6;1
196104;64.1;1
196105;50.4;1
196106;32.8;1
196107;66.3;1
196108;32.1;1
196109;40.7;1
196110;90.2;1
196111;68.4;1
196112;73;1
196201;77.4;1
196202;49.5;1
196203;70.6;1
196204;43.7;1
196205;90.7;1
196206;21;1
196207;59.5;1
196208;17.8;1
196209;54.8;1
196210;35;1
196211;76;1
196212;83.8;1
196301;44;1
196302;38.6;1
196303;65.8;1
196304;19.2;1
196305;94.4;1
196306;79.1;1
196307;26.5;1
196308;146.3;1
196309;28.6;1
196310;29.2;1
196311;69.1;1
196312;16.5;1
196401;19.4;1
196402;28.6;1
196403;63.3;1
196404;97.4;1
196405;82.6;1
196406;46.5;1
196407;3.9;1
196408;69;1
196409;56.3;1
196410;63;1
196411;26.9;1
196412;55.4;1
196501;103.2;1
196502;15.1;1
196503;84.4;1
196504;81.2;1
196505;93.9;1
196506;39.7;1
196507;62.1;1
196508;50.4;1
196509;184.1;1
196510;9.3;1
196511;131;1
196512;115.8;1
196601;76.2;1
196602;75.1;1
196603;39.4;1
196604;108.4;1
196605;33.4;1
196606;66.8;1
196607;64.9;1
196608;68.5;1
196609;21.9;1
196610;99.9;1
196611;64.8;1
196612;82.5;1
196701;53.5;1
196702;40.5;1
196703;46.7;1
196704;20.3;1
196705;59.4;1
196706;51.2;1
196707;4.3;1
196708;71.8;1
196709;104.5;1
196710;84.3;1
196711;70.3;1
196712;56.8;1
196801;107.1;1
196802;39.6;1
196803;22;1
196804;48.3;1
196805;146.2;1
196806;50.2;1
196807;65.8;1
196808;144.6;1
196809;144.5;1
196810;40.2;1
196811;41;1
196812;105.6;1
196901;36.2;1
196902;57.6;1
196903;52.9;1
196904;87.7;1
196905;103.9;1
196906;79.6;1
196907;36.9;1
196908;127;1
196909;95;1
196910;5.5;1
196911;80.6;1
196912;53.3;1
197001;82.3;1
197002;136.6;1
197003;69.4;1
197004;67.8;1
197005;38.9;1
197006;82.2;1
197007;35;1
197008;88.1;1
197009;59.8;1
197010;57.3;1
197011;37;1
197012;36.9;1
197101;84;1
197102;17.9;1
197103;44.2;1
197104;35;1
197105;73.4;1
197106;99.8;1
197107;39.5;1
197108;89.7;1
197109;30;1
197110;39.6;1
197111;61.2;1
197112;21.6;1
197201;80.4;1
197202;85.9;1
197203;27.2;1
197204;38.3;1
197205;30.5;1
197206;79.6;1
197207;163.4;1
197208;143.3;1
197209;19.7;1
197210;78.6;1
197211;118.5;1
197212;38.6;1
197301;55;1
197302;51.3;1
197303;5.5;1
197304;33.6;1
197305;59.4;1
197306;44.6;1
197307;60.3;1
197308;47.1;1
197309;60.4;1
197310;112.2;1
197311;43.8;1
197312;107.3;1
197401;39.1;1
197402;45.3;1
197403;65.5;1
197404;42.3;1
197405;56.9;1
197406;59.4;1
197407;27.9;1
197408;87.6;1
197409;121.9;1
197410;147.4;1
197411;81.2;1
197412;31.7;1
197501;64.1;1
197502;17.6;1
197503;65.6;1
197504;53.8;1
197505;74.8;1
197506;47.3;1
197507;32.6;1
197508;32.6;1
197509;178.7;1
197510;45.6;1
197511;102;1
197512;42.8;1
197601;46.9;1
197602;56.5;1
197603;6.6;1
197604;33.5;1
197605;53.5;1
197606;0.2;1
197607;16.4;1
197608;88.4;1
197609;116.4;1
197610;127.3;1
197611;100.5;1
197612;96;1
197701;76.4;1
197702;123.5;1
197703;81.5;1
197704;33.2;1
197705;223.9;1
197706;133.2;1
197707;135.1;1
197708;138.1;1
197709;11.4;1
197710;80.6;1
197711;44.3;1
197712;60.4;1
197801;62.4;1
197802;90.7;1
197803;102.5;1
197804;63.4;1
197805;88;1
197806;36.1;1
197807;82.5;1
197808;28.9;1
197809;35.3;1
197810;15.8;1
197811;10.1;1
197812;98.2;1
197901;75.9;1
197902;95.3;1
197903;99.6;1
197904;69.6;1
197905;116;1
197906;49;1
197907;10.5;1
197908;95.7;1
197909;40.4;1
197910;134.3;1
197911;37.9;1
197912;84.8;1
198001;65;1
198002;61.7;1
198003;74.4;1
198004;20.3;1
198005;96.2;1
198006;83.8;1
198007;70.7;1
