# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 6127001
# NOM_USUEL= ST-MARTIN-DE-VESUBIE-OBS
# LATITUDE (°) = 44.074
# LONGITUDE(°)= 7.254
# ALTITUDE (m) = 994
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2023-07-04
# NUM_SERIE= MRR106127001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : 198812
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;42.2;1
195002;115.8;1
195003;15;1
195004;62.7;1
195005;158.9;1
195006;27.5;1
195007;48.6;1
195008;28;1
195009;67.3;1
195010;36;1
195011;258.1;1
195012;101.1;1
195101;108.6;1
195102;281.9;1
195103;209.8;1
195104;77.4;1
195105;161.7;1
195106;102.9;1
195107;102.7;1
195108;55.1;1
195109;42.6;1
195110;149;1
195111;746.4;1
195112;41;1
195201;39.2;1
195202;4.5;1
195203;80.4;1
195204;259;1
195205;141.4;1
195206;87.5;1
195207;86.4;1
195208;86.3;1
195209;162.7;1
195210;130;1
195211;173.3;1
195212;63;1
195301;4;1
195302;33.4;1
195303;2.2;1
195304;75.1;1
195305;30.8;1
195306;127.5;1
195307;75.2;1
195308;77.7;1
195309;164.1;1
195310;258.9;1
195311;11.4;1
195312;31.1;1
195401;24.3;1
195402;57.3;1
195403;83.1;1
195404;110.4;1
195405;105;1
195406;151.5;1
195407;96.2;1
195408;87.8;1
195409;29.6;1
195410;117;1
195411;232;1
195412;216.1;1
195501;143.1;1
195502;144.7;1
195503;87.1;1
195504;0.9;1
195505;30.2;1
195506;188;1
195507;79.1;1
195508;141.3;1
195509;100.8;1
195510;228.6;1
195511;66.9;1
195512;47.1;1
195601;80.7;1
195602;24.4;1
195603;245.3;1
195604;212;1
195605;54.1;1
195606;47.4;1
195607;68.7;1
195608;56.8;1
195609;155.1;1
195610;42.8;1
195611;40.8;1
195612;41;1
195701;18.4;1
195702;128.3;1
195703;102;1
195704;77.1;1
195705;122.3;1
195706;183;1
195707;37.6;1
195708;38.6;1
195709;5.9;1
195710;74.5;1
195711;249.5;1
195712;370.2;1
195801;17.5;1
195802;57.5;1
195803;95.2;1
195804;176.5;1
195805;55.9;1
195806;107.1;1
195807;59.7;1
195808;84.9;1
195809;120.9;1
195810;141.5;1
195811;87.2;1
195812;361.3;1
195901;9.7;1
195902;3.1;1
195903;219.7;1
195904;153.2;1
195905;126.7;1
195906;79;1
195907;95.3;1
195908;96.1;1
195909;86.5;1
195910;350.8;1
195911;309.2;1
195912;264.5;1
196001;157.6;1
196002;180.3;1
196003;184;1
196004;74.4;1
196005;77.4;1
196006;81.3;1
196007;56;1
196008;91.7;1
196009;341.9;1
196010;506.6;1
196011;213.4;1
196012;86.9;1
196101;126.2;1
196102;7.8;1
196103;0;1
196104;176.6;1
196105;177.6;1
196106;80.6;1
196107;115.5;1
196108;19.6;1
196109;81.3;1
196110;84.3;1
196111;236.4;1
196112;88.8;1
196201;71;1
196202;58.7;1
196203;172.5;1
196204;138.4;1
196205;67.6;1
196206;130.6;1
196207;82;1
196208;57.1;1
196209;58.5;1
196210;97.4;1
196211;254.6;1
196212;83.7;1
196301;156.7;1
196302;57.1;1
196303;107.3;1
196304;109.1;1
196305;101.2;1
196306;183.8;1
196307;170.2;1
196308;84;1
196309;88.7;1
196310;86.5;1
196311;377.9;1
196312;69.3;1
196401;21.9;1
196402;148.4;1
196403;234;1
196404;156.4;1
196405;109.1;1
196406;130.1;1
196407;102.1;1
196408;31.2;1
196409;36.5;1
196410;76.5;1
196411;51.1;1
196412;75.1;1
196501;47;1
196502;5.3;1
196503;115.6;1
196504;15.7;1
196505;103.6;1
196506;96.5;1
196507;98.8;1
196508;190;1
196509;285.4;1
196510;52.5;1
196511;171.9;1
196512;56;1
196601;31.3;1
196602;149.4;1
196603;34.1;1
196604;154;1
196605;61.1;1
196606;42.2;1
196607;99.5;1
196608;68.5;1
196609;76.2;1
196610;213.9;1
196611;215.4;1
196612;91.2;1
196701;14.6;1
196702;64.5;1
196703;88;1
196704;40.4;1
196705;73.5;1
196706;108.9;1
196707;34.5;1
196708;104.4;1
196709;42.2;1
196710;29.8;1
196711;251.1;1
196712;15.7;1
196801;4.5;1
196802;260.8;1
196803;31.7;1
196804;78.1;1
196805;181.7;1
196806;127.9;1
196807;114.1;1
196808;161.9;1
196809;156.9;1
196810;66.8;1
196811;204.6;1
196812;40.9;1
196901;151;1
196902;109.2;1
196903;105.3;1
196904;45.4;1
196905;52.2;1
196906;100.5;1
196907;91.4;1
196908;98.3;1
196909;83.3;1
196910;2.5;1
196911;200.3;1
196912;11.4;1
197001;288.3;1
197002;32.5;1
197003;46.1;1
197004;41.7;1
197005;142.1;1
197006;80.2;1
197007;38.5;1
197008;45.5;1
197009;43.4;1
197010;104;1
197011;330.2;1
197012;123;1
197101;102.9;1
197102;18.6;1
197103;279.9;1
197104;161;1
197105;220.3;1
197106;134.7;1
197107;51.2;1
197108;81;1
197109;46.8;1
197110;4.7;1
197111;140.1;1
197112;47.1;1
197201;41.6;1
197202;225.2;1
197203;103.4;1
197204;123.3;1
197205;127.4;1
197206;207.6;1
197207;89.9;1
197208;127.1;1
197209;90.4;1
197210;252.3;1
197211;40;1
197212;108;1
197301;51.3;1
197302;1.7;1
197303;0.7;1
197304;130.9;1
197305;121.2;1
197306;110.6;1
197307;80.3;1
197308;131.8;1
197309;78.6;1
197310;107;1
197311;40.7;1
197312;258.1;1
197401;56.4;1
197402;141.1;1
197403;35.5;1
197404;86;1
197405;129.9;1
197406;50.2;1
197407;33;1
197408;101.3;1
197409;140.4;1
197410;29.6;1
197411;91.3;1
197412;17.6;1
197501;97.3;1
197502;153.7;1
197503;107.6;1
197504;84.4;1
197505;185.5;1
197506;89.9;1
197507;81.4;1
197508;125.8;1
197509;173.3;1
197510;51.6;1
197511;229.5;1
197512;86.3;1
197601;47;1
197602;44.5;1
197603;67.7;1
197604;90.3;1
197605;34;1
197606;148;1
197607;140.7;1
197608;197.1;1
197609;170;1
197610;375.5;1
197611;174.1;1
197612;192.6;1
197701;239.6;1
197702;153.2;1
197703;110.9;1
197704;134.4;1
197705;310.3;1
197706;54.6;1
197707;164.1;1
197708;219.3;1
197709;42.1;1
197710;215.3;1
197711;48.6;1
197712;220.6;1
197801;218.7;1
197802;123.2;1
197803;73.5;1
197804;139.8;1
197805;83.5;1
197806;161.7;1
197807;40.4;1
197808;88.3;1
197809;43.6;1
197810;13.2;1
197811;1.4;1
197812;110;1
197901;207.3;1
197902;120;1
197903;258.1;1
197904;53.5;1
197905;66.8;1
197906;148.6;1
197907;29.3;1
197908;34.3;1
197909;65.2;1
197910;649.5;1
197911;107.6;1
197912;95;1
198001;50.1;1
198002;3.5;1
198003;162.7;1
198004;60.2;1
198005;119.9;1
198006;43.5;1
198007;50.6;1
198008;66.2;1
198009;17.5;1
198010;170.1;1
198011;78.4;1
198012;0;1
198101;4.4;1
198102;26.8;1
198103;185.3;1
198104;118.4;1
198105;121.6;1
198106;136.1;1
198107;86.3;1
198108;52.9;1
198109;309;1
198110;36.6;1
198111;1.1;1
198112;303.2;1
198201;11.7;1
198202;30.5;1
198203;47.7;1
198204;12.7;1
198205;115.3;1
198206;68;1
198207;79.3;1
198208;128.8;1
198209;104.4;1
198210;139.9;1
198211;377.6;1
198212;98.6;1
198301;0;1
198302;55.9;1
198303;74.7;1
198304;142.3;1
198305;101.3;1
198306;102.9;1
198307;39.6;1
198308;106.3;1
198309;22;1
198310;73.5;1
198311;3.9;1
198312;257.4;1
198401;68.1;1
198402;26.1;1
198403;143.6;1
198404;37.5;1
198405;443;1
198406;175.4;1
198407;19.3;1
198408;135.9;1
198409;107.3;1
198410;178.4;1
198411;114.9;1
198412;98;1
198501;167.5;1
198502;21.2;1
198503;124.1;1
198504;35.7;1
198505;185.8;1
198506;52.3;1
198507;31.5;1
198508;25.4;1
198509;10.8;1
198510;14.2;1
198511;90.5;1
198512;78.4;1
198601;145.6;1
198602;84.3;1
198603;36.3;1
198604;324.8;1
198605;113.4;1
198606;94.5;1
198607;67;1
198608;78.4;1
198609;28.4;1
198610;22.7;1
198611;119.2;1
198612;9.7;1
198701;36.3;1
198702;118.7;1
198703;41.4;1
198704;216.9;1
198705;94.8;1
198706;99.4;1
198707;161.1;1
198708;76.3;1
198709;28.8;1
198710;342.6;1
198711;45.2;1
198712;106.7;1
198801;142.5;1
198802;34.1;1
198803;51.1;1
198804;94.8;1
198805;194.2;1
198806;99.4;1
198807;18.7;1
198808;32.4;1
198809;42.1;1
198810;282.7;1
198811;15.3;1
198812;72.1;1
198901;0;1
198902;129;1
198903;11;1
198904;277.5;1
198905;52.5;1
198906;85.5;1
198907;155;1
198908;17.5;1
198909;42.8;1
198910;36;1
198911;109.5;1
198912;57.5;1
199001;50.5;1
199002;24.1;1
199003;19.5;1
199004;115.7;1
199005;176.5;1
199006;50.2;1
199007;70;1
199008;60;1
199009;26.5;1
199010;135.2;1
199011;65.4;1
199012;118.7;1
199101;14;1
199102;51.5;1
199103;156;1
199104;26.6;1
199105;79;1
199106;53.5;1
199107;71;1
199108;8.5;1
199109;305.9;1
199110;138.5;1
199111;114;1
199112;0;1
199201;47;1
199202;16;1
199203;109.3;1
199204;77.6;1
199205;39.9;1
199206;142.7;1
199207;144.3;1
199208;150.3;1
199209;103.7;1
199210;272.8;1
199211;53.7;1
199212;107.5;1
199301;0.2;1
199302;6.5;1
199303;4.5;1
199304;211.1;1
199305;69.7;1
199306;113.2;1
199307;46;1
199308;89.2;1
199309;328.5;1
199310;354.7;1
199311;45.6;1
199312;26.3;1
199401;235.8;1
199402;91.4;1
199403;12;1
199404;86.1;1
199405;53.9;1
199406;72;1
199407;42.9;1
199408;49.9;1
199409;273;1
199410;104.1;1
199411;254.5;1
199412;5.5;1
199501;53.6;1
199502;66.1;1
199503;18.2;1
199504;107.1;1
199505;144;1
199506;85.9;1
199507;55.5;1
199508;116.4;1
199509;103.8;1
199510;73.9;1
199511;102.4;1
199512;136.1;1
199601;353.4;1
199602;66.2;1
199603;29.4;1
199604;119.5;1
199605;122.5;1
199606;28.6;1
199607;63.8;1
199608;61.7;1
199609;60;1
199610;136.2;1
199611;355.8;1
199612;165.9;1
199701;154.2;1
199702;2.2;1
199703;3.4;1
199704;25.4;1
199705;50.1;1
199706;158.1;1
199707;55.9;1
199708;193.1;1
199709;16.8;1
199710;34.7;1
199711;360;1
199712;219.7;1
199801;49.1;1
199802;19.3;1
199803;1.7;1
199804;169;1
199805;175.1;1
199806;48.4;1
199807;22.3;1
199808;91.8;1
199809;131.9;1
199810;91;1
199811;43.5;1
199812;35;1
199901;67.9;1
199902;14;1
199903;170.7;1
199904;104;1
199905;84;1
199906;53.2;1
199907;142.3;1
199908;34.4;1
199909;230.8;1
199910;332;1
199911;62;1
199912;50;1
200001;1.5;1
200002;5;1
200003;44.6;1
200004;197.6;1
200005;73.5;1
200006;91.4;1
200007;109.8;1
200008;69.7;1
200009;106.2;1
200010;346;1
200011;528.8;1
200012;168.4;1
200101;197;1
200102;36.4;1
200103;216.5;1
200104;61.7;1
200105;158.3;1
200106;9.6;1
200107;113.9;1
200108;8.4;1
200109;84;1
200110;98;1
200111;42.2;1
200112;0;1
200201;34.7;1
200202;76.6;1
200203;44.8;1
200204;78.1;1
200205;206.4;1
200206;111.4;1
200207;131.3;1
200208;178.4;1
200209;73.9;1
200210;95.4;1
200211;664.9;1
200212;98.2;1
200301;42.1;1
200302;9.8;1
200303;21.7;1
200304;94.2;1
200305;41.5;1
200306;82;1
200307;8.2;1
200308;57.9;1
200309;43.6;1
200310;373;1
200311;123.8;1
200312;174.3;1
200401;18.9;1
200402;122.2;1
200403;33.1;1
200404;66.6;1
200405;63.5;1
200406;37;1
200407;33.2;1
200408;28.8;1
200409;42.5;1
200410;197.5;1
200411;79.1;1
200412;71.2;1
200501;5.1;1
200502;13.5;1
200503;57.8;1
200504;99.8;1
200505;44.4;1
200506;91.5;1
200507;96;1
200508;50.2;1
200509;178.5;1
200510;109.7;1
200511;52.7;1
200512;97.5;1
200601;47.2;1
200602;74;1
200603;63.5;1
200604;81.1;1
200605;56.4;1
200606;22.3;1
200607;113;1
200608;125.5;1
200609;147.5;1
200610;69.8;1
200611;65.2;1
200612;157;1
200701;44.5;1
200702;34.7;1
200703;26.9;1
200704;39;1
200705;108.1;1
200706;99;1
200707;3.5;1
200708;73.4;1
200709;60.1;1
200710;35.4;1
200711;125.4;1
200712;10.5;1
200801;253.4;1
200802;31;1
200803;58;1
200804;197.1;1
200805;188.3;1
200806;135.1;1
200807;21.1;1
200808;24;1
200809;48.9;1
200810;116;1
200811;191;1
200812;200;1
200901;87.2;1
200902;116.5;1
200903;81.7;1
200904;217.6;1
200905;48.5;1
200906;68.4;1
200907;12.7;1
200908;47.8;1
200909;93.9;1
200910;174.5;1
200911;108.8;1
200912;253.3;1
201001;63;1
201002;132.5;1
201003;63.2;1
201004;43.8;1
201005;115.6;1
201006;125;1
201007;33.5;1
201008;84.6;1
201009;52.3;1
201010;214.7;1
201011;171.4;1
201012;173.1;1
201101;76;1
201102;49.2;1
201103;79;1
201104;50.7;1
201105;53.2;1
201106;91.5;1
201107;85.1;1
201108;1.9;1
201109;40.5;1
201110;161.5;1
201111;206.2;1
201112;36;1
201201;55;1
201202;1.8;1
201203;8.2;1
201204;224.9;1
201205;155.9;1
201206;11;1
201207;33.1;1
201208;20;1
201209;126.1;1
201210;116.6;1
201211;315.7;1
201212;84.8;1
201301;115.7;1
201302;39.7;1
201303;215.3;1
201304;175.1;1
201305;204.5;1
201306;76.8;1
201307;155.4;1
201308;75.5;1
201309;40.8;1
201310;96.3;1
201311;45.4;1
201312;262.5;1
201401;287.8;1
201402;191.9;1
201403;44;1
201404;36.5;1
201405;88.9;1
201406;160.7;1
201407;115.3;1
201408;55.7;1
201409;53.3;1
201410;92.9;1
201411;506.5;1
201412;25.7;1
201501;86.5;1
201502;65;1
201503;15.7;1
201504;59;1
201505;57.8;1
201506;164;1
201507;20.8;1
201508;102.3;1
201509;79.8;1
201510;168.1;1
201511;9.4;1
201512;0;1
201601;56.9;0
201602;155.1;0
201603;70;0
201604;46.8;0
201605;128;0
201606;88.2;0
201607;71.6;0
201608;43.7;0
201609;99.1;0
201610;144.5;0
201611;375.6;0
201612;5.4;0
201701;2.8;0
201702;90.4;0
201703;99;0
201704;70.4;0
201705;64.3;0
201706;43.4;0
201707;10.4;0
201708;24.8;0
201709;49.8;0
201710;0;0
201711;69.6;0
201712;259.8;0
201801;98.4;0
201802;79.4;0
201803;220.6;0
201804;138.2;0
201805;118.3;0
201806;98.7;0
201807;169.3;0
201808;26.8;0
201809;47.1;0
201810;260.9;0
201811;131.8;0
201812;42.5;0
201901;17.8;0
201902;89.2;0
201903;4.4;0
201904;209.1;0
201905;105.3;0
201906;24.1;0
201907;97.6;0
201908;22;0
201909;78.9;0
201910;336.1;0
201911;289;0
201912;217.9;0
202001;21.3;0
202002;3;0
202003;93.6;0
202004;34.2;0
202005;156.8;0
202006;234.8;0
202007;50;0
202008;73.5;0
202009;35;0
202010;602.4;0
202011;6.4;0
202012;152.5;0
202101;84.5;0
202102;39.9;0
202103;17.7;0
202104;138.7;0
202105;128.9;0
202106;37.5;0
202107;121.3;0
202108;77.6;0
202109;54.4;0
202110;53.7;0
202111;77.3;0
202112;51.2;0
202201;0.2;0
202202;26;0
202203;32.8;0
202204;91.6;0
202205;20.5;0
202206;44;0
202207;81.7;0
202208;159.3;0
202209;58.3;0
202210;28.4;0
202211;73;0
202212;121.6;0
202301;39.9;0
202302;5.4;0
202303;16.8;0
202304;44;0
202305;99;0
202306;133.7;0
202307;2;0
