# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 14289002
# NOM_USUEL= FRESNE LA MERE
# LATITUDE (°) = 48.897
# LONGITUDE(°)= -0.115
# ALTITUDE (m) = 74
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR114289002
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195101 201712
# Date(s) de rupture(s) d'homogénéité : 197012 201512
#     Periode homogénéisée  195101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;44.1;1
195102;77.6;1
195103;86;1
195104;52.3;1
195105;102.3;1
195106;91;1
195107;22.6;1
195108;111.2;1
195109;80.4;1
195110;51.9;1
195111;108.6;1
195112;96;1
195201;88.4;1
195202;57;1
195203;70.6;1
195204;37.9;1
195205;61.8;1
195206;32;1
195207;70.9;1
195208;45.6;1
195209;180.9;1
195210;111.4;1
195211;108.4;1
195212;129.5;1
195301;30;1
195302;54.5;1
195303;2.3;1
195304;99.3;1
195305;15;1
195306;66.8;1
195307;115.9;1
195308;22.7;1
195309;43.5;1
195310;88.8;1
195311;15.2;1
195312;35.5;1
195401;48.2;1
195402;47;1
195403;70.8;1
195404;7;1
195405;52.1;1
195406;40.4;1
195407;33.6;1
195408;75;1
195409;116.1;1
195410;34.3;1
195411;63.3;1
195412;69.2;1
195501;99.8;1
195502;95;1
195503;36.7;1
195504;9.1;1
195505;67.1;1
195506;78.8;1
195507;22;1
195508;41.1;1
195509;50.4;1
195510;124.6;1
195511;13.3;1
195512;137.7;1
195601;149.3;1
195602;15.1;1
195603;13.4;1
195604;51.5;1
195605;50.3;1
195606;51.2;1
195607;91.6;1
195608;74.6;1
195609;57.9;1
195610;61.8;1
195611;41.9;1
195612;61.3;1
195701;36;1
195702;157.6;1
195703;21.5;1
195704;28.1;1
195705;43.2;1
195706;81.6;1
195707;100.9;1
195708;66.9;1
195709;106.2;1
195710;21.7;1
195711;60.2;1
195712;52.3;1
195801;146.8;1
195802;139.3;1
195803;103.4;1
195804;44.5;1
195805;83.6;1
