# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 15038001
# NOM_USUEL= CHAMPS.TARENTAI
# LATITUDE (°) = 45.396
# LONGITUDE(°)= 2.566
# ALTITUDE (m) = 501
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR115038001
# Amplitude minimale détectable de la série = 0.05
# Période homogénéisée : 195301 201612
# Date(s) de rupture(s) d'homogénéité : 199312 200312
#     Periode homogénéisée  195301 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;17.9;1
195302;57.9;1
195303;7.3;1
195304;94.6;1
195305;74.2;1
195306;99.3;1
195307;69.7;1
195308;35.7;1
195309;102.8;1
195310;77.3;1
195311;32.4;1
195312;21.8;1
195401;59.2;1
195402;153.5;1
195403;126.3;1
195404;38.6;1
195405;104.9;1
195406;94.1;1
195407;69.6;1
195408;217.2;1
195409;99.9;1
195410;96.5;1
195411;100.6;1
195412;99.1;1
195501;243.3;1
195502;143.4;1
195503;35.8;1
195504;3.7;1
195505;61.3;1
195506;146.3;1
195507;158.4;1
195508;72.5;1
195509;31.4;1
195510;82.3;1
195511;45;1
195512;129.8;1
195601;95.8;1
195602;16.4;1
195603;50.3;1
195604;67.4;1
195605;114;1
195606;85.1;1
195607;203;1
195608;189.6;1
195609;153.9;1
195610;71.4;1
195611;46.9;1
195612;38.8;1
195701;67.6;1
195702;238.2;1
195703;50.9;1
195704;33.3;1
195705;55.8;1
195706;169.9;1
195707;76.6;1
195708;28.8;1
195709;116.7;1
195710;43.9;1
195711;40;1
195712;83.9;1
195801;126.6;1
195802;82.2;1
195803;130.2;1
195804;79.3;1
195805;182.6;1
195806;157.9;1
195807;150.3;1
195808;125.3;1
195809;114.5;1
195810;69.1;1
195811;62;1
195812;152.2;1
195901;122.7;1
195902;9.1;1
195903;120.4;1
195904;155.4;1
195905;76.7;1
195906;146.6;1
195907;71.5;1
195908;99.4;1
195909;140.8;1
195910;90.6;1
195911;85.5;1
195912;224.8;1
196001;105.6;1
196002;118;1
196003;89;1
196004;25.2;1
196005;29.2;1
196006;112.8;1
196007;165.3;1
196008;243.8;1
196009;138.8;1
196010;234.5;1
196011;119.4;1
196012;117.6;1
196101;130.6;1
196102;51.3;1
196103;7.5;1
196104;125.7;1
196105;106.2;1
196106;94.1;1
196107;92.8;1
196108;50.5;1
196109;74;1
196110;128.2;1
196111;83;1
196112;138.5;1
196201;166.2;1
196202;62.8;1
196203;110.1;1
196204;98.5;1
196205;113.7;1
196206;29.9;1
196207;87;1
196208;30;1
196209;65.6;1
196210;45.1;1
196211;105.8;1
196212;130;1
196301;50.2;1
196302;115.1;1
196303;152.9;1
196304;88.4;1
196305;76.8;1
196306;129.1;1
196307;43.7;1
196308;170.5;1
196309;87.3;1
196310;73.4;1
196311;131.5;1
196312;34.1;1
196401;19.4;1
196402;33;1
196403;99.5;1
196404;134.3;1
196405;156.4;1
196406;99.3;1
196407;32;1
196408;88.8;1
196409;45.9;1
196410;132.3;1
196411;55.5;1
196412;47.6;1
196501;119.2;1
196502;13.4;1
196503;107.6;1
196504;95.3;1
196505;177.9;1
196506;54.1;1
196507;120.9;1
196508;89.9;1
196509;248.7;1
196510;53.3;1
196511;235.8;1
196512;268.6;1
196601;126.5;1
196602;102.3;1
196603;50.1;1
196604;167.6;1
196605;82.4;1
196606;62.8;1
196607;78.5;1
196608;142.6;1
196609;30.6;1
196610;106.9;1
196611;138;1
196612;191.5;1
196701;72.6;1
196702;102.8;1
196703;85.4;1
196704;21.2;1
196705;178.5;1
196706;58.6;1
196707;21.4;1
196708;148.1;1
196709;81.4;1
196710;80;1
196711;147.7;1
196712;107.6;1
196801;143.4;1
196802;70.1;1
196803;55.8;1
196804;71;1
196805;217.8;1
196806;111.8;1
196807;91.1;1
196808;169.9;1
196809;194.5;1
196810;48.1;1
196811;65.1;1
196812;121.5;1
196901;96.8;1
196902;74.8;1
196903;127.1;1
196904;118.9;1
196905;185.1;1
196906;155.6;1
196907;56.4;1
196908;94.7;1
196909;174;1
196910;11.8;1
196911;167.4;1
196912;77.5;1
197001;104.1;1
197002;230.6;1
197003;113.1;1
197004;139.5;1
197005;38.9;1
197006;94.7;1
197007;36.4;1
197008;91.3;1
197009;65.2;1
