# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 15169001
# NOM_USUEL= SAIGNES
# LATITUDE (°) = 45.334
# LONGITUDE(°)= 2.492
# ALTITUDE (m) = 533
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-12-31
# NUM_SERIE= MRR115169001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195201 201612
# Date(s) de rupture(s) d'homogénéité : 197604
#     Periode homogénéisée  195201 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;125;1
195202;57.4;1
195203;89.3;1
195204;35.9;1
195205;54.4;1
195206;48.6;1
195207;11.1;1
195208;139.8;1
195209;179.3;1
195210;190.1;1
195211;144.9;1
195212;149.1;1
195301;13.6;1
195302;60.9;1
195303;6.5;1
195304;111.8;1
195305;50.7;1
195306;103.3;1
195307;58.1;1
195308;20.8;1
195309;95.6;1
195310;70.9;1
195311;19.7;1
195312;18.8;1
195401;39.5;1
195402;134.7;1
195403;150.7;1
195404;46.7;1
195405;97.7;1
195406;75.2;1
195407;43.9;1
195408;190.8;1
195409;86.6;1
195410;92.4;1
195411;87.1;1
195412;65.4;1
195501;183.3;1
195502;120.3;1
195503;31.8;1
195504;3.2;1
195505;54.7;1
195506;126.8;1
195507;107.4;1
195508;39.5;1
195509;43.1;1
195510;83.1;1
195511;40.3;1
195512;116.9;1
195601;80.1;1
195602;8.8;1
195603;48.7;1
195604;85.7;1
195605;81.6;1
195606;66.8;1
195607;195;1
195608;145.2;1
195609;154.8;1
195610;59.4;1
195611;36.1;1
195612;35.3;1
195701;32.5;1
195702;151.2;1
195703;33.6;1
195704;28.1;1
195705;33.4;1
195706;164.8;1
195707;85.8;1
195708;17.3;1
195709;76;1
195710;38.5;1
195711;23.1;1
195712;74.6;1
195801;106.2;1
195802;49.5;1
195803;91.4;1
195804;72;1
195805;172.1;1
195806;110.2;1
195807;130.8;1
195808;85.5;1
195809;111.4;1
195810;59.7;1
195811;62.5;1
195812;153.4;1
195901;100.3;1
195902;5;1
195903;109.3;1
195904;131.2;1
195905;70.2;1
195906;108.7;1
195907;101.9;1
195908;102.9;1
195909;102.9;1
195910;64;1
195911;73.7;1
195912;190.1;1
196001;90.4;1
196002;91.2;1
196003;82.9;1
196004;19.5;1
196005;28.5;1
196006;85.5;1
196007;116.4;1
196008;199.2;1
196009;100.1;1
196010;204.2;1
196011;91.6;1
196012;93.9;1
196101;111.8;1
196102;31.4;1
196103;6.9;1
196104;104.5;1
196105;108.8;1
196106;71.3;1
196107;78;1
196108;42.8;1
196109;71.5;1
196110;113.8;1
196111;73.8;1
196112;87.6;1
196201;135.8;1
196202;43.2;1
196203;100.3;1
196204;91.5;1
196205;73.5;1
196206;26.9;1
196207;71.5;1
196208;22.3;1
196209;76.2;1
196210;28.1;1
196211;79;1
196212;104;1
196301;52.4;1
196302;109.4;1
196303;115.9;1
196304;80.8;1
196305;43;1
196306;113.5;1
196307;37.2;1
196308;164;1
196309;54.3;1
196310;63.1;1
196311;135.5;1
196312;18.1;1
196401;17.9;1
196402;16.4;1
196403;90.4;1
196404;131.6;1
196405;115;1
196406;102.9;1
196407;9.6;1
196408;97.6;1
196409;45.6;1
196410;110.4;1
196411;40.8;1
196412;41.4;1
196501;85;1
196502;7;1
196503;98.1;1
196504;65.8;1
196505;120.1;1
196506;37.7;1
196507;122;1
196508;77.3;1
196509;230.5;1
196510;39.4;1
196511;216.7;1
196512;222.8;1
196601;110.1;1
196602;87.1;1
196603;38.5;1
196604;116;1
196605;75.3;1
196606;53.3;1
196607;61.2;1
196608;97.2;1
196609;20.8;1
196610;100.8;1
196611;93.4;1
196612;127.2;1
196701;56.2;1
196702;97.6;1
196703;68.3;1
196704;18.1;1
196705;131.8;1
196706;59;1
196707;27.2;1
196708;173.4;1
196709;61.6;1
196710;66.6;1
196711;147.9;1
196712;67.4;1
196801;90.6;1
196802;59.1;1
196803;47.2;1
196804;57.7;1
196805;172.4;1
196806;76;1
196807;74.9;1
196808;155.2;1
196809;177.8;1
196810;47.4;1
196811;46.7;1
196812;136.2;1
196901;94;1
196902;65.8;1
196903;104;1
196904;134.2;1
196905;152.8;1
196906;91.3;1
196907;39.3;1
196908;79.6;1
196909;156.3;1
196910;7;1
196911;139.1;1
196912;61.9;1
197001;90.7;1
197002;160.4;1
197003;79.7;1
197004;93.1;1
197005;22;1
197006;91.6;1
197007;23.8;1
197008;57.2;1
197009;68.4;1
197010;73.2;1
197011;102.7;1
197012;51.6;1
197101;157.6;1
197102;49.4;1
197103;74.7;1
197104;56.7;1
197105;81.2;1
197106;99.5;1
197107;74.5;1
197108;193.4;1
197109;93.6;1
197110;14.5;1
197111;73;1
197112;18.9;1
197201;77.3;1
197202;108.4;1
197203;57.1;1
197204;56.7;1
197205;37.4;1
197206;29.8;1
197207;42.5;1
197208;100.6;1
197209;60.1;1
197210;69.4;1
197211;103.6;1
197212;73.7;1
197301;64.4;1
197302;80.5;1
197303;7.3;1
197304;32.2;1
197305;95.2;1
197306;95.8;1
197307;102.2;1
197308;65.3;1
197309;71.7;1
197310;108;1
197311;66.4;1
197312;111.9;1
197401;55.5;1
197402;84.6;1
197403;42.4;1
197404;46.1;1
197405;109.7;1
197406;79;1
197407;73.8;1
197408;56.3;1
197409;159.7;1
197410;102.4;1
197411;109.2;1
197412;39.1;1
197501;85.9;1
197502;27.9;1
197503;87.6;1
197504;43.2;1
197505;99.1;1
197506;33.9;1
197507;22.9;1
197508;161.6;1
197509;118.1;1
197510;42.5;1
197511;100.3;1
197512;21.1;1
197601;23.9;1
197602;50.6;1
197603;29.3;1
197604;51.8;1
197605;35.3;1
197606;36.4;1
197607;64.6;1
197608;71.6;1
197609;116.9;1
197610;230.8;1
197611;149.8;1
197612;129.8;1
197701;112.4;1
197702;142.8;1
197703;117.4;1
197704;34.9;1
197705;163.6;1
197706;133.3;1
197707;52.5;1
197708;148.2;1
197709;6.4;1
197710;85.2;1
197711;61.1;1
197712;78.6;1
197801;127.3;1
197802;86.7;1
197803;121.2;1
197804;56.8;1
197805;77.8;1
197806;58.8;1
197807;46.7;1
197808;39.2;1
197809;39.6;1
197810;12.6;1
197811;11;1
197812;179.8;1
197901;74.4;1
197902;94.5;1
197903;100.1;1
197904;91.7;1
197905;142.9;1
197906;67.7;1
197907;13.9;1
197908;99;1
197909;15.7;1
197910;182.3;1
197911;62.6;1
197912;137.8;1
198001;127.1;1
198002;115.2;1
198003;85.3;1
198004;21.8;1
198005;85.2;1
198006;79.2;1
198007;114.3;1
198008;100.1;1
198009;62;1
198010;150.4;1
198011;86.7;1
198012;47.5;1
198101;81.7;1
198102;40.7;1
198103;156.5;1
198104;23.8;1
198105;213;1
198106;149.5;1
198107;70.6;1
198108;48.6;1
198109;132.2;1
198110;74;1
198111;26.3;1
198112;216.6;1
198201;87.4;1
198202;35.9;1
198203;58;1
198204;12.7;1
198205;84.2;1
198206;83.8;1
198207;83.6;1
198208;78.3;1
198209;116.4;1
198210;114.5;1
198211;115.2;1
198212;171.5;1
198301;26.2;1
198302;83.4;1
198303;76.9;1
198304;193.4;1
198305;158.3;1
198306;36.5;1
198307;30.3;1
198308;86.8;1
198309;71;1
198310;83;1
198311;52.7;1
198312;63.5;1
198401;109.7;1
198402;52.1;1
198403;74.5;1
198404;15.8;1
198405;130.3;1
198406;70.3;1
198407;38.1;1
198408;116.3;1
198409;126.7;1
198410;110.8;1
198411;137.9;1
198412;77.9;1
198501;57.3;1
198502;62.6;1
198503;84.3;1
198504;62.2;1
198505;105.4;1
198506;110.9;1
198507;43.2;1
198508;13.4;1
198509;13.2;1
198510;19.6;1
198511;56.4;1
198512;67.8;1
198601;125.9;1
198602;50.5;1
198603;75.5;1
198604;136.9;1
198605;86.1;1
198606;27.9;1
198607;75;1
198608;63.2;1
198609;164.2;1
198610;102.4;1
198611;50.8;1
198612;76.7;1
198701;49.9;1
198702;55.2;1
198703;76.9;1
198704;96.7;1
198705;37;1
198706;132;1
198707;86.9;1
198708;45.3;1
198709;109.5;1
198710;150.9;1
198711;81.5;1
198712;53.5;1
198801;181;1
198802;99;1
198803;104.7;1
198804;59;1
198805;206.1;1
198806;56.7;1
198807;102.3;1
198808;30.9;1
198809;56.1;1
198810;79.1;1
198811;39.8;1
198812;44.7;1
198901;16.3;1
198902;79.7;1
198903;72.6;1
198904;192.4;1
198905;56.9;1
198906;36.8;1
198907;23.6;1
198908;48.1;1
198909;96.9;1
198910;25.5;1
198911;103.6;1
198912;32.3;1
199001;52.2;1
199002;135.5;1
199003;5.3;1
199004;90.6;1
199005;68.8;1
199006;193.8;1
199007;32.5;1
199008;99.6;1
199009;69.7;1
199010;136.1;1
199011;87.1;1
199012;48.9;1
199101;44.3;1
199102;41.8;1
199103;35.1;1
199104;32;1
199105;47.6;1
199106;72.2;1
199107;106.5;1
199108;52.8;1
199109;59.9;1
199110;78;1
199111;118.6;1
199112;17.4;1
199201;26.9;1
199202;31.7;1
199203;53.5;1
199204;50.5;1
199205;99.4;1
199206;161.4;1
199207;110;1
199208;115.1;1
199209;116;1
199210;172.2;1
199211;91.7;1
199212;77.1;1
199301;12.7;1
199302;4.8;1
199303;9.8;1
199304;83.2;1
