# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 15175001
# NOM_USUEL= ST CERNIN
# LATITUDE (°) = 45.061
# LONGITUDE(°)= 2.419
# ALTITUDE (m) = 760
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR115175001
# Amplitude minimale détectable de la série = 0.05
# Période homogénéisée : 195201 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195201 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;170.2;1
195202;85;1
195203;166.5;1
195204;39.3;1
195205;100.5;1
195206;40.4;1
195207;21;1
195208;153.5;1
195209;196.5;1
195210;290.7;1
195211;286.2;1
195212;281.5;1
195301;20.3;1
195302;91.4;1
195303;7;1
195304;105.2;1
195305;66.7;1
195306;109.1;1
195307;83.7;1
195308;51;1
195309;130.6;1
195310;83.4;1
195311;44.5;1
195312;44.1;1
195401;95.8;1
195402;212.1;1
195403;196.2;1
195404;83.7;1
195405;124.1;1
195406;106;1
195407;113.7;1
195408;284.7;1
195409;133;1
195410;79.9;1
195411;145.6;1
195412;139.5;1
195501;333.3;1
195502;207.8;1
195503;43.4;1
195504;3.5;1
195505;105.8;1
195506;245.3;1
195507;145.3;1
195508;61.3;1
195509;46.5;1
195510;110.3;1
195511;60.1;1
195512;229.4;1
195601;157.2;1
195602;13.4;1
195603;77.7;1
195604;98.4;1
195605;125.7;1
195606;92.7;1
195607;206;1
195608;188.7;1
195609;182.5;1
195610;76.9;1
195611;68.6;1
195612;81.2;1
195701;73.1;1
195702;325.1;1
195703;68.7;1
195704;91.8;1
195705;52.2;1
195706;176.3;1
195707;123.3;1
195708;52.1;1
195709;132.4;1
195710;30.7;1
195711;43.4;1
195712;126.7;1
195801;204.9;1
195802;100.8;1
195803;171.5;1
195804;101.6;1
195805;174.2;1
195806;162.1;1
195807;152.4;1
195808;111.7;1
195809;88.5;1
195810;83;1
195811;94.7;1
195812;219.4;1
195901;161.7;1
195902;8.1;1
195903;134.6;1
195904;253.2;1
195905;116.4;1
195906;171.4;1
195907;50.8;1
195908;128.6;1
195909;128.5;1
195910;136.8;1
195911;139.2;1
195912;404.9;1
196001;154.2;1
196002;157.2;1
196003;167.6;1
196004;31.2;1
196005;52.8;1
196006;114.5;1
196007;172.7;1
196008;233.7;1
196009;144;1
196010;308.8;1
196011;161.5;1
196012;171.7;1
196101;204.3;1
196102;91.1;1
196103;6.2;1
196104;142.3;1
196105;138.1;1
196106;72;1
196107;164.1;1
196108;36.7;1
196109;111.2;1
196110;184;1
196111;142.2;1
196112;185.4;1
196201;186.8;1
196202;100.7;1
196203;170.4;1
196204;141.5;1
196205;140;1
196206;28.5;1
196207;59.3;1
196208;34.4;1
196209;58.2;1
196210;38.2;1
196211;179;1
196212;222.2;1
196301;62.9;1
196302;165.8;1
196303;232.5;1
196304;149.5;1
196305;117.7;1
196306;182.6;1
196307;53.8;1
196308;207.6;1
196309;113.2;1
196310;114;1
196311;173.9;1
196312;40;1
196401;27.2;1
196402;72.1;1
196403;151.8;1
196404;191.3;1
196405;181.2;1
196406;127.6;1
196407;31;1
196408;103.1;1
196409;72.8;1
196410;181.1;1
196411;80.5;1
196412;68.6;1
196501;146.5;1
196502;9.2;1
196503;157.2;1
196504;131.6;1
196505;209.2;1
196506;49.9;1
196507;132.6;1
196508;105.3;1
196509;309.2;1
196510;39.4;1
196511;271.8;1
196512;342.1;1
196601;188.6;1
196602;158.2;1
196603;76.1;1
196604;142.6;1
196605;142.8;1
196606;85.1;1
196607;76.6;1
196608;93;1
196609;9.8;1
196610;154.6;1
196611;189.1;1
196612;257.1;1
196701;113.8;1
196702;190.1;1
196703;101.9;1
196704;15;1
196705;170.4;1
196706;33.7;1
196707;17.4;1
196708;130.3;1
196709;111.4;1
196710;83.2;1
196711;174.6;1
196712;137.1;1
196801;166.9;1
196802;100;1
196803;93.7;1
196804;79.6;1
196805;199.6;1
196806;97.8;1
196807;114.4;1
196808;210.1;1
196809;219.9;1
196810;72.1;1
196811;52.2;1
196812;220;1
196901;138.4;1
196902;118.1;1
196903;193.3;1
196904;165;1
196905;247.1;1
196906;131;1
196907;77;1
196908;143.2;1
196909;236.2;1
196910;23.2;1
196911;200.1;1
196912;118.4;1
197001;158.7;1
197002;348;1
197003;114.8;1
197004;175.5;1
197005;83.6;1
197006;143.5;1
197007;47.5;1
197008;87.8;1
197009;41.2;1
197010;103.5;1
197011;137.1;1
197012;58.4;1
197101;272.3;1
197102;87.8;1
197103;159.5;1
197104;97;1
197105;82.4;1
197106;140.6;1
197107;145.4;1
197108;159.6;1
197109;48.4;1
197110;34.6;1
197111;159.9;1
197112;39.6;1
197201;132;1
197202;178.3;1
197203;110;1
197204;109.1;1
197205;56.5;1
197206;47.7;1
197207;60.4;1
197208;133.7;1
197209;20.5;1
197210;98.1;1
197211;187.2;1
197212;96.1;1
197301;121.6;1
197302;134.3;1
197303;11.5;1
197304;72.8;1
197305;98.3;1
197306;99;1
197307;162.7;1
197308;32.6;1
197309;79.6;1
197310;184.2;1
197311;95.3;1
197312;161.2;1
197401;114.9;1
197402;164.4;1
197403;79.4;1
197404;59.3;1
197405;99.2;1
197406;85;1
197407;51.1;1
197408;88.2;1
197409;230;1
197410;117.6;1
197411;200.1;1
197412;90.4;1
197501;200.3;1
197502;38.5;1
197503;128.7;1
197504;67.7;1
197505;179.5;1
197506;68.4;1
197507;67.3;1
197508;107.7;1
197509;163.9;1
197510;66.3;1
197511;154.6;1
197512;35.5;1
197601;50.5;1
197602;88.5;1
197603;90.7;1
197604;78.1;1
197605;39.4;1
197606;1.2;1
197607;74.3;1
197608;53.6;1
197609;123.5;1
197610;313.3;1
197611;234.9;1
197612;196.5;1
197701;130;1
197702;250.9;1
197703;140.4;1
197704;60.7;1
197705;156.9;1
197706;178.9;1
197707;94.1;1
197708;237.4;1
197709;14;1
197710;109;1
197711;151;1
197712;102.4;1
197801;213.3;1
197802;129.6;1
197803;237;1
197804;113.8;1
197805;123.9;1
197806;117.7;1
197807;87.6;1
197808;45;1
197809;94.6;1
197810;19.8;1
197811;14.4;1
197812;272.3;1
197901;136.6;1
197902;170.5;1
197903;233.1;1
197904;187.6;1
197905;238.1;1
197906;81.1;1
197907;20.5;1
197908;95.9;1
197909;26;1
197910;212.9;1
197911;134.1;1
197912;278.2;1
