# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 15219001
# NOM_USUEL= SALERS
# LATITUDE (°) = 45.141
# LONGITUDE(°)= 2.493
# ALTITUDE (m) = 945
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR115219001
# Amplitude minimale détectable de la série = 0.05
# Période homogénéisée : 195201 201612
# Date(s) de rupture(s) d'homogénéité : 196012 196905
#     Periode homogénéisée  195201 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;197.9;1
195202;103.9;1
195203;145.2;1
195204;60.1;1
195205;111.2;1
195206;106.9;1
195207;17.8;1
195208;199.2;1
195209;224.9;1
195210;335.8;1
195211;263.5;1
195212;290.3;1
195301;24.5;1
195302;100.6;1
195303;8.5;1
195304;94.5;1
195305;88.1;1
195306;127.8;1
195307;96.3;1
195308;43.9;1
195309;152.8;1
195310;94.7;1
195311;46.1;1
195312;38.2;1
195401;105.9;1
195402;191.3;1
195403;190.9;1
195404;72;1
195405;106.2;1
195406;78.7;1
195407;110.4;1
195408;238.6;1
195409;154.9;1
195410;106.4;1
195411;148.7;1
195412;143.7;1
195501;394.4;1
195502;210.6;1
195503;47.2;1
195504;6.9;1
195505;113.4;1
195506;231.9;1
195507;158;1
195508;45;1
195509;60.7;1
195510;116.2;1
195511;45.4;1
195512;249.4;1
195601;158.9;1
195602;17.9;1
195603;57.5;1
195604;89.8;1
195605;148.9;1
195606;103.2;1
195607;211.2;1
195608;215.4;1
195609;179.9;1
195610;82.5;1
195611;75.1;1
195612;72.1;1
195701;97.7;1
195702;370.5;1
195703;81.1;1
195704;58.8;1
195705;70.4;1
195706;186.3;1
195707;139.2;1
195708;50.4;1
195709;165.2;1
195710;40.4;1
195711;61;1
195712;145.3;1
195801;222.8;1
195802;125.3;1
195803;177.9;1
195804;120.4;1
195805;190.5;1
195806;173.4;1
195807;189.4;1
195808;144.3;1
195809;126;1
195810;70.9;1
195811;120.6;1
195812;277.8;1
195901;134.8;1
195902;8.7;1
195903;159.4;1
195904;266.5;1
195905;162.5;1
195906;167.5;1
195907;81;1
195908;118.5;1
195909;145.4;1
195910;127.2;1
195911;126.5;1
195912;445;1
196001;178.3;1
196002;146.1;1
196003;176.3;1
196004;38.2;1
196005;79.9;1
196006;96.8;1
196007;171.3;1
196008;207.4;1
196009;189.3;1
196010;310.7;1
196011;183.4;1
196012;146.4;1
196101;227.5;1
196102;90.2;1
196103;15.2;1
196104;129.5;1
196105;171.3;1
196106;83.8;1
196107;199.5;1
196108;39.6;1
196109;94.9;1
196110;199.4;1
196111;159;1
196112;214.3;1
196201;203.7;1
196202;107.1;1
196203;196.3;1
196204;138.8;1
196205;157.7;1
196206;39.6;1
196207;63.3;1
196208;36.7;1
196209;97.9;1
196210;42.7;1
196211;173.3;1
196212;224.1;1
196301;75.3;1
196302;170.6;1
196303;253.8;1
196304;155.3;1
196305;102.1;1
196306;206.5;1
196307;40.1;1
196308;204.7;1
196309;96.4;1
196310;126.1;1
196311;194;1
196312;39.2;1
196401;35.8;1
196402;62.1;1
196403;149.8;1
196404;224.9;1
196405;211.6;1
196406;121.3;1
196407;41.5;1
196408;120.4;1
196409;73.3;1
196410;231.8;1
196411;77.3;1
196412;73.9;1
196501;178.4;1
196502;23.7;1
196503;152.6;1
196504;155.8;1
196505;195.3;1
196506;73.1;1
196507;137.3;1
196508;121.5;1
196509;344;1
196510;38.6;1
196511;323.3;1
196512;377;1
196601;199.4;1
196602;154.8;1
196603;85;1
196604;154.2;1
196605;135.9;1
196606;113.6;1
196607;84.7;1
196608;150.2;1
196609;39;1
196610;184.4;1
196611;203.8;1
196612;271;1
196701;101.6;1
196702;168.8;1
196703;121;1
196704;31.8;1
196705;190.7;1
196706;62.1;1
196707;34.3;1
196708;181.9;1
196709;120.6;1
196710;101;1
196711;226.5;1
196712;153.7;1
196801;182.5;1
196802;118.9;1
196803;86.1;1
196804;93.8;1
196805;243.1;1
196806;112.9;1
196807;119;1
196808;239.5;1
196809;256.6;1
196810;100.9;1
196811;81.8;1
196812;243.3;1
196901;143.5;1
196902;133.8;1
196903;220.4;1
196904;197.2;1
196905;258.1;1
196906;161;1
196907;85.2;1
196908;145.5;1
196909;191.7;1
196910;20;1
196911;218.8;1
196912;128.3;1
197001;143.9;1
197002;319.4;1
197003;132.9;1
197004;184.7;1
197005;63.6;1
197006;175.5;1
197007;55;1
197008;82.5;1
197009;55.6;1
197010;126.2;1
197011;149.9;1
197012;62.8;1
197101;261;1
197102;76.8;1
197103;124.9;1
197104;89.4;1
197105;107.5;1
197106;200.6;1
197107;150.7;1
197108;156.8;1
197109;70.3;1
197110;57.6;1
197111;151.6;1
197112;24.4;1
197201;117.9;1
197202;155.5;1
197203;110.8;1
197204;103.8;1
197205;78;1
197206;49.3;1
197207;43.9;1
197208;144.1;1
197209;31.8;1
197210;93.9;1
197211;219;1
197212;92.2;1
197301;124;1
197302;131.3;1
197303;11.7;1
197304;80.2;1
197305;109.3;1
197306;117.2;1
197307;180.9;1
197308;121;1
197309;82.6;1
197310;190;1
197311;105.1;1
197312;183.9;1
197401;111.9;1
197402;160.4;1
197403;105;1
197404;60.7;1
197405;120.1;1
197406;122.6;1
197407;77.3;1
197408;104.1;1
197409;278.1;1
197410;229.8;1
197411;214.7;1
197412;89;1
197501;205.2;1
197502;38;1
197503;153.3;1
197504;64.8;1
197505;198.8;1
197506;78.9;1
197507;100.2;1
197508;113.9;1
197509;174.6;1
197510;73.1;1
197511;183.5;1
197512;38.8;1
197601;52.1;1
197602;80.3;1
197603;72.1;1
197604;93.2;1
197605;54.3;1
197606;2.9;1
197607;134.1;1
197608;110.4;1
197609;160.6;1
197610;355.7;1
197611;230.4;1
197612;182.6;1
197701;153.8;1
197702;267.5;1
197703;179.1;1
197704;84.6;1
197705;165.2;1
197706;209.1;1
197707;92.9;1
197708;241.8;1
197709;16.1;1
197710;122.5;1
197711;136;1
197712;107.7;1
197801;189;1
197802;131.5;1
197803;212;1
197804;102.7;1
197805;129.1;1
197806;146.1;1
197807;78.9;1
197808;57.5;1
197809;103.2;1
197810;21.7;1
197811;25.5;1
197812;309.6;1
197901;133.5;1
197902;176.6;1
197903;198;1
197904;194.4;1
197905;247.4;1
197906;95.1;1
197907;27.2;1
197908;147.9;1
197909;16;1
197910;240.8;1
197911;148.2;1
197912;277.4;1
198001;107.8;1
198002;174.7;1
198003;165.1;1
198004;26.5;1
198005;173.2;1
198006;176;1
198007;184.4;1
198008;145;1
