# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 17050001
# NOM_USUEL= BOIS
# LATITUDE (°) = 45.465
# LONGITUDE(°)= -0.601
# ALTITUDE (m) = 40
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2016-12-31
# NUM_SERIE= MRR117050001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201512
# Date(s) de rupture(s) d'homogénéité : 198706
#     Periode homogénéisée  195101 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;64;1
195102;128;1
195103;89.6;1
195104;40.9;1
195105;138.4;1
195106;89.2;1
195107;38;1
195108;122.9;1
195109;33.6;1
195110;86.1;1
195111;142.1;1
195112;173.4;1
195201;143.2;1
195202;66.5;1
195203;98.5;1
195204;57.9;1
195205;45.4;1
195206;19.3;1
195207;43.1;1
195208;92.9;1
195209;158.6;1
195210;214.5;1
195211;218.8;1
195212;229.2;1
195301;12.3;1
195302;49.6;1
195303;4.8;1
195304;38.1;1
195305;21;1
195306;77.9;1
195307;68.5;1
195308;22.4;1
195309;82.9;1
195310;100.3;1
195311;47.2;1
195312;4.5;1
195401;73.9;1
195402;105;1
195403;125.9;1
195404;14.3;1
195405;68;1
195406;35.8;1
195407;59.3;1
195408;126.5;1
195409;63.8;1
195410;72.4;1
195411;87.3;1
195412;100.6;1
195501;199.1;1
195502;124.3;1
195503;17.6;1
195504;0.2;1
195505;44.6;1
195506;143.3;1
195507;102.3;1
195508;63.9;1
195509;30.3;1
195510;39.6;1
195511;63.2;1
195512;132.5;1
195601;67.1;1
195602;9;1
195603;24.9;1
195604;31;1
195605;64.9;1
195606;34.6;1
195607;121.8;1
195608;132.8;1
195609;78.2;1
195610;23.5;1
195611;41.9;1
195612;80.4;1
195701;43.3;1
195702;181;1
195703;48.6;1
195704;31.3;1
195705;22;1
195706;98.6;1
195707;75.2;1
195708;52.3;1
195709;67.4;1
195710;26.5;1
195711;50.6;1
195712;89.4;1
195801;144.3;1
195802;52;1
195803;128.9;1
195804;49.5;1
195805;92.5;1
195806;115.3;1
195807;81.6;1
195808;90.1;1
195809;90.3;1
195810;72.4;1
195811;47.4;1
195812;177.3;1
195901;98.8;1
195902;10.2;1
195903;46.9;1
195904;128.3;1
195905;38;1
195906;23.2;1
195907;40;1
195908;28.6;1
195909;30.5;1
195910;141.6;1
195911;100.5;1
195912;236.9;1
196001;68.4;1
196002;98.4;1
196003;53.9;1
196004;24.8;1
196005;65.3;1
196006;31.2;1
196007;45.2;1
196008;71.4;1
196009;156.5;1
196010;212.3;1
196011;154.9;1
196012;228.9;1
