# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 18126001
# NOM_USUEL= LEVET
# LATITUDE (°) = 46.941
# LONGITUDE(°)= 2.406
# ALTITUDE (m) = 174
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-04-01
# NUM_SERIE= MRR118126001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195001 201912
# Date(s) de rupture(s) d'homogénéité : 197012 197508
#     Periode homogénéisée  195001 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;14.4;1
195002;65.2;1
195003;14.9;1
195004;62.5;1
195005;62.8;1
195006;55.4;1
195007;41.2;1
195008;76.9;1
195009;30.5;1
195010;24.4;1
195011;150.2;1
195012;80.5;1
195101;32.9;1
195102;64.1;1
195103;65.3;1
195104;50.9;1
195105;69.4;1
195106;123.7;1
195107;24.4;1
195108;53.4;1
195109;74.6;1
195110;16.3;1
195111;67.2;1
195112;33.6;1
195201;90.7;1
195202;76.4;1
195203;90.1;1
195204;13.6;1
195205;54.2;1
195206;9.7;1
195207;7;1
195208;42.7;1
195209;72.3;1
195210;149.8;1
195211;103.1;1
195212;97.8;1
195301;13;1
195302;30.1;1
195303;4.7;1
195304;63;1
195305;19.2;1
195306;65.7;1
195307;28.7;1
195308;36.3;1
195309;69.3;1
195310;57.6;1
195311;22.7;1
195312;18.8;1
195401;35.8;1
195402;70.6;1
195403;77.9;1
195404;22.7;1
195405;46.5;1
195406;67.8;1
195407;18.1;1
195408;109.4;1
195409;40.7;1
195410;36;1
195411;41.9;1
195412;46.7;1
195501;119.8;1
195502;97.7;1
195503;79.9;1
195504;0;1
195505;34.1;1
195506;72.7;1
195507;34.7;1
195508;24.3;1
195509;19.9;1
195510;19.4;1
195511;22.7;1
195512;104.2;1
195601;64.7;1
195602;10.8;1
195603;27.6;1
195604;82.5;1
195605;71.3;1
195606;61;1
195607;48.7;1
195608;85.8;1
195609;108.6;1
195610;36.8;1
195611;45.1;1
195612;34.8;1
195701;31.3;1
195702;111.6;1
195703;23.2;1
195704;15.7;1
195705;21.6;1
195706;125.1;1
195707;92.6;1
195708;67;1
195709;44.4;1
195710;49;1
195711;27.9;1
195712;46.4;1
195801;66.2;1
195802;61.4;1
195803;55.2;1
195804;26.6;1
195805;135.8;1
195806;78.9;1
195807;113.8;1
195808;91.9;1
195809;68;1
195810;51.7;1
195811;50;1
195812;83.1;1
195901;56.2;1
195902;0.9;1
195903;58.3;1
195904;94.2;1
195905;10.4;1
195906;72.5;1
195907;8.4;1
195908;58.4;1
195909;16.2;1
195910;46.8;1
195911;71;1
195912;61.3;1
196001;64.7;1
196002;45.7;1
196003;70.7;1
196004;27.4;1
196005;56.9;1
196006;49.3;1
196007;41.8;1
196008;128.9;1
196009;77.4;1
196010;172.1;1
196011;59.5;1
196012;55.1;1
196101;72.4;1
196102;33.9;1
196103;4.1;1
196104;49.4;1
196105;46.9;1
196106;47.8;1
196107;85.2;1
196108;30.1;1
196109;36.6;1
196110;55.1;1
196111;58;1
196112;57.5;1
196201;70.7;1
196202;28;1
196203;107.9;1
196204;52.2;1
196205;86.8;1
196206;6.4;1
196207;31.4;1
196208;11.8;1
196209;14.3;1
196210;31.8;1
196211;103;1
196212;78;1
196301;28.1;1
196302;36.8;1
196303;80.8;1
196304;44;1
196305;81.7;1
196306;54.9;1
196307;17.2;1
196308;105.9;1
196309;21.6;1
196310;42.5;1
196311;84.1;1
196312;0;1
196401;12.3;1
196402;69.8;1
196403;105.1;1
196404;28.7;1
196405;9.9;1
196406;12.7;1
196407;7.6;1
196408;22.3;1
196409;34.8;1
196410;44.6;1
196411;18.2;1
196412;41.4;1
196501;88.7;1
196502;5.5;1
196503;50.3;1
196504;59.1;1
196505;73.3;1
196506;54.7;1
196507;43.7;1
196508;68.4;1
196509;172.9;1
196510;17.2;1
196511;109.5;1
196512;99.1;1
196601;78;1
196602;78;1
196603;16.2;1
196604;62.5;1
196605;35;1
196606;65;1
196607;70.1;1
196608;114.5;1
196609;22.8;1
196610;70.4;1
196611;64.8;1
196612;85.9;1
196701;46.5;1
196702;50.1;1
196703;40.8;1
196704;13.4;1
196705;61.2;1
196706;9.3;1
196707;4.2;1
196708;46.7;1
196709;86.2;1
196710;53.1;1
196711;65.1;1
196712;78.6;1
196801;94.6;1
196802;56.7;1
196803;25.4;1
196804;59.4;1
196805;71.5;1
196806;60.7;1
196807;53.7;1
196808;125.9;1
196809;113.8;1
196810;28;1
196811;37;1
196812;80.7;1
196901;32.7;1
196902;50.8;1
196903;80.6;1
196904;46;1
196905;96.5;1
196906;78.5;1
196907;30.4;1
196908;36.8;1
196909;96;1
196910;2.1;1
196911;117.1;1
196912;74.2;1
197001;61.3;1
197002;119.3;1
197003;66.5;1
197004;71.6;1
197005;38.5;1
197006;94.2;1
197007;22.8;1
197008;30.8;1
197009;33.8;1
197010;37.3;1
197011;34.3;1
197012;20.8;1
197101;63.6;1
197102;20.7;1
197103;32.3;1
197104;23.6;1
197105;85.8;1
197106;87.1;1
197107;36.2;1
197108;73.9;1
197109;18.7;1
197110;46.1;1
197111;56.7;1
197112;5.9;1
197201;66.7;1
197202;62.1;1
197203;27.2;1
197204;42.8;1
197205;48.6;1
197206;47.6;1
197207;68.5;1
197208;137.3;1
197209;25;1
197210;39.5;1
197211;87.4;1
197212;42.7;1
197301;48.7;1
197302;47.1;1
197303;14.1;1
197304;21.8;1
197305;79.2;1
197306;43.2;1
197307;69.3;1
197308;40.1;1
197309;30;1
197310;33.2;1
197311;30.3;1
197312;54.9;1
197401;32.4;1
197402;30.9;1
197403;95.1;1
197404;52;1
197405;50.4;1
197406;40.8;1
197407;9.5;1
197408;51.2;1
