# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 19226001
# NOM_USUEL= ST-MERD-OUSSIN.
# LATITUDE (°) = 45.632
# LONGITUDE(°)= 2.039
# ALTITUDE (m) = 818
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-12-31
# NUM_SERIE= MRR119226001
# Amplitude minimale détectable de la série = 0.05
# Période homogénéisée : 195501 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195501 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;376.9;1
195502;207.5;1
195503;57.4;1
195504;5.6;1
195505;69.5;1
195506;150.5;1
195507;83.9;1
195508;53.2;1
195509;26.8;1
195510;101;1
195511;65.7;1
195512;214.5;1
195601;159.8;1
195602;27.7;1
195603;77;1
195604;105.8;1
195605;153.6;1
195606;93.3;1
195607;159.2;1
195608;165.6;1
195609;129.9;1
195610;81.9;1
195611;71.3;1
195612;73.3;1
195701;77.1;1
195702;310.4;1
195703;49.9;1
195704;70.7;1
195705;66;1
195706;174.4;1
195707;140.1;1
195708;52.2;1
195709;115.5;1
195710;42.5;1
195711;69.8;1
195712;107.8;1
195801;185.9;1
195802;125.5;1
195803;161.2;1
195804;98.5;1
195805;290.9;1
195806;135.4;1
195807;186.1;1
195808;168.8;1
195809;91.9;1
195810;89.1;1
195811;85.9;1
195812;190;1
195901;164.4;1
195902;15.4;1
195903;111.5;1
195904;217.6;1
195905;87.6;1
195906;84.8;1
195907;80.6;1
195908;107.9;1
195909;184.1;1
195910;114.1;1
195911;116.5;1
195912;300;1
196001;141.3;1
196002;151.7;1
196003;134.4;1
196004;29;1
196005;67.4;1
196006;130.9;1
196007;127.9;1
196008;244.4;1
196009;126.7;1
196010;460.1;1
196011;154.2;1
196012;182.1;1
196101;203.4;1
196102;98;1
196103;8.8;1
196104;152.5;1
196105;103.1;1
196106;98.8;1
196107;179.7;1
196108;59.9;1
196109;90.6;1
196110;179.3;1
196111;130.5;1
196112;230.7;1
196201;230.1;1
196202;79.7;1
196203;200.2;1
196204;131.2;1
196205;191.8;1
196206;15.8;1
196207;104.6;1
196208;30.3;1
196209;93.9;1
196210;42.8;1
196211;208.4;1
196212;198.1;1
196301;54.3;1
196302;125.6;1
196303;242.9;1
196304;127.1;1
196305;86.2;1
196306;173.4;1
196307;25.3;1
196308;205.6;1
196309;69.9;1
196310;80.9;1
196311;180.6;1
196312;47.5;1
196401;27.3;1
196402;61.7;1
196403;112.4;1
196404;185.3;1
196405;122.4;1
196406;51.1;1
196407;20.4;1
196408;71.6;1
196409;63.7;1
196410;175.5;1
196411;86.4;1
196412;60.8;1
196501;160.8;1
196502;17.6;1
196503;161.3;1
196504;131;1
196505;126.7;1
196506;57.2;1
196507;67.2;1
196508;110.9;1
196509;258.2;1
196510;8.9;1
196511;267.1;1
196512;328.8;1
196601;174.1;1
196602;152.2;1
196603;94.3;1
196604;140.4;1
196605;159.7;1
196606;123.4;1
196607;90.4;1
196608;131.7;1
196609;35.7;1
196610;204.3;1
196611;170.7;1
196612;285.2;1
196701;78.8;1
196702;158.6;1
196703;124.5;1
196704;34.7;1
196705;178.8;1
196706;59.9;1
196707;53;1
196708;95.8;1
196709;96.1;1
196710;151.6;1
196711;165.4;1
196712;148.5;1
196801;200;1
196802;101.2;1
196803;72;1
196804;82;1
196805;179.9;1
196806;73.9;1
196807;149.8;1
196808;173.3;1
196809;286.8;1
196810;77;1
196811;69.9;1
196812;212.8;1
196901;122.2;1
196902;107.2;1
196903;171.8;1
196904;181.8;1
196905;187.7;1
196906;121.5;1
196907;53.2;1
196908;134.5;1
196909;201.5;1
196910;19.4;1
196911;269.6;1
196912;131.3;1
197001;148.7;1
197002;326;1
197003;114.3;1
197004;161.8;1
197005;63.6;1
197006;192;1
197007;43.6;1
197008;89.7;1
197009;71.1;1
197010;86.3;1
197011;168.9;1
197012;60.8;1
197101;231.5;1
197102;73.2;1
197103;122.6;1
197104;111.9;1
197105;88.2;1
197106;113.6;1
197107;97;1
197108;188.2;1
197109;88.3;1
197110;45.5;1
197111;137.7;1
197112;13.8;1
197201;113.4;1
197202;120.2;1
197203;78.8;1
197204;104.7;1
197205;67.5;1
197206;73.3;1
197207;97.6;1
197208;156.8;1
197209;48;1
197210;78.8;1
197211;216.5;1
197212;83.8;1
197301;116.6;1
197302;118.4;1
197303;11.7;1
197304;62.6;1
197305;147.2;1
197306;87.9;1
197307;216.5;1
197308;76.8;1
197309;130.8;1
197310;158.1;1
197311;111;1
197312;181;1
197401;112.3;1
197402;151.9;1
197403;140.4;1
197404;76.3;1
197405;90.3;1
197406;113.1;1
197407;54.8;1
197408;84.2;1
197409;245.1;1
197410;227.4;1
197411;217.1;1
197412;88;1
197501;196;1
197502;34.2;1
197503;129.4;1
197504;100.1;1
197505;130.9;1
197506;49.7;1
197507;58.4;1
197508;119.8;1
197509;178.6;1
197510;64.9;1
197511;177;1
197512;41.8;1
197601;49.2;1
197602;85.3;1
197603;46.2;1
197604;50.1;1
197605;63.8;1
197606;0.7;1
197607;116;1
197608;64.4;1
197609;181.4;1
197610;194.4;1
197611;220.3;1
197612;204.4;1
197701;143.1;1
197702;306.2;1
197703;138.5;1
197704;110.8;1
197705;150.6;1
197706;217.7;1
197707;113;1
197708;144.6;1
197709;14.5;1
197710;130.5;1
197711;133.6;1
197712;120.6;1
197801;213.7;1
197802;137.9;1
197803;225.8;1
197804;120.6;1
197805;104.3;1
197806;94.6;1
197807;93;1
197808;51.8;1
197809;66.3;1
197810;22.2;1
197811;21;1
197812;303.6;1
197901;106;1
197902;165.4;1
197903;241.1;1
197904;157;1
197905;173.9;1
197906;94.5;1
197907;12.3;1
197908;167.1;1
197909;19.3;1
197910;164.8;1
197911;144.9;1
197912;299.3;1
198001;174.3;1
198002;181.6;1
198003;166.2;1
198004;33.3;1
198005;98.7;1
198006;125;1
198007;118.2;1
198008;127;1
198009;65.6;1
198010;182;1
198011;93.3;1
198012;130.8;1
198101;178;1
198102;71.5;1
198103;197.6;1
198104;33.1;1
198105;247.8;1
198106;108.1;1
198107;138.6;1
198108;63;1
198109;168.6;1
198110;196.4;1
198111;43.6;1
198112;372.5;1
198201;170.2;1
198202;45.6;1
198203;156.2;1
198204;34.8;1
198205;69.9;1
198206;90.7;1
198207;90.4;1
198208;105.9;1
198209;112.6;1
198210;196.2;1
198211;131.3;1
198212;323.2;1
198301;96.3;1
198302;127.6;1
198303;95.4;1
198304;263.8;1
198305;183.8;1
198306;51.9;1
198307;82.7;1
198308;119.8;1
198309;115.9;1
198310;80.8;1
198311;124.9;1
198312;166.8;1
198401;301.4;1
198402;136.1;1
198403;133.4;1
198404;19;1
198405;192.9;1
198406;107.2;1
198407;49.8;1
198408;102.4;1
198409;217.8;1
198410;165.9;1
198411;211;1
198412;80.7;1
198501;118.5;1
198502;142.9;1
198503;138.9;1
198504;135.4;1
198505;176.5;1
198506;146.3;1
198507;44.1;1
198508;42.5;1
198509;16.5;1
198510;8.4;1
198511;116.2;1
198512;124.8;1
198601;274.9;1
198602;98.5;1
198603;200.3;1
198604;260.6;1
198605;101.6;1
198606;72.2;1
198607;50.8;1
198608;79.2;1
198609;76.8;1
198610;150.6;1
198611;120.3;1
198612;201.4;1
198701;82;1
198702;92.4;1
198703;109.5;1
198704;105.5;1
198705;116.1;1
198706;159.4;1
198707;155.1;1
198708;63.3;1
198709;162;1
198710;207.1;1
198711;138.1;1
198712;53.3;1
198801;287;1
198802;212;1
198803;227.8;1
198804;94.5;1
198805;145.2;1
198806;90.2;1
198807;114.2;1
198808;25.2;1
198809;98.2;1
198810;121.6;1
198811;60.3;1
198812;131.9;1
198901;40.5;1
198902;123.6;1
198903;94.8;1
198904;229.7;1
198905;78.4;1
198906;52.6;1
198907;70.1;1
198908;54.6;1
198909;72.3;1
198910;60.4;1
198911;75.6;1
198912;88.1;1
199001;91.1;1
199002;281.8;1
199003;23.4;1
199004;113.5;1
199005;120.7;1
199006;123.1;1
199007;57.5;1
199008;50.1;1
199009;96.6;1
199010;201;1
199011;128.8;1
199012;67.5;1
199101;104.2;1
199102;86;1
199103;90.4;1
199104;86.5;1
199105;38.2;1
199106;85.1;1
199107;66.4;1
199108;42.2;1
199109;105.1;1
199110;96;1
199111;183.7;1
199112;51.3;1
199201;37;1
199202;60.1;1
199203;122.2;1
199204;83.7;1
199205;72.9;1
199206;196.6;1
199207;89.9;1
199208;148.1;1
199209;129;1
199210;203.7;1
199211;223;1
199212;121.2;1
199301;39.8;1
199302;11.2;1
199303;45.5;1
199304;156.1;1
199305;125.7;1
199306;179.4;1
199307;95.7;1
199308;124.1;1
199309;300.6;1
199310;191.6;1
199311;43.9;1
199312;355.3;1
199401;255.5;1
199402;202.6;1
199403;53.7;1
199404;205;1
199405;169.4;1
199406;161.4;1
199407;73.1;1
199408;94.9;1
199409;219.2;1
199410;151.8;1
199411;135.1;1
199412;180;1
199501;246.2;1
199502;224.3;1
199503;163.9;1
199504;65.5;1
199505;122.3;1
199506;11.3;1
199507;64.7;1
199508;36.3;1
199509;239.7;1
199510;92.8;1
