# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 20249001
# NOM_USUEL= PROPRIANO VILLE
# LATITUDE (°) = 41.675
# LONGITUDE(°)= 8.902
# ALTITUDE (m) = 5
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-01-01
# NUM_SERIE= MRR120249001
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 195601 201512
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195601 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;109.2;1
195602;37.4;1
195603;81.9;1
195604;73.1;1
195605;25.3;1
195606;15.2;1
195607;1;1
195608;0;1
195609;75.5;1
195610;16.3;1
195611;66.6;1
195612;33.4;1
195701;44.3;1
195702;25.5;1
195703;10.6;1
195704;38.9;1
195705;29.4;1
195706;42.2;1
195707;1.2;1
195708;22.7;1
195709;0.2;1
195710;33.4;1
195711;98.7;1
195712;103.5;1
195801;45;1
195802;22.4;1
195803;69.3;1
195804;93.6;1
195805;2;1
195806;4.8;1
195807;14.2;1
195808;6.5;1
195809;10;1
195810;68.7;1
195811;131.7;1
195812;87.6;1
195901;24.1;1
195902;6.3;1
195903;114.1;1
195904;52.7;1
195905;88.4;1
195906;46.5;1
195907;0;1
195908;48.5;1
195909;112.5;1
195910;139.8;1
195911;88;1
195912;134.9;1
196001;129.7;1
196002;128;1
196003;142.9;1
196004;30.2;1
196005;23.1;1
196006;6.2;1
196007;0;1
196008;4.6;1
196009;86;1
196010;145.9;1
196011;107.4;1
196012;302;1
196101;81.5;1
196102;8.2;1
196103;0;1
196104;44.5;1
196105;50;1
196106;10.6;1
196107;0;1
196108;0;1
196109;1;1
196110;168.5;1
196111;170.2;1
196112;71.7;1
196201;18;1
196202;80.5;1
196203;39;1
196204;8.9;1
196205;46.6;1
196206;4;1
196207;0;1
196208;8.5;1
196209;26;1
196210;105.3;1
196211;164.7;1
196212;83.1;1
196301;119;1
196302;96.7;1
196303;26.3;1
196304;27.6;1
196305;8.9;1
196306;31.2;1
196307;67;1
196308;41.4;1
196309;57;1
196310;37.1;1
196311;110.7;1
196312;65.2;1
196401;1.4;1
196402;76.8;1
196403;89;1
196404;50.1;1
196405;0;1
196406;19.6;1
196407;3;1
196408;8.5;1
196409;14.2;1
196410;117.1;1
196411;68.7;1
196412;155.7;1
196501;82.3;1
196502;11;1
196503;66.6;1
196504;8.3;1
196505;8.8;1
196506;10.2;1
196507;0;1
196508;11.1;1
196509;123.7;1
196510;83;1
196511;88.1;1
196512;54.4;1
196601;73;1
196602;125.6;1
196603;37.7;1
196604;33.2;1
196605;8.6;1
196606;14.2;1
196607;14.6;1
196608;37.7;1
196609;66.6;1
196610;233.8;1
196611;83.3;1
196612;74.2;1
196701;78.6;1
196702;23;1
196703;13.1;1
196704;5.5;1
196705;26.5;1
196706;1.8;1
196707;0;1
196708;0;1
196709;22.9;1
196710;27.2;1
196711;78.1;1
196712;54.2;1
196801;55.3;1
196802;48.9;1
196803;23.6;1
196804;52.7;1
196805;43.8;1
196806;7.3;1
196807;32;1
196808;20.7;1
196809;6.6;1
196810;12.2;1
196811;128.8;1
196812;121;1
196901;84;1
196902;90.6;1
196903;90.7;1
196904;23;1
196905;117.5;1
196906;16.5;1
196907;0.1;1
196908;0;1
196909;61;1
196910;1.5;1
196911;124.3;1
196912;162.1;1
197001;39.7;1
197002;34.3;1
197003;41;1
197004;8.3;1
197005;10.4;1
197006;5;1
197007;0;1
197008;0;1
197009;1.8;1
197010;4.1;1
197011;78.5;1
197012;103.4;1
197101;119;1
197102;66.9;1
197103;58.8;1
197104;44.4;1
197105;56.7;1
197106;44.6;1
197107;5.5;1
197108;0;1
197109;7.9;1
197110;160;1
197111;230.2;1
197112;28.2;1
197201;141.3;1
197202;182.6;1
197203;58.2;1
197204;65.6;1
197205;27.6;1
197206;9.6;1
197207;0;1
197208;0.2;1
197209;58;1
197210;24.1;1
197211;10.7;1
197212;40.9;1
197301;98;1
197302;49.6;1
197303;33.1;1
197304;24.4;1
197305;8.4;1
197306;26;1
197307;0;1
197308;10.1;1
197309;0;1
197310;13.7;1
197311;14.2;1
197312;49.9;1
197401;33.2;1
197402;98.5;1
197403;50.9;1
197404;128.3;1
197405;20.6;1
197406;0;1
197407;0;1
197408;4.1;1
197409;105.5;1
197410;33.3;1
197411;17.9;1
197412;7.7;1
197501;23.3;1
197502;108.5;1
197503;166.2;1
197504;51.8;1
197505;30.1;1
197506;13.5;1
197507;2.2;1
197508;39.1;1
197509;19.4;1
197510;69.7;1
197511;184.4;1
197512;36.6;1
197601;56.2;1
197602;132.7;1
197603;34.7;1
197604;75.5;1
197605;22.1;1
197606;10.7;1
197607;12.1;1
197608;41.6;1
197609;57;1
197610;241.8;1
197611;211;1
197612;74.2;1
197701;57.3;1
197702;52.1;1
197703;32.4;1
197704;31.7;1
197705;51.8;1
197706;22;1
197707;43.7;1
197708;62.8;1
197709;13.4;1
197710;111;1
197711;50.9;1
197712;49.1;1
197801;126.7;1
197802;81.2;1
197803;72.3;1
197804;115.2;1
197805;31.9;1
197806;11.9;1
197807;1;1
197808;0;1
197809;20.2;1
197810;88.3;1
197811;35.4;1
197812;96;1
197901;73.4;1
197902;120;1
197903;78.8;1
197904;84.5;1
197905;0;1
197906;0.8;1
197907;0;1
197908;26.4;1
197909;70.4;1
197910;50.9;1
197911;65;1
197912;65.1;1
198001;78.9;1
198002;10.5;1
198003;86.2;1
198004;35.9;1
198005;163.2;1
198006;4.7;1
198007;0;1
198008;6.4;1
198009;0;1
198010;115.6;1
198011;150.5;1
198012;36.2;1
198101;25.6;1
198102;62.1;1
198103;58;1
198104;43.8;1
198105;76.5;1
198106;8.6;1
198107;0;1
198108;0.2;1
198109;33.6;1
198110;78.6;1
198111;2.5;1
198112;96.6;1
198201;26.6;1
198202;50.7;1
198203;23.1;1
198204;33.1;1
198205;27.7;1
198206;19;1
198207;0;1
198208;4;1
198209;23.2;1
198210;111.1;1
198211;109.5;1
198212;96.6;1
198301;1.4;1
198302;105;1
198303;52.6;1
198304;23.7;1
198305;2.5;1
198306;11.7;1
198307;12.9;1
198308;51.8;1
198309;46.2;1
198310;16.7;1
198311;89.1;1
198312;122.8;1
198401;66.8;1
198402;71.8;1
198403;35.1;1
198404;18.8;1
198405;86.1;1
198406;23.9;1
198407;0;1
198408;17.8;1
198409;84.4;1
198410;27;1
198411;132.5;1
198412;40.5;1
198501;97.9;1
198502;22.9;1
198503;81.9;1
198504;3.5;1
198505;38;1
198506;0;1
198507;0;1
198508;0;1
198509;17.5;1
198510;26.4;1
198511;108.6;1
198512;16.8;1
198601;182.9;1
198602;158.3;1
198603;58.4;1
198604;76.3;1
198605;22;1
198606;45.8;1
198607;30.5;1
198608;0.8;1
198609;38.5;1
198610;24.5;1
198611;32.7;1
198612;72.3;1
198701;79.5;1
198702;40.6;1
198703;30.2;1
198704;36.8;1
198705;17.6;1
198706;25;1
198707;0;1
198708;0;1
198709;0;1
198710;150.2;1
198711;185;1
198712;75.3;1
198801;67;1
198802;29.3;1
198803;44.9;1
198804;40.6;1
198805;18.8;1
198806;18.8;1
198807;0;1
198808;5.6;1
198809;0;1
198810;82;1
198811;42.8;1
198812;52.2;1
198901;11.4;1
198902;124.5;1
198903;10.8;1
198904;139;1
198905;7.2;1
198906;10.8;1
198907;30.7;1
198908;23.8;1
198909;38;1
198910;40.7;1
198911;81.2;1
198912;21.6;1
199001;48.1;1
199002;53.5;1
199003;21.4;1
199004;87.6;1
199005;11.2;1
199006;26.3;1
199007;18;1
199008;10.7;1
199009;8.4;1
199010;178.8;1
199011;131.2;1
199012;50.9;1
199101;3.3;1
199102;32.1;1
199103;55.7;1
199104;55.6;1
199105;44;1
199106;3.5;1
199107;3;1
199108;0;1
199109;43.5;1
199110;121.6;1
199111;83.8;1
199112;1.5;1
199201;14.4;1
199202;6.7;1
199203;38.4;1
199204;34.9;1
199205;18.2;1
199206;88.1;1
199207;9.3;1
199208;11.1;1
199209;34.6;1
199210;182.5;1
199211;50.2;1
199212;53.5;1
199301;4;1
199302;27.2;1
199303;54;1
199304;101.4;1
199305;5.4;1
199306;0;1
199307;1.6;1
199308;0;1
199309;66.7;1
199310;164.4;1
199311;118;1
199312;64.2;1
199401;79.9;1
199402;30.8;1
199403;0;1
199404;72.3;1
199405;55.2;1
199406;11.9;1
199407;0;1
199408;4.3;1
199409;55.8;1
199410;41.3;1
199411;123.2;1
199412;69.3;1
199501;15.8;1
199502;18.9;1
199503;37.6;1
199504;89.4;1
199505;52.7;1
199506;1.7;1
199507;55.7;1
199508;36.5;1
199509;74.6;1
199510;0;1
199511;46.1;1
199512;83.2;1
199601;65.7;1
199602;109.2;1
199603;111.2;1
199604;51.3;1
199605;49.2;1
199606;16.5;1
199607;12.6;1
199608;5.5;1
199609;75.8;1
199610;82.6;1
199611;98.6;1
199612;143;1
199701;50.8;1
199702;2.3;1
199703;5.9;1
199704;40.1;1
199705;23;1
199706;22;1
199707;7.2;1
199708;43.3;1
199709;4.6;1
199710;40.9;1
199711;177.1;1
199712;46;1
199801;51.9;1
199802;21.8;1
199803;32.3;1
199804;84;1
199805;31.8;1
199806;10.4;1
199807;0.9;1
199808;3.7;1
199809;98.2;1
199810;71;1
199811;34.1;1
199812;65.6;1
199901;29.6;1
199902;32.7;1
199903;103.2;1
199904;59.1;1
199905;39.6;1
199906;3.4;1
199907;18.3;1
199908;4.8;1
199909;58.5;1
199910;62.4;1
199911;69.5;1
199912;93.1;1
200001;12.6;1
200002;14.1;1
200003;27.7;1
200004;86.2;1
200005;11.2;1
200006;23.4;1
200007;30.8;1
200008;14.2;1
200009;16.5;1
200010;144.1;1
200011;192.3;1
200012;137.4;1
200101;64.9;1
200102;30.9;1
200103;111.9;1
200104;17.3;1
200105;68.7;1
200106;8.3;1
200107;4.3;1
200108;0;1
200109;80.5;1
200110;40.8;1
200111;47.3;1
200112;21.5;1
200201;22.2;1
200202;34.4;1
200203;21.7;1
200204;61.6;1
200205;71;1
200206;44.5;1
200207;28.1;1
200208;105.3;1
200209;113;1
200210;93.6;1
200211;93.6;1
200212;75;1
200301;92.4;1
200302;24.8;1
200303;17.9;1
200304;20.2;1
200305;11.4;1
200306;0;1
200307;0;1
200308;0;1
200309;28.6;1
200310;183.7;1
200311;96.1;1
200312;51.8;1
200401;51;1
200402;52.5;1
200403;48.7;1
200404;112.4;1
200405;105.9;1
200406;14.5;1
200407;0;1
200408;8.3;1
200409;51.4;1
200410;175.9;1
200411;64.5;1
200412;150.8;1
200501;31.2;1
