# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 21714001
# NOM_USUEL= VOSNE ROMANEE
# LATITUDE (°) = 47.162
# LONGITUDE(°)= 4.954
# ALTITUDE (m) = 255
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2019-12-31
# NUM_SERIE= MRR121714001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : 199412
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;77.3;1
195102;75.7;1
195103;62.1;1
195104;63.8;1
195105;116.4;1
195106;95.5;1
195107;22;1
195108;99.9;1
195109;44.4;1
195110;32.7;1
195111;191.7;1
195112;37.7;1
195201;117.7;1
195202;48.7;1
195203;99.6;1
195204;25.1;1
195205;74.6;1
195206;18.6;1
195207;30.5;1
195208;69;1
195209;98.2;1
195210;133.9;1
195211;99.7;1
195212;107.1;1
195301;9.1;1
195302;37.2;1
195303;4.6;1
195304;52.2;1
195305;22.2;1
195306;208.3;1
195307;82.6;1
195308;24.2;1
195309;48.1;1
195310;50.3;1
195311;16;1
195312;13.2;1
195401;42.9;1
195402;37;1
195403;71.5;1
195404;32.3;1
195405;37.8;1
195406;48.3;1
195407;28.1;1
195408;150.9;1
195409;63.8;1
195410;72.6;1
195411;64;1
195412;108.7;1
195501;134.9;1
195502;113.9;1
195503;45.9;1
195504;1.2;1
195505;71;1
195506;150.5;1
195507;95.7;1
195508;69.2;1
195509;48.1;1
195510;45.9;1
195511;40.1;1
195512;98.7;1
195601;88.4;1
195602;10.5;1
195603;63.4;1
195604;63.5;1
195605;44.8;1
195606;97.8;1
195607;49.2;1
195608;116.3;1
195609;142.9;1
195610;68.6;1
195611;25.7;1
195612;48.5;1
195701;27.2;1
195702;143.8;1
195703;27.4;1
195704;19.9;1
195705;36.1;1
195706;99.9;1
195707;53.1;1
195708;15;1
195709;83.1;1
195710;26.7;1
195711;23.8;1
195712;60.2;1
195801;113.5;1
195802;73.9;1
195803;45.4;1
195804;38.9;1
195805;92.5;1
195806;63.3;1
195807;45;1
195808;116.4;1
195809;116.6;1
195810;50.1;1
195811;41.2;1
195812;109.6;1
195901;88.6;1
195902;0;1
195903;67.6;1
195904;71.2;1
195905;16.5;1
195906;64.5;1
195907;2.8;1
195908;50.4;1
195909;31.7;1
195910;48.1;1
195911;73.6;1
195912;103;1
196001;56.6;1
196002;63.3;1
196003;71.4;1
196004;16.1;1
196005;51.9;1
196006;37.7;1
196007;72.8;1
196008;143.9;1
196009;100.9;1
196010;143.9;1
196011;64.9;1
196012;47.8;1
196101;81;1
196102;66.4;1
196103;3.6;1
196104;49.9;1
196105;59.2;1
196106;25.2;1
196107;84.7;1
196108;40.1;1
196109;16.6;1
196110;100.9;1
196111;59.3;1
196112;86.2;1
196201;95.1;1
196202;69.9;1
196203;116;1
196204;87.6;1
196205;92.4;1
196206;10.9;1
196207;41.8;1
196208;35.1;1
196209;56.7;1
196210;20.2;1
196211;42.1;1
196212;86.9;1
196301;50.3;1
196302;26;1
196303;77.6;1
196304;75.1;1
196305;48.1;1
196306;95.6;1
196307;33;1
196308;114.6;1
196309;10.4;1
196310;61.1;1
196311;98.7;1
196312;3.6;1
196401;53.8;1
196402;21;1
196403;41.6;1
196404;70.7;1
196405;34;1
196406;30.5;1
196407;9;1
196408;66;1
196409;47.3;1
196410;46.1;1
196411;22.4;1
196412;26.6;1
196501;93.4;1
196502;10.3;1
196503;88.2;1
196504;48.2;1
196505;130.1;1
196506;99.9;1
196507;74.4;1
196508;68.1;1
196509;295;1
196510;13;1
196511;102.9;1
196512;155.4;1
196601;74.1;1
196602;89.2;1
196603;56.8;1
196604;75.9;1
196605;80.3;1
196606;72.4;1
196607;32.2;1
196608;85;1
196609;18.8;1
196610;85;1
196611;80.5;1
196612;107.7;1
196701;34.8;1
196702;62.8;1
196703;46.6;1
196704;31;1
196705;117.6;1
196706;34;1
196707;24;1
196708;67.7;1
196709;95.7;1
196710;57.4;1
196711;103.8;1
196712;47.7;1
196801;84.1;1
196802;75.2;1
196803;25.7;1
196804;80.6;1
196805;90;1
196806;72.1;1
196807;51.4;1
196808;74.7;1
196809;149.3;1
196810;39.6;1
196811;103;1
196812;94.4;1
196901;42.3;1
196902;57.6;1
196903;75.5;1
196904;99;1
196905;75.1;1
196906;109.7;1
196907;16.1;1
196908;59.5;1
196909;43.4;1
196910;8.9;1
196911;85.8;1
196912;37.9;1
197001;84.1;1
197002;115.8;1
197003;51.6;1
197004;53.8;1
197005;40.9;1
197006;116.4;1
197007;27;1
197008;77;1
197009;29.7;1
197010;74;1
197011;68.4;1
197012;29.2;1
197101;51.8;1
197102;21.9;1
197103;62.1;1
197104;31.4;1
197105;61.4;1
197106;49.6;1
197107;43.6;1
197108;101.1;1
197109;15;1
197110;28.4;1
197111;68.8;1
197112;7.2;1
197201;39.3;1
197202;84.4;1
197203;45.9;1
197204;40.8;1
197205;37.5;1
197206;74.2;1
197207;32.8;1
197208;30.6;1
197209;23.3;1
197210;34.4;1
197211;99.7;1
197212;50.8;1
197301;40.6;1
197302;43.4;1
197303;7;1
197304;23.3;1
197305;52.3;1
197306;84.6;1
197307;61.7;1
197308;76.2;1
197309;61.8;1
197310;68.2;1
197311;49.5;1
197312;72.4;1
197401;48.9;1
197402;72;1
197403;72.7;1
197404;30.3;1
197405;55.8;1
197406;50.6;1
197407;55.8;1
197408;45.6;1
197409;110.2;1
197410;125;1
197411;98;1
197412;49.2;1
197501;100.3;1
197502;20.8;1
197503;83.3;1
197504;36.9;1
197505;84.2;1
197506;44.9;1
197507;24.1;1
197508;90.9;1
197509;174.6;1
197510;32.7;1
197511;98.9;1
197512;33.4;1
197601;31.9;1
197602;66.6;1
197603;7.2;1
197604;20.2;1
197605;66.4;1
197606;0.9;1
197607;46.3;1
197608;23.9;1
197609;131;1
197610;64.1;1
197611;101.7;1
197612;87.5;1
197701;93;1
197702;113.5;1
197703;59.7;1
197704;47.6;1
197705;108.7;1
197706;119.5;1
197707;123.3;1
197708;133.2;1
197709;12.9;1
197710;98.6;1
197711;66.4;1
197712;81.9;1
197801;94.6;1
197802;93.2;1
197803;108.7;1
197804;52;1
197805;65;1
197806;42;1
197807;36.9;1
197808;38.5;1
197809;26.8;1
197810;14.3;1
197811;8.1;1
197812;99;1
197901;85.7;1
197902;78.9;1
197903;102.9;1
197904;66;1
197905;107.3;1
197906;117.8;1
197907;4.8;1
197908;81.6;1
197909;26.2;1
197910;111.9;1
197911;51.3;1
197912;110.3;1
198001;76.6;1
198002;79.7;1
198003;73.9;1
198004;18.4;1
198005;69.5;1
198006;64.6;1
198007;45;1
198008;29.4;1
198009;66.2;1
198010;63.6;1
198011;36.6;1
198012;60.3;1
198101;77;1
198102;48.8;1
198103;75.4;1
198104;22.1;1
198105;67;1
198106;111.8;1
198107;51.8;1
198108;52.6;1
198109;131.8;1
198110;127.6;1
198111;36.7;1
198112;184.2;1
198201;64.1;1
198202;13.9;1
198203;83.2;1
198204;6.5;1
198205;64.9;1
198206;69.2;1
198207;74.9;1
198208;56.9;1
198209;89.8;1
198210;76.5;1
198211;93.6;1
198212;131.6;1
198301;60;1
198302;61.6;1
198303;42.8;1
198304;168.6;1
198305;195.8;1
198306;54.4;1
198307;36.7;1
198308;91.1;1
198309;58.7;1
198310;41.3;1
198311;37.9;1
198312;38;1
198401;110.9;1
198402;55.1;1
198403;43.1;1
198404;7.6;1
198405;102.7;1
198406;106.8;1
198407;28.4;1
198408;66.6;1
198409;78.3;1
198410;92.9;1
198411;98.4;1
198412;43.2;1
198501;49.8;1
198502;29.3;1
198503;50.2;1
198504;59.9;1
198505;90.8;1
198506;50;1
198507;26.3;1
198508;46.9;1
198509;18.4;1
198510;16.6;1
198511;38.4;1
198512;59.4;1
198601;110.1;1
198602;48.5;1
198603;79.1;1
198604;118.2;1
198605;112.8;1
198606;23.7;1
198607;34.1;1
198608;91;1
198609;94.9;1
198610;44.5;1
198611;44.9;1
198612;82.9;1
198701;26.6;1
198702;44.1;1
198703;44.4;1
198704;28.5;1
198705;74.9;1
198706;161.7;1
198707;89.7;1
198708;36.2;1
198709;82.8;1
198710;109.7;1
198711;65.6;1
198712;43.3;1
198801;135.9;1
198802;91.1;1
198803;76.1;1
198804;52.2;1
198805;159.1;1
198806;35.9;1
198807;74.3;1
198808;38;1
198809;44.6;1
198810;76.8;1
198811;37.6;1
198812;56.6;1
198901;20.9;1
198902;34.8;1
198903;38.6;1
198904;151.2;1
198905;79.7;1
198906;31.7;1
198907;95.4;1
198908;19.9;1
198909;67.6;1
198910;24.5;1
198911;70.6;1
198912;61.5;1
199001;57.5;1
199002;101.9;1
199003;14;1
199004;47.5;1
199005;96.4;1
199006;94.6;1
199007;22.5;1
199008;35.5;1
199009;25.4;1
199010;97.1;1
199011;71.8;1
199012;69;1
199101;41.3;1
199102;27.5;1
199103;113.3;1
199104;31.7;1
199105;4.3;1
199106;67.5;1
199107;28.1;1
199108;31.5;1
199109;120.4;1
199110;47.2;1
199111;69.7;1
199112;30.7;1
199201;14.4;1
199202;29.9;1
199203;48.9;1
199204;52.2;1
199205;56.6;1
199206;111.5;1
199207;87.7;1
199208;73.4;1
199209;60.2;1
199210;96.8;1
199211;96.2;1
199212;52.2;1
199301;22.9;1
199302;5.8;1
199303;11.7;1
199304;69.5;1
199305;109.6;1
199306;179.8;1
199307;42.4;1
199308;10.8;1
199309;125.9;1
199310;181.3;1
199311;24.9;1
199312;114.4;1
199401;126;1
199402;86.5;1
199403;25;1
199404;68.5;1
199405;75.5;1
199406;46.8;1
199407;79.4;1
199408;59.6;1
199409;94.1;1
199410;45.1;1
199411;36.1;1
199412;59.3;1
199501;111.9;1
199502;87.5;1
199503;71.4;1
199504;71.6;1
199505;131.6;1
199506;23.5;1
199507;69;1
199508;60.6;1
199509;87.3;1
199510;29.3;1
199511;40.2;1
199512;92.1;1
199601;60.1;1
199602;75.9;1
199603;9.8;1
199604;17.7;1
199605;110.2;1
199606;34.5;1
199607;49.2;1
199608;52.2;1
199609;18.8;1
199610;31.7;1
199611;265.3;1
199612;51.8;1
199701;49.2;1
199702;65.7;1
199703;10.9;1
199704;22.4;1
199705;98.6;1
199706;103.1;1
199707;94.5;1
199708;66.7;1
199709;13.9;1
199710;39.8;1
199711;100.7;1
199712;92.5;1
199801;105.3;1
199802;19.3;1
199803;35.3;1
199804;153.1;1
199805;34.4;1
199806;37.7;1
199807;25.5;1
199808;36.9;1
199809;108.6;1
199810;87.2;1
199811;49.8;1
199812;37.2;1
199901;84.3;1
199902;91.2;1
199903;63.2;1
199904;64.5;1
199905;107.7;1
199906;78.5;1
199907;31.8;1
199908;44.7;1
199909;107.2;1
199910;79.7;1
199911;49.5;1
199912;155.4;1
200001;21.6;1
200002;75;1
200003;45.9;1
200004;78.3;1
200005;42.2;1
200006;9.1;1
200007;98.4;1
200008;56.3;1
200009;42;1
200010;84.2;1
200011;168.7;1
200012;56.3;1
200101;79.1;1
200102;39.4;1
200103;178.5;1
200104;82.1;1
200105;98.8;1
200106;38.4;1
200107;62.4;1
200108;55.1;1
200109;64.7;1
200110;130;1
200111;47.7;1
200112;31.4;1
200201;39.9;1
200202;67.2;1
200203;28.6;1
200204;13.2;1
200205;70.4;1
200206;69;1
200207;41.4;1
200208;59.8;1
200209;33.3;1
200210;76.6;1
200211;191.4;1
200212;65.8;1
200301;65.6;1
200302;25.4;1
200303;21.3;1
200304;43.1;1
200305;25.8;1
200306;40.1;1
200307;60.6;1
200308;34.6;1
200309;38;1
200310;127.4;1
200311;73.9;1
200312;67.7;1
200401;126.3;1
200402;16.8;1
200403;25.4;1
200404;34;1
200405;45;1
200406;82;1
200407;87.8;1
200408;124.7;1
200409;12.1;1
200410;167.3;1
200411;81.1;1
200412;69.2;1
200501;45;1
200502;31.1;1
200503;36.1;1
200504;79.8;1
200505;94.4;1
200506;29.4;1
200507;20.1;1
200508;16.9;1
200509;33.6;1
200510;52.2;1
200511;83.2;1
200512;66.2;1
200601;61.4;1
200602;79.9;1
200603;140.2;1
200604;59.9;1
200605;87.6;1
200606;33.5;1
200607;43.7;1
200608;85.4;1
200609;73.7;1
200610;86.1;1
200611;53.8;1
200612;34.6;1
200701;70.7;1
200702;89.6;1
200703;73.3;1
200704;2.2;1
200705;63.5;1
200706;77.1;1
200707;92.6;1
200708;102.3;1
200709;43.4;1
200710;14.2;1
200711;70.3;1
200712;69.6;1
200801;76.1;1
200802;26.5;1
200803;87.6;1
200804;106.7;1
200805;52.8;1
200806;65.3;1
200807;80.8;1
200808;80.6;1
200809;59.9;1
200810;114.4;1
