# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 27165001
# NOM_USUEL= CONCHES
# LATITUDE (°) = 48.955
# LONGITUDE(°)= 0.938
# ALTITUDE (m) = 157
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR127165001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195501 201412
# Date(s) de rupture(s) d'homogénéité : 196112
#     Periode homogénéisée  195501 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;96.6;1
195502;89.9;1
195503;25.8;1
195504;7.6;1
195505;72;1
195506;63.9;1
195507;21.3;1
195508;31.5;1
195509;74.2;1
195510;65.5;1
195511;20.6;1
195512;64.5;1
195601;103.5;1
195602;5.5;1
195603;13.5;1
195604;64.2;1
195605;47.8;1
195606;98.6;1
195607;67.9;1
195608;69.8;1
195609;33.7;1
195610;45.3;1
195611;18.9;1
195612;46.9;1
195701;34.5;1
195702;111.4;1
195703;33.9;1
195704;21.4;1
195705;17.8;1
195706;33.3;1
195707;60.9;1
195708;51.2;1
195709;143.2;1
195710;11.7;1
195711;47.6;1
195712;13.3;1
195801;85.4;1
195802;114.8;1
195803;11.8;1
195804;20.9;1
195805;83.1;1
195806;131.4;1
195807;32.1;1
195808;58.8;1
195809;12.3;1
195810;40;1
195811;56.2;1
195812;53.1;1
195901;75.7;1
195902;0;1
195903;38.1;1
195904;49.5;1
195905;8.7;1
195906;62.3;1
195907;40.9;1
195908;8.4;1
195909;37.1;1
195910;63.6;1
195911;48.2;1
195912;99.6;1
196001;25.1;1
196002;39.2;1
196003;69.2;1
196004;25.1;1
196005;40.4;1
196006;43.1;1
196007;76.5;1
196008;94.6;1
196009;94.5;1
196010;153.8;1
196011;59.9;1
196012;78.3;1
196101;70.4;1
196102;48.1;1
196103;3.6;1
196104;52.7;1
196105;21.8;1
196106;23.9;1
196107;58.4;1
196108;7.6;1
196109;23.4;1
196110;64.7;1
196111;33.5;1
196112;27.8;1
196201;62.5;1
196202;35.6;1
196203;46.5;1
196204;46.3;1
196205;28.4;1
196206;10;1
196207;51.2;1
196208;65.4;1
196209;58.9;1
196210;72.8;1
196211;165.6;1
196212;72.4;1
196301;16.6;1
196302;19.9;1
196303;50.5;1
196304;71.2;1
196305;49.4;1
196306;60.4;1
196307;8.1;1
196308;173;1
196309;35.3;1
196310;29.7;1
196311;93.5;1
196312;1;1
196401;27.3;1
196402;55.4;1
196403;40;1
196404;50.1;1
196405;37.7;1
196406;81.5;1
196407;15.8;1
196408;18.3;1
196409;40.4;1
196410;113.5;1
196411;49.7;1
196412;75;1
196501;89.9;1
196502;6.3;1
196503;74.8;1
196504;36.7;1
196505;63.8;1
196506;68.9;1
196507;18.5;1
196508;49.5;1
196509;131.1;1
196510;37.7;1
196511;141.1;1
196512;136.3;1
196601;88.6;1
196602;30.6;1
196603;42.4;1
196604;73.2;1
196605;41.5;1
196606;53.1;1
196607;89.3;1
196608;31.4;1
196609;37.2;1
196610;152.2;1
196611;208.2;1
196612;150.8;1
196701;15.9;1
196702;36.2;1
196703;41.7;1
196704;35.6;1
196705;95.7;1
196706;14.6;1
196707;3.4;1
196708;60.6;1
196709;78;1
196710;68.2;1
196711;49.5;1
196712;71.6;1
196801;102.2;1
196802;71.4;1
196803;55.7;1
196804;49.7;1
196805;62.7;1
196806;56.6;1
196807;48.7;1
196808;102.9;1
196809;49.5;1
196810;48.5;1
196811;21.3;1
196812;50.7;1
196901;25.9;1
196902;63.4;1
196903;46.7;1
196904;33.4;1
196905;52;1
196906;37.3;1
196907;62;1
196908;59.6;1
196909;25.7;1
196910;9.7;1
196911;71.4;1
196912;62.7;1
197001;43.5;1
197002;95.8;1
197003;54.3;1
197004;61.2;1
197005;33.3;1
197006;47.3;1
197007;31.3;1
197008;61.1;1
197009;30.6;1
197010;23.7;1
197011;59.4;1
197012;35.6;1
197101;84.8;1
197102;35.7;1
197103;26.1;1
197104;50.2;1
197105;68.6;1
197106;54.7;1
197107;42;1
197108;30;1
197109;5;1
197110;7.1;1
197111;52;1
197112;2;1
197201;50;1
197202;73.3;1
197203;41.6;1
197204;34.4;1
197205;45.8;1
197206;39.3;1
197207;95.3;1
197208;78.1;1
197209;51.4;1
197210;25.4;1
197211;127.8;1
197212;35.4;1
197301;17.4;1
197302;44.6;1
197303;8.8;1
197304;35.7;1
197305;99.7;1
197306;18;1
197307;31.8;1
197308;58.6;1
197309;82.4;1
197310;51.3;1
197311;52.7;1
197312;39.4;1
197401;46.8;1
197402;40.4;1
197403;51.5;1
197404;16.3;1
197405;66.3;1
197406;78.5;1
197407;19.1;1
197408;32.2;1
197409;102.4;1
197410;120.4;1
197411;108.6;1
197412;38.3;1
197501;67;1
197502;13.9;1
197503;81.1;1
197504;47.1;1
197505;77;1
197506;42.8;1
197507;156.3;1
197508;57.6;1
197509;81.5;1
197510;27.8;1
197511;82;1
197512;15.6;1
197601;23.7;1
197602;40;1
197603;21.8;1
197604;10.1;1
197605;11.4;1
197606;0.2;1
197607;25.7;1
197608;2.9;1
197609;58.8;1
197610;40.9;1
197611;57.2;1
197612;84.8;1
197701;82.2;1
197702;84;1
197703;43.7;1
197704;31.1;1
197705;117.6;1
197706;34.6;1
197707;95.3;1
197708;25.1;1
197709;17.6;1
197710;48;1
197711;86.9;1
197712;45.6;1
197801;74.1;1
197802;95.2;1
197803;100.2;1
197804;94.6;1
197805;39.9;1
197806;57.8;1
197807;52;1
197808;34.6;1
197809;31.4;1
197810;18.1;1
197811;15.2;1
197812;108.8;1
197901;45.2;1
197902;77.5;1
197903;109.7;1
197904;39.2;1
197905;62.6;1
197906;31;1
197907;14;1
197908;38.7;1
197909;9.8;1
197910;82.8;1
197911;84.8;1
197912;129.2;1
198001;55.3;1
198002;63.6;1
198003;80.1;1
198004;4.2;1
198005;75.3;1
198006;68.1;1
198007;98.3;1
198008;28.5;1
198009;36.7;1
198010;64;1
198011;55.2;1
198012;70.6;1
198101;74.3;1
198102;40.6;1
198103;56.4;1
198104;38.7;1
198105;110.2;1
198106;40.5;1
198107;38.3;1
198108;3.1;1
198109;61.7;1
198110;110.4;1
198111;37.1;1
198112;118.7;1
198201;64.3;1
198202;19.4;1
198203;48;1
198204;8.4;1
198205;86.5;1
198206;69.3;1
198207;44.3;1
198208;52.3;1
198209;46.4;1
198210;122.5;1
198211;68.7;1
198212;78.3;1
198301;37.4;1
198302;59.8;1
198303;45;1
198304;91.1;1
198305;72.5;1
198306;42.1;1
198307;83.2;1
198308;22.1;1
198309;68.1;1
198310;29.5;1
198311;36;1
198312;35.9;1
198401;117.2;1
198402;27.8;1
198403;46.7;1
198404;11;1
198405;130.6;1
198406;35.2;1
198407;63.7;1
198408;38.2;1
198409;107.7;1
198410;47.4;1
198411;89.1;1
198412;42.5;1
198501;23.3;1
198502;22;1
198503;70.8;1
198504;69.7;1
198505;64.7;1
198506;61.9;1
198507;87.1;1
198508;55.6;1
198509;29;1
198510;16;1
198511;55.1;1
198512;35.4;1
198601;84.1;1
198602;19.8;1
198603;61.7;1
198604;64.1;1
198605;39.5;1
198606;43.6;1
198607;26.8;1
198608;68.9;1
198609;76.8;1
198610;52.4;1
198611;42.9;1
198612;87;1
198701;24.4;1
198702;38;1
198703;55.1;1
198704;54.7;1
198705;44.8;1
198706;93.1;1
198707;61.1;1
198708;38.1;1
198709;26.3;1
198710;109.5;1
198711;53.2;1
198712;34.5;1
198801;105.1;1
198802;64.7;1
198803;90.4;1
198804;42.5;1
198805;84.6;1
198806;12.8;1
198807;93.9;1
198808;40.3;1
198809;44.6;1
198810;54.9;1
198811;39.2;1
198812;62.6;1
198901;31.5;1
198902;48.1;1
198903;88.5;1
198904;66.1;1
