# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 33203001
# NOM_USUEL= HOURTIN
# LATITUDE (°) = 45.187
# LONGITUDE(°)= -1.056
# ALTITUDE (m) = 17
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-12-31
# NUM_SERIE= MRR133203001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195401 201712
# Date(s) de rupture(s) d'homogénéité : 196312
#     Periode homogénéisée  195401 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195401;57.3;1
195402;139.5;1
195403;102;1
195404;34.3;1
195405;23.7;1
195406;27.3;1
195407;57.8;1
195408;63.3;1
195409;62.1;1
195410;78.7;1
195411;92;1
195412;122;1
195501;152.1;1
195502;112.7;1
195503;15.9;1
195504;0;1
195505;30.2;1
195506;102;1
195507;51.1;1
195508;33.6;1
195509;36.7;1
195510;61;1
195511;40.1;1
195512;126.3;1
195601;63.6;1
195602;20.7;1
195603;25.9;1
195604;27.5;1
195605;50.5;1
195606;38;1
195607;85.1;1
195608;114.3;1
195609;55.5;1
195610;32.2;1
195611;44.4;1
195612;92.3;1
195701;44.2;1
195702;155.4;1
195703;42.5;1
195704;52.5;1
195705;51.1;1
195706;56.8;1
195707;73.7;1
195708;37.2;1
195709;59.5;1
195710;23.9;1
195711;76.3;1
195712;92.8;1
195801;126.6;1
195802;51.4;1
195803;143;1
195804;53.5;1
195805;79;1
195806;95.3;1
195807;43.7;1
195808;78.6;1
195809;98.9;1
195810;88.2;1
195811;64.1;1
195812;143.5;1
195901;102.1;1
195902;12.2;1
195903;51.4;1
195904;134.8;1
195905;52.2;1
195906;35.1;1
195907;27.6;1
195908;29.4;1
195909;59.2;1
195910;168.6;1
195911;136.9;1
195912;217.4;1
196001;49;1
196002;95.1;1
196003;58;1
196004;20;1
196005;77.3;1
196006;18.9;1
196007;82.4;1
196008;71;1
196009;191;1
196010;184.8;1
196011;166.6;1
196012;232.3;1
196101;163.8;1
196102;30.3;1
196103;0;1
196104;73.9;1
196105;38.3;1
196106;36.5;1
196107;55.4;1
196108;7.1;1
196109;38.8;1
196110;131.5;1
196111;138.4;1
196112;98.6;1
196201;93.5;1
196202;45.4;1
196203;117.9;1
196204;37;1
196205;89.5;1
196206;9.6;1
196207;23.1;1
196208;12;1
196209;31.2;1
196210;65.8;1
196211;117;1
196212;89.9;1
196301;56;1
196302;90.4;1
196303;125.8;1
196304;57;1
196305;32.2;1
196306;70.9;1
196307;23.1;1
196308;156.6;1
196309;41;1
196310;70.4;1
196311;145.8;1
196312;29.8;1
196401;14.9;1
196402;56.4;1
196403;89.1;1
196404;52.6;1
196405;72.5;1
196406;54.7;1
196407;7.1;1
196408;37.1;1
196409;51;1
196410;197.2;1
196411;48.4;1
196412;86.3;1
196501;97.9;1
196502;6;1
196503;77.2;1
196504;67.1;1
196505;45.1;1
196506;53.9;1
196507;29.7;1
196508;99.4;1
196509;204.3;1
196510;12.1;1
196511;222.6;1
196512;252.7;1
196601;138.9;1
196602;132.9;1
196603;36.8;1
196604;56.7;1
196605;49.9;1
196606;127.5;1
196607;35.9;1
196608;36.4;1
196609;41.3;1
196610;170;1
196611;127.4;1
196612;152.3;1
196701;48.9;1
196702;68.4;1
196703;30.3;1
196704;63.9;1
196705;94.6;1
196706;24.4;1
196707;44.6;1
196708;44.5;1
196709;60.5;1
196710;83.5;1
196711;88.7;1
196712;81.2;1
196801;75.8;1
196802;85.4;1
196803;39.7;1
196804;86.6;1
196805;53.7;1
196806;35.4;1
196807;73.8;1
196808;143.1;1
196809;146.7;1
196810;49.1;1
196811;35.8;1
196812;136.9;1
196901;169.7;1
196902;55.7;1
196903;83.2;1
196904;87.5;1
196905;130.9;1
196906;73;1
196907;54.8;1
196908;31.9;1
196909;172.3;1
196910;4.6;1
196911;149.6;1
196912;118.8;1
197001;82.6;1
197002;136;1
197003;55;1
197004;57.6;1
197005;40.2;1
197006;42.6;1
197007;17.2;1
197008;68.2;1
197009;45.6;1
197010;29.1;1
197011;132;1
197012;34.3;1
197101;131.7;1
197102;93.9;1
197103;39.2;1
197104;48.2;1
197105;79;1
197106;88.2;1
197107;122.5;1
197108;30.8;1
197109;56.4;1
197110;7.6;1
197111;123.2;1
197112;42.8;1
197201;128.5;1
197202;109.8;1
197203;81;1
197204;41.4;1
197205;47.8;1
197206;33.1;1
197207;10.1;1
197208;156.3;1
197209;21.7;1
197210;46.7;1
197211;59.3;1
197212;29.7;1
197301;84.9;1
197302;110.5;1
197303;11.7;1
197304;40.5;1
197305;73.1;1
197306;27.1;1
197307;112.2;1
197308;30.9;1
197309;111.5;1
197310;78.3;1
197311;59.6;1
197312;108.8;1
197401;100.6;1
197402;108.9;1
197403;53.3;1
197404;68.3;1
197405;72.3;1
197406;23.7;1
197407;15.8;1
197408;82.5;1
197409;137.6;1
197410;154.1;1
197411;107.8;1
197412;28.2;1
197501;112.9;1
197502;36.8;1
197503;120;1
197504;78.6;1
197505;63.2;1
197506;23.1;1
197507;15.5;1
197508;94;1
197509;71.4;1
197510;51.1;1
197511;127.8;1
197512;46.7;1
197601;28.9;1
197602;44.5;1
197603;54.7;1
197604;32.6;1
197605;10;1
197606;0;1
197607;17;1
197608;76.6;1
197609;111.2;1
197610;124.3;1
197611;223.1;1
197612;101.2;1
197701;132.6;1
197702;151.8;1
197703;64.9;1
197704;63.6;1
197705;107.4;1
197706;130;1
197707;96;1
197708;164.8;1
197709;4.9;1
197710;56.3;1
197711;55.4;1
197712;71.9;1
197801;157.4;1
197802;102.1;1
197803;104;1
197804;54.6;1
197805;34.9;1
197806;81.5;1
197807;48.3;1
197808;8;1
197809;39.8;1
197810;3.4;1
197811;18.5;1
197812;177.5;1
197901;156.1;1
197902;96.4;1
197903;177;1
197904;88.8;1
197905;154;1
197906;17.3;1
197907;17.1;1
197908;41.7;1
197909;20.2;1
197910;97.7;1
197911;113.2;1
197912;157;1
198001;114.9;1
198002;28.7;1
198003;73.2;1
198004;13.7;1
198005;70;1
198006;55;1
198007;59.2;1
198008;40.2;1
198009;73.9;1
198010;153.2;1
198011;48;1
198012;101.4;1
198101;60.1;1
198102;58;1
198103;92.6;1
198104;36;1
198105;112.1;1
198106;28.5;1
198107;31.6;1
198108;14.5;1
198109;110.6;1
198110;145.2;1
198111;14.6;1
198112;200.9;1
198201;92.9;1
198202;49.4;1
