# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 34293001
# NOM_USUEL= LA SALVETAT
# LATITUDE (°) = 43.602
# LONGITUDE(°)= 2.704
# ALTITUDE (m) = 693
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-01-01
# NUM_SERIE= MRR134293001
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 195001 201712
# Date(s) de rupture(s) d'homogénéité : 197712
#     Periode homogénéisée  195001 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;68.6;1
195002;205.7;1
195003;147.5;1
195004;175.2;1
195005;37.5;1
195006;12;1
195007;18.1;1
195008;45.9;1
195009;32.3;1
195010;136.4;1
195011;138.9;1
195012;165.2;1
195101;142.6;1
195102;129.1;1
195103;136.5;1
195104;76.8;1
195105;178.7;1
195106;116.1;1
195107;10.6;1
195108;81;1
195109;158.4;1
195110;200.4;1
195111;153.6;1
195112;115.3;1
195201;179.4;1
195202;76.9;1
195203;113.2;1
195204;133.1;1
195205;77.6;1
195206;12.4;1
195207;56.6;1
195208;47.9;1
195209;41.7;1
195210;196.3;1
195211;126;1
195212;176.2;1
195301;20.5;1
195302;43.4;1
195303;34.7;1
195304;36.9;1
195305;73.7;1
195306;200.1;1
195307;30;1
195308;52.5;1
195309;276.7;1
195310;194.8;1
195311;122.3;1
195312;436.3;1
195401;58.8;1
195402;198.7;1
195403;175.1;1
195404;62.9;1
195405;123.9;1
195406;33.7;1
195407;52.1;1
195408;131.6;1
195409;86.6;1
195410;41.4;1
195411;40.9;1
195412;134.3;1
195501;344.9;1
195502;113.7;1
195503;14.4;1
195504;3.3;1
195505;39.8;1
195506;116.2;1
195507;111.9;1
195508;57.7;1
195509;66.8;1
195510;99.9;1
195511;36.2;1
195512;182;1
195601;70.7;1
195602;13;1
195603;206.7;1
195604;60.9;1
195605;112.9;1
195606;22.9;1
195607;33.7;1
195608;76.2;1
195609;111;1
195610;78.3;1
195611;43.5;1
195612;140;1
195701;28.3;1
195702;63.1;1
195703;64.8;1
195704;303.3;1
195705;109.8;1
195706;191.3;1
195707;24.2;1
195708;58.4;1
195709;107.7;1
195710;20.6;1
195711;92;1
195712;54.7;1
195801;87.9;1
195802;37.4;1
195803;227.5;1
195804;95.8;1
195805;92.7;1
195806;90.3;1
195807;72.7;1
195808;53.5;1
195809;36.7;1
195810;31.5;1
195811;168.9;1
195812;218.6;1
195901;138.7;1
195902;307.7;1
195903;123.4;1
195904;203.2;1
195905;87.3;1
195906;62;1
195907;34.1;1
195908;81.1;1
195909;88.6;1
195910;221.7;1
195911;153.3;1
195912;316.7;1
196001;112;1
196002;41.7;1
196003;262.9;1
196004;19.3;1
196005;41;1
196006;71.4;1
196007;112.4;1
196008;74.1;1
196009;64.6;1
196010;256.4;1
196011;135;1
196012;171.8;1
196101;141.7;1
196102;132.1;1
196103;0.8;1
196104;131.4;1
196105;92.6;1
196106;42.8;1
196107;47;1
196108;27.5;1
196109;101;1
196110;142.6;1
196111;218.5;1
196112;90.4;1
196201;119.3;1
196202;72.7;1
196203;116.1;1
196204;197.3;1
196205;75.2;1
196206;29.9;1
196207;45.4;1
196208;18.1;1
196209;84;1
196210;145.2;1
196211;613.5;1
196212;164.6;1
196301;93.3;1
196302;161.9;1
196303;146.6;1
196304;137.5;1
196305;44.4;1
196306;115.9;1
196307;72.4;1
196308;136.5;1
196309;231.9;1
196310;67.4;1
196311;60.5;1
196312;201.9;1
196401;25.4;1
196402;256;1
196403;155.1;1
196404;183.7;1
196405;91.6;1
196406;45.7;1
196407;74.8;1
196408;51.9;1
196409;161;1
196410;194.5;1
196411;97.2;1
196412;195.4;1
196501;179.6;1
196502;76.5;1
196503;172.1;1
196504;122.8;1
196505;109.6;1
196506;43.1;1
196507;33.4;1
196508;59.3;1
196509;245.3;1
196510;305.9;1
196511;182.9;1
196512;334;1
196601;213.3;1
196602;186.4;1
196603;45.3;1
196604;108.6;1
196605;221.3;1
196606;67.6;1
196607;78.5;1
196608;25.1;1
196609;81;1
196610;383.2;1
196611;224.9;1
196612;223.4;1
196701;133;1
196702;139.1;1
196703;63.7;1
196704;63.2;1
196705;106.8;1
196706;43.9;1
196707;15.8;1
196708;56.6;1
196709;58.4;1
196710;71.4;1
196711;116.2;1
196712;100.5;1
196801;207.3;1
196802;76.2;1
196803;37.8;1
196804;123.6;1
196805;129.6;1
196806;88.4;1
196807;18.8;1
196808;91.7;1
196809;35;1
196810;50.6;1
196811;189.8;1
196812;245.4;1
196901;136.8;1
196902;122.7;1
196903;311;1
196904;348.6;1
196905;108;1
196906;40.4;1
196907;48.3;1
196908;65.5;1
196909;191;1
196910;334.9;1
196911;81.8;1
196912;216.9;1
197001;174.6;1
197002;227.4;1
197003;90.2;1
197004;139.5;1
197005;116.8;1
