# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 36035001
# NOM_USUEL= CHAILLAC
# LATITUDE (°) = 46.437
# LONGITUDE(°)= 1.292
# ALTITUDE (m) = 180
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-04-01
# NUM_SERIE= MRR136035001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195101 201812
# Date(s) de rupture(s) d'homogénéité : 197810
#     Periode homogénéisée  195101 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;48.1;1
195102;83.3;1
195103;101.5;1
195104;57.7;1
195105;151.5;1
195106;114.1;1
195107;98.8;1
195108;84;1
195109;78.3;1
195110;25.6;1
195111;56;1
195112;57.1;1
195201;85;1
195202;80.1;1
195203;84.8;1
195204;11.8;1
195205;62.6;1
195206;45.4;1
195207;11.4;1
195208;66.6;1
195209;161.4;1
195210;180.2;1
195211;94.5;1
195212;122.4;1
195301;13.5;1
195302;40.2;1
195303;1.3;1
195304;70.9;1
195305;45.9;1
195306;94.1;1
195307;111.8;1
195308;31.6;1
195309;61.2;1
195310;72.2;1
195311;19;1
195312;22;1
195401;36.1;1
195402;61.3;1
195403;105.9;1
195404;11.2;1
195405;53;1
195406;52.5;1
195407;22.3;1
195408;74.7;1
195409;28.5;1
195410;45.7;1
195411;59.8;1
195412;57.3;1
195501;124.3;1
195502;147.7;1
195503;53;1
195504;4.4;1
195505;38.4;1
195506;130.6;1
195507;15.7;1
195508;11.3;1
195509;11.6;1
195510;28.6;1
195511;24.3;1
195512;90.3;1
195601;95.1;1
195602;12.8;1
195603;10.5;1
195604;67.7;1
195605;69.3;1
195606;70.4;1
195607;43.1;1
195608;98.4;1
195609;58.6;1
195610;28.2;1
195611;38.4;1
195612;29.5;1
195701;29.9;1
195702;121.1;1
195703;24.1;1
195704;37.1;1
195705;35.8;1
195706;49.4;1
195707;53.1;1
195708;29.4;1
195709;53.1;1
195710;50.4;1
195711;41.8;1
195712;50.7;1
195801;138;1
195802;62.6;1
195803;85.6;1
195804;40.3;1
195805;128;1
195806;132.4;1
195807;176.5;1
195808;126.5;1
195809;93.8;1
195810;93.8;1
195811;93.8;1
195812;133.2;1
195901;92.4;1
195902;20.2;1
195903;40.9;1
195904;120.7;1
195905;88.5;1
195906;44.3;1
195907;3.8;1
195908;74.1;1
195909;57.7;1
195910;46.7;1
195911;55.3;1
195912;99.1;1
196001;82.8;1
196002;60.6;1
196003;87.1;1
196004;33.7;1
196005;68.8;1
196006;63.5;1
196007;57.7;1
196008;65.4;1
196009;107.3;1
196010;219.3;1
196011;87.1;1
196012;106.3;1
196101;99.1;1
196102;39.4;1
196103;8.2;1
196104;47.4;1
196105;58.7;1
196106;37.5;1
196107;97.2;1
196108;27.4;1
196109;68.3;1
196110;50;1
196111;94.3;1
196112;109.4;1
196201;91.4;1
196202;33.5;1
196203;107.3;1
196204;67.8;1
196205;88.8;1
196206;11.1;1
196207;49.5;1
196208;26.9;1
196209;28.1;1
196210;27.8;1
196211;166;1
196212;77;1
196301;32.2;1
196302;59.2;1
196303;99.1;1
196304;43.8;1
196305;55.8;1
196306;138.5;1
196307;23.6;1
196308;106.6;1
196309;34;1
196310;28.4;1
196311;70.4;1
196312;30.8;1
196401;17;1
196402;69.3;1
196403;85.6;1
196404;82.9;1
196405;54.8;1
196406;26.5;1
196407;10.1;1
196408;20.9;1
196409;74.1;1
196410;62.1;1
196411;50.3;1
196412;47.9;1
196501;61.1;1
196502;5.1;1
196503;73.5;1
196504;57;1
196505;73.4;1
196506;27.9;1
196507;78.2;1
196508;92.5;1
196509;254.9;1
196510;13.3;1
196511;106.5;1
196512;161.6;1
196601;64.7;1
196602;135.2;1
196603;39.4;1
196604;56.8;1
196605;44.3;1
196606;62.2;1
196607;73.8;1
196608;66.7;1
196609;10.6;1
196610;127.2;1
196611;72.5;1
196612;98.3;1
196701;43.1;1
196702;58.9;1
196703;58.4;1
196704;12.6;1
196705;119;1
196706;13;1
196707;10.8;1
196708;39.2;1
196709;80.9;1
196710;70.7;1
196711;72.9;1
196712;72.6;1
196801;90;1
196802;70.8;1
196803;50.9;1
196804;103.9;1
196805;81.3;1
196806;37.5;1
196807;83.2;1
196808;156.8;1
196809;91.9;1
196810;55.6;1
196811;44.2;1
196812;109.2;1
196901;39;1
196902;48.8;1
196903;62.3;1
196904;52.6;1
196905;120.5;1
196906;63;1
196907;18.8;1
196908;79.9;1
196909;97.2;1
196910;2.4;1
196911;166.9;1
196912;90;1
197001;76.5;1
197002;104.9;1
197003;67.1;1
197004;96.7;1
197005;32.4;1
197006;66.4;1
197007;41.5;1
197008;79.9;1
197009;31.3;1
197010;42.3;1
197011;70.8;1
197012;18.4;1
197101;77.9;1
197102;51;1
197103;52;1
197104;37.5;1
197105;268.9;1
197106;64.5;1
197107;93.8;1
197108;143.3;1
197109;44.3;1
197110;30.3;1
197111;79.4;1
197112;18.5;1
197201;50.5;1
197202;67.6;1
197203;47.9;1
197204;47.1;1
197205;46.2;1
197206;34.6;1
197207;50;1
197208;66.9;1
197209;24.1;1
197210;17.8;1
197211;116.9;1
197212;28.9;1
197301;65.1;1
197302;72.9;1
197303;14.9;1
197304;35.1;1
197305;60.1;1
197306;41.4;1
197307;90.4;1
197308;94.8;1
197309;65.4;1
197310;97.6;1
197311;47.6;1
197312;68.8;1
197401;45.5;1
197402;55.8;1
197403;105.8;1
197404;38.5;1
197405;44.3;1
197406;61.1;1
197407;16.8;1
197408;66.4;1
197409;80.3;1
197410;123.6;1
197411;96.2;1
197412;32.7;1
197501;63;1
197502;2.4;1
197503;96.2;1
197504;64.5;1
197505;82.7;1
197506;29.3;1
197507;33.2;1
197508;46.7;1
197509;176.1;1
197510;18.8;1
197511;95.7;1
197512;50.5;1
197601;24.3;1
197602;69.7;1
197603;34.2;1
197604;69.7;1
197605;37.5;1
197606;0;1
197607;76;1
197608;39.4;1
197609;100.5;1
197610;108.2;1
197611;135.2;1
197612;90.9;1
197701;80.3;1
197702;158.6;1
197703;75;1
197704;52.4;1
197705;116.9;1
197706;90.4;1
197707;98.1;1
197708;52.9;1
197709;9.6;1
197710;112.1;1
197711;49.1;1
197712;71.9;1
197801;107.8;1
197802;68.2;1
197803;150.7;1
197804;125.8;1
197805;99.4;1
197806;39.4;1
197807;74.1;1
197808;2.9;1
197809;34.6;1
197810;11.5;1
197811;16.6;1
197812;119.7;1
197901;68.7;1
197902;98.3;1
197903;134.3;1
197904;83.6;1
197905;82.7;1
197906;46.3;1
197907;50.7;1
197908;29.6;1
197909;16.3;1
197910;89;1
197911;57.2;1
197912;123.6;1
198001;91.3;1
198002;44.6;1
198003;99.2;1
198004;16;1
198005;50.2;1
198006;82.9;1
198007;80.6;1
198008;31.4;1
198009;36.6;1
198010;88;1
198011;52.3;1
198012;61.2;1
198101;92.7;1
198102;44.7;1
198103;78.6;1
198104;14.6;1
198105;155.7;1
198106;89.4;1
198107;39.8;1
198108;63.2;1
198109;76.3;1
198110;130.8;1
198111;29.1;1
198112;140.8;1
198201;66.7;1
198202;29.7;1
198203;79.2;1
198204;21.4;1
198205;45;1
198206;58.6;1
198207;47.7;1
198208;58.1;1
198209;64.9;1
198210;120.6;1
198211;57.1;1
198212;192;1
198301;26.2;1
198302;68.5;1
198303;55;1
198304;143.4;1
198305;98.8;1
198306;38.2;1
198307;89.5;1
198308;57.9;1
198309;45.3;1
198310;48.4;1
198311;50.6;1
198312;59.3;1
198401;129.6;1
198402;46.6;1
198403;55.7;1
198404;8;1
198405;102.2;1
198406;45.6;1
198407;31.4;1
198408;114.2;1
198409;105.8;1
198410;104.9;1
198411;121.3;1
198412;53.2;1
198501;57.7;1
198502;80.9;1
198503;52;1
198504;66.6;1
198505;131.6;1
198506;82;1
198507;31.1;1
198508;32;1
198509;6;1
198510;5.2;1
198511;68.3;1
198512;61.1;1
