# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 36060001
# NOM_USUEL= CREVANT
# LATITUDE (°) = 46.484
# LONGITUDE(°)= 1.968
# ALTITUDE (m) = 339
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-04-01
# NUM_SERIE= MRR136060001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 194701 201912
# Date(s) de rupture(s) d'homogénéité : 199206
#     Periode homogénéisée  194701 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;52.9;1
194702;74.3;1
194703;81.5;1
194704;27.5;1
194705;89.2;1
194706;31.9;1
194707;14.7;1
194708;27.5;1
194709;29;1
194710;49.6;1
194711;58;1
194712;87.5;1
194801;118;1
194802;29.3;1
194803;18.1;1
194804;98.8;1
194805;77.2;1
194806;62.5;1
194807;43.4;1
194808;54;1
194809;50;1
194810;20.8;1
194811;37;1
194812;34.1;1
194901;42.1;1
194902;8.2;1
194903;33.2;1
194904;31.2;1
194905;72.2;1
194906;40.1;1
194907;1.7;1
194908;38.2;1
194909;78.3;1
194910;69.5;1
194911;81.5;1
194912;86.1;1
195001;16.5;1
195002;80.9;1
195003;14.5;1
195004;73.2;1
195005;38.5;1
195006;76.7;1
195007;48.6;1
195008;67.7;1
195009;32.2;1
195010;33.6;1
195011;218;1
195012;61.8;1
195101;49.6;1
195102;81.6;1
195103;97.1;1
195104;52.7;1
195105;101.2;1
195106;90.6;1
195107;31.2;1
195108;108.4;1
195109;65.7;1
195110;33.6;1
195111;57.3;1
195112;62;1
195201;132.6;1
195202;58;1
195203;99.8;1
195204;24.5;1
195205;47.7;1
195206;38.6;1
195207;6.6;1
195208;106;1
195209;154.1;1
195210;158.1;1
195211;119.7;1
195212;120.5;1
195301;22.3;1
195302;59.7;1
195303;9.7;1
195304;93.2;1
195305;29.3;1
195306;88.5;1
195307;163.3;1
195308;16.1;1
195309;90.4;1
195310;83.3;1
195311;23.8;1
195312;23.6;1
195401;46.1;1
195402;77;1
195403;102.6;1
195404;7.2;1
195405;62.1;1
195406;53;1
195407;19.5;1
195408;82.6;1
195409;47.1;1
195410;53.2;1
195411;48.2;1
195412;54.2;1
195501;149.9;1
195502;127.9;1
195503;42.1;1
195504;2;1
195505;40.7;1
195506;85.7;1
195507;39.9;1
195508;10.1;1
195509;19.7;1
195510;24.7;1
195511;14.7;1
195512;95.4;1
195601;89.8;1
195602;18;1
195603;16.6;1
195604;84.5;1
195605;94.2;1
195606;52;1
195607;35.4;1
195608;83.9;1
195609;44.6;1
195610;41.4;1
195611;56.6;1
195612;29;1
195701;39.9;1
195702;143.5;1
195703;28;1
195704;31;1
195705;25;1
195706;88.7;1
195707;65.7;1
195708;32.3;1
195709;70.8;1
195710;66.7;1
195711;49.4;1
195712;50.1;1
195801;104.3;1
195802;80.6;1
195803;93.9;1
195804;52.4;1
195805;133.5;1
195806;80.4;1
195807;159.5;1
195808;83.4;1
195809;52.8;1
195810;70;1
195811;105.5;1
195812;103.8;1
195901;101.1;1
195902;11;1
195903;39.8;1
195904;105.7;1
195905;80.8;1
195906;51.8;1
195907;1.6;1
195908;69.1;1
195909;25.7;1
195910;40.6;1
195911;61.4;1
195912;112.2;1
196001;78.7;1
196002;68.7;1
196003;101.2;1
196004;33.7;1
196005;100.1;1
196006;76.2;1
196007;64.9;1
196008;104.4;1
196009;91.3;1
196010;193.6;1
196011;72.4;1
196012;73.3;1
196101;104.2;1
196102;40.2;1
196103;9.6;1
196104;63.7;1
196105;65;1
196106;64.2;1
196107;106.6;1
196108;32.1;1
196109;49.9;1
196110;59.1;1
196111;86.9;1
196112;104.7;1
196201;108.8;1
196202;45.6;1
196203;123.3;1
196204;80.3;1
196205;123.9;1
196206;22.5;1
196207;54.4;1
196208;16.9;1
196209;32.3;1
196210;46.3;1
196211;121.5;1
196212;89;1
196301;49.6;1
196302;58.2;1
196303;111;1
196304;42.4;1
196305;50.6;1
196306;115;1
196307;20.7;1
196308;228.8;1
196309;36.1;1
196310;45.2;1
196311;95.9;1
196312;20.3;1
196401;20.7;1
196402;55.6;1
196403;84.8;1
196404;82.9;1
196405;43.5;1
196406;41.1;1
196407;12.8;1
196408;45;1
196409;102.6;1
196410;60.2;1
196411;46.2;1
196412;49;1
196501;79.5;1
196502;11;1
196503;80.4;1
196504;84.6;1
196505;83.3;1
196506;36.3;1
196507;52.4;1
196508;99.4;1
196509;211.8;1
196510;15.1;1
196511;117.5;1
196512;137.5;1
196601;68.7;1
196602;114.4;1
196603;46.7;1
196604;75.2;1
196605;75.6;1
196606;86.7;1
196607;76.8;1
196608;83;1
196609;4.3;1
196610;99.4;1
196611;82.3;1
196612;133.8;1
196701;47.7;1
196702;54.3;1
196703;58.4;1
196704;12.3;1
196705;94.6;1
196706;24.2;1
196707;11.4;1
196708;48.3;1
196709;94.1;1
196710;75.3;1
196711;71.7;1
196712;89.2;1
196801;89.7;1
196802;63.4;1
196803;30.8;1
196804;76.3;1
196805;80.3;1
196806;34.4;1
196807;68.6;1
196808;159.9;1
196809;85;1
196810;43.3;1
196811;41.3;1
196812;120.5;1
196901;24.3;1
196902;45.4;1
196903;64.5;1
196904;50.2;1
196905;97.9;1
196906;62.8;1
196907;31.5;1
196908;100.1;1
196909;91.2;1
196910;2.7;1
196911;123;1
196912;74.3;1
197001;85.1;1
197002;163.7;1
197003;89.3;1
197004;96.9;1
197005;23.6;1
197006;89;1
197007;40.6;1
197008;54.8;1
197009;34;1
197010;63.4;1
197011;57.1;1
197012;20.9;1
197101;95.7;1
197102;35.4;1
197103;49.6;1
197104;42.9;1
197105;138.3;1
197106;74.4;1
197107;54.6;1
197108;112.5;1
197109;27.4;1
197110;25.8;1
197111;83.9;1
197112;17;1
197201;57.4;1
197202;68;1
197203;49;1
197204;43.7;1
197205;64.9;1
197206;31.9;1
197207;46.5;1
197208;120.5;1
197209;32.3;1
197210;24.5;1
197211;104.4;1
197212;16.7;1
197301;48.7;1
197302;57.3;1
197303;11.9;1
197304;27.6;1
197305;78.9;1
197306;28.9;1
197307;130.6;1
197308;23.4;1
197309;63.4;1
197310;111.2;1
197311;50.9;1
197312;65.4;1
197401;40.7;1
197402;61.9;1
197403;91.9;1
197404;52.1;1
197405;68.1;1
197406;52.2;1
197407;29;1
197408;42.3;1
197409;96.5;1
197410;130.4;1
197411;80.7;1
197412;42.8;1
197501;67.2;1
197502;9.6;1
197503;86.5;1
197504;70.5;1
197505;92.4;1
197506;32.5;1
197507;41;1
197508;31.7;1
197509;113.7;1
197510;19.2;1
197511;114.9;1
197512;42.2;1
197601;39.4;1
