# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 36069001
# NOM_USUEL= ECUEILLE
# LATITUDE (°) = 47.077
# LONGITUDE(°)= 1.346
# ALTITUDE (m) = 164
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR136069001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195301 201812
# Date(s) de rupture(s) d'homogénéité : 195412
#     Periode homogénéisée  195301 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;23.1;1
195302;41.5;1
195303;4.9;1
195304;81.1;1
195305;22.3;1
195306;63.5;1
195307;75.3;1
195308;15.8;1
195309;77.5;1
195310;78.5;1
195311;18.8;1
195312;6.8;1
195401;5.1;1
195402;23.1;1
195403;7.7;1
195404;6.9;1
195405;40.8;1
195406;37.7;1
195407;16.6;1
195408;96.2;1
195409;15.5;1
195410;38.8;1
195411;27.8;1
195412;85.8;1
195501;130.4;1
195502;109.7;1
195503;21.5;1
195504;0.3;1
195505;40;1
195506;91.9;1
195507;33.5;1
195508;4.8;1
195509;53;1
195510;28.9;1
195511;26.2;1
195512;97.9;1
195601;86.9;1
195602;6.5;1
195603;21;1
195604;74.5;1
195605;20.3;1
195606;25.6;1
195607;66.4;1
195608;97.2;1
195609;25.3;1
195610;65.1;1
195611;19.7;1
195612;41.5;1
195701;21.6;1
195702;112.5;1
195703;38.7;1
195704;30;1
195705;31.5;1
195706;89.3;1
195707;37.4;1
195708;29.5;1
195709;55;1
195710;33.7;1
195711;16;1
195712;50;1
195801;86.5;1
195802;72.1;1
195803;104.8;1
195804;53.3;1
195805;121.6;1
195806;76.9;1
195807;101.4;1
195808;94;1
195809;120.8;1
195810;41;1
195811;72.2;1
195812;87.5;1
195901;71.2;1
195902;0;1
195903;51;1
195904;96.9;1
195905;38;1
195906;45.2;1
195907;9.3;1
195908;39.4;1
195909;31.2;1
195910;41;1
195911;59.5;1
195912;82.6;1
196001;68.3;1
196002;44.3;1
196003;79.4;1
196004;27.8;1
196005;61.5;1
196006;52.8;1
196007;51.4;1
196008;73.1;1
196009;61.3;1
196010;173.2;1
196011;77;1
196012;88.5;1
196101;107.4;1
196102;26.6;1
196103;4.4;1
196104;33.1;1
196105;32;1
196106;51;1
196107;104;1
196108;0.5;1
196109;49.8;1
196110;47.3;1
196111;94;1
196112;135.4;1
196201;93.3;1
196202;19;1
196203;115.4;1
196204;76.8;1
196205;85;1
196206;22;1
196207;56.3;1
196208;1.5;1
196209;50.3;1
196210;24;1
196211;144.7;1
196212;67.2;1
196301;35;1
196302;19.1;1
196303;89.4;1
196304;38.3;1
196305;57.5;1
196306;72.3;1
196307;28.2;1
196308;82.7;1
196309;27.4;1
196310;25.9;1
196311;78.1;1
196312;13.4;1
196401;11;1
196402;53.7;1
196403;40;1
196404;50.3;1
196405;37.8;1
196406;50.7;1
196407;8.8;1
196408;19.8;1
196409;49.5;1
196410;58;1
196411;33.6;1
196412;58.9;1
196501;45.4;1
196502;3.1;1
196503;56;1
196504;75.3;1
196505;62.2;1
196506;19.5;1
196507;64.6;1
196508;89;1
196509;141.9;1
196510;21.2;1
196511;104.8;1
196512;103.5;1
196601;54.1;1
196602;100.5;1
196603;40.6;1
196604;59.4;1
196605;52.4;1
196606;63.6;1
196607;61;1
196608;65.9;1
196609;38.8;1
196610;98.8;1
196611;75.8;1
196612;113.7;1
196701;41.2;1
196702;67.8;1
196703;26.7;1
196704;14;1
196705;71.5;1
196706;12.1;1
196707;4.5;1
196708;45.2;1
196709;94.2;1
196710;102.2;1
196711;77.5;1
196712;104.4;1
196801;98.5;1
196802;84.3;1
196803;33.3;1
196804;84.4;1
196805;53.5;1
196806;31.1;1
196807;70.8;1
196808;105.7;1
196809;116.7;1
196810;60.3;1
196811;38.2;1
196812;84.5;1
196901;41.5;1
196902;44.9;1
196903;61.7;1
196904;43.8;1
196905;90.2;1
196906;93.5;1
196907;27.8;1
196908;19.4;1
196909;68.7;1
196910;5.3;1
196911;148;1
196912;65.7;1
197001;73.8;1
197002;126.5;1
197003;85;1
197004;61.2;1
197005;33.5;1
197006;118.9;1
197007;33.9;1
197008;81.5;1
197009;33.6;1
197010;37.3;1
197011;90.4;1
197012;13.9;1
197101;58.8;1
197102;29.4;1
197103;48.8;1
197104;42.5;1
197105;148.6;1
197106;52.7;1
197107;165.6;1
197108;55.7;1
197109;48.9;1
197110;6.1;1
197111;64.3;1
197112;13.1;1
197201;64.5;1
197202;68.9;1
197203;41.8;1
197204;38.7;1
197205;23.2;1
197206;40.5;1
197207;19.5;1
197208;40.2;1
197209;23.8;1
197210;7;1
197211;94.8;1
197212;27.8;1
197301;46.5;1
197302;62.2;1
197303;10.1;1
197304;26.8;1
197305;69;1
197306;39.8;1
197307;64.3;1
197308;44.3;1
197309;21.6;1
197310;42.7;1
197311;35.9;1
197312;88.2;1
197401;53.9;1
197402;35.9;1
197403;85.3;1
197404;29;1
197405;51.8;1
197406;50.6;1
197407;19.2;1
197408;21.2;1
197409;111.1;1
197410;94;1
197411;61.7;1
197412;33.7;1
197501;50.5;1
197502;1;1
197503;96.5;1
197504;45.4;1
197505;77.7;1
197506;20.3;1
197507;34.4;1
197508;20.6;1
197509;163.8;1
197510;25.6;1
197511;94.7;1
197512;49.1;1
197601;17.3;1
197602;56;1
197603;32.5;1
197604;19.6;1
197605;27.9;1
197606;0;1
197607;55.2;1
197608;40.5;1
197609;53.6;1
197610;80;1
197611;82.1;1
197612;97;1
197701;75.2;1
197702;161.2;1
197703;60.5;1
197704;22.8;1
197705;144.8;1
197706;95;1
197707;114.9;1
197708;48.2;1
197709;7.3;1
197710;93.7;1
197711;65.5;1
197712;63.6;1
197801;75.6;1
197802;82.6;1
197803;116.9;1
197804;89.7;1
197805;38.7;1
197806;73.9;1
197807;35.9;1
197808;38.4;1
197809;17.5;1
197810;7.5;1
197811;19.8;1
197812;104.5;1
197901;68.7;1
197902;85.1;1
197903;100.9;1
197904;53.4;1
197905;91.4;1
197906;24.4;1
197907;51.9;1
197908;28.9;1
197909;14.6;1
197910;67;1
197911;39.4;1
197912;121.6;1
198001;69.3;1
198002;60.3;1
198003;97.5;1
198004;12.1;1
198005;34.6;1
198006;53.6;1
198007;95.9;1
198008;25;1
198009;23;1
198010;61.1;1
198011;49.2;1
198012;55.7;1
198101;92.1;1
198102;51.5;1
198103;87.4;1
198104;16.2;1
198105;156.4;1
198106;95.7;1
198107;37.8;1
198108;19.2;1
198109;43.8;1
198110;136.1;1
198111;30;1
198112;115.7;1
198201;65.9;1
198202;22.5;1
198203;70;1
198204;18.5;1
198205;31.3;1
198206;48.1;1
198207;19.3;1
198208;31.8;1
198209;45.4;1
198210;137.9;1
198211;57;1
198212;174.2;1
198301;45.4;1
198302;73.2;1
198303;71;1
198304;185.4;1
198305;108.4;1
198306;62.9;1
198307;70.6;1
198308;65.8;1
198309;50.6;1
198310;30.5;1
198311;42.4;1
198312;43.6;1
198401;129.4;1
198402;31.8;1
198403;51.1;1
198404;9.1;1
198405;137.9;1
198406;67.9;1
198407;30.8;1
198408;64.9;1
198409;111.8;1
198410;98.2;1
198411;166.2;1
198412;62.6;1
198501;50.9;1
198502;67.1;1
198503;50.4;1
198504;60.5;1
198505;114.7;1
198506;32.8;1
198507;32.8;1
198508;47.8;1
198509;8.5;1
198510;4.3;1
198511;54.9;1
198512;71.6;1
198601;79.6;1
198602;76;1
198603;68.7;1
198604;96.2;1
198605;62.4;1
198606;11.7;1
198607;10.3;1
198608;41.6;1
198609;47.3;1
198610;62.3;1
198611;44.5;1
198612;45;1
198701;26.3;1
198702;53.6;1
198703;45;1
198704;45.4;1
198705;47.9;1
198706;80.4;1
198707;105.7;1
198708;28.3;1
198709;26.8;1
198710;121.4;1
198711;65;1
198712;55.9;1
198801;131.8;1
198802;89.4;1
198803;78.6;1
198804;30.2;1
198805;107.8;1
198806;31.3;1
198807;57.9;1
198808;6.7;1
198809;33.3;1
198810;63.1;1
198811;32.9;1
198812;37;1
198901;21.4;1
198902;35;1
198903;31.1;1
198904;79.4;1
198905;22.7;1
198906;26.5;1
198907;68;1
198908;17.3;1
198909;18.7;1
198910;25.2;1
198911;30.6;1
198912;62.2;1
199001;43.2;1
199002;88.3;1
199003;11.4;1
199004;57.1;1
199005;27;1
199006;40.7;1
199007;66.2;1
199008;18.5;1
199009;23.9;1
199010;62.6;1
199011;42.1;1
199012;60.5;1
199101;64.5;1
199102;39.7;1
199103;44.5;1
199104;40.9;1
199105;18.4;1
199106;54.7;1
199107;98.9;1
199108;37.3;1
199109;38.3;1
199110;63.4;1
199111;91.6;1
199112;17.2;1
199201;6.5;1
199202;25;1
199203;41.6;1
199204;49.7;1
199205;48.8;1
199206;77.3;1
199207;77.7;1
199208;71.7;1
199209;44.2;1
199210;105.1;1
199211;79.7;1
199212;60.8;1
199301;26;1
199302;10.5;1
199303;4.7;1
199304;84.7;1
199305;77.1;1
199306;60.8;1
199307;26.1;1
199308;16.7;1
199309;129.4;1
199310;104.9;1
199311;15.9;1
199312;74.9;1
199401;101;1
199402;83.9;1
199403;35.5;1
199404;74.4;1
199405;77.4;1
199406;40.8;1
199407;62.7;1
199408;99.3;1
199409;128.1;1
199410;50.2;1
199411;52.3;1
199412;62.3;1
199501;120.5;1
199502;86.5;1
199503;83.9;1
199504;68.5;1
199505;57.4;1
199506;25.4;1
199507;29.9;1
199508;26.7;1
199509;69.2;1
199510;32.2;1
199511;49.3;1
199512;77;1
199601;113.4;1
199602;85.5;1
199603;32.5;1
199604;13.7;1
199605;83.7;1
199606;15.8;1
199607;17.3;1
199608;51;1
199609;30.3;1
199610;63.5;1
199611;160.9;1
199612;91.4;1
199701;21.6;1
199702;81.5;1
199703;5.4;1
199704;21.6;1
199705;102.3;1
199706;97.1;1
199707;85.9;1
199708;82.4;1
199709;12.2;1
199710;48.1;1
199711;121.5;1
199712;80.6;1
199801;126.4;1
199802;6;1
199803;34.1;1
199804;167;1
199805;21.6;1
199806;34.3;1
199807;47.8;1
199808;22.5;1
199809;73.1;1
199810;101.5;1
199811;49;1
199812;74;1
199901;64.5;1
199902;98.8;1
199903;51.7;1
199904;101.7;1
199905;51.9;1
199906;40.7;1
199907;55;1
199908;49.7;1
199909;135;1
199910;44.5;1
199911;94.3;1
199912;155.3;1
200001;21.7;1
200002;86.9;1
200003;49.4;1
200004;95.7;1
200005;40.4;1
200006;29.3;1
200007;134.2;1
200008;36.1;1
200009;38.4;1
200010;95.2;1
200011;125.5;1
200012;89.8;1
200101;99.6;1
200102;29.6;1
200103;127.3;1
200104;94.7;1
200105;51.8;1
200106;46.4;1
200107;76;1
200108;45.2;1
200109;20.8;1
200110;114.3;1
200111;34.2;1
200112;55.4;1
200201;24.7;1
200202;62.8;1
