# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 36106001
# NOM_USUEL= LUZERET
# LATITUDE (°) = 46.546
# LONGITUDE(°)= 1.418
# ALTITUDE (m) = 150
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-07-31
# NUM_SERIE= MRR136106001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194701 201812
# Date(s) de rupture(s) d'homogénéité : 199812
#     Periode homogénéisée  194701 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;54.2;1
194702;54.9;1
194703;85;1
194704;33.5;1
194705;83.4;1
194706;34.9;1
194707;14.8;1
194708;35.5;1
194709;32.6;1
194710;41;1
194711;63.8;1
194712;86.1;1
194801;107.5;1
194802;12.3;1
194803;21.5;1
194804;50.2;1
194805;86.2;1
194806;53.9;1
194807;47.6;1
194808;67.7;1
194809;38.9;1
194810;20.3;1
194811;51.5;1
194812;45.8;1
194901;40.2;1
194902;4.8;1
194903;36.6;1
194904;31;1
194905;51.1;1
194906;59.3;1
194907;18.2;1
194908;24.1;1
194909;145.2;1
194910;62.7;1
194911;110;1
194912;48.5;1
195001;8.4;1
195002;52.9;1
195003;10.1;1
195004;62.6;1
195005;54.1;1
195006;74.8;1
195007;28.8;1
195008;58.1;1
195009;25.3;1
195010;55.1;1
195011;198.3;1
195012;88.1;1
195101;38.6;1
195102;62.3;1
195103;98.5;1
195104;47.4;1
195105;137.2;1
195106;114.6;1
195107;50.1;1
195108;34.2;1
195109;68.3;1
195110;27.7;1
195111;52.3;1
195112;46.3;1
195201;85.9;1
195202;104.7;1
195203;87;1
195204;34.2;1
195205;59.5;1
195206;8.8;1
195207;14.3;1
195208;76;1
195209;128.9;1
195210;178.5;1
195211;90.3;1
195212;98.1;1
195301;22;1
195302;19.8;1
195303;1.1;1
195304;49.6;1
195305;34.2;1
195306;60.6;1
195307;99.2;1
195308;27.5;1
195309;71.6;1
